cancellation_id,flight_id,cancellation_reason,cancelled_at
CXL000058,FLT0001051,Airport Closure,2026-04-23 13:45:00
CXL000059,FLT0001076,Low Booking Demand,2026-08-02 03:45:00
CXL000060,FLT0001091,Low Booking Demand,2025-08-29 02:45:00
CXL000061,FLT0001103,Airport Closure,2025-09-29 05:45:00
CXL000062,FLT0001141,Crew Shortage,2025-10-22 23:15:00
CXL000063,FLT0001142,Severe Weather,2025-12-04 11:00:00
CXL000064,FLT0001172,Airport Closure,2025-10-16 18:45:00
CXL000065,FLT0001185,Low Booking Demand,2025-11-04 15:15:00
CXL000066,FLT0001192,Mechanical Issue,2025-09-04 10:30:00
CXL000067,FLT0001199,Severe Weather,2026-04-04 18:30:00
CXL000068,FLT0001209,Air Traffic Control,2026-04-27 14:00:00
CXL000069,FLT0001280,Low Booking Demand,2026-03-25 13:45:00
CXL000070,FLT0001293,Crew Shortage,2025-11-02 17:15:00
CXL000071,FLT0001354,Air Traffic Control,2025-08-21 03:45:00
CXL000072,FLT0001376,Crew Shortage,2025-10-05 07:15:00
CXL000073,FLT0001398,Severe Weather,2026-04-01 16:00:00
CXL000074,FLT0001420,Crew Shortage,2026-02-03 07:30:00
CXL000075,FLT0001445,Crew Shortage,2026-07-23 18:15:00
CXL000076,FLT0001450,Severe Weather,2026-07-21 17:00:00
CXL000077,FLT0001462,Mechanical Issue,2026-03-01 17:15:00
CXL000078,FLT0001517,Air Traffic Control,2026-05-05 22:30:00
CXL000079,FLT0001569,Crew Shortage,2026-06-19 03:00:00
CXL000080,FLT0001585,Severe Weather,2026-05-24 22:15:00
CXL000081,FLT0001588,Low Booking Demand,2026-04-11 16:00:00
CXL000082,FLT0001607,Low Booking Demand,2025-10-17 13:30:00
CXL000083,FLT0001632,Air Traffic Control,2026-05-31 11:30:00
CXL000084,FLT0001693,Severe Weather,2026-06-11 02:30:00
CXL000085,FLT0001699,Mechanical Issue,2025-08-03 20:45:00
CXL000086,FLT0001706,Severe Weather,2025-10-14 12:45:00
CXL000087,FLT0001810,Low Booking Demand,2026-02-19 13:00:00
CXL000088,FLT0001832,Low Booking Demand,2026-04-27 02:15:00
CXL000089,FLT0001866,Crew Shortage,2025-10-25 18:30:00
CXL000090,FLT0001884,Severe Weather,2026-02-17 20:00:00
CXL000091,FLT0001902,Crew Shortage,2026-07-29 13:00:00
CXL000092,FLT0001908,Airport Closure,2026-01-14 16:45:00
CXL000093,FLT0002011,Air Traffic Control,2025-12-20 19:30:00
CXL000094,FLT0002056,Mechanical Issue,2025-10-02 12:45:00
CXL000095,FLT0002072,Crew Shortage,2026-07-09 02:15:00
CXL000096,FLT0002075,Air Traffic Control,2025-08-31 20:00:00
CXL000097,FLT0002123,Low Booking Demand,2026-01-25 09:30:00
CXL000098,FLT0002130,Air Traffic Control,2025-08-29 00:00:00
CXL000099,FLT0002133,Severe Weather,2026-03-14 16:45:00
CXL000100,FLT0002186,Crew Shortage,2025-09-28 13:00:00
CXL000101,FLT0002208,Severe Weather,2025-10-01 02:00:00
CXL000102,FLT0002241,Crew Shortage,2025-11-19 18:15:00
CXL000103,FLT0002254,Airport Closure,2026-02-21 10:45:00
CXL000104,FLT0002281,Severe Weather,2026-03-25 06:00:00
CXL000105,FLT0002305,Low Booking Demand,2026-04-13 12:45:00
CXL000106,FLT0002313,Mechanical Issue,2025-08-16 00:15:00
CXL000107,FLT0002314,Low Booking Demand,2026-07-07 05:45:00
CXL000108,FLT0002358,Mechanical Issue,2026-03-14 08:15:00
CXL000109,FLT0002368,Airport Closure,2026-03-03 03:00:00
CXL000110,FLT0002371,Severe Weather,2026-04-22 08:15:00
CXL000111,FLT0002402,Crew Shortage,2026-06-07 13:30:00
CXL000112,FLT0002445,Air Traffic Control,2026-05-22 03:45:00
CXL000113,FLT0002464,Air Traffic Control,2026-04-13 08:30:00
CXL000114,FLT0002467,Severe Weather,2026-01-01 18:45:00
CXL000115,FLT0002508,Mechanical Issue,2025-10-28 04:00:00
CXL000116,FLT0002572,Severe Weather,2025-11-08 22:30:00
CXL000117,FLT0002579,Low Booking Demand,2026-01-25 08:00:00
CXL000118,FLT0002622,Crew Shortage,2026-02-06 12:15:00
CXL000119,FLT0002624,Low Booking Demand,2025-11-18 22:00:00
CXL000120,FLT0002635,Low Booking Demand,2025-08-04 19:00:00
CXL000121,FLT0002638,Mechanical Issue,2026-03-15 09:15:00
CXL000122,FLT0002662,Airport Closure,2026-05-18 05:30:00
CXL000123,FLT0002666,Airport Closure,2025-11-10 10:45:00
CXL000124,FLT0002688,Crew Shortage,2025-12-02 06:00:00
CXL000125,FLT0002689,Severe Weather,2025-08-11 09:30:00
CXL000126,FLT0002702,Air Traffic Control,2026-07-23 15:00:00
CXL000127,FLT0002713,Air Traffic Control,2025-08-18 06:15:00
CXL000128,FLT0002742,Low Booking Demand,2026-04-04 17:00:00
CXL000129,FLT0002832,Severe Weather,2026-03-19 06:00:00
CXL000130,FLT0002872,Crew Shortage,2026-02-11 15:45:00
CXL000131,FLT0002880,Mechanical Issue,2026-04-14 17:15:00
CXL000132,FLT0002886,Air Traffic Control,2026-06-29 01:00:00
CXL000133,FLT0002931,Crew Shortage,2025-09-12 16:30:00
CXL000134,FLT0002942,Low Booking Demand,2025-12-17 15:30:00
CXL000135,FLT0002948,Air Traffic Control,2025-12-20 02:30:00
CXL000136,FLT0002972,Mechanical Issue,2025-08-29 08:30:00
CXL000137,FLT0002999,Crew Shortage,2026-03-15 05:15:00
CXL000138,FLT0003042,Severe Weather,2026-07-17 20:30:00
CXL000139,FLT0003043,Severe Weather,2026-03-17 17:15:00
CXL000140,FLT0003045,Severe Weather,2026-01-13 22:30:00
CXL000141,FLT0003051,Air Traffic Control,2026-05-06 13:30:00
CXL000142,FLT0003065,Air Traffic Control,2025-09-06 17:00:00
CXL000143,FLT0003067,Crew Shortage,2026-04-04 20:30:00
CXL000144,FLT0003082,Air Traffic Control,2025-09-16 10:45:00
CXL000145,FLT0003112,Mechanical Issue,2025-12-15 02:45:00
CXL000146,FLT0003116,Low Booking Demand,2026-02-17 13:15:00
CXL000147,FLT0003120,Severe Weather,2025-11-05 11:00:00
CXL000148,FLT0003128,Low Booking Demand,2025-10-04 01:15:00
CXL000149,FLT0003131,Mechanical Issue,2025-11-13 14:30:00
CXL000150,FLT0003166,Low Booking Demand,2026-06-21 11:30:00
CXL000151,FLT0003178,Airport Closure,2026-05-09 08:45:00
CXL000152,FLT0003180,Severe Weather,2026-05-30 19:00:00
CXL000153,FLT0003183,Severe Weather,2026-03-09 09:45:00
CXL000154,FLT0003187,Airport Closure,2025-12-03 08:15:00
CXL000155,FLT0003195,Severe Weather,2025-08-26 15:15:00
CXL000156,FLT0003213,Airport Closure,2026-02-21 11:30:00
CXL000157,FLT0003218,Severe Weather,2025-08-11 23:00:00
CXL000158,FLT0003240,Mechanical Issue,2025-08-20 20:00:00
CXL000159,FLT0003243,Mechanical Issue,2025-10-23 13:00:00
CXL000160,FLT0003280,Low Booking Demand,2026-02-23 07:45:00
CXL000161,FLT0003305,Severe Weather,2026-01-05 09:00:00
CXL000162,FLT0003324,Mechanical Issue,2026-07-12 17:30:00
CXL000163,FLT0003342,Air Traffic Control,2026-02-15 13:45:00
CXL000164,FLT0003361,Low Booking Demand,2025-08-15 11:30:00
CXL000165,FLT0003377,Severe Weather,2025-12-18 04:45:00
CXL000166,FLT0003394,Low Booking Demand,2025-10-19 12:30:00
CXL000167,FLT0003395,Airport Closure,2025-11-17 03:30:00
CXL000168,FLT0003427,Mechanical Issue,2026-07-02 10:30:00
CXL000169,FLT0003470,Crew Shortage,2026-05-27 17:15:00
CXL000170,FLT0003496,Severe Weather,2025-09-15 09:30:00
CXL000171,FLT0003512,Severe Weather,2025-10-19 04:30:00
CXL000172,FLT0003528,Low Booking Demand,2025-09-05 23:15:00
CXL000173,FLT0003563,Airport Closure,2025-11-11 09:15:00
CXL000174,FLT0003567,Severe Weather,2026-01-29 14:30:00
CXL000175,FLT0003569,Airport Closure,2026-03-25 23:00:00
CXL000176,FLT0003576,Low Booking Demand,2025-08-11 12:30:00
CXL000177,FLT0003602,Airport Closure,2025-12-04 10:45:00
CXL000178,FLT0003625,Mechanical Issue,2026-01-23 10:15:00
CXL000179,FLT0003632,Mechanical Issue,2025-08-09 10:00:00
CXL000180,FLT0003652,Airport Closure,2025-11-13 23:15:00
CXL000181,FLT0003665,Crew Shortage,2026-07-28 19:00:00
CXL000182,FLT0003673,Airport Closure,2026-03-28 19:15:00
CXL000183,FLT0003683,Severe Weather,2026-01-22 08:30:00
CXL000184,FLT0003705,Low Booking Demand,2026-04-15 16:00:00
CXL000185,FLT0003725,Low Booking Demand,2026-01-06 15:00:00
CXL000186,FLT0003745,Mechanical Issue,2025-12-04 18:45:00
CXL000187,FLT0003769,Severe Weather,2026-02-01 15:15:00
CXL000188,FLT0003795,Crew Shortage,2025-11-23 08:00:00
CXL000189,FLT0003798,Crew Shortage,2026-04-10 06:30:00
CXL000190,FLT0003838,Low Booking Demand,2025-11-13 12:15:00
CXL000191,FLT0003857,Low Booking Demand,2026-06-20 04:45:00
CXL000192,FLT0003864,Severe Weather,2026-02-02 19:45:00
CXL000193,FLT0003869,Mechanical Issue,2026-07-08 19:15:00
CXL000194,FLT0003875,Crew Shortage,2026-06-30 18:15:00
CXL000195,FLT0003935,Crew Shortage,2026-03-10 21:00:00
CXL000196,FLT0003949,Crew Shortage,2025-12-20 22:00:00
CXL000197,FLT0003963,Crew Shortage,2026-02-21 12:15:00
CXL000198,FLT0003980,Airport Closure,2025-08-29 15:45:00
CXL000199,FLT0004008,Airport Closure,2025-10-16 13:15:00
CXL000200,FLT0004014,Severe Weather,2025-09-26 02:00:00
CXL000201,FLT0004052,Crew Shortage,2026-06-13 16:45:00
CXL000202,FLT0004060,Air Traffic Control,2025-10-06 19:00:00
CXL000203,FLT0004062,Mechanical Issue,2026-03-24 00:45:00
CXL000204,FLT0004078,Air Traffic Control,2025-12-06 02:45:00
CXL000205,FLT0004120,Air Traffic Control,2025-08-05 13:45:00
CXL000206,FLT0004124,Mechanical Issue,2026-04-24 00:45:00
CXL000207,FLT0004136,Severe Weather,2026-06-10 14:30:00
CXL000208,FLT0004166,Airport Closure,2026-04-20 03:00:00
CXL000209,FLT0004172,Severe Weather,2026-06-16 18:15:00
CXL000210,FLT0004191,Mechanical Issue,2025-12-18 03:00:00
CXL000211,FLT0004199,Air Traffic Control,2026-04-21 17:45:00
CXL000212,FLT0004207,Low Booking Demand,2025-08-28 13:15:00
CXL000213,FLT0004262,Mechanical Issue,2026-05-01 17:30:00
CXL000214,FLT0004282,Air Traffic Control,2026-04-30 05:00:00
CXL000215,FLT0004294,Mechanical Issue,2025-08-20 20:45:00
CXL000216,FLT0004300,Airport Closure,2026-03-22 09:15:00
CXL000217,FLT0004309,Low Booking Demand,2026-04-24 23:15:00
CXL000218,FLT0004310,Airport Closure,2025-09-20 11:15:00
CXL000219,FLT0004314,Air Traffic Control,2026-01-17 01:30:00
CXL000220,FLT0004322,Mechanical Issue,2025-11-04 01:45:00
CXL000221,FLT0004346,Severe Weather,2026-05-26 06:00:00
CXL000222,FLT0004351,Crew Shortage,2026-06-22 14:30:00
CXL000223,FLT0004391,Air Traffic Control,2025-12-23 04:00:00
CXL000224,FLT0004444,Mechanical Issue,2026-01-27 17:00:00
CXL000225,FLT0004454,Severe Weather,2026-01-25 05:45:00
CXL000226,FLT0004461,Air Traffic Control,2026-06-03 21:30:00
CXL000227,FLT0004489,Air Traffic Control,2026-06-12 23:45:00
CXL000228,FLT0004503,Crew Shortage,2025-11-02 10:00:00
CXL000229,FLT0004547,Airport Closure,2025-12-29 21:15:00
CXL000230,FLT0004552,Severe Weather,2025-11-17 00:30:00
CXL000231,FLT0004558,Low Booking Demand,2025-12-26 12:00:00
CXL000232,FLT0004591,Airport Closure,2025-10-23 02:00:00
CXL000233,FLT0004599,Airport Closure,2026-05-23 19:15:00
CXL000234,FLT0004605,Airport Closure,2026-06-19 14:15:00
CXL000235,FLT0004623,Severe Weather,2026-01-27 12:15:00
CXL000236,FLT0004631,Severe Weather,2025-10-10 13:45:00
CXL000237,FLT0004678,Severe Weather,2026-03-03 22:00:00
CXL000238,FLT0004704,Airport Closure,2025-08-26 13:00:00
CXL000239,FLT0004745,Mechanical Issue,2026-07-13 05:15:00
CXL000240,FLT0004749,Crew Shortage,2025-12-15 12:00:00
CXL000241,FLT0004788,Mechanical Issue,2026-02-24 20:45:00
CXL000242,FLT0004869,Airport Closure,2026-06-06 15:30:00
CXL000243,FLT0004910,Airport Closure,2025-08-06 07:15:00
CXL000244,FLT0004913,Low Booking Demand,2026-04-15 07:15:00
CXL000245,FLT0004979,Airport Closure,2025-12-25 05:00:00
CXL000246,FLT0005049,Airport Closure,2025-08-02 12:15:00
CXL000247,FLT0005050,Airport Closure,2026-07-21 05:30:00
CXL000248,FLT0005058,Air Traffic Control,2025-12-14 06:15:00
CXL000249,FLT0005063,Low Booking Demand,2025-11-13 18:30:00
CXL000250,FLT0005064,Mechanical Issue,2026-01-24 03:00:00
CXL000251,FLT0005080,Low Booking Demand,2025-12-09 10:15:00
CXL000252,FLT0005114,Air Traffic Control,2026-03-24 05:00:00
CXL000253,FLT0005127,Air Traffic Control,2026-03-15 19:45:00
CXL000254,FLT0005137,Low Booking Demand,2026-06-12 01:00:00
CXL000255,FLT0005147,Mechanical Issue,2026-02-20 13:45:00
CXL000256,FLT0005172,Severe Weather,2026-06-10 11:15:00
CXL000257,FLT0005177,Mechanical Issue,2026-03-06 09:30:00
CXL000258,FLT0005209,Low Booking Demand,2026-03-14 01:15:00
CXL000259,FLT0005231,Mechanical Issue,2026-02-10 09:45:00
CXL000260,FLT0005241,Low Booking Demand,2026-02-07 14:00:00
CXL000261,FLT0005242,Low Booking Demand,2026-04-17 09:00:00
CXL000262,FLT0005243,Mechanical Issue,2025-08-20 12:00:00
CXL000263,FLT0005289,Mechanical Issue,2025-11-30 20:15:00
CXL000264,FLT0005290,Mechanical Issue,2025-11-14 16:45:00
CXL000265,FLT0005293,Airport Closure,2026-03-17 03:45:00
CXL000266,FLT0005355,Severe Weather,2026-03-20 17:30:00
CXL000267,FLT0005376,Severe Weather,2026-05-11 16:45:00
CXL000268,FLT0005379,Air Traffic Control,2025-09-30 03:45:00
CXL000269,FLT0005392,Crew Shortage,2026-05-17 12:45:00
CXL000270,FLT0005401,Low Booking Demand,2026-07-19 07:15:00
CXL000271,FLT0005410,Airport Closure,2026-07-19 01:30:00
CXL000272,FLT0005415,Air Traffic Control,2026-05-28 15:15:00
CXL000273,FLT0005439,Crew Shortage,2025-11-05 22:30:00
CXL000274,FLT0005450,Mechanical Issue,2026-01-23 09:00:00
CXL000275,FLT0005457,Air Traffic Control,2025-08-19 02:15:00
CXL000276,FLT0005509,Low Booking Demand,2025-08-20 18:45:00
CXL000277,FLT0005538,Low Booking Demand,2026-07-17 21:15:00
CXL000278,FLT0005548,Low Booking Demand,2026-01-29 04:45:00
CXL000279,FLT0005567,Crew Shortage,2025-12-01 13:30:00
CXL000280,FLT0005588,Crew Shortage,2026-02-19 16:30:00
CXL000281,FLT0005589,Low Booking Demand,2025-12-29 22:15:00
CXL000282,FLT0005601,Airport Closure,2025-09-18 06:15:00
CXL000283,FLT0005606,Crew Shortage,2026-01-06 21:15:00
CXL000284,FLT0005633,Crew Shortage,2025-08-13 14:15:00
CXL000285,FLT0005643,Airport Closure,2025-09-28 03:45:00
CXL000286,FLT0005649,Airport Closure,2026-03-05 08:00:00
CXL000287,FLT0005655,Crew Shortage,2026-04-18 10:00:00
CXL000288,FLT0005693,Mechanical Issue,2026-06-14 07:00:00
CXL000289,FLT0005714,Air Traffic Control,2025-08-12 17:00:00
CXL000290,FLT0005728,Mechanical Issue,2025-12-22 04:30:00
CXL000291,FLT0005732,Air Traffic Control,2026-01-20 10:30:00
CXL000292,FLT0005739,Low Booking Demand,2025-12-01 12:30:00
CXL000293,FLT0005767,Severe Weather,2026-04-21 00:30:00
CXL000294,FLT0005782,Low Booking Demand,2025-11-11 04:30:00
CXL000295,FLT0005831,Mechanical Issue,2025-11-10 11:30:00
CXL000296,FLT0005842,Air Traffic Control,2026-01-31 07:45:00
CXL000297,FLT0005843,Crew Shortage,2025-09-17 14:30:00
CXL000298,FLT0005860,Crew Shortage,2025-09-05 08:30:00
CXL000299,FLT0005883,Crew Shortage,2025-10-29 19:00:00
CXL000300,FLT0005899,Airport Closure,2026-07-06 21:15:00
CXL000301,FLT0005906,Airport Closure,2025-10-10 04:30:00
CXL000302,FLT0005952,Crew Shortage,2025-12-14 08:45:00
CXL000303,FLT0005971,Mechanical Issue,2026-03-09 13:15:00
CXL000304,FLT0005991,Low Booking Demand,2026-06-02 17:45:00
CXL000305,FLT0005995,Mechanical Issue,2026-05-30 00:30:00
CXL000306,FLT0005996,Crew Shortage,2026-06-01 06:00:00
CXL000307,FLT0006035,Severe Weather,2025-12-26 04:30:00
CXL000308,FLT0006039,Low Booking Demand,2026-04-03 16:00:00
CXL000309,FLT0006043,Severe Weather,2026-04-06 18:00:00
CXL000310,FLT0006064,Severe Weather,2025-09-05 21:00:00
CXL000311,FLT0006110,Crew Shortage,2025-12-02 15:15:00
CXL000312,FLT0006111,Air Traffic Control,2025-08-02 18:15:00
CXL000313,FLT0006114,Air Traffic Control,2026-04-08 20:15:00
CXL000314,FLT0006157,Airport Closure,2026-07-27 20:15:00
CXL000315,FLT0006171,Airport Closure,2025-08-19 07:30:00
CXL000316,FLT0006174,Crew Shortage,2026-05-09 05:00:00
CXL000317,FLT0006225,Low Booking Demand,2026-05-14 03:30:00
CXL000318,FLT0006275,Low Booking Demand,2025-08-13 01:45:00
CXL000319,FLT0006308,Mechanical Issue,2025-10-28 07:15:00
CXL000320,FLT0006317,Airport Closure,2026-06-10 07:30:00
CXL000321,FLT0006322,Low Booking Demand,2026-07-07 12:30:00
CXL000322,FLT0006346,Air Traffic Control,2025-11-27 12:00:00
CXL000323,FLT0006399,Mechanical Issue,2026-01-07 13:30:00
CXL000324,FLT0006403,Crew Shortage,2026-07-03 23:15:00
CXL000325,FLT0006451,Severe Weather,2025-09-04 01:30:00
CXL000326,FLT0006452,Severe Weather,2026-04-05 09:15:00
CXL000327,FLT0006472,Severe Weather,2025-09-03 20:00:00
CXL000328,FLT0006508,Air Traffic Control,2025-10-21 21:15:00
CXL000329,FLT0006510,Mechanical Issue,2026-03-11 00:30:00
CXL000330,FLT0006566,Air Traffic Control,2025-12-10 13:00:00
CXL000331,FLT0006573,Airport Closure,2025-08-26 15:30:00
CXL000332,FLT0006620,Severe Weather,2026-07-08 08:00:00
CXL000333,FLT0006622,Mechanical Issue,2025-10-29 07:45:00
CXL000334,FLT0006625,Low Booking Demand,2025-11-04 03:30:00
CXL000335,FLT0006629,Crew Shortage,2026-07-29 18:30:00
CXL000336,FLT0006637,Low Booking Demand,2026-06-19 16:30:00
CXL000337,FLT0006668,Severe Weather,2026-07-21 21:30:00
CXL000338,FLT0006679,Airport Closure,2025-10-25 23:45:00
CXL000339,FLT0006691,Crew Shortage,2026-01-13 02:45:00
CXL000340,FLT0006695,Mechanical Issue,2025-10-12 17:30:00
CXL000341,FLT0006699,Mechanical Issue,2026-07-20 02:15:00
CXL000342,FLT0006718,Mechanical Issue,2026-06-26 17:45:00
CXL000343,FLT0006732,Air Traffic Control,2025-07-30 17:00:00
CXL000344,FLT0006780,Air Traffic Control,2025-09-29 03:00:00
CXL000345,FLT0006803,Low Booking Demand,2026-03-21 04:00:00
CXL000346,FLT0006811,Airport Closure,2026-04-18 19:30:00
CXL000347,FLT0006817,Severe Weather,2026-06-09 20:30:00
CXL000348,FLT0006892,Low Booking Demand,2026-05-21 21:00:00
CXL000349,FLT0006912,Mechanical Issue,2026-01-04 17:00:00
CXL000350,FLT0006914,Mechanical Issue,2025-11-08 01:00:00
CXL000351,FLT0006957,Air Traffic Control,2025-10-11 05:00:00
CXL000352,FLT0006979,Air Traffic Control,2025-08-26 22:00:00
CXL000353,FLT0006986,Severe Weather,2025-11-25 09:15:00
CXL000354,FLT0007021,Air Traffic Control,2026-04-19 02:30:00
CXL000355,FLT0007036,Air Traffic Control,2026-04-08 01:00:00
CXL000356,FLT0007039,Low Booking Demand,2025-11-30 20:15:00
CXL000357,FLT0007071,Low Booking Demand,2026-03-24 23:00:00
CXL000358,FLT0007075,Low Booking Demand,2026-07-02 00:00:00
CXL000359,FLT0007109,Severe Weather,2025-12-27 09:45:00
CXL000360,FLT0007131,Airport Closure,2026-02-09 20:00:00
CXL000361,FLT0007164,Mechanical Issue,2025-10-03 19:00:00
CXL000362,FLT0007188,Severe Weather,2025-11-10 08:00:00
CXL000363,FLT0007309,Crew Shortage,2025-10-14 05:45:00
CXL000364,FLT0007314,Crew Shortage,2026-07-28 02:15:00
CXL000365,FLT0007317,Mechanical Issue,2025-12-07 16:30:00
CXL000366,FLT0007329,Low Booking Demand,2025-11-12 14:30:00
CXL000367,FLT0007346,Low Booking Demand,2026-03-04 13:00:00
CXL000368,FLT0007356,Airport Closure,2026-07-19 20:45:00
CXL000369,FLT0007375,Low Booking Demand,2026-01-04 01:00:00
CXL000370,FLT0007386,Low Booking Demand,2026-03-27 07:45:00
CXL000371,FLT0007395,Air Traffic Control,2026-03-24 15:00:00
CXL000372,FLT0007400,Mechanical Issue,2026-04-22 04:45:00
CXL000373,FLT0007402,Air Traffic Control,2025-10-10 11:00:00
CXL000374,FLT0007432,Mechanical Issue,2025-11-23 20:45:00
CXL000375,FLT0007437,Low Booking Demand,2026-01-29 04:15:00
CXL000376,FLT0007494,Crew Shortage,2025-11-06 07:15:00
CXL000377,FLT0007525,Low Booking Demand,2025-08-28 16:00:00
CXL000378,FLT0007545,Low Booking Demand,2026-07-07 00:15:00
CXL000379,FLT0007602,Air Traffic Control,2026-07-25 15:15:00
CXL000380,FLT0007621,Airport Closure,2025-08-05 18:30:00
CXL000381,FLT0007622,Airport Closure,2025-08-14 20:45:00
CXL000382,FLT0007646,Mechanical Issue,2026-07-31 17:45:00
CXL000383,FLT0007649,Crew Shortage,2025-10-11 04:45:00
CXL000384,FLT0007650,Low Booking Demand,2026-01-08 22:45:00
CXL000385,FLT0007677,Severe Weather,2025-11-25 21:00:00
CXL000386,FLT0007740,Airport Closure,2026-01-04 10:00:00
CXL000387,FLT0007743,Air Traffic Control,2026-02-17 17:45:00
CXL000388,FLT0007744,Severe Weather,2025-11-13 18:15:00
CXL000389,FLT0007777,Air Traffic Control,2026-03-15 21:45:00
CXL000390,FLT0007808,Low Booking Demand,2026-04-22 16:45:00
CXL000391,FLT0007830,Air Traffic Control,2026-02-12 10:45:00
CXL000392,FLT0007836,Mechanical Issue,2026-01-12 07:00:00
CXL000393,FLT0007876,Low Booking Demand,2025-12-24 06:45:00
CXL000394,FLT0007887,Low Booking Demand,2026-07-20 21:00:00
CXL000395,FLT0007905,Airport Closure,2026-01-25 18:45:00
CXL000396,FLT0007953,Low Booking Demand,2026-06-16 20:00:00
CXL000397,FLT0007970,Mechanical Issue,2026-04-16 18:30:00
CXL000398,FLT0007974,Mechanical Issue,2025-12-22 18:15:00
CXL000399,FLT0007980,Crew Shortage,2025-09-13 00:45:00
CXL000400,FLT0007982,Airport Closure,2025-11-19 12:45:00
CXL000401,FLT0007996,Airport Closure,2025-10-24 21:00:00
CXL000402,FLT0008001,Mechanical Issue,2026-04-11 21:45:00
CXL000403,FLT0008005,Mechanical Issue,2026-04-21 02:00:00
CXL000404,FLT0008027,Airport Closure,2026-06-08 20:15:00
CXL000405,FLT0008035,Low Booking Demand,2026-03-27 06:45:00
CXL000406,FLT0008056,Crew Shortage,2025-08-02 19:15:00
CXL000407,FLT0008060,Air Traffic Control,2026-08-01 21:30:00
