baggage_id,ticket_id,passenger_id,weight_kg,baggage_type,status
BAG00000042,TKT00000033,PAX00000033,15.6,Oversized,Loaded
BAG00000043,TKT00000034,PAX00000034,20.9,Checked,Loaded
BAG00000044,TKT00000035,PAX00000035,15.8,Checked,Loaded
BAG00000045,TKT00000035,PAX00000035,,Checked,Loaded
BAG00000046,TKT00000036,PAX00000036,10.4,Checked,Loaded
BAG00000047,TKT00000037,PAX00000037,17.9,Checked,Loaded
BAG00000048,TKT00000038,PAX00000038,21.1,Checked,Loaded
BAG00000049,TKT00000038,PAX00000038,22.4,Carry-on,Loaded
BAG00000050,TKT00000039,PAX00000039,16.3,Oversized,Loaded
BAG00000051,TKT00000039,PAX00000039,18.7,Carry-on,Loaded
BAG00000052,TKT00000040,PAX00000040,22.5,Checked,Loaded
BAG00000053,TKT00000041,PAX00000041,13.9,Checked,Loaded
BAG00000054,TKT00000041,PAX00000041,21.1,Oversized,Loaded
BAG00000055,TKT00000042,PAX00000042,7.1,Checked,Loaded
BAG00000056,TKT00000043,PAX00000043,12.7,Checked,Loaded
BAG00000057,TKT00000043,PAX00000043,15.8,Carry-on,Delayed
BAG00000058,TKT00000044,PAX00000044,16.5,Carry-on,Loaded
BAG00000059,TKT00000044,PAX00000044,20.1,Checked,Loaded
BAG00000060,TKT00000045,PAX00000045,19.1,Oversized,Delayed
BAG00000061,TKT00000046,PAX00000046,15.6,Oversized,Delayed
BAG00000062,TKT00000047,PAX00000047,13.8,Checked,Loaded
BAG00000063,TKT00000047,PAX00000047,20.2,Checked,Loaded
BAG00000064,TKT00000048,PAX00000048,18.7,Checked,Lost
BAG00000065,TKT00000049,PAX00000049,29.4,Carry-on,Loaded
BAG00000066,TKT00000049,PAX00000049,17.8,Carry-on,Loaded
BAG00000067,TKT00000050,PAX00000050,20.3,Checked,Loaded
BAG00000068,TKT00000050,PAX00000050,15.0,Checked,Loaded
BAG00000069,TKT00000051,PAX00000051,23.5,Checked,Loaded
BAG00000070,TKT00000052,PAX00000052,24.0,Checked,Loaded
BAG00000071,TKT00000054,PAX00000054,18.7,Oversized,Loaded
BAG00000072,TKT00000058,PAX00000058,26.2,Checked,Loaded
BAG00000073,TKT00000060,PAX00000060,17.7,Oversized,Loaded
BAG00000074,TKT00000060,PAX00000060,17.2,Checked,Loaded
BAG00000075,TKT00000061,PAX00000061,7.1,Checked,Loaded
BAG00000076,TKT00000062,PAX00000062,19.1,Carry-on,Loaded
BAG00000077,TKT00000063,PAX00000063,5.9,Carry-on,Loaded
BAG00000078,TKT00000064,PAX00000064,16.2,Carry-on,Delayed
BAG00000079,TKT00000065,PAX00000065,18.2,Checked,Loaded
BAG00000080,TKT00000065,PAX00000065,24.8,Carry-on,Loaded
BAG00000081,TKT00000066,PAX00000066,19.5,Oversized,Loaded
BAG00000082,TKT00000066,PAX00000066,21.2,Carry-on,Loaded
BAG00000083,TKT00000067,PAX00000067,20.8,Checked,Loaded
BAG00000084,TKT00000067,PAX00000067,19.6,Oversized,Loaded
BAG00000085,TKT00000067,PAX00000067,27.4,Carry-on,Delayed
BAG00000086,TKT00000069,PAX00000069,17.8,Checked,Loaded
BAG00000087,TKT00000069,PAX00000069,17.3,Oversized,Delayed
BAG00000088,TKT00000069,PAX00000069,13.6,Checked,Loaded
BAG00000089,TKT00000070,PAX00000070,24.4,Checked,Loaded
BAG00000090,TKT00000071,PAX00000071,13.7,Carry-on,Loaded
BAG00000091,TKT00000072,PAX00000072,,Oversized,Loaded
BAG00000092,TKT00000073,PAX00000073,,Carry-on,Loaded
BAG00000093,TKT00000073,PAX00000073,9.7,Checked,Loaded
BAG00000094,TKT00000073,PAX00000073,18.8,Checked,Loaded
BAG00000095,TKT00000074,PAX00000074,19.1,Carry-on,Loaded
BAG00000096,TKT00000074,PAX00000074,9.7,Carry-on,Loaded
BAG00000097,TKT00000075,PAX00000075,26.8,Carry-on,Delayed
BAG00000098,TKT00000076,PAX00000076,19.0,Checked,Loaded
BAG00000099,TKT00000076,PAX00000076,25.8,Oversized,Loaded
BAG00000100,TKT00000077,PAX00000077,,Checked,Loaded
BAG00000101,TKT00000078,PAX00000078,21.7,Carry-on,Delayed
BAG00000102,TKT00000080,PAX00000080,20.9,Carry-on,Loaded
BAG00000103,TKT00000080,PAX00000080,12.3,Carry-on,Loaded
BAG00000104,TKT00000080,PAX00000080,15.2,Oversized,Loaded
BAG00000105,TKT00000081,PAX00000081,11.5,Carry-on,Delayed
BAG00000106,TKT00000083,PAX00000083,18.7,Checked,Loaded
BAG00000107,TKT00000083,PAX00000083,16.5,Checked,Loaded
BAG00000108,TKT00000085,PAX00000085,18.6,Oversized,Loaded
BAG00000109,TKT00000086,PAX00000086,16.5,Checked,Loaded
BAG00000110,TKT00000088,PAX00000088,10.5,Checked,Loaded
BAG00000111,TKT00000088,PAX00000088,17.6,Oversized,Loaded
BAG00000112,TKT00000089,PAX00000089,,Oversized,Loaded
BAG00000113,TKT00000091,PAX00000091,21.4,Checked,Loaded
BAG00000114,TKT00000092,PAX00000092,19.5,Checked,Loaded
BAG00000115,TKT00000092,PAX00000092,21.3,Checked,Loaded
BAG00000116,TKT00000093,PAX00000093,18.2,Carry-on,Loaded
BAG00000117,TKT00000094,PAX00000094,23.2,Checked,Loaded
BAG00000118,TKT00000094,PAX00000094,17.4,Checked,Loaded
BAG00000119,TKT00000095,PAX00000095,17.9,Oversized,Loaded
BAG00000120,TKT00000095,PAX00000095,22.0,Carry-on,Loaded
BAG00000121,TKT00000096,PAX00000096,23.8,Checked,Loaded
BAG00000122,TKT00000097,PAX00000097,20.6,Checked,Loaded
BAG00000123,TKT00000097,PAX00000097,17.0,Checked,Loaded
BAG00000124,TKT00000098,PAX00000098,24.5,Checked,Loaded
BAG00000125,TKT00000099,PAX00000099,24.0,Checked,Loaded
BAG00000126,TKT00000099,PAX00000099,23.8,Checked,Loaded
BAG00000127,TKT00000100,PAX00000100,19.0,Carry-on,Loaded
BAG00000128,TKT00000102,PAX00000102,16.5,Checked,Loaded
BAG00000129,TKT00000102,PAX00000102,18.2,Oversized,Damaged
BAG00000130,TKT00000102,PAX00000102,23.4,Carry-on,Loaded
BAG00000131,TKT00000103,PAX00000103,15.4,Checked,Loaded
BAG00000132,TKT00000103,PAX00000103,17.5,Carry-on,Loaded
BAG00000133,TKT00000103,PAX00000103,18.9,Checked,Loaded
BAG00000134,TKT00000104,PAX00000104,20.2,Checked,Loaded
BAG00000135,TKT00000104,PAX00000104,15.3,Carry-on,Loaded
BAG00000136,TKT00000105,PAX00000105,,Oversized,Loaded
BAG00000137,TKT00000105,PAX00000105,22.4,Checked,Loaded
BAG00000138,TKT00000106,PAX00000106,27.9,Checked,Loaded
BAG00000139,TKT00000108,PAX00000108,19.2,Oversized,Loaded
BAG00000140,TKT00000108,PAX00000108,18.1,Checked,Loaded
BAG00000141,TKT00000110,PAX00000110,20.3,Checked,Loaded
BAG00000142,TKT00000111,PAX00000111,13.6,Checked,Loaded
BAG00000143,TKT00000111,PAX00000111,10.4,Oversized,Loaded
BAG00000144,TKT00000112,PAX00000112,15.7,Checked,Loaded
BAG00000145,TKT00000112,PAX00000112,18.3,Checked,Loaded
BAG00000146,TKT00000113,PAX00000113,15.4,Checked,Loaded
BAG00000147,TKT00000116,PAX00000116,17.7,Checked,Loaded
BAG00000148,TKT00000117,PAX00000117,11.7,Carry-on,Loaded
BAG00000149,TKT00000118,PAX00000118,11.0,Checked,Loaded
BAG00000150,TKT00000119,PAX00000119,16.3,Carry-on,Loaded
BAG00000151,TKT00000120,PAX00000120,19.6,Checked,Loaded
BAG00000152,TKT00000121,PAX00000121,18.4,Oversized,Delayed
BAG00000153,TKT00000122,PAX00000122,18.8,Checked,Loaded
BAG00000154,TKT00000122,PAX00000122,17.7,Checked,Loaded
BAG00000155,TKT00000123,PAX00000123,18.0,Oversized,Delayed
BAG00000156,TKT00000124,PAX00000124,19.3,Carry-on,Loaded
BAG00000157,TKT00000124,PAX00000124,17.0,Oversized,Loaded
BAG00000158,TKT00000124,PAX00000124,21.7,Carry-on,Loaded
BAG00000159,TKT00000125,PAX00000125,16.8,Checked,Loaded
BAG00000160,TKT00000126,PAX00000126,15.8,Carry-on,Loaded
BAG00000161,TKT00000127,PAX00000127,17.8,Carry-on,Loaded
BAG00000162,TKT00000127,PAX00000127,21.0,Checked,Loaded
BAG00000163,TKT00000128,PAX00000128,22.2,Checked,Loaded
BAG00000164,TKT00000128,PAX00000128,26.3,Checked,Loaded
BAG00000165,TKT00000130,PAX00000130,16.4,Carry-on,Loaded
BAG00000166,TKT00000131,PAX00000131,18.4,Carry-on,Loaded
BAG00000167,TKT00000131,PAX00000131,16.5,Oversized,Loaded
BAG00000168,TKT00000131,PAX00000131,22.0,Checked,Loaded
BAG00000169,TKT00000133,PAX00000133,18.7,Checked,Loaded
BAG00000170,TKT00000133,PAX00000133,17.3,Checked,Loaded
BAG00000171,TKT00000134,PAX00000134,21.6,Carry-on,Loaded
BAG00000172,TKT00000135,PAX00000135,8.0,Checked,Loaded
BAG00000173,TKT00000136,PAX00000136,22.0,Oversized,Loaded
BAG00000174,TKT00000137,PAX00000137,16.4,Carry-on,Delayed
BAG00000175,TKT00000138,PAX00000138,23.4,Checked,Loaded
BAG00000176,TKT00000138,PAX00000138,20.7,Checked,Loaded
BAG00000177,TKT00000138,PAX00000138,22.4,Oversized,Loaded
BAG00000178,TKT00000140,PAX00000140,20.2,Oversized,Loaded
BAG00000179,TKT00000141,PAX00000141,13.7,Checked,Delayed
BAG00000180,TKT00000141,PAX00000141,7.9,Oversized,Loaded
BAG00000181,TKT00000142,PAX00000142,13.3,Checked,Loaded
BAG00000182,TKT00000143,PAX00000143,27.5,Checked,Loaded
BAG00000183,TKT00000143,PAX00000143,20.6,Oversized,Loaded
BAG00000184,TKT00000144,PAX00000144,13.1,Checked,Loaded
BAG00000185,TKT00000144,PAX00000144,21.7,Oversized,Loaded
BAG00000186,TKT00000145,PAX00000145,,Oversized,Loaded
BAG00000187,TKT00000145,PAX00000145,17.4,Carry-on,Loaded
BAG00000188,TKT00000145,PAX00000145,14.1,Carry-on,Loaded
BAG00000189,TKT00000147,PAX00000147,21.2,Checked,Loaded
BAG00000190,TKT00000147,PAX00000147,23.9,Oversized,Loaded
BAG00000191,TKT00000148,PAX00000148,22.8,Carry-on,Loaded
BAG00000192,TKT00000149,PAX00000149,16.5,Checked,Loaded
BAG00000193,TKT00000150,PAX00000150,19.3,Checked,Loaded
BAG00000194,TKT00000150,PAX00000150,20.3,Carry-on,Loaded
BAG00000195,TKT00000151,PAX00000151,23.1,Checked,Loaded
BAG00000196,TKT00000151,PAX00000151,17.5,Checked,Loaded
BAG00000197,TKT00000152,PAX00000152,11.2,Oversized,Loaded
BAG00000198,TKT00000152,PAX00000152,14.9,Checked,Loaded
BAG00000199,TKT00000154,PAX00000154,20.5,Checked,Loaded
BAG00000200,TKT00000154,PAX00000154,21.6,Oversized,Loaded
BAG00000201,TKT00000154,PAX00000154,13.5,Checked,Loaded
BAG00000202,TKT00000155,PAX00000155,24.4,Carry-on,Loaded
BAG00000203,TKT00000155,PAX00000155,26.2,Oversized,Loaded
BAG00000204,TKT00000155,PAX00000155,,Carry-on,Loaded
BAG00000205,TKT00000156,PAX00000156,23.2,Checked,Loaded
BAG00000206,TKT00000157,PAX00000157,11.2,Checked,Loaded
BAG00000207,TKT00000158,PAX00000158,22.2,Oversized,Loaded
BAG00000208,TKT00000158,PAX00000158,17.7,Oversized,Loaded
BAG00000209,TKT00000158,PAX00000158,16.2,Checked,Loaded
BAG00000210,TKT00000159,PAX00000159,11.0,Checked,Loaded
BAG00000211,TKT00000164,PAX00000164,11.7,Checked,Loaded
BAG00000212,TKT00000165,PAX00000165,16.4,Oversized,Loaded
BAG00000213,TKT00000166,PAX00000166,22.5,Carry-on,Loaded
BAG00000214,TKT00000166,PAX00000166,18.9,Oversized,Loaded
BAG00000215,TKT00000167,PAX00000167,16.9,Checked,Loaded
BAG00000216,TKT00000168,PAX00000168,24.6,Oversized,Loaded
BAG00000217,TKT00000168,PAX00000168,18.6,Checked,Loaded
BAG00000218,TKT00000170,PAX00000170,15.5,Checked,Delayed
BAG00000219,TKT00000175,PAX00000175,17.4,Oversized,Loaded
BAG00000220,TKT00000175,PAX00000175,11.0,Oversized,Delayed
BAG00000221,TKT00000176,PAX00000176,18.0,Carry-on,Loaded
BAG00000222,TKT00000176,PAX00000176,11.1,Oversized,Delayed
BAG00000223,TKT00000177,PAX00000177,24.7,Checked,Loaded
BAG00000224,TKT00000178,PAX00000178,13.9,Checked,Loaded
BAG00000225,TKT00000179,PAX00000179,15.9,Checked,Loaded
BAG00000226,TKT00000180,PAX00000180,15.8,Checked,Loaded
BAG00000227,TKT00000181,PAX00000181,22.0,Carry-on,Loaded
BAG00000228,TKT00000182,PAX00000182,22.2,Carry-on,Delayed
BAG00000229,TKT00000184,PAX00000184,16.9,Carry-on,Loaded
BAG00000230,TKT00000184,PAX00000184,12.1,Checked,Loaded
BAG00000231,TKT00000186,PAX00000186,24.0,Checked,Loaded
BAG00000232,TKT00000186,PAX00000186,15.1,Checked,Loaded
BAG00000233,TKT00000190,PAX00000190,13.2,Checked,Loaded
BAG00000234,TKT00000191,PAX00000191,18.0,Carry-on,Delayed
BAG00000235,TKT00000191,PAX00000191,12.2,Carry-on,Delayed
BAG00000236,TKT00000194,PAX00000194,21.3,Checked,Loaded
BAG00000237,TKT00000194,PAX00000194,9.5,Checked,Loaded
BAG00000238,TKT00000195,PAX00000195,9.6,Carry-on,Loaded
BAG00000239,TKT00000196,PAX00000196,21.7,Checked,Loaded
BAG00000240,TKT00000196,PAX00000196,23.6,Checked,Loaded
BAG00000241,TKT00000197,PAX00000197,15.7,Oversized,Loaded
BAG00000242,TKT00000198,PAX00000198,23.5,Oversized,Loaded
BAG00000243,TKT00000198,PAX00000198,22.4,Checked,Loaded
BAG00000244,TKT00000199,PAX00000199,22.3,Checked,Loaded
BAG00000245,TKT00000200,PAX00000200,26.7,Checked,Loaded
BAG00000246,TKT00000200,PAX00000200,24.1,Oversized,Delayed
BAG00000247,TKT00000201,PAX00000201,10.9,Checked,Delayed
BAG00000248,TKT00000201,PAX00000201,15.0,Checked,Loaded
BAG00000249,TKT00000202,PAX00000202,9.3,Oversized,Loaded
BAG00000250,TKT00000202,PAX00000202,19.2,Oversized,Loaded
BAG00000251,TKT00000203,PAX00000203,24.0,Checked,Loaded
BAG00000252,TKT00000203,PAX00000203,13.6,Checked,Loaded
BAG00000253,TKT00000204,PAX00000204,17.4,Checked,Loaded
BAG00000254,TKT00000204,PAX00000204,16.8,Carry-on,Loaded
BAG00000255,TKT00000205,PAX00000205,10.0,Checked,Loaded
BAG00000256,TKT00000206,PAX00000206,7.5,Carry-on,Loaded
BAG00000257,TKT00000206,PAX00000206,25.4,Checked,Loaded
BAG00000258,TKT00000207,PAX00000207,18.7,Checked,Loaded
BAG00000259,TKT00000208,PAX00000208,22.3,Carry-on,Lost
BAG00000260,TKT00000209,PAX00000209,12.0,Carry-on,Loaded
BAG00000261,TKT00000210,PAX00000210,22.5,Oversized,Loaded
BAG00000262,TKT00000210,PAX00000210,18.0,Checked,Loaded
BAG00000263,TKT00000211,PAX00000211,13.0,Oversized,Loaded
BAG00000264,TKT00000212,PAX00000212,26.8,Checked,Loaded
BAG00000265,TKT00000213,PAX00000213,10.9,Checked,Loaded
BAG00000266,TKT00000213,PAX00000213,14.6,Carry-on,Loaded
BAG00000267,TKT00000213,PAX00000213,12.7,Carry-on,Loaded
BAG00000268,TKT00000214,PAX00000214,20.8,Carry-on,Loaded
BAG00000269,TKT00000215,PAX00000215,16.3,Oversized,Delayed
BAG00000270,TKT00000215,PAX00000215,17.6,Checked,Loaded
BAG00000271,TKT00000216,PAX00000216,24.1,Oversized,Loaded
BAG00000272,TKT00000218,PAX00000218,18.5,Carry-on,Loaded
BAG00000273,TKT00000219,PAX00000219,19.8,Checked,Loaded
BAG00000274,TKT00000220,PAX00000220,19.1,Checked,Delayed
BAG00000275,TKT00000222,PAX00000222,17.0,Checked,Loaded
BAG00000276,TKT00000222,PAX00000222,22.8,Oversized,Loaded
BAG00000277,TKT00000223,PAX00000223,21.2,Checked,Lost
BAG00000278,TKT00000224,PAX00000224,24.0,Checked,Loaded
BAG00000279,TKT00000225,PAX00000225,14.8,Oversized,Loaded
BAG00000280,TKT00000225,PAX00000225,18.8,Oversized,Loaded
BAG00000281,TKT00000226,PAX00000226,15.4,Oversized,Loaded
BAG00000282,TKT00000227,PAX00000227,9.4,Oversized,Loaded
BAG00000283,TKT00000228,PAX00000228,26.5,Oversized,Loaded
BAG00000284,TKT00000228,PAX00000228,,Checked,Loaded
BAG00000285,TKT00000228,PAX00000228,20.1,Checked,Loaded
BAG00000286,TKT00000229,PAX00000229,11.4,Checked,Loaded
BAG00000287,TKT00000230,PAX00000230,16.3,Carry-on,Loaded
BAG00000288,TKT00000230,PAX00000230,13.2,Checked,Loaded
BAG00000289,TKT00000232,PAX00000232,26.9,Carry-on,Loaded
BAG00000290,TKT00000233,PAX00000233,20.3,Carry-on,Loaded
BAG00000291,TKT00000234,PAX00000234,18.2,Checked,Loaded
BAG00000292,TKT00000234,PAX00000234,23.5,Checked,Loaded
BAG00000293,TKT00000235,PAX00000235,15.0,Oversized,Loaded
BAG00000294,TKT00000235,PAX00000235,7.7,Carry-on,Loaded
BAG00000295,TKT00000235,PAX00000235,21.1,Carry-on,Delayed
BAG00000296,TKT00000236,PAX00000236,15.8,Carry-on,Loaded
BAG00000297,TKT00000236,PAX00000236,17.2,Checked,Loaded
BAG00000298,TKT00000237,PAX00000237,11.5,Carry-on,Lost
BAG00000299,TKT00000237,PAX00000237,14.7,Checked,Loaded
BAG00000300,TKT00000238,PAX00000238,16.8,Checked,Loaded
BAG00000301,TKT00000239,PAX00000239,13.3,Oversized,Loaded
BAG00000302,TKT00000239,PAX00000239,26.2,Checked,Loaded
BAG00000303,TKT00000241,PAX00000241,23.8,Oversized,Delayed
BAG00000304,TKT00000241,PAX00000241,16.4,Oversized,Loaded
BAG00000305,TKT00000242,PAX00000242,12.6,Carry-on,Loaded
BAG00000306,TKT00000243,PAX00000243,14.9,Carry-on,Loaded
BAG00000307,TKT00000243,PAX00000243,25.3,Oversized,Loaded
BAG00000308,TKT00000246,PAX00000246,12.5,Checked,Delayed
BAG00000309,TKT00000247,PAX00000247,12.8,Checked,Loaded
BAG00000310,TKT00000247,PAX00000247,20.7,Carry-on,Loaded
BAG00000311,TKT00000247,PAX00000247,17.6,Checked,Loaded
BAG00000312,TKT00000249,PAX00000249,15.4,Checked,Loaded
BAG00000313,TKT00000249,PAX00000249,8.8,Carry-on,Loaded
BAG00000314,TKT00000250,PAX00000250,24.0,Checked,Loaded
BAG00000315,TKT00000250,PAX00000250,23.5,Oversized,Delayed
BAG00000316,TKT00000251,PAX00000251,21.1,Carry-on,Loaded
BAG00000317,TKT00000252,PAX00000252,21.9,Checked,Loaded
BAG00000318,TKT00000253,PAX00000253,19.3,Checked,Loaded
BAG00000319,TKT00000254,PAX00000254,12.1,Checked,Loaded
BAG00000320,TKT00000255,PAX00000255,22.1,Checked,Loaded
BAG00000321,TKT00000255,PAX00000255,23.6,Checked,Delayed
BAG00000322,TKT00000256,PAX00000256,17.5,Carry-on,Loaded
BAG00000323,TKT00000258,PAX00000258,15.5,Oversized,Loaded
BAG00000324,TKT00000259,PAX00000259,8.2,Carry-on,Loaded
BAG00000325,TKT00000259,PAX00000259,26.5,Checked,Loaded
BAG00000326,TKT00000260,PAX00000260,17.0,Oversized,Loaded
BAG00000327,TKT00000260,PAX00000260,15.8,Checked,Loaded
BAG00000328,TKT00000261,PAX00000261,19.1,Checked,Loaded
BAG00000329,TKT00000261,PAX00000261,18.1,Checked,Loaded
BAG00000330,TKT00000262,PAX00000262,,Checked,Loaded
BAG00000331,TKT00000262,PAX00000262,25.7,Oversized,Loaded
BAG00000332,TKT00000263,PAX00000263,15.9,Checked,Loaded
BAG00000333,TKT00000263,PAX00000263,20.4,Checked,Loaded
BAG00000334,TKT00000263,PAX00000263,6.9,Carry-on,Loaded
BAG00000335,TKT00000264,PAX00000264,23.4,Carry-on,Loaded
BAG00000336,TKT00000264,PAX00000264,23.1,Oversized,Loaded
BAG00000337,TKT00000265,PAX00000265,21.4,Carry-on,Loaded
BAG00000338,TKT00000265,PAX00000265,31.1,Carry-on,Loaded
BAG00000339,TKT00000265,PAX00000265,22.9,Checked,Loaded
BAG00000340,TKT00000266,PAX00000266,12.7,Carry-on,Loaded
BAG00000341,TKT00000267,PAX00000267,15.9,Oversized,Delayed
BAG00000342,TKT00000269,PAX00000269,14.2,Checked,Loaded
BAG00000343,TKT00000270,PAX00000270,24.3,Checked,Loaded
BAG00000344,TKT00000271,PAX00000271,26.1,Checked,Loaded
BAG00000345,TKT00000272,PAX00000272,14.8,Checked,Loaded
BAG00000346,TKT00000273,PAX00000273,15.8,Oversized,Loaded
BAG00000347,TKT00000274,PAX00000274,19.4,Oversized,Loaded
BAG00000348,TKT00000274,PAX00000274,11.4,Checked,Loaded
BAG00000349,TKT00000275,PAX00000275,17.2,Carry-on,Loaded
BAG00000350,TKT00000276,PAX00000276,,Checked,Loaded
BAG00000351,TKT00000277,PAX00000277,25.0,Checked,Loaded
BAG00000352,TKT00000278,PAX00000278,15.4,Oversized,Loaded
BAG00000353,TKT00000279,PAX00000279,18.2,Carry-on,Loaded
BAG00000354,TKT00000280,PAX00000280,18.9,Checked,Lost
BAG00000355,TKT00000281,PAX00000281,15.4,Checked,Loaded
BAG00000356,TKT00000281,PAX00000281,22.8,Checked,Loaded
BAG00000357,TKT00000282,PAX00000282,18.2,Checked,Loaded
BAG00000358,TKT00000282,PAX00000282,23.0,Checked,Lost
BAG00000359,TKT00000284,PAX00000284,,Oversized,Loaded
BAG00000360,TKT00000284,PAX00000284,16.7,Carry-on,Loaded
BAG00000361,TKT00000285,PAX00000285,21.7,Carry-on,Loaded
BAG00000362,TKT00000286,PAX00000286,22.2,Oversized,Loaded
BAG00000363,TKT00000287,PAX00000287,11.3,Carry-on,Loaded
BAG00000364,TKT00000287,PAX00000287,21.8,Oversized,Loaded
BAG00000365,TKT00000288,PAX00000288,17.5,Oversized,Loaded
BAG00000366,TKT00000290,PAX00000290,21.3,Carry-on,Loaded
BAG00000367,TKT00000290,PAX00000290,18.7,Oversized,Loaded
BAG00000368,TKT00000290,PAX00000290,15.1,Checked,Loaded
BAG00000369,TKT00000291,PAX00000291,16.9,Carry-on,Damaged
BAG00000370,TKT00000292,PAX00000292,13.3,Carry-on,Loaded
BAG00000371,TKT00000292,PAX00000292,20.3,Carry-on,Loaded
BAG00000372,TKT00000293,PAX00000293,15.3,Carry-on,Loaded
BAG00000373,TKT00000293,PAX00000293,13.7,Oversized,Lost
BAG00000374,TKT00000294,PAX00000294,17.3,Carry-on,Loaded
BAG00000375,TKT00000295,PAX00000295,20.9,Checked,Loaded
BAG00000376,TKT00000296,PAX00000296,21.8,Checked,Loaded
BAG00000377,TKT00000298,PAX00000298,12.0,Checked,Loaded
BAG00000378,TKT00000299,PAX00000299,15.1,Checked,Loaded
BAG00000379,TKT00000299,PAX00000299,18.7,Carry-on,Loaded
BAG00000380,TKT00000300,PAX00000300,22.7,Oversized,Loaded
BAG00000381,TKT00000301,PAX00000301,18.7,Carry-on,Loaded
BAG00000382,TKT00000302,PAX00000302,16.6,Checked,Loaded
BAG00000383,TKT00000303,PAX00000303,,Oversized,Loaded
BAG00000384,TKT00000303,PAX00000303,10.3,Checked,Loaded
BAG00000385,TKT00000304,PAX00000304,24.2,Oversized,Loaded
BAG00000386,TKT00000304,PAX00000304,23.5,Checked,Damaged
BAG00000387,TKT00000305,PAX00000305,16.8,Checked,Delayed
BAG00000388,TKT00000306,PAX00000306,18.3,Oversized,Loaded
BAG00000389,TKT00000307,PAX00000307,14.6,Checked,Loaded
BAG00000390,TKT00000307,PAX00000307,21.7,Carry-on,Loaded
BAG00000391,TKT00000307,PAX00000307,20.7,Checked,Loaded
BAG00000392,TKT00000308,PAX00000308,11.7,Checked,Loaded
BAG00000393,TKT00000309,PAX00000309,9.2,Carry-on,Loaded
BAG00000394,TKT00000309,PAX00000309,8.4,Checked,Loaded
BAG00000395,TKT00000311,PAX00000311,16.7,Carry-on,Loaded
BAG00000396,TKT00000311,PAX00000311,14.6,Checked,Loaded
BAG00000397,TKT00000314,PAX00000314,25.3,Checked,Loaded
BAG00000398,TKT00000314,PAX00000314,19.9,Checked,Loaded
BAG00000399,TKT00000315,PAX00000315,15.4,Carry-on,Loaded
BAG00000400,TKT00000315,PAX00000315,12.9,Checked,Loaded
BAG00000401,TKT00000315,PAX00000315,22.6,Checked,Loaded
BAG00000402,TKT00000316,PAX00000316,23.3,Checked,Loaded
