ticket_id,customer_id,booking_id,issue_type,opened_date,status,priority
SUP000037,CUS0028917,,Booking Issue,2026-07-04,Closed,Medium
SUP000038,CUS0042781,BK00032494,Flight Delay Complaint,2024-02-28,In Progress,High
SUP000039,CUS0005121,BK00036914,Loyalty Points Issue,2024-01-18,Resolved,Medium
SUP000040,CUS0004719,BK00103375,General Inquiry,2024-01-11,Resolved,High
SUP000041,CUS0031838,,General Inquiry,2025-07-01,Resolved,Medium
SUP000042,CUS0032316,BK00140943,General Inquiry,2024-02-20,Closed,Low
SUP000043,CUS0017491,,Website/App Issue,2026-06-29,Closed,Medium
SUP000044,CUS0010717,BK00054737,Seat Change Request,2026-07-19,Closed,Low
SUP000045,CUS0029105,BK00047402,Website/App Issue,2024-07-24,In Progress,Low
SUP000046,CUS0049957,BK00071034,General Inquiry,2024-12-06,Closed,Medium
SUP000047,CUS0049599,,Booking Issue,2024-04-02,Closed,Medium
SUP000048,CUS0010299,BK00089681,General Inquiry,2025-03-17,Resolved,Medium
SUP000049,CUS0046663,,General Inquiry,2025-08-03,Closed,Low
SUP000050,CUS0059344,BK00019165,General Inquiry,2024-03-23,In Progress,Low
SUP000051,CUS0009148,BK00127689,Seat Change Request,2025-10-12,Resolved,Low
SUP000052,CUS0018418,,Booking Issue,2024-07-12,Resolved,Medium
SUP000053,CUS0055678,BK00118953,Refund Request,2024-05-14,Resolved,High
SUP000054,CUS0039988,BK00117657,Baggage Complaint,2025-12-23,Closed,Medium
SUP000055,CUS0006902,BK00109884,Website/App Issue,2025-01-09,Resolved,Medium
SUP000056,CUS0053219,BK00082392,Website/App Issue,2025-06-24,Closed,Medium
SUP000057,CUS0040799,,General Inquiry,2025-05-05,Resolved,High
SUP000058,CUS0034346,BK00112842,General Inquiry,2025-06-23,Closed,Medium
SUP000059,CUS0057657,BK00036218,Flight Delay Complaint,2025-08-09,Closed,High
SUP000060,CUS0055010,,General Inquiry,2025-07-01,Resolved,Low
SUP000061,CUS0034905,BK00148976,Refund Request,2025-09-22,Resolved,Low
SUP000062,CUS0054262,BK00079297,Booking Issue,2024-07-21,Resolved,Low
SUP000063,CUS0017741,BK00041706,Refund Request,2025-01-18,Closed,Low
SUP000064,CUS0055083,,Booking Issue,2025-08-17,Open,Low
SUP000065,CUS0008554,BK00064753,Baggage Complaint,2025-09-02,Closed,Medium
SUP000066,CUS0033456,,General Inquiry,2026-05-12,Resolved,Medium
SUP000067,CUS0042981,BK00134125,Refund Request,2026-07-14,Closed,Low
SUP000068,CUS0002742,,Seat Change Request,2026-02-12,Open,High
SUP000069,CUS0012457,,Loyalty Points Issue,2025-06-27,In Progress,Low
SUP000070,CUS0014816,,Flight Delay Complaint,2025-01-02,Closed,Urgent
SUP000071,CUS0026880,BK00145642,Loyalty Points Issue,2026-02-04,Closed,Medium
SUP000072,CUS0016489,,Refund Request,2024-03-06,Open,Medium
SUP000073,CUS0027062,BK00107117,Flight Delay Complaint,2025-08-31,Resolved,High
SUP000074,CUS0056988,BK00033115,Flight Delay Complaint,2026-01-08,In Progress,Medium
SUP000075,CUS0012253,BK00141377,Website/App Issue,2025-08-01,Resolved,Low
SUP000076,CUS0040474,,Refund Request,2025-05-09,In Progress,Medium
SUP000077,CUS0020656,,Seat Change Request,2026-04-18,Open,Low
SUP000078,CUS0016812,,Website/App Issue,2024-04-30,In Progress,Low
SUP000079,CUS0046008,BK00087029,Website/App Issue,2025-05-30,Resolved,Low
SUP000080,CUS0053750,BK00109182,Flight Delay Complaint,2026-04-23,Closed,Medium
SUP000081,CUS0038398,,General Inquiry,2026-04-15,Resolved,High
SUP000082,CUS0038765,BK00149653,General Inquiry,2024-06-09,In Progress,Medium
SUP000083,CUS0048301,BK00037448,Booking Issue,2026-03-11,In Progress,Medium
SUP000084,CUS0041093,,Loyalty Points Issue,2024-10-16,Resolved,Low
SUP000085,CUS0054221,BK00135825,Flight Delay Complaint,2026-01-28,In Progress,Medium
SUP000086,CUS0054032,,Refund Request,2024-08-04,Closed,Medium
SUP000087,CUS0057906,,Loyalty Points Issue,2025-02-06,Closed,Low
SUP000088,CUS0028260,,Refund Request,2025-01-28,Closed,High
SUP000089,CUS0042633,BK00132014,Loyalty Points Issue,2025-01-06,Open,Low
SUP000090,CUS0057505,BK00109268,Seat Change Request,2024-11-28,Resolved,Medium
SUP000091,CUS0058906,,Flight Delay Complaint,2026-07-02,Open,Medium
SUP000092,CUS0039333,BK00144702,Booking Issue,2024-01-29,In Progress,High
SUP000093,CUS0028780,BK00137020,Seat Change Request,2025-12-03,Resolved,Medium
SUP000094,CUS0039510,,Loyalty Points Issue,2024-10-18,In Progress,Medium
SUP000095,CUS0043070,BK00024556,General Inquiry,2025-01-31,Closed,High
SUP000096,CUS0054226,BK00145304,Refund Request,2025-02-17,Closed,Medium
SUP000097,CUS0058442,BK00145158,Flight Delay Complaint,2024-08-23,In Progress,Medium
SUP000098,CUS0041559,BK00079547,Refund Request,2025-02-06,Closed,Medium
SUP000099,CUS0029625,,Seat Change Request,2024-06-01,Resolved,Medium
SUP000100,CUS0015075,BK00013440,Flight Delay Complaint,2025-05-12,Resolved,Low
SUP000101,CUS0023591,BK00131906,Seat Change Request,2025-11-10,Closed,Low
SUP000102,CUS0007062,BK00069408,Baggage Complaint,2025-02-05,Resolved,High
SUP000103,CUS0024024,BK00120827,General Inquiry,2024-02-21,Closed,Medium
SUP000104,CUS0053137,,Website/App Issue,2024-02-10,Open,High
SUP000105,CUS0047412,BK00128603,Refund Request,2025-02-17,Closed,Medium
SUP000106,CUS0013386,BK00079321,Website/App Issue,2024-06-08,In Progress,Low
SUP000107,CUS0018040,BK00030439,Flight Delay Complaint,2024-06-22,In Progress,High
SUP000108,CUS0009300,,Seat Change Request,2025-12-07,In Progress,High
SUP000109,CUS0055683,BK00048756,Baggage Complaint,2024-03-09,Closed,High
SUP000110,CUS0018926,BK00084113,Website/App Issue,2024-01-12,Closed,Low
SUP000111,CUS0053356,BK00060697,General Inquiry,2024-05-19,In Progress,Medium
SUP000112,CUS0038830,BK00022982,Booking Issue,2025-10-25,In Progress,Low
SUP000113,CUS0036004,BK00078332,Baggage Complaint,2026-05-28,Resolved,Medium
SUP000114,CUS0038927,,Loyalty Points Issue,2025-12-01,In Progress,Low
SUP000115,CUS0057260,BK00125098,Flight Delay Complaint,2025-07-10,In Progress,Medium
SUP000116,CUS0023448,,General Inquiry,2024-06-19,Resolved,Low
SUP000117,CUS0054412,,Seat Change Request,2025-06-25,Closed,Medium
SUP000118,CUS0045624,,Loyalty Points Issue,2025-09-21,Open,High
SUP000119,CUS0036388,BK00126182,Refund Request,2025-08-16,Closed,Urgent
SUP000120,CUS0053889,BK00035295,Seat Change Request,2025-03-16,Closed,Medium
SUP000121,CUS0033263,BK00049667,Refund Request,2025-08-01,Closed,Low
SUP000122,CUS0049678,BK00069837,Flight Delay Complaint,2025-10-21,Closed,Medium
SUP000123,CUS0005914,,Baggage Complaint,2025-02-04,In Progress,Low
SUP000124,CUS0035834,BK00009011,Seat Change Request,2024-08-30,Resolved,Urgent
SUP000125,CUS0017469,BK00043205,Website/App Issue,2025-11-17,Closed,Medium
SUP000126,CUS0044611,,Baggage Complaint,2026-02-27,Resolved,Urgent
SUP000127,CUS0052540,BK00102835,Website/App Issue,2024-12-31,Resolved,Medium
SUP000128,CUS0003150,,Booking Issue,2025-11-09,Resolved,Medium
SUP000129,CUS0044016,,Refund Request,2025-04-14,Closed,Low
SUP000130,CUS0018192,,Baggage Complaint,2024-07-23,Resolved,Low
SUP000131,CUS0007815,BK00107917,Website/App Issue,2025-08-28,Resolved,Low
SUP000132,CUS0055453,,Refund Request,2025-04-11,In Progress,Medium
SUP000133,CUS0008317,BK00126350,Loyalty Points Issue,2026-01-15,Closed,Urgent
SUP000134,CUS0010160,BK00119769,Flight Delay Complaint,2025-06-28,Resolved,Urgent
SUP000135,CUS0001708,BK00099529,Website/App Issue,2025-10-15,In Progress,High
SUP000136,CUS0000738,BK00003401,Website/App Issue,2026-06-15,In Progress,Low
SUP000137,CUS0053222,BK00028137,Flight Delay Complaint,2025-09-02,In Progress,High
SUP000138,CUS0027287,,Loyalty Points Issue,2025-03-20,Closed,Medium
SUP000139,CUS0019445,,Website/App Issue,2024-08-26,Resolved,Low
SUP000140,CUS0055579,BK00008028,General Inquiry,2025-10-27,Closed,High
SUP000141,CUS0054023,BK00115146,Refund Request,2025-12-13,Closed,Low
SUP000142,CUS0040080,BK00052344,Flight Delay Complaint,2025-07-15,Resolved,Medium
SUP000143,CUS0056055,BK00066024,Loyalty Points Issue,2026-07-12,Resolved,Medium
SUP000144,CUS0037809,,Baggage Complaint,2026-01-27,Open,Medium
SUP000145,CUS0035509,BK00012859,Refund Request,2026-02-01,Resolved,Low
SUP000146,CUS0036718,,Booking Issue,2025-11-22,Resolved,Medium
SUP000147,CUS0052167,,Baggage Complaint,2025-10-15,Closed,Medium
SUP000148,CUS0024974,BK00139608,Loyalty Points Issue,2025-03-15,Resolved,Medium
SUP000149,CUS0014030,,Booking Issue,2025-07-08,Closed,Low
SUP000150,CUS0056906,BK00018595,Flight Delay Complaint,2026-02-28,Resolved,Medium
SUP000151,CUS0049796,BK00102715,Baggage Complaint,2024-03-26,Closed,Low
SUP000152,CUS0024619,,Website/App Issue,2024-03-15,Open,Medium
SUP000153,CUS0008638,,Website/App Issue,2024-06-06,In Progress,Urgent
SUP000154,CUS0020676,BK00124338,General Inquiry,2024-09-08,Closed,Medium
SUP000155,CUS0012208,BK00116360,Baggage Complaint,2025-03-15,Resolved,Urgent
SUP000156,CUS0027931,BK00038123,Website/App Issue,2024-09-16,In Progress,High
SUP000157,CUS0001070,BK00027698,Baggage Complaint,2026-03-24,Open,Medium
SUP000158,CUS0015879,BK00146770,Refund Request,2025-04-21,Closed,Low
SUP000159,CUS0013614,BK00065034,Booking Issue,2025-08-06,Closed,Low
SUP000160,CUS0053114,,Baggage Complaint,2025-04-20,Resolved,Low
SUP000161,CUS0011879,,Baggage Complaint,2024-06-24,Resolved,High
SUP000162,CUS0004097,BK00079075,Loyalty Points Issue,2026-04-15,Resolved,Medium
SUP000163,CUS0057464,,Flight Delay Complaint,2026-01-06,Resolved,Low
SUP000164,CUS0057337,BK00102075,Refund Request,2025-04-16,Resolved,Medium
SUP000165,CUS0002850,BK00115578,Website/App Issue,2024-06-01,Closed,Low
SUP000166,CUS0046480,,Baggage Complaint,2024-03-25,Closed,High
SUP000167,CUS0001762,BK00021739,Website/App Issue,2024-07-09,Closed,Low
SUP000168,CUS0046620,BK00032109,Loyalty Points Issue,2025-08-21,Closed,Urgent
SUP000169,CUS0012100,,Seat Change Request,2025-02-17,Closed,Low
SUP000170,CUS0016497,BK00023806,Loyalty Points Issue,2025-11-19,Resolved,Medium
SUP000171,CUS0002783,BK00071116,Baggage Complaint,2026-06-22,In Progress,Medium
SUP000172,CUS0026040,,Refund Request,2026-07-06,Closed,High
SUP000173,CUS0020427,BK00039079,Seat Change Request,2025-04-24,Resolved,Medium
SUP000174,CUS0048673,BK00021476,Refund Request,2025-03-23,Resolved,Low
SUP000175,CUS0043345,BK00087284,Website/App Issue,2025-09-19,Resolved,Medium
SUP000176,CUS0022600,,Flight Delay Complaint,2025-03-22,Resolved,Medium
SUP000177,CUS0027850,BK00056807,Booking Issue,2024-04-29,Resolved,Medium
SUP000178,CUS0028768,BK00124263,Website/App Issue,2024-04-19,Closed,Medium
SUP000179,CUS0028689,,Website/App Issue,2024-03-22,Resolved,Low
SUP000180,CUS0031023,BK00103033,Booking Issue,2025-03-17,Resolved,Medium
SUP000181,CUS0024552,,Baggage Complaint,2026-06-04,Resolved,High
SUP000182,CUS0055619,,Baggage Complaint,2025-09-13,Closed,High
SUP000183,CUS0036760,BK00091234,Loyalty Points Issue,2024-12-01,Closed,Low
SUP000184,CUS0013935,BK00091454,Baggage Complaint,2024-10-24,Resolved,Medium
SUP000185,CUS0043025,,Booking Issue,2025-11-01,Closed,Medium
SUP000186,CUS0023329,BK00058275,General Inquiry,2025-07-03,Resolved,High
SUP000187,CUS0057059,BK00134217,Loyalty Points Issue,2026-02-16,Closed,Urgent
SUP000188,CUS0022639,BK00021991,General Inquiry,2025-08-07,In Progress,Low
SUP000189,CUS0034250,BK00118876,Flight Delay Complaint,2026-04-02,Closed,Low
SUP000190,CUS0015674,BK00013923,General Inquiry,2025-08-08,Closed,High
SUP000191,CUS0009974,,Loyalty Points Issue,2026-03-09,In Progress,Medium
SUP000192,CUS0054628,,Booking Issue,2025-07-31,Resolved,Medium
SUP000193,CUS0045809,BK00001772,Seat Change Request,2025-06-07,Closed,Low
SUP000194,CUS0044916,,Booking Issue,2025-07-26,Resolved,Low
SUP000195,CUS0024075,,Refund Request,2025-05-12,Resolved,High
SUP000196,CUS0057646,BK00149494,Baggage Complaint,2025-12-13,Resolved,High
SUP000197,CUS0016870,BK00037902,Seat Change Request,2024-01-23,Closed,Medium
SUP000198,CUS0048556,BK00006115,Booking Issue,2025-08-07,Closed,Medium
SUP000199,CUS0003418,BK00103526,General Inquiry,2024-04-11,Closed,Medium
SUP000200,CUS0046261,BK00035499,Website/App Issue,2026-02-09,Resolved,Low
SUP000201,CUS0049002,BK00031135,Booking Issue,2025-07-19,Closed,Low
SUP000202,CUS0059000,,Website/App Issue,2026-01-22,Closed,Urgent
SUP000203,CUS0040025,,Booking Issue,2024-03-15,Closed,Urgent
SUP000204,CUS0052913,BK00108714,Loyalty Points Issue,2024-03-22,Resolved,Medium
SUP000205,CUS0005431,,Flight Delay Complaint,2024-07-28,Closed,Low
SUP000206,CUS0043791,BK00085952,General Inquiry,2025-02-10,Closed,Low
SUP000207,CUS0040581,,Refund Request,2024-09-25,Closed,Low
SUP000208,CUS0016436,,Baggage Complaint,2025-05-07,Closed,High
SUP000209,CUS0038693,,General Inquiry,2026-07-30,Open,Medium
SUP000210,CUS0040442,BK00028289,Refund Request,2024-01-31,In Progress,Medium
SUP000211,CUS0052723,BK00038682,General Inquiry,2026-01-15,Resolved,High
SUP000212,CUS0028382,BK00072873,Loyalty Points Issue,2024-04-21,Open,High
SUP000213,CUS0010618,BK00149425,Booking Issue,2025-02-14,Closed,Medium
SUP000214,CUS0041134,BK00100514,Baggage Complaint,2024-04-16,In Progress,Medium
SUP000215,CUS0011501,BK00048145,Refund Request,2026-01-18,Closed,Medium
SUP000216,CUS0028287,BK00059535,General Inquiry,2024-10-31,Resolved,Low
SUP000217,CUS0030621,BK00065364,Website/App Issue,2025-01-18,Resolved,Low
SUP000218,CUS0027887,BK00060928,Website/App Issue,2025-05-09,Closed,Medium
SUP000219,CUS0008666,BK00063202,Flight Delay Complaint,2026-01-02,Resolved,Medium
SUP000220,CUS0003504,,Booking Issue,2024-03-16,Closed,Low
SUP000221,CUS0014731,BK00136345,General Inquiry,2024-06-06,Closed,Medium
SUP000222,CUS0045366,BK00020418,General Inquiry,2024-02-05,Closed,High
SUP000223,CUS0000624,BK00006731,Refund Request,2024-03-31,Open,High
SUP000224,CUS0058640,BK00134110,Loyalty Points Issue,2024-03-18,Resolved,Low
SUP000225,CUS0049892,BK00123920,Website/App Issue,2024-03-26,Closed,Medium
SUP000226,CUS0022308,BK00140400,General Inquiry,2025-04-29,Closed,Low
SUP000227,CUS0014939,,Seat Change Request,2024-09-03,Closed,Low
SUP000228,CUS0001837,,Loyalty Points Issue,2025-02-13,In Progress,High
SUP000229,CUS0000182,,Flight Delay Complaint,2024-11-16,Closed,High
SUP000230,CUS0009121,,Flight Delay Complaint,2024-03-10,Resolved,High
SUP000231,CUS0034990,BK00078655,General Inquiry,2026-01-28,Closed,Medium
SUP000232,CUS0001198,BK00144258,General Inquiry,2024-07-01,Resolved,Medium
SUP000233,CUS0020099,,Loyalty Points Issue,2024-09-18,Closed,High
SUP000234,CUS0023676,,Refund Request,2025-06-25,Resolved,Low
SUP000235,CUS0015884,BK00082099,Baggage Complaint,2024-10-28,Closed,Low
SUP000236,CUS0027346,BK00046770,General Inquiry,2025-05-12,Resolved,Medium
SUP000237,CUS0034297,BK00051542,Refund Request,2026-06-07,Open,Medium
SUP000238,CUS0050590,BK00135306,Seat Change Request,2026-05-15,Closed,Medium
SUP000239,CUS0029104,BK00039201,Flight Delay Complaint,2024-01-10,Closed,High
SUP000240,CUS0019350,BK00001585,Booking Issue,2026-03-12,Closed,Urgent
SUP000241,CUS0010547,BK00017411,Seat Change Request,2025-01-22,Resolved,Urgent
SUP000242,CUS0019295,BK00118058,Loyalty Points Issue,2026-06-06,Resolved,Low
SUP000243,CUS0013804,BK00097679,Seat Change Request,2024-04-03,Closed,Medium
SUP000244,CUS0058334,BK00094636,Seat Change Request,2025-05-08,In Progress,Medium
SUP000245,CUS0058838,BK00072042,Refund Request,2024-09-22,Closed,Low
SUP000246,CUS0009989,BK00090249,Loyalty Points Issue,2024-08-16,Open,Medium
SUP000247,CUS0038812,,Loyalty Points Issue,2024-09-16,Closed,Medium
SUP000248,CUS0044871,,General Inquiry,2026-02-07,Closed,Low
SUP000249,CUS0054090,BK00083940,General Inquiry,2024-11-19,In Progress,Medium
SUP000250,CUS0009289,,Refund Request,2025-07-18,Closed,Medium
SUP000251,CUS0048188,,Flight Delay Complaint,2025-02-01,Closed,Medium
SUP000252,CUS0050205,,Loyalty Points Issue,2025-04-10,In Progress,Low
SUP000253,CUS0053328,BK00035051,Refund Request,2025-08-18,In Progress,Medium
SUP000254,CUS0012822,BK00137878,Seat Change Request,2024-12-07,In Progress,Low
SUP000255,CUS0048186,BK00139180,Flight Delay Complaint,2024-10-15,Closed,High
SUP000256,CUS0053837,BK00100695,Refund Request,2024-03-10,Closed,Medium
SUP000257,CUS0010939,BK00004021,Refund Request,2025-05-27,Resolved,Low
SUP000258,CUS0032650,BK00008905,Seat Change Request,2024-09-22,Closed,Medium
SUP000259,CUS0029351,BK00013924,Baggage Complaint,2025-03-31,Resolved,High
SUP000260,CUS0032198,BK00002907,Website/App Issue,2024-06-06,Resolved,Low
SUP000261,CUS0017287,,General Inquiry,2025-07-16,Resolved,Medium
SUP000262,CUS0006250,,Refund Request,2024-07-10,Resolved,High
SUP000263,CUS0035816,BK00094859,Loyalty Points Issue,2025-12-20,Resolved,Medium
SUP000264,CUS0046779,,Loyalty Points Issue,2026-04-21,In Progress,Medium
SUP000265,CUS0036435,BK00103005,Booking Issue,2024-03-02,Closed,Low
SUP000266,CUS0009205,BK00010174,Loyalty Points Issue,2025-07-25,Closed,High
SUP000267,CUS0031699,BK00056140,Website/App Issue,2024-02-08,In Progress,Medium
SUP000268,CUS0039730,BK00062004,Flight Delay Complaint,2026-08-02,Closed,Low
SUP000269,CUS0026269,BK00114258,Flight Delay Complaint,2025-09-21,Closed,Urgent
SUP000270,CUS0008219,BK00030996,Flight Delay Complaint,2025-10-19,Resolved,Medium
SUP000271,CUS0039394,BK00007816,Seat Change Request,2026-03-21,In Progress,Low
SUP000272,CUS0026719,BK00049905,Loyalty Points Issue,2024-09-26,Closed,Urgent
SUP000273,CUS0017816,BK00134487,Website/App Issue,2025-07-18,In Progress,Low
SUP000274,CUS0006324,,General Inquiry,2024-12-15,Resolved,Medium
SUP000275,CUS0048073,BK00062627,Flight Delay Complaint,2025-07-24,Resolved,Urgent
SUP000276,CUS0013312,BK00148474,Flight Delay Complaint,2025-05-22,Closed,Medium
SUP000277,CUS0048683,BK00104348,Booking Issue,2026-06-19,In Progress,Low
SUP000278,CUS0017313,BK00028460,Seat Change Request,2024-06-29,Resolved,Medium
SUP000279,CUS0002777,BK00012666,Loyalty Points Issue,2024-01-24,Resolved,Medium
SUP000280,CUS0026022,BK00116778,Seat Change Request,2024-08-10,Closed,Low
SUP000281,CUS0003635,,Website/App Issue,2025-09-02,Closed,Medium
SUP000282,CUS0040330,BK00107870,Booking Issue,2025-11-12,Open,Medium
SUP000283,CUS0043310,BK00088122,Flight Delay Complaint,2025-12-13,Closed,High
SUP000284,CUS0018744,,Baggage Complaint,2025-08-18,Closed,Medium
SUP000285,CUS0046588,BK00121489,Baggage Complaint,2024-09-29,Resolved,High
SUP000286,CUS0023925,,Refund Request,2026-07-17,In Progress,Medium
SUP000287,CUS0046924,,General Inquiry,2026-02-09,Resolved,High
SUP000288,CUS0044448,,Loyalty Points Issue,2025-05-21,Closed,Medium
SUP000289,CUS0039827,BK00089313,Flight Delay Complaint,2024-09-16,Closed,Medium
SUP000290,CUS0021892,,Refund Request,2025-03-23,In Progress,Urgent
SUP000291,CUS0022062,BK00122682,General Inquiry,2025-06-29,Closed,Low
SUP000292,CUS0036513,BK00037878,Loyalty Points Issue,2024-06-20,Closed,Low
SUP000293,CUS0048050,BK00123365,Flight Delay Complaint,2026-07-19,Closed,Low
SUP000294,CUS0042072,BK00111585,Refund Request,2025-05-01,Open,Low
SUP000295,CUS0006634,,Booking Issue,2024-07-23,Open,Medium
SUP000296,CUS0003885,,Flight Delay Complaint,2025-11-16,Open,High
SUP000297,CUS0013204,BK00038317,Website/App Issue,2025-10-03,Resolved,High
SUP000298,CUS0013729,BK00010958,Seat Change Request,2026-01-11,Resolved,Medium
SUP000299,CUS0029663,,Website/App Issue,2024-06-15,Closed,Medium
SUP000300,CUS0042616,BK00143671,General Inquiry,2025-01-21,Closed,Medium
SUP000301,CUS0007116,BK00008019,Flight Delay Complaint,2026-01-21,In Progress,Medium
SUP000302,CUS0029597,,General Inquiry,2025-12-17,Closed,Low
SUP000303,CUS0011532,BK00090208,Flight Delay Complaint,2025-08-18,Closed,Low
SUP000304,CUS0057203,,Website/App Issue,2026-04-09,Resolved,Urgent
SUP000305,CUS0054392,BK00132610,Baggage Complaint,2025-01-09,Closed,Medium
SUP000306,CUS0001126,BK00015846,Seat Change Request,2025-06-05,Open,High
SUP000307,CUS0031180,BK00079093,Loyalty Points Issue,2024-10-06,Resolved,Medium
SUP000308,CUS0006390,BK00136808,Booking Issue,2024-03-18,In Progress,Low
SUP000309,CUS0030644,,Flight Delay Complaint,2025-07-01,Resolved,Low
SUP000310,CUS0002140,BK00129407,Refund Request,2026-07-03,Closed,Low
SUP000311,CUS0015621,BK00112842,Seat Change Request,2024-07-04,Closed,Medium
SUP000312,CUS0003439,BK00148249,Baggage Complaint,2024-07-27,Closed,Medium
SUP000313,CUS0041886,BK00103066,Booking Issue,2025-06-23,In Progress,Medium
SUP000314,CUS0005133,BK00115073,Seat Change Request,2024-10-29,In Progress,Medium
SUP000315,CUS0035716,,Booking Issue,2025-12-30,Resolved,Low
SUP000316,CUS0020923,BK00142009,Website/App Issue,2024-03-22,Closed,Medium
SUP000317,CUS0019907,,Seat Change Request,2025-02-13,In Progress,Medium
SUP000318,CUS0059658,BK00144963,Seat Change Request,2024-04-18,Closed,Medium
SUP000319,CUS0004699,BK00140307,Refund Request,2024-03-21,Open,Medium
SUP000320,CUS0022834,,Flight Delay Complaint,2026-04-02,Closed,Medium
SUP000321,CUS0006871,BK00114418,Booking Issue,2024-10-15,Resolved,Low
SUP000322,CUS0037433,BK00060842,Flight Delay Complaint,2024-04-09,Closed,Low
SUP000323,CUS0048466,,General Inquiry,2025-03-07,In Progress,Low
SUP000324,CUS0014373,,Website/App Issue,2025-03-31,Open,High
SUP000325,CUS0010462,,Website/App Issue,2024-01-19,Resolved,Medium
SUP000326,CUS0059904,BK00098429,Loyalty Points Issue,2026-04-19,Resolved,Low
SUP000327,CUS0037503,BK00148949,Flight Delay Complaint,2024-01-04,Closed,Low
SUP000328,CUS0020650,,Website/App Issue,2025-06-16,Closed,Medium
SUP000329,CUS0032785,BK00013297,Booking Issue,2024-12-31,In Progress,Low
SUP000330,CUS0003838,BK00132686,Website/App Issue,2024-02-16,Closed,Urgent
SUP000331,CUS0006772,BK00110400,Seat Change Request,2024-05-24,Resolved,Medium
SUP000332,CUS0044949,BK00089229,Flight Delay Complaint,2025-11-08,In Progress,High
SUP000333,CUS0011223,BK00130530,General Inquiry,2024-01-12,Closed,Low
SUP000334,CUS0054562,,Baggage Complaint,2025-04-18,In Progress,Medium
SUP000335,CUS0034187,BK00040245,Refund Request,2025-01-31,Open,Medium
SUP000336,CUS0032505,,Baggage Complaint,2025-02-19,In Progress,Urgent
SUP000337,CUS0045265,BK00088764,Loyalty Points Issue,2025-09-28,Closed,High
SUP000338,CUS0020053,BK00079077,Loyalty Points Issue,2026-04-18,Open,Low
SUP000339,CUS0028101,,Loyalty Points Issue,2025-03-18,Closed,Low
SUP000340,CUS0048159,BK00077503,Loyalty Points Issue,2026-05-17,Closed,Medium
SUP000341,CUS0037593,BK00114611,Booking Issue,2024-05-25,Resolved,Low
SUP000342,CUS0055673,BK00095059,Baggage Complaint,2024-11-04,Closed,Low
SUP000343,CUS0021453,BK00010562,Loyalty Points Issue,2024-07-18,Closed,Medium
