delay_id,flight_id,delay_minutes,delay_reason
DLY000105,FLT0000921,51,Crew Availability
DLY000106,FLT0000924,76,Weather
DLY000107,FLT0000931,58,Crew Availability
DLY000108,FLT0000953,133,Airport Operations
DLY000109,FLT0000960,133,Airport Operations
DLY000110,FLT0000962,81,Crew Availability
DLY000111,FLT0000976,101,Late Aircraft Arrival
DLY000112,FLT0000988,158,Airport Operations
DLY000113,FLT0001008,226,Air Traffic Control
DLY000114,FLT0001009,69,Weather
DLY000115,FLT0001017,64,Crew Availability
DLY000116,FLT0001022,190,Crew Availability
DLY000117,FLT0001041,198,Security
DLY000118,FLT0001042,98,Security
DLY000119,FLT0001053,235,Airport Operations
DLY000120,FLT0001064,154,Crew Availability
DLY000121,FLT0001080,25,Airport Operations
DLY000122,FLT0001090,70,Security
DLY000123,FLT0001135,93,Crew Availability
DLY000124,FLT0001137,232,Air Traffic Control
DLY000125,FLT0001140,238,Weather
DLY000126,FLT0001152,157,Crew Availability
DLY000127,FLT0001164,222,Weather
DLY000128,FLT0001167,108,Security
DLY000129,FLT0001179,205,Crew Availability
DLY000130,FLT0001181,39,Mechanical Issue
DLY000131,FLT0001183,233,Security
DLY000132,FLT0001187,97,Weather
DLY000133,FLT0001188,148,Weather
DLY000134,FLT0001207,149,Air Traffic Control
DLY000135,FLT0001231,220,Airport Operations
DLY000136,FLT0001264,17,Security
DLY000137,FLT0001288,223,Mechanical Issue
DLY000138,FLT0001305,88,Mechanical Issue
DLY000139,FLT0001308,107,Airport Operations
DLY000140,FLT0001323,69,Mechanical Issue
DLY000141,FLT0001327,64,Air Traffic Control
DLY000142,FLT0001329,102,Late Aircraft Arrival
DLY000143,FLT0001330,36,Security
DLY000144,FLT0001345,114,Late Aircraft Arrival
DLY000145,FLT0001356,111,Air Traffic Control
DLY000146,FLT0001361,63,Security
DLY000147,FLT0001362,79,Air Traffic Control
DLY000148,FLT0001386,185,Mechanical Issue
DLY000149,FLT0001403,132,Crew Availability
DLY000150,FLT0001418,22,Mechanical Issue
DLY000151,FLT0001421,141,Weather
DLY000152,FLT0001424,76,Weather
DLY000153,FLT0001437,24,Security
DLY000154,FLT0001441,150,Air Traffic Control
DLY000155,FLT0001442,238,Air Traffic Control
DLY000156,FLT0001456,197,Security
DLY000157,FLT0001460,53,Security
DLY000158,FLT0001471,48,Late Aircraft Arrival
DLY000159,FLT0001473,157,Mechanical Issue
DLY000160,FLT0001483,45,Mechanical Issue
DLY000161,FLT0001488,218,Air Traffic Control
DLY000162,FLT0001502,235,Security
DLY000163,FLT0001506,195,Security
DLY000164,FLT0001524,127,Air Traffic Control
DLY000165,FLT0001526,58,Air Traffic Control
DLY000166,FLT0001528,226,Late Aircraft Arrival
DLY000167,FLT0001529,168,Airport Operations
DLY000168,FLT0001533,166,Security
DLY000169,FLT0001543,115,Airport Operations
DLY000170,FLT0001549,237,Security
DLY000171,FLT0001552,20,Air Traffic Control
DLY000172,FLT0001570,52,Security
DLY000173,FLT0001577,26,Mechanical Issue
DLY000174,FLT0001583,22,Weather
DLY000175,FLT0001584,96,Mechanical Issue
DLY000176,FLT0001591,126,Air Traffic Control
DLY000177,FLT0001595,220,Air Traffic Control
DLY000178,FLT0001603,180,Airport Operations
DLY000179,FLT0001611,99,Security
DLY000180,FLT0001618,237,Late Aircraft Arrival
DLY000181,FLT0001625,81,Late Aircraft Arrival
DLY000182,FLT0001633,32,Airport Operations
DLY000183,FLT0001650,224,Late Aircraft Arrival
DLY000184,FLT0001654,203,Mechanical Issue
DLY000185,FLT0001661,112,Airport Operations
DLY000186,FLT0001684,125,Crew Availability
DLY000187,FLT0001687,100,Weather
DLY000188,FLT0001709,117,Airport Operations
DLY000189,FLT0001711,201,Airport Operations
DLY000190,FLT0001721,53,Airport Operations
DLY000191,FLT0001723,122,Airport Operations
DLY000192,FLT0001726,119,Late Aircraft Arrival
DLY000193,FLT0001730,96,Security
DLY000194,FLT0001734,86,Mechanical Issue
DLY000195,FLT0001735,107,Air Traffic Control
DLY000196,FLT0001736,108,Late Aircraft Arrival
DLY000197,FLT0001749,224,Weather
DLY000198,FLT0001759,235,Mechanical Issue
DLY000199,FLT0001762,135,Airport Operations
DLY000200,FLT0001763,216,Late Aircraft Arrival
DLY000201,FLT0001773,201,Crew Availability
DLY000202,FLT0001776,135,Mechanical Issue
DLY000203,FLT0001777,163,Air Traffic Control
DLY000204,FLT0001788,113,Mechanical Issue
DLY000205,FLT0001790,196,Airport Operations
DLY000206,FLT0001795,49,Mechanical Issue
DLY000207,FLT0001800,26,Weather
DLY000208,FLT0001802,200,Late Aircraft Arrival
DLY000209,FLT0001819,131,Crew Availability
DLY000210,FLT0001822,237,Airport Operations
DLY000211,FLT0001823,211,Crew Availability
DLY000212,FLT0001824,37,Mechanical Issue
DLY000213,FLT0001826,193,Weather
DLY000214,FLT0001830,45,Airport Operations
DLY000215,FLT0001848,102,Security
DLY000216,FLT0001864,94,Airport Operations
DLY000217,FLT0001873,71,Late Aircraft Arrival
DLY000218,FLT0001888,216,Crew Availability
DLY000219,FLT0001893,81,Security
DLY000220,FLT0001917,48,Late Aircraft Arrival
DLY000221,FLT0001918,205,Air Traffic Control
DLY000222,FLT0001959,96,Air Traffic Control
DLY000223,FLT0001974,58,Air Traffic Control
DLY000224,FLT0001983,201,Weather
DLY000225,FLT0001984,238,Weather
DLY000226,FLT0001986,71,Late Aircraft Arrival
DLY000227,FLT0001996,227,Security
DLY000228,FLT0002005,217,Crew Availability
DLY000229,FLT0002018,109,Weather
DLY000230,FLT0002020,98,Security
DLY000231,FLT0002021,230,Security
DLY000232,FLT0002027,202,Mechanical Issue
DLY000233,FLT0002037,225,Late Aircraft Arrival
DLY000234,FLT0002038,165,Mechanical Issue
DLY000235,FLT0002057,163,Late Aircraft Arrival
DLY000236,FLT0002064,204,Airport Operations
DLY000237,FLT0002094,208,Air Traffic Control
DLY000238,FLT0002101,61,Security
DLY000239,FLT0002102,134,Weather
DLY000240,FLT0002105,100,Crew Availability
DLY000241,FLT0002132,29,Late Aircraft Arrival
DLY000242,FLT0002134,83,Air Traffic Control
DLY000243,FLT0002142,46,Late Aircraft Arrival
DLY000244,FLT0002148,144,Airport Operations
DLY000245,FLT0002149,104,Mechanical Issue
DLY000246,FLT0002150,202,Late Aircraft Arrival
DLY000247,FLT0002163,93,Air Traffic Control
DLY000248,FLT0002165,141,Weather
DLY000249,FLT0002168,93,Weather
DLY000250,FLT0002172,104,Airport Operations
DLY000251,FLT0002188,119,Air Traffic Control
DLY000252,FLT0002215,138,Crew Availability
DLY000253,FLT0002219,137,Late Aircraft Arrival
DLY000254,FLT0002225,84,Air Traffic Control
DLY000255,FLT0002234,106,Late Aircraft Arrival
DLY000256,FLT0002270,209,Airport Operations
DLY000257,FLT0002279,134,Mechanical Issue
DLY000258,FLT0002282,181,Air Traffic Control
DLY000259,FLT0002293,34,Air Traffic Control
DLY000260,FLT0002295,192,Late Aircraft Arrival
DLY000261,FLT0002299,238,Crew Availability
DLY000262,FLT0002301,22,Crew Availability
DLY000263,FLT0002333,235,Air Traffic Control
DLY000264,FLT0002351,33,Air Traffic Control
DLY000265,FLT0002360,231,Security
DLY000266,FLT0002364,56,Air Traffic Control
DLY000267,FLT0002384,16,Airport Operations
DLY000268,FLT0002386,162,Airport Operations
DLY000269,FLT0002387,159,Crew Availability
DLY000270,FLT0002388,27,Crew Availability
DLY000271,FLT0002389,24,Crew Availability
DLY000272,FLT0002396,20,Mechanical Issue
DLY000273,FLT0002400,74,Airport Operations
DLY000274,FLT0002405,146,Security
DLY000275,FLT0002406,91,Air Traffic Control
DLY000276,FLT0002409,218,Late Aircraft Arrival
DLY000277,FLT0002410,226,Late Aircraft Arrival
DLY000278,FLT0002416,29,Security
DLY000279,FLT0002422,184,Security
DLY000280,FLT0002426,104,Security
DLY000281,FLT0002428,137,Crew Availability
DLY000282,FLT0002430,57,Mechanical Issue
DLY000283,FLT0002431,23,Weather
DLY000284,FLT0002448,17,Weather
DLY000285,FLT0002452,64,Airport Operations
DLY000286,FLT0002469,218,Crew Availability
DLY000287,FLT0002470,132,Security
DLY000288,FLT0002477,102,Airport Operations
DLY000289,FLT0002493,176,Crew Availability
DLY000290,FLT0002498,121,Air Traffic Control
DLY000291,FLT0002502,37,Airport Operations
DLY000292,FLT0002506,89,Late Aircraft Arrival
DLY000293,FLT0002522,55,Late Aircraft Arrival
DLY000294,FLT0002523,155,Security
DLY000295,FLT0002530,201,Crew Availability
DLY000296,FLT0002537,233,Security
DLY000297,FLT0002540,193,Weather
DLY000298,FLT0002556,35,Security
DLY000299,FLT0002558,232,Security
DLY000300,FLT0002581,71,Security
DLY000301,FLT0002590,96,Air Traffic Control
DLY000302,FLT0002598,140,Late Aircraft Arrival
DLY000303,FLT0002599,99,Mechanical Issue
DLY000304,FLT0002607,158,Weather
DLY000305,FLT0002623,33,Security
DLY000306,FLT0002634,38,Air Traffic Control
DLY000307,FLT0002645,104,Weather
DLY000308,FLT0002648,113,Security
DLY000309,FLT0002650,120,Mechanical Issue
DLY000310,FLT0002651,40,Mechanical Issue
DLY000311,FLT0002654,124,Weather
DLY000312,FLT0002665,40,Late Aircraft Arrival
DLY000313,FLT0002680,193,Airport Operations
DLY000314,FLT0002691,153,Airport Operations
DLY000315,FLT0002697,141,Weather
DLY000316,FLT0002701,32,Airport Operations
DLY000317,FLT0002711,57,Air Traffic Control
DLY000318,FLT0002712,32,Mechanical Issue
DLY000319,FLT0002744,110,Security
DLY000320,FLT0002750,104,Airport Operations
DLY000321,FLT0002751,139,Crew Availability
DLY000322,FLT0002752,238,Airport Operations
DLY000323,FLT0002760,204,Crew Availability
DLY000324,FLT0002764,223,Late Aircraft Arrival
DLY000325,FLT0002765,185,Weather
DLY000326,FLT0002769,163,Air Traffic Control
DLY000327,FLT0002771,164,Late Aircraft Arrival
DLY000328,FLT0002788,96,Airport Operations
DLY000329,FLT0002790,49,Air Traffic Control
DLY000330,FLT0002791,162,Air Traffic Control
DLY000331,FLT0002793,123,Air Traffic Control
DLY000332,FLT0002794,180,Crew Availability
DLY000333,FLT0002814,145,Weather
DLY000334,FLT0002817,214,Air Traffic Control
DLY000335,FLT0002831,49,Air Traffic Control
DLY000336,FLT0002835,120,Mechanical Issue
DLY000337,FLT0002843,177,Crew Availability
DLY000338,FLT0002849,24,Crew Availability
DLY000339,FLT0002851,190,Crew Availability
DLY000340,FLT0002857,53,Crew Availability
DLY000341,FLT0002869,60,Air Traffic Control
DLY000342,FLT0002875,206,Weather
DLY000343,FLT0002877,42,Crew Availability
DLY000344,FLT0002878,29,Air Traffic Control
DLY000345,FLT0002879,144,Security
DLY000346,FLT0002897,201,Air Traffic Control
DLY000347,FLT0002901,154,Mechanical Issue
DLY000348,FLT0002903,193,Late Aircraft Arrival
DLY000349,FLT0002906,73,Weather
DLY000350,FLT0002912,119,Weather
DLY000351,FLT0002913,93,Late Aircraft Arrival
DLY000352,FLT0002920,133,Weather
DLY000353,FLT0002925,131,Late Aircraft Arrival
DLY000354,FLT0002928,238,Weather
DLY000355,FLT0002932,204,Weather
DLY000356,FLT0002960,133,Late Aircraft Arrival
DLY000357,FLT0002969,136,Mechanical Issue
DLY000358,FLT0002971,49,Late Aircraft Arrival
DLY000359,FLT0002975,189,Mechanical Issue
DLY000360,FLT0002985,145,Mechanical Issue
DLY000361,FLT0002987,121,Mechanical Issue
DLY000362,FLT0002995,31,Air Traffic Control
DLY000363,FLT0002996,136,Airport Operations
DLY000364,FLT0003000,193,Crew Availability
DLY000365,FLT0003001,168,Mechanical Issue
DLY000366,FLT0003002,106,Air Traffic Control
DLY000367,FLT0003007,77,Weather
DLY000368,FLT0003008,212,Weather
DLY000369,FLT0003020,58,Mechanical Issue
DLY000370,FLT0003033,172,Crew Availability
DLY000371,FLT0003035,92,Crew Availability
DLY000372,FLT0003036,188,Weather
DLY000373,FLT0003047,101,Mechanical Issue
DLY000374,FLT0003055,136,Air Traffic Control
DLY000375,FLT0003057,122,Weather
DLY000376,FLT0003058,216,Air Traffic Control
DLY000377,FLT0003060,143,Mechanical Issue
DLY000378,FLT0003068,94,Late Aircraft Arrival
DLY000379,FLT0003070,200,Airport Operations
DLY000380,FLT0003081,69,Crew Availability
DLY000381,FLT0003083,183,Security
DLY000382,FLT0003084,51,Airport Operations
DLY000383,FLT0003090,224,Mechanical Issue
DLY000384,FLT0003092,197,Mechanical Issue
DLY000385,FLT0003097,122,Crew Availability
DLY000386,FLT0003104,166,Air Traffic Control
DLY000387,FLT0003111,121,Weather
DLY000388,FLT0003122,48,Airport Operations
DLY000389,FLT0003126,118,Security
DLY000390,FLT0003133,59,Mechanical Issue
DLY000391,FLT0003138,75,Crew Availability
DLY000392,FLT0003139,169,Crew Availability
DLY000393,FLT0003141,191,Crew Availability
DLY000394,FLT0003144,89,Airport Operations
DLY000395,FLT0003152,70,Crew Availability
DLY000396,FLT0003159,111,Crew Availability
DLY000397,FLT0003171,148,Security
DLY000398,FLT0003184,69,Airport Operations
DLY000399,FLT0003191,232,Security
DLY000400,FLT0003198,29,Crew Availability
DLY000401,FLT0003203,137,Mechanical Issue
DLY000402,FLT0003204,133,Air Traffic Control
DLY000403,FLT0003221,90,Airport Operations
DLY000404,FLT0003222,143,Airport Operations
DLY000405,FLT0003228,66,Crew Availability
DLY000406,FLT0003231,237,Late Aircraft Arrival
DLY000407,FLT0003233,147,Security
DLY000408,FLT0003237,171,Late Aircraft Arrival
DLY000409,FLT0003239,97,Weather
DLY000410,FLT0003268,204,Late Aircraft Arrival
DLY000411,FLT0003269,139,Air Traffic Control
DLY000412,FLT0003287,203,Crew Availability
DLY000413,FLT0003289,32,Weather
DLY000414,FLT0003292,119,Mechanical Issue
DLY000415,FLT0003299,41,Security
DLY000416,FLT0003300,16,Mechanical Issue
DLY000417,FLT0003302,62,Mechanical Issue
DLY000418,FLT0003311,222,Security
DLY000419,FLT0003318,65,Weather
DLY000420,FLT0003327,138,Crew Availability
DLY000421,FLT0003337,38,Air Traffic Control
DLY000422,FLT0003344,219,Airport Operations
DLY000423,FLT0003356,131,Air Traffic Control
DLY000424,FLT0003359,205,Crew Availability
DLY000425,FLT0003362,163,Airport Operations
DLY000426,FLT0003365,38,Air Traffic Control
DLY000427,FLT0003366,181,Crew Availability
DLY000428,FLT0003379,125,Weather
DLY000429,FLT0003386,61,Weather
DLY000430,FLT0003389,15,Air Traffic Control
DLY000431,FLT0003398,116,Crew Availability
DLY000432,FLT0003400,198,Weather
DLY000433,FLT0003402,69,Late Aircraft Arrival
DLY000434,FLT0003409,111,Weather
DLY000435,FLT0003414,147,Air Traffic Control
DLY000436,FLT0003417,221,Air Traffic Control
DLY000437,FLT0003422,143,Airport Operations
DLY000438,FLT0003424,99,Late Aircraft Arrival
DLY000439,FLT0003447,230,Weather
DLY000440,FLT0003449,219,Air Traffic Control
DLY000441,FLT0003462,234,Security
DLY000442,FLT0003468,76,Crew Availability
DLY000443,FLT0003484,106,Crew Availability
DLY000444,FLT0003486,212,Mechanical Issue
DLY000445,FLT0003499,44,Air Traffic Control
DLY000446,FLT0003518,186,Air Traffic Control
DLY000447,FLT0003523,94,Airport Operations
DLY000448,FLT0003554,231,Airport Operations
DLY000449,FLT0003558,81,Air Traffic Control
DLY000450,FLT0003568,205,Late Aircraft Arrival
DLY000451,FLT0003582,102,Airport Operations
DLY000452,FLT0003584,91,Weather
DLY000453,FLT0003585,221,Late Aircraft Arrival
DLY000454,FLT0003590,72,Air Traffic Control
DLY000455,FLT0003610,211,Mechanical Issue
DLY000456,FLT0003615,96,Mechanical Issue
DLY000457,FLT0003620,188,Mechanical Issue
DLY000458,FLT0003622,205,Weather
DLY000459,FLT0003623,112,Airport Operations
DLY000460,FLT0003641,22,Airport Operations
DLY000461,FLT0003659,111,Air Traffic Control
DLY000462,FLT0003661,38,Air Traffic Control
DLY000463,FLT0003664,214,Mechanical Issue
DLY000464,FLT0003674,165,Airport Operations
DLY000465,FLT0003682,97,Airport Operations
DLY000466,FLT0003693,141,Air Traffic Control
DLY000467,FLT0003710,202,Airport Operations
DLY000468,FLT0003713,137,Crew Availability
DLY000469,FLT0003716,93,Airport Operations
DLY000470,FLT0003734,192,Air Traffic Control
DLY000471,FLT0003735,56,Crew Availability
DLY000472,FLT0003740,70,Air Traffic Control
DLY000473,FLT0003751,20,Airport Operations
DLY000474,FLT0003770,233,Late Aircraft Arrival
DLY000475,FLT0003771,107,Air Traffic Control
DLY000476,FLT0003794,165,Security
DLY000477,FLT0003797,23,Weather
DLY000478,FLT0003816,78,Security
DLY000479,FLT0003820,179,Weather
DLY000480,FLT0003829,204,Air Traffic Control
DLY000481,FLT0003830,170,Air Traffic Control
DLY000482,FLT0003842,21,Late Aircraft Arrival
DLY000483,FLT0003847,191,Late Aircraft Arrival
DLY000484,FLT0003868,61,Mechanical Issue
DLY000485,FLT0003887,210,Weather
DLY000486,FLT0003891,99,Air Traffic Control
DLY000487,FLT0003894,165,Mechanical Issue
DLY000488,FLT0003895,156,Late Aircraft Arrival
DLY000489,FLT0003902,153,Air Traffic Control
DLY000490,FLT0003921,117,Security
DLY000491,FLT0003922,204,Security
DLY000492,FLT0003923,69,Crew Availability
DLY000493,FLT0003931,73,Security
DLY000494,FLT0003943,220,Crew Availability
DLY000495,FLT0003951,127,Mechanical Issue
DLY000496,FLT0003952,67,Air Traffic Control
DLY000497,FLT0003956,83,Airport Operations
DLY000498,FLT0003957,66,Air Traffic Control
DLY000499,FLT0003973,108,Security
DLY000500,FLT0003981,71,Airport Operations
DLY000501,FLT0003982,231,Airport Operations
DLY000502,FLT0003998,24,Crew Availability
DLY000503,FLT0004013,21,Weather
DLY000504,FLT0004023,143,Crew Availability
DLY000505,FLT0004027,180,Security
DLY000506,FLT0004037,218,Security
DLY000507,FLT0004042,21,Crew Availability
DLY000508,FLT0004044,178,Air Traffic Control
DLY000509,FLT0004050,216,Air Traffic Control
DLY000510,FLT0004061,168,Mechanical Issue
DLY000511,FLT0004077,146,Late Aircraft Arrival
DLY000512,FLT0004086,131,Crew Availability
DLY000513,FLT0004093,162,Weather
DLY000514,FLT0004104,90,Crew Availability
DLY000515,FLT0004113,174,Crew Availability
DLY000516,FLT0004119,51,Airport Operations
DLY000517,FLT0004141,105,Security
DLY000518,FLT0004143,136,Late Aircraft Arrival
DLY000519,FLT0004147,214,Late Aircraft Arrival
DLY000520,FLT0004152,102,Late Aircraft Arrival
DLY000521,FLT0004156,50,Mechanical Issue
DLY000522,FLT0004182,98,Late Aircraft Arrival
DLY000523,FLT0004197,57,Air Traffic Control
DLY000524,FLT0004203,26,Security
DLY000525,FLT0004206,167,Weather
DLY000526,FLT0004212,149,Crew Availability
DLY000527,FLT0004217,92,Airport Operations
DLY000528,FLT0004222,46,Crew Availability
DLY000529,FLT0004242,128,Air Traffic Control
DLY000530,FLT0004250,72,Airport Operations
DLY000531,FLT0004251,68,Late Aircraft Arrival
DLY000532,FLT0004253,137,Crew Availability
DLY000533,FLT0004259,74,Late Aircraft Arrival
DLY000534,FLT0004276,81,Security
DLY000535,FLT0004295,59,Crew Availability
DLY000536,FLT0004318,97,Weather
DLY000537,FLT0004321,88,Airport Operations
DLY000538,FLT0004326,73,Mechanical Issue
DLY000539,FLT0004339,118,Late Aircraft Arrival
DLY000540,FLT0004362,199,Security
DLY000541,FLT0004370,104,Air Traffic Control
DLY000542,FLT0004373,140,Air Traffic Control
DLY000543,FLT0004386,95,Crew Availability
DLY000544,FLT0004392,228,Air Traffic Control
DLY000545,FLT0004414,75,Crew Availability
DLY000546,FLT0004420,195,Crew Availability
DLY000547,FLT0004438,217,Security
DLY000548,FLT0004440,16,Weather
DLY000549,FLT0004447,110,Air Traffic Control
DLY000550,FLT0004457,99,Airport Operations
DLY000551,FLT0004466,223,Security
DLY000552,FLT0004467,146,Weather
DLY000553,FLT0004469,83,Crew Availability
DLY000554,FLT0004470,98,Weather
DLY000555,FLT0004480,221,Weather
DLY000556,FLT0004484,168,Mechanical Issue
DLY000557,FLT0004497,157,Crew Availability
DLY000558,FLT0004506,134,Late Aircraft Arrival
DLY000559,FLT0004516,167,Airport Operations
DLY000560,FLT0004518,90,Air Traffic Control
DLY000561,FLT0004524,39,Crew Availability
DLY000562,FLT0004525,204,Air Traffic Control
DLY000563,FLT0004537,130,Mechanical Issue
DLY000564,FLT0004554,174,Security
DLY000565,FLT0004555,152,Late Aircraft Arrival
DLY000566,FLT0004566,130,Weather
DLY000567,FLT0004569,131,Mechanical Issue
DLY000568,FLT0004570,131,Weather
DLY000569,FLT0004581,157,Airport Operations
DLY000570,FLT0004583,64,Mechanical Issue
DLY000571,FLT0004601,51,Late Aircraft Arrival
DLY000572,FLT0004606,223,Mechanical Issue
DLY000573,FLT0004615,59,Late Aircraft Arrival
DLY000574,FLT0004627,180,Air Traffic Control
DLY000575,FLT0004628,111,Weather
DLY000576,FLT0004639,106,Airport Operations
DLY000577,FLT0004650,130,Weather
DLY000578,FLT0004653,174,Weather
DLY000579,FLT0004655,43,Crew Availability
DLY000580,FLT0004656,171,Airport Operations
DLY000581,FLT0004670,27,Mechanical Issue
DLY000582,FLT0004683,64,Security
DLY000583,FLT0004689,238,Mechanical Issue
DLY000584,FLT0004695,236,Security
DLY000585,FLT0004699,206,Weather
DLY000586,FLT0004701,203,Air Traffic Control
DLY000587,FLT0004707,117,Weather
DLY000588,FLT0004716,141,Air Traffic Control
DLY000589,FLT0004729,166,Air Traffic Control
DLY000590,FLT0004738,223,Airport Operations
DLY000591,FLT0004739,76,Mechanical Issue
DLY000592,FLT0004741,32,Weather
DLY000593,FLT0004758,107,Crew Availability
DLY000594,FLT0004761,234,Weather
DLY000595,FLT0004770,164,Crew Availability
DLY000596,FLT0004779,166,Security
DLY000597,FLT0004781,214,Airport Operations
DLY000598,FLT0004785,97,Air Traffic Control
DLY000599,FLT0004790,200,Crew Availability
DLY000600,FLT0004791,21,Security
DLY000601,FLT0004805,144,Weather
DLY000602,FLT0004846,74,Mechanical Issue
DLY000603,FLT0004853,77,Mechanical Issue
DLY000604,FLT0004867,131,Air Traffic Control
DLY000605,FLT0004877,138,Mechanical Issue
DLY000606,FLT0004886,237,Mechanical Issue
DLY000607,FLT0004899,17,Late Aircraft Arrival
DLY000608,FLT0004901,65,Airport Operations
DLY000609,FLT0004908,156,Mechanical Issue
DLY000610,FLT0004911,192,Crew Availability
DLY000611,FLT0004914,125,Air Traffic Control
DLY000612,FLT0004917,34,Airport Operations
DLY000613,FLT0004922,227,Late Aircraft Arrival
DLY000614,FLT0004929,156,Crew Availability
DLY000615,FLT0004936,28,Air Traffic Control
DLY000616,FLT0004941,192,Late Aircraft Arrival
DLY000617,FLT0004952,161,Late Aircraft Arrival
DLY000618,FLT0004953,192,Security
DLY000619,FLT0004963,66,Security
DLY000620,FLT0004968,103,Crew Availability
DLY000621,FLT0004980,97,Air Traffic Control
DLY000622,FLT0004982,54,Mechanical Issue
DLY000623,FLT0004989,112,Air Traffic Control
DLY000624,FLT0005005,62,Mechanical Issue
DLY000625,FLT0005011,201,Mechanical Issue
DLY000626,FLT0005015,36,Crew Availability
