ticket_id,passenger_id,booking_id,flight_id,fare_class,ticket_price,ticket_status
TKT00000135,PAX00000135,BK00000072,FLT0011830,Economy,106.34,Issued
TKT00000136,PAX00000136,BK00000072,FLT0011830,First,7610.58,Issued
TKT00000137,PAX00000137,BK00000073,FLT0075920,Economy,147.4,Issued
TKT00000138,PAX00000138,BK00000073,FLT0075920,Economy,577.86,Issued
TKT00000139,PAX00000139,BK00000073,FLT0075920,Premium Economy,667.57,Issued
TKT00000140,PAX00000140,BK00000074,FLT0037308,Economy,311.31,Issued
TKT00000141,PAX00000141,BK00000074,FLT0037308,Economy,144.23,Issued
TKT00000142,PAX00000142,BK00000074,FLT0037308,Economy,92.02,Issued
TKT00000143,PAX00000143,BK00000074,FLT0037308,Economy,449.15,Issued
TKT00000144,PAX00000144,BK00000075,FLT0011271,Premium Economy,1144.06,Issued
TKT00000145,PAX00000145,BK00000076,FLT0031047,Economy,301.49,Issued
TKT00000146,PAX00000146,BK00000076,FLT0031047,Economy,570.31,Issued
TKT00000147,PAX00000147,BK00000077,FLT0016213,Economy,310.63,Issued
TKT00000148,PAX00000148,BK00000078,FLT0076893,Business,905.89,Issued
TKT00000149,PAX00000149,BK00000079,FLT0063830,Economy,324.3,Issued
TKT00000150,PAX00000150,BK00000079,FLT0063830,Economy,563.48,Issued
TKT00000151,PAX00000151,BK00000080,FLT0060560,Economy,295.66,Issued
TKT00000152,PAX00000152,BK00000081,FLT0062986,Economy,279.59,Issued
TKT00000153,PAX00000153,BK00000082,FLT0022113,Economy,572.56,Issued
TKT00000154,PAX00000154,BK00000083,FLT0070680,Economy,220.46,Issued
TKT00000155,PAX00000155,BK00000083,FLT0070680,Economy,162.56,Issued
TKT00000156,PAX00000156,BK00000084,FLT0005230,Economy,402.47,Issued
TKT00000157,PAX00000157,BK00000084,FLT0005230,Business,2499.41,Issued
TKT00000158,PAX00000158,BK00000085,FLT0036831,Economy,414.38,Issued
TKT00000159,PAX00000159,BK00000086,FLT0058496,Economy,163.64,Issued
TKT00000160,PAX00000160,BK00000087,FLT0073169,Premium Economy,965.77,Cancelled
TKT00000161,PAX00000161,BK00000087,FLT0073169,Economy,496.82,Cancelled
TKT00000162,PAX00000162,BK00000087,FLT0073169,Economy,430.31,Cancelled
TKT00000163,PAX00000163,BK00000087,FLT0073169,Economy,345.22,Cancelled
TKT00000164,PAX00000164,BK00000088,FLT0028264,Economy,94.7,Issued
TKT00000165,PAX00000165,BK00000089,FLT0048036,First,6331.9,Issued
TKT00000166,PAX00000166,BK00000090,FLT0034241,Economy,543.93,Issued
TKT00000167,PAX00000167,BK00000091,FLT0079262,Economy,387.1,Issued
TKT00000168,PAX00000168,BK00000092,FLT0004175,Economy,520.06,Issued
TKT00000169,PAX00000169,BK00000093,FLT0069207,Economy,247.53,Issued
TKT00000170,PAX00000170,BK00000094,FLT0035173,Premium Economy,303.95,Issued
TKT00000171,PAX00000171,BK00000095,FLT0073575,Economy,314.44,Cancelled
TKT00000172,PAX00000172,BK00000095,FLT0073575,Economy,217.08,Cancelled
TKT00000173,PAX00000173,BK00000095,FLT0073575,Economy,543.55,Cancelled
TKT00000174,PAX00000174,BK00000096,FLT0000951,First,3510.3,Issued
TKT00000175,PAX00000175,BK00000097,FLT0021003,Premium Economy,1191.72,Issued
TKT00000176,PAX00000176,BK00000098,FLT0015097,Economy,554.48,Issued
TKT00000177,PAX00000177,BK00000098,FLT0015097,Economy,574.29,Issued
TKT00000178,PAX00000178,BK00000099,FLT0063814,Economy,328.51,Issued
TKT00000179,PAX00000179,BK00000099,FLT0063814,Economy,452.78,Issued
TKT00000180,PAX00000180,BK00000099,FLT0063814,Premium Economy,800.6,Issued
TKT00000181,PAX00000181,BK00000099,FLT0063814,Premium Economy,1145.31,Issued
TKT00000182,PAX00000182,BK00000100,FLT0026447,Premium Economy,1121.69,Issued
TKT00000183,PAX00000183,BK00000100,FLT0026447,Economy,387.51,Issued
TKT00000184,PAX00000184,BK00000101,FLT0064153,Economy,410.4,Issued
TKT00000185,PAX00000185,BK00000101,FLT0064153,Premium Economy,1034.85,Issued
TKT00000186,PAX00000186,BK00000101,FLT0064153,Economy,452.24,Issued
TKT00000187,PAX00000187,BK00000102,FLT0052246,Premium Economy,411.29,Issued
TKT00000188,PAX00000188,BK00000103,FLT0071371,Economy,495.46,Cancelled
TKT00000189,PAX00000189,BK00000103,FLT0071371,Economy,501.74,Cancelled
TKT00000190,PAX00000190,BK00000104,FLT0047691,Economy,597.05,Issued
TKT00000191,PAX00000191,BK00000104,FLT0047691,Premium Economy,1135.24,Issued
TKT00000192,PAX00000192,BK00000104,FLT0047691,Economy,586.28,Issued
TKT00000193,PAX00000193,BK00000105,FLT0066850,Economy,268.02,Issued
TKT00000194,PAX00000194,BK00000105,FLT0066850,Economy,212.6,Issued
TKT00000195,PAX00000195,BK00000106,FLT0009976,Economy,582.2,Issued
TKT00000196,PAX00000196,BK00000107,FLT0056201,Economy,268.86,Issued
TKT00000197,PAX00000197,BK00000108,FLT0041204,Economy,124.0,Issued
TKT00000198,PAX00000198,BK00000109,FLT0072615,Premium Economy,983.57,Issued
TKT00000199,PAX00000199,BK00000110,FLT0002377,Economy,598.25,Issued
TKT00000200,PAX00000200,BK00000110,FLT0002377,Business,1242.77,Issued
TKT00000201,PAX00000201,BK00000111,FLT0002678,Economy,116.87,Issued
TKT00000202,PAX00000202,BK00000112,FLT0055605,Economy,363.48,Issued
TKT00000203,PAX00000203,BK00000113,FLT0048201,Economy,406.25,Issued
TKT00000204,PAX00000204,BK00000113,FLT0048201,Economy,243.25,Issued
TKT00000205,PAX00000205,BK00000113,FLT0048201,First,8373.85,Issued
TKT00000206,PAX00000206,BK00000114,FLT0061813,Economy,258.47,Issued
TKT00000207,PAX00000207,BK00000114,FLT0061813,Premium Economy,499.23,Issued
TKT00000208,PAX00000208,BK00000114,FLT0061813,Economy,157.05,Issued
TKT00000209,PAX00000209,BK00000114,FLT0061813,Economy,354.83,Issued
TKT00000210,PAX00000210,BK00000115,FLT0068925,Economy,363.73,Issued
TKT00000211,PAX00000211,BK00000116,FLT0069745,Economy,575.62,Issued
TKT00000212,PAX00000212,BK00000116,FLT0069745,Economy,112.79,Issued
TKT00000213,PAX00000213,BK00000117,FLT0068838,Premium Economy,953.23,Issued
TKT00000214,PAX00000214,BK00000117,FLT0068838,Economy,167.3,Issued
TKT00000215,PAX00000215,BK00000117,FLT0068838,Economy,373.83,Issued
TKT00000216,PAX00000216,BK00000118,FLT0055964,First,8388.87,Issued
TKT00000217,PAX00000217,BK00000118,FLT0055964,Economy,523.41,Issued
TKT00000218,PAX00000218,BK00000118,FLT0055964,Economy,379.22,Issued
TKT00000219,PAX00000219,BK00000118,FLT0055964,Premium Economy,733.72,Issued
TKT00000220,PAX00000220,BK00000119,FLT0028934,Economy,282.63,Issued
TKT00000221,PAX00000221,BK00000119,FLT0028934,Economy,195.69,Issued
TKT00000222,PAX00000222,BK00000119,FLT0028934,Economy,113.39,Issued
TKT00000223,PAX00000223,BK00000119,FLT0028934,Economy,294.52,Issued
TKT00000224,PAX00000224,BK00000120,FLT0052883,Economy,229.3,Issued
TKT00000225,PAX00000225,BK00000120,FLT0052883,Economy,264.51,Issued
TKT00000226,PAX00000226,BK00000120,FLT0052883,Premium Economy,658.45,Issued
TKT00000227,PAX00000227,BK00000121,FLT0004006,Economy,557.09,Issued
TKT00000228,PAX00000228,BK00000121,FLT0004006,Economy,201.83,Issued
TKT00000229,PAX00000229,BK00000122,FLT0076257,Economy,208.56,Issued
TKT00000230,PAX00000230,BK00000122,FLT0076257,Business,3034.63,Issued
TKT00000231,PAX00000231,BK00000123,FLT0032465,Economy,436.3,Cancelled
TKT00000232,PAX00000232,BK00000124,FLT0061889,Economy,82.99,Issued
TKT00000233,PAX00000233,BK00000124,FLT0061889,Economy,461.16,Issued
TKT00000234,PAX00000234,BK00000125,FLT0044572,Economy,249.95,Issued
TKT00000235,PAX00000235,BK00000126,FLT0012989,Economy,357.36,Issued
TKT00000236,PAX00000236,BK00000126,FLT0012989,Economy,574.96,Issued
TKT00000237,PAX00000237,BK00000126,FLT0012989,Economy,424.49,Issued
TKT00000238,PAX00000238,BK00000126,FLT0012989,Economy,521.35,Issued
TKT00000239,PAX00000239,BK00000127,FLT0064019,Economy,384.88,Issued
TKT00000240,PAX00000240,BK00000127,FLT0064019,Economy,346.16,Issued
TKT00000241,PAX00000241,BK00000127,FLT0064019,Premium Economy,698.84,Issued
TKT00000242,PAX00000242,BK00000128,FLT0035164,Business,2358.91,Issued
TKT00000243,PAX00000243,BK00000129,FLT0061224,Economy,103.14,Issued
TKT00000244,PAX00000244,BK00000130,FLT0067237,Economy,328.79,Cancelled
TKT00000245,PAX00000245,BK00000130,FLT0067237,Economy,505.43,Cancelled
TKT00000246,PAX00000246,BK00000131,FLT0019926,Business,1814.09,Issued
TKT00000247,PAX00000247,BK00000131,FLT0019926,Business,2324.45,Issued
TKT00000248,PAX00000248,BK00000132,FLT0074837,Economy,511.51,Issued
TKT00000249,PAX00000249,BK00000133,FLT0030734,Premium Economy,450.09,Issued
TKT00000250,PAX00000250,BK00000133,FLT0030734,Economy,332.08,Issued
TKT00000251,PAX00000251,BK00000134,FLT0017777,Premium Economy,678.27,Issued
TKT00000252,PAX00000252,BK00000135,FLT0009873,Economy,337.15,Issued
TKT00000253,PAX00000253,BK00000136,FLT0003757,Economy,380.89,Issued
TKT00000254,PAX00000254,BK00000136,FLT0003757,Economy,237.03,Issued
TKT00000255,PAX00000255,BK00000136,FLT0003757,Economy,144.58,Issued
TKT00000256,PAX00000256,BK00000137,FLT0033061,Economy,142.46,Issued
TKT00000257,PAX00000257,BK00000137,FLT0033061,Economy,285.15,Issued
TKT00000258,PAX00000258,BK00000137,FLT0033061,Premium Economy,459.58,Issued
TKT00000259,PAX00000259,BK00000138,FLT0039581,First,3367.99,Issued
TKT00000260,PAX00000260,BK00000138,FLT0039581,Economy,229.69,Issued
TKT00000261,PAX00000261,BK00000139,FLT0067243,Economy,347.99,Issued
TKT00000262,PAX00000262,BK00000139,FLT0067243,Economy,445.29,Issued
TKT00000263,PAX00000263,BK00000140,FLT0042758,Economy,472.85,Issued
TKT00000264,PAX00000264,BK00000141,FLT0068922,Premium Economy,1132.87,Issued
TKT00000265,PAX00000265,BK00000141,FLT0068922,Economy,114.29,Issued
TKT00000266,PAX00000266,BK00000142,FLT0044642,Premium Economy,662.98,Issued
TKT00000267,PAX00000267,BK00000143,FLT0049463,Economy,533.69,Issued
TKT00000268,PAX00000268,BK00000143,FLT0049463,Economy,100.36,Issued
TKT00000269,PAX00000269,BK00000143,FLT0049463,Economy,421.49,Issued
TKT00000270,PAX00000270,BK00000144,FLT0061344,Economy,150.64,Issued
TKT00000271,PAX00000271,BK00000145,FLT0023332,Economy,546.67,Issued
TKT00000272,PAX00000272,BK00000145,FLT0023332,Economy,306.99,Issued
TKT00000273,PAX00000273,BK00000145,FLT0023332,Economy,386.28,Issued
TKT00000274,PAX00000274,BK00000146,FLT0021755,First,3767.52,Issued
TKT00000275,PAX00000275,BK00000147,FLT0056725,Premium Economy,1133.84,Issued
TKT00000276,PAX00000276,BK00000147,FLT0056725,Premium Economy,887.51,Issued
TKT00000277,PAX00000277,BK00000147,FLT0056725,Economy,533.49,Issued
TKT00000278,PAX00000278,BK00000148,FLT0018916,Economy,390.46,Issued
TKT00000279,PAX00000279,BK00000148,FLT0018916,Economy,351.27,Issued
TKT00000280,PAX00000280,BK00000148,FLT0018916,Economy,126.0,Issued
TKT00000281,PAX00000281,BK00000149,FLT0027246,Premium Economy,792.98,Issued
TKT00000282,PAX00000282,BK00000150,FLT0007232,Premium Economy,494.03,Issued
TKT00000283,PAX00000283,BK00000150,FLT0007232,Premium Economy,945.16,Issued
TKT00000284,PAX00000284,BK00000150,FLT0007232,Economy,123.05,Issued
TKT00000285,PAX00000285,BK00000150,FLT0007232,Economy,556.39,Issued
TKT00000286,PAX00000286,BK00000151,FLT0051102,Economy,528.69,Issued
TKT00000287,PAX00000287,BK00000152,FLT0063654,First,7727.59,Issued
TKT00000288,PAX00000288,BK00000152,FLT0063654,Economy,438.63,Issued
TKT00000289,PAX00000289,BK00000153,FLT0048592,Economy,170.23,Issued
TKT00000290,PAX00000290,BK00000154,FLT0049518,Economy,442.51,Issued
TKT00000291,PAX00000291,BK00000155,FLT0012884,Economy,135.03,Issued
TKT00000292,PAX00000292,BK00000156,FLT0063165,Premium Economy,1041.91,Issued
TKT00000293,PAX00000293,BK00000156,FLT0063165,Economy,194.44,Issued
TKT00000294,PAX00000294,BK00000156,FLT0063165,Economy,201.23,Issued
TKT00000295,PAX00000295,BK00000156,FLT0063165,Economy,492.56,Issued
TKT00000296,PAX00000296,BK00000157,FLT0015023,Economy,529.6,Issued
TKT00000297,PAX00000297,BK00000157,FLT0015023,Economy,560.67,Issued
TKT00000298,PAX00000298,BK00000158,FLT0055351,Economy,442.67,Issued
TKT00000299,PAX00000299,BK00000158,FLT0055351,Economy,161.73,Issued
TKT00000300,PAX00000300,BK00000159,FLT0061683,Economy,193.26,Issued
TKT00000301,PAX00000301,BK00000160,FLT0046651,Business,2177.02,Issued
TKT00000302,PAX00000302,BK00000161,FLT0050359,Economy,472.26,Issued
TKT00000303,PAX00000303,BK00000161,FLT0050359,Business,2396.15,Issued
TKT00000304,PAX00000304,BK00000161,FLT0050359,Business,1107.14,Issued
TKT00000305,PAX00000305,BK00000162,FLT0054283,Economy,322.87,Issued
TKT00000306,PAX00000306,BK00000163,FLT0026987,Economy,345.3,Issued
TKT00000307,PAX00000307,BK00000164,FLT0032382,Economy,325.93,Issued
TKT00000308,PAX00000308,BK00000164,FLT0032382,Economy,135.86,Issued
TKT00000309,PAX00000309,BK00000164,FLT0032382,Economy,395.47,Issued
TKT00000310,PAX00000310,BK00000165,FLT0042311,Economy,115.72,Issued
TKT00000311,PAX00000311,BK00000165,FLT0042311,Business,1121.33,Issued
TKT00000312,PAX00000312,BK00000166,FLT0035480,Premium Economy,777.6,Issued
TKT00000313,PAX00000313,BK00000166,FLT0035480,Business,1770.82,Issued
TKT00000314,PAX00000314,BK00000166,FLT0035480,Business,2137.44,Issued
TKT00000315,PAX00000315,BK00000167,FLT0059764,Economy,210.37,Issued
TKT00000316,PAX00000316,BK00000167,FLT0059764,Economy,243.06,Issued
TKT00000317,PAX00000317,BK00000167,FLT0059764,Business,2754.19,Issued
TKT00000318,PAX00000318,BK00000167,FLT0059764,Economy,453.67,Issued
TKT00000319,PAX00000319,BK00000168,FLT0067938,Economy,552.67,Issued
TKT00000320,PAX00000320,BK00000168,FLT0067938,Premium Economy,930.18,Issued
TKT00000321,PAX00000321,BK00000169,FLT0057552,Economy,477.38,Issued
TKT00000322,PAX00000322,BK00000169,FLT0057552,Premium Economy,435.84,Issued
TKT00000323,PAX00000323,BK00000169,FLT0057552,Economy,494.04,Issued
TKT00000324,PAX00000324,BK00000170,FLT0078498,Premium Economy,545.64,Issued
TKT00000325,PAX00000325,BK00000171,FLT0056904,Economy,379.41,Issued
TKT00000326,PAX00000326,BK00000171,FLT0056904,Economy,133.11,Issued
TKT00000327,PAX00000327,BK00000171,FLT0056904,Business,972.07,Issued
TKT00000328,PAX00000328,BK00000171,FLT0056904,Economy,465.19,Issued
TKT00000329,PAX00000329,BK00000172,FLT0060420,Economy,244.97,Issued
TKT00000330,PAX00000330,BK00000172,FLT0060420,Premium Economy,861.47,Issued
TKT00000331,PAX00000331,BK00000172,FLT0060420,Business,1783.9,Issued
TKT00000332,PAX00000332,BK00000173,FLT0052350,Economy,268.02,Issued
TKT00000333,PAX00000333,BK00000173,FLT0052350,Economy,382.93,Issued
TKT00000334,PAX00000334,BK00000174,FLT0067271,Economy,183.49,Issued
TKT00000335,PAX00000335,BK00000175,FLT0067017,Economy,599.26,Issued
TKT00000336,PAX00000336,BK00000175,FLT0067017,Economy,82.23,Issued
TKT00000337,PAX00000337,BK00000175,FLT0067017,Economy,356.42,Issued
TKT00000338,PAX00000338,BK00000175,FLT0067017,Economy,175.81,Issued
TKT00000339,PAX00000339,BK00000176,FLT0064177,Economy,528.95,Issued
TKT00000340,PAX00000340,BK00000177,FLT0036176,Economy,522.23,Issued
TKT00000341,PAX00000341,BK00000178,FLT0019334,Economy,511.32,Issued
TKT00000342,PAX00000342,BK00000178,FLT0019334,Economy,204.72,Issued
TKT00000343,PAX00000343,BK00000179,FLT0041950,Premium Economy,1015.4,Issued
TKT00000344,PAX00000344,BK00000180,FLT0073347,Economy,137.96,Issued
TKT00000345,PAX00000345,BK00000181,FLT0007959,Economy,277.84,Issued
TKT00000346,PAX00000346,BK00000181,FLT0007959,Economy,436.13,Issued
TKT00000347,PAX00000347,BK00000182,FLT0078101,Economy,81.55,Issued
TKT00000348,PAX00000348,BK00000182,FLT0078101,Business,1741.38,Issued
TKT00000349,PAX00000349,BK00000182,FLT0078101,Premium Economy,416.22,Issued
TKT00000350,PAX00000350,BK00000183,FLT0078991,Economy,528.7,Issued
TKT00000351,PAX00000351,BK00000184,FLT0074070,Premium Economy,688.79,Issued
TKT00000352,PAX00000352,BK00000185,FLT0046482,Economy,406.0,Cancelled
