loyalty_id,customer_id,tier,points_balance,enrollment_date,status
LOY0000052,CUS0054371,Silver,34649,2024-06-13,Suspended
LOY0000053,CUS0052963,Gold,22415,2023-11-09,Active
LOY0000054,CUS0024165,Silver,207778,2024-05-01,Active
LOY0000055,CUS0045183,Blue,185860,2018-01-21,Active
LOY0000056,CUS0015041,Silver,84768,2021-03-10,Active
LOY0000057,CUS0055063,Silver,207630,2017-09-23,Expired
LOY0000058,CUS0052195,Silver,107191,2015-12-25,Active
LOY0000059,CUS0054122,Blue,68343,2016-08-19,Expired
LOY0000060,CUS0027679,Silver,50943,2017-10-03,Expired
LOY0000061,CUS0012886,Gold,137712,2025-10-29,Active
LOY0000062,CUS0032420,Silver,223168,2022-09-01,Active
LOY0000063,CUS0059921,Silver,212516,2024-07-10,Active
LOY0000064,CUS0008595,Gold,108254,2025-12-18,Active
LOY0000065,CUS0026378,Platinum,229471,2024-02-19,Expired
LOY0000066,CUS0029978,Silver,83384,2025-05-19,Suspended
LOY0000067,CUS0006101,Silver,233983,2024-08-18,Active
LOY0000068,CUS0019959,Gold,206546,2016-11-30,Active
LOY0000069,CUS0047539,Blue,182296,2021-08-22,Active
LOY0000070,CUS0054187,Gold,194112,2022-12-28,Active
LOY0000071,CUS0017453,Silver,40886,2025-12-29,Expired
LOY0000072,CUS0018306,Platinum,200797,2024-12-10,Suspended
LOY0000073,CUS0054562,Gold,224274,2017-06-04,Active
LOY0000074,CUS0000679,Silver,212511,2015-03-24,Active
LOY0000075,CUS0032037,Gold,79118,2019-03-26,Expired
LOY0000076,CUS0024533,Silver,65303,2015-01-07,Active
LOY0000077,CUS0051128,Gold,176631,2016-02-15,Suspended
LOY0000078,CUS0018796,Platinum,109106,2024-12-19,Active
LOY0000079,CUS0013210,Silver,234841,2021-06-05,Suspended
LOY0000080,CUS0014880,Blue,113243,2021-06-02,Active
LOY0000081,CUS0037197,Silver,14377,2026-01-03,Active
LOY0000082,CUS0059323,Gold,42597,2022-10-17,Active
LOY0000083,CUS0023976,Platinum,151473,2016-05-26,Suspended
LOY0000084,CUS0022277,Gold,187989,2020-08-01,Active
LOY0000085,CUS0042060,Gold,99989,2016-07-11,Expired
LOY0000086,CUS0020469,Gold,211137,2016-05-29,Suspended
LOY0000087,CUS0013097,Blue,178274,2017-05-30,Active
LOY0000088,CUS0054259,Blue,204328,2024-05-25,Active
LOY0000089,CUS0012919,Gold,53375,2020-01-06,Active
LOY0000090,CUS0020525,Blue,54378,2025-05-31,Active
LOY0000091,CUS0054111,Blue,11581,2016-01-23,Active
LOY0000092,CUS0057218,Gold,155909,2015-01-01,Suspended
LOY0000093,CUS0021599,Gold,79424,2023-05-15,Active
LOY0000094,CUS0019061,Blue,184911,2024-01-10,Active
LOY0000095,CUS0026354,Silver,15608,2024-04-20,Active
LOY0000096,CUS0018793,Gold,158683,2025-05-21,Active
LOY0000097,CUS0056716,Gold,125765,2019-10-26,Active
LOY0000098,CUS0005897,Silver,78557,2021-11-07,Active
LOY0000099,CUS0055946,Silver,194294,2024-05-19,Expired
LOY0000100,CUS0042409,Silver,184410,2017-04-13,Active
LOY0000101,CUS0006661,Blue,150159,2020-11-23,Active
LOY0000102,CUS0011644,Silver,235252,2018-12-27,Active
LOY0000103,CUS0027839,Gold,196000,2020-04-22,Active
LOY0000104,CUS0023948,Silver,128160,2023-11-29,Expired
LOY0000105,CUS0001884,Gold,238949,2016-09-15,Suspended
LOY0000106,CUS0030499,Silver,151835,2023-09-28,Active
LOY0000107,CUS0023278,Silver,201015,2022-10-26,Active
LOY0000108,CUS0048745,Silver,145882,2024-08-02,Suspended
LOY0000109,CUS0039946,Gold,226357,2018-08-03,Active
LOY0000110,CUS0040867,Silver,75524,2025-01-23,Active
LOY0000111,CUS0010375,Blue,222753,2023-10-10,Suspended
LOY0000112,CUS0055581,Gold,10353,2015-11-15,Expired
LOY0000113,CUS0037472,Silver,46663,2022-03-02,Suspended
LOY0000114,CUS0019453,Silver,167949,2025-08-20,Active
LOY0000115,CUS0014872,Silver,98655,2017-11-26,Active
LOY0000116,CUS0010635,Gold,57292,2018-09-30,Expired
LOY0000117,CUS0049900,Blue,204666,2022-12-14,Active
LOY0000118,CUS0051720,Blue,202345,2023-09-24,Suspended
LOY0000119,CUS0048316,Gold,224501,2026-01-25,Active
LOY0000120,CUS0045519,Gold,204880,2026-06-02,Active
LOY0000121,CUS0033687,Silver,227337,2023-11-07,Suspended
LOY0000122,CUS0011696,Gold,231327,2025-01-24,Suspended
LOY0000123,CUS0007254,Blue,130181,2016-10-16,Active
LOY0000124,CUS0014640,Blue,226131,2023-06-03,Suspended
LOY0000125,CUS0047279,Silver,45157,2020-05-23,Expired
LOY0000126,CUS0007470,Silver,235206,2019-05-18,Suspended
LOY0000127,CUS0038893,Gold,232441,2023-01-24,Expired
LOY0000128,CUS0042395,Gold,55789,2022-07-16,Active
LOY0000129,CUS0056410,Silver,110733,2024-04-02,Suspended
LOY0000130,CUS0047156,Silver,172541,2018-12-21,Suspended
LOY0000131,CUS0027816,Blue,97820,2024-03-30,Suspended
LOY0000132,CUS0057282,Platinum,220282,2021-02-03,Expired
LOY0000133,CUS0013018,Gold,62740,2026-04-13,Expired
LOY0000134,CUS0059943,Gold,241337,2016-01-21,Expired
LOY0000135,CUS0018118,Blue,246512,2019-12-24,Active
LOY0000136,CUS0028438,Silver,50663,2021-01-06,Active
LOY0000137,CUS0002997,Gold,30656,2015-06-30,Suspended
LOY0000138,CUS0013040,Gold,12766,2018-03-25,Active
LOY0000139,CUS0019545,Silver,237254,2020-06-04,Active
LOY0000140,CUS0052590,Gold,82157,2019-07-24,Active
LOY0000141,CUS0021731,Blue,189542,2021-08-03,Active
LOY0000142,CUS0012806,Blue,109828,2020-11-27,Active
LOY0000143,CUS0042925,Blue,38304,2019-08-13,Expired
LOY0000144,CUS0002994,Silver,61733,2016-04-20,Active
LOY0000145,CUS0012129,Gold,114373,2025-11-08,Active
LOY0000146,CUS0004584,Silver,196550,2025-08-25,Active
LOY0000147,CUS0048117,Blue,226469,2015-09-07,Active
LOY0000148,CUS0053601,Silver,97962,2017-03-14,Active
LOY0000149,CUS0047842,Blue,40436,2023-01-28,Active
LOY0000150,CUS0014504,Blue,205102,2020-05-21,Suspended
LOY0000151,CUS0005695,Silver,207346,2025-07-23,Active
LOY0000152,CUS0032197,Platinum,89567,2025-01-14,Active
LOY0000153,CUS0048309,Gold,221189,2016-01-11,Active
LOY0000154,CUS0020134,Silver,38163,2015-06-10,Expired
LOY0000155,CUS0010805,Silver,51212,2019-09-02,Active
LOY0000156,CUS0018384,Silver,141276,2022-03-02,Suspended
LOY0000157,CUS0049253,Gold,67210,2024-10-18,Active
LOY0000158,CUS0053799,Silver,62264,2016-05-01,Suspended
LOY0000159,CUS0044527,Gold,25263,2017-09-14,Active
LOY0000160,CUS0012804,Gold,115242,2023-08-01,Expired
LOY0000161,CUS0005236,Blue,52659,2025-01-12,Expired
LOY0000162,CUS0004443,Blue,179611,2022-11-28,Active
LOY0000163,CUS0047203,Platinum,91805,2023-08-10,Active
LOY0000164,CUS0030839,Silver,157655,2015-03-31,Expired
LOY0000165,CUS0023309,Gold,22355,2022-02-12,Expired
LOY0000166,CUS0022971,Silver,166188,2015-11-01,Expired
LOY0000167,CUS0019751,Silver,225894,2026-05-30,Active
LOY0000168,CUS0028129,Silver,157655,2024-05-04,Active
LOY0000169,CUS0005390,Blue,160744,2023-10-07,Active
LOY0000170,CUS0032776,Silver,74643,2023-04-29,Suspended
LOY0000171,CUS0020903,Silver,188245,2025-06-12,Active
LOY0000172,CUS0022916,Silver,124733,2020-08-10,Suspended
LOY0000173,CUS0059574,Gold,215349,2020-05-12,Active
LOY0000174,CUS0001827,Platinum,88490,2016-11-23,Active
LOY0000175,CUS0039196,Platinum,182907,2019-04-13,Suspended
LOY0000176,CUS0028522,Platinum,30441,2021-05-19,Expired
LOY0000177,CUS0005125,Silver,217477,2022-01-14,Active
LOY0000178,CUS0035323,Platinum,177105,2017-01-25,Expired
LOY0000179,CUS0059358,Blue,161887,2022-07-22,Suspended
LOY0000180,CUS0000491,Silver,139181,2017-11-14,Expired
LOY0000181,CUS0047994,Gold,106177,2022-09-13,Active
LOY0000182,CUS0042225,Blue,176528,2019-04-24,Active
LOY0000183,CUS0042927,Blue,179796,2025-07-13,Suspended
LOY0000184,CUS0032791,Silver,101038,2025-06-24,Active
LOY0000185,CUS0044362,Gold,23458,2017-07-25,Active
LOY0000186,CUS0033758,Silver,181417,2020-06-27,Expired
LOY0000187,CUS0036942,Blue,60972,2016-09-11,Suspended
LOY0000188,CUS0010890,Silver,82364,2015-11-22,Suspended
LOY0000189,CUS0009178,Platinum,51044,2025-03-11,Active
LOY0000190,CUS0023818,Gold,83878,2022-12-28,Active
LOY0000191,CUS0020656,Gold,83670,2023-06-16,Active
LOY0000192,CUS0041391,Silver,196672,2024-02-01,Suspended
LOY0000193,CUS0006254,Blue,12363,2025-06-08,Active
LOY0000194,CUS0012050,Blue,23325,2016-05-09,Active
LOY0000195,CUS0011599,Silver,5724,2025-10-14,Expired
LOY0000196,CUS0049453,Platinum,69210,2023-11-29,Active
LOY0000197,CUS0054703,Blue,167514,2025-09-12,Suspended
LOY0000198,CUS0045823,Gold,207891,2017-05-22,Suspended
LOY0000199,CUS0010618,Silver,234901,2016-02-05,Suspended
LOY0000200,CUS0041237,Silver,19403,2020-08-28,Active
LOY0000201,CUS0055020,Gold,236441,2021-07-31,Expired
LOY0000202,CUS0044914,Gold,171615,2017-06-11,Expired
LOY0000203,CUS0012395,Silver,230179,2023-12-04,Suspended
LOY0000204,CUS0032388,Silver,198749,2016-06-30,Expired
LOY0000205,CUS0028834,Blue,24750,2022-01-08,Active
LOY0000206,CUS0039204,Silver,186740,2024-01-07,Expired
LOY0000207,CUS0054022,Gold,101764,2015-11-30,Suspended
LOY0000208,CUS0001778,Silver,24208,2020-03-03,Expired
LOY0000209,CUS0019253,Silver,116843,2025-07-21,Expired
LOY0000210,CUS0011217,Gold,150979,2015-08-24,Active
LOY0000211,CUS0021130,Silver,156856,2019-06-20,Active
LOY0000212,CUS0058112,Gold,157479,2016-01-12,Suspended
LOY0000213,CUS0003531,Gold,33442,2019-09-27,Active
LOY0000214,CUS0059775,Gold,76724,2025-05-21,Active
LOY0000215,CUS0023771,Gold,240423,2018-05-23,Suspended
LOY0000216,CUS0015059,Silver,154129,2016-08-26,Expired
LOY0000217,CUS0054946,Gold,10535,2017-07-01,Active
LOY0000218,CUS0022595,Silver,57629,2019-08-22,Suspended
LOY0000219,CUS0004594,Silver,35753,2019-09-17,Active
LOY0000220,CUS0005021,Gold,206644,2021-10-02,Active
LOY0000221,CUS0021296,Silver,138682,2019-04-07,Active
LOY0000222,CUS0001871,Blue,127886,2022-11-28,Active
LOY0000223,CUS0034419,Silver,89558,2015-02-05,Active
LOY0000224,CUS0026947,Silver,56031,2023-03-22,Active
LOY0000225,CUS0052287,Blue,95739,2018-08-20,Active
LOY0000226,CUS0047420,Silver,154253,2018-01-02,Active
LOY0000227,CUS0048067,Blue,212984,2025-02-16,Active
LOY0000228,CUS0037650,Silver,180158,2019-11-17,Active
LOY0000229,CUS0035347,Silver,53607,2015-04-23,Suspended
LOY0000230,CUS0005579,Silver,48168,2022-12-20,Active
LOY0000231,CUS0055439,Gold,122073,2016-04-14,Active
LOY0000232,CUS0025357,Blue,19127,2021-01-18,Active
LOY0000233,CUS0021327,Gold,190106,2025-05-27,Active
LOY0000234,CUS0009978,Silver,239290,2024-05-10,Expired
LOY0000235,CUS0032980,Silver,24905,2015-02-02,Active
LOY0000236,CUS0033315,Silver,209925,2023-01-19,Expired
LOY0000237,CUS0009045,Silver,21884,2025-08-01,Active
LOY0000238,CUS0041337,Blue,146266,2015-05-23,Active
LOY0000239,CUS0058951,Platinum,238283,2026-01-21,Expired
LOY0000240,CUS0034465,Blue,108598,2021-08-23,Active
LOY0000241,CUS0011328,Blue,119309,2023-10-25,Active
LOY0000242,CUS0053632,Gold,160878,2025-06-24,Active
LOY0000243,CUS0013118,Platinum,36084,2016-06-14,Active
LOY0000244,CUS0003094,Silver,211867,2015-02-14,Suspended
LOY0000245,CUS0018218,Gold,219497,2025-05-21,Active
LOY0000246,CUS0018747,Silver,127740,2018-01-16,Active
LOY0000247,CUS0020668,Platinum,1667,2019-10-09,Active
LOY0000248,CUS0013856,Blue,43529,2022-09-06,Expired
LOY0000249,CUS0049906,Blue,95282,2019-03-05,Active
LOY0000250,CUS0028195,Gold,191163,2026-01-01,Active
LOY0000251,CUS0042202,Silver,104124,2022-01-24,Expired
LOY0000252,CUS0051127,Gold,142863,2026-04-09,Active
LOY0000253,CUS0027826,Gold,206113,2021-11-07,Active
LOY0000254,CUS0050737,Gold,245660,2017-08-31,Expired
LOY0000255,CUS0031857,Gold,165029,2021-02-12,Active
LOY0000256,CUS0053409,Blue,129060,2018-09-02,Active
LOY0000257,CUS0046629,Blue,179953,2021-05-20,Suspended
LOY0000258,CUS0017963,Gold,11412,2021-07-07,Active
LOY0000259,CUS0020839,Silver,62906,2024-02-25,Suspended
LOY0000260,CUS0029547,Gold,105913,2015-03-23,Expired
LOY0000261,CUS0023570,Silver,105083,2020-08-01,Active
LOY0000262,CUS0031992,Gold,96061,2024-05-06,Active
LOY0000263,CUS0017664,Silver,23568,2020-10-27,Active
LOY0000264,CUS0001898,Silver,186265,2017-11-06,Suspended
LOY0000265,CUS0035941,Blue,148932,2020-03-08,Expired
LOY0000266,CUS0020568,Silver,24222,2019-04-17,Suspended
LOY0000267,CUS0028978,Blue,145688,2018-02-05,Active
LOY0000268,CUS0035905,Blue,198381,2025-01-11,Active
LOY0000269,CUS0038769,Silver,125987,2023-06-07,Expired
LOY0000270,CUS0002847,Silver,198571,2020-01-20,Expired
LOY0000271,CUS0055679,Silver,105051,2020-05-15,Expired
LOY0000272,CUS0005973,Silver,92626,2022-04-16,Active
LOY0000273,CUS0020742,Platinum,47019,2019-01-17,Active
LOY0000274,CUS0042578,Blue,27739,2016-02-08,Active
LOY0000275,CUS0041828,Silver,14093,2026-03-01,Active
LOY0000276,CUS0010470,Gold,83050,2023-05-31,Expired
LOY0000277,CUS0038934,Gold,158395,2026-01-01,Expired
LOY0000278,CUS0041241,Gold,220704,2021-03-18,Active
LOY0000279,CUS0017229,Silver,170259,2020-05-02,Active
LOY0000280,CUS0010044,Silver,207784,2022-01-13,Active
LOY0000281,CUS0017651,Blue,23621,2015-10-28,Active
LOY0000282,CUS0051693,Gold,245101,2015-07-31,Active
LOY0000283,CUS0034393,Silver,82182,2018-06-23,Active
LOY0000284,CUS0044606,Silver,215883,2015-04-07,Active
LOY0000285,CUS0055855,Blue,151429,2017-03-23,Suspended
LOY0000286,CUS0055556,Gold,84423,2019-02-04,Active
LOY0000287,CUS0004409,Silver,143070,2021-12-03,Active
LOY0000288,CUS0048682,Gold,42992,2024-05-14,Suspended
LOY0000289,CUS0045433,Gold,139233,2017-05-23,Suspended
LOY0000290,CUS0058607,Silver,142886,2015-07-23,Active
LOY0000291,CUS0001631,Blue,223453,2015-08-12,Expired
LOY0000292,CUS0059545,Blue,191942,2023-04-25,Active
LOY0000293,CUS0033943,Silver,80469,2019-04-28,Expired
LOY0000294,CUS0001318,Blue,49661,2020-07-21,Suspended
LOY0000295,CUS0044201,Gold,214951,2022-03-29,Suspended
LOY0000296,CUS0044593,Gold,134853,2017-09-18,Active
LOY0000297,CUS0058255,Blue,168795,2015-11-09,Suspended
LOY0000298,CUS0011160,Blue,76743,2023-07-27,Active
LOY0000299,CUS0036238,Silver,117764,2017-07-27,Expired
LOY0000300,CUS0000926,Blue,43350,2018-09-26,Expired
LOY0000301,CUS0048591,Silver,219876,2017-09-20,Active
LOY0000302,CUS0007080,Silver,48071,2017-07-30,Expired
LOY0000303,CUS0046032,Silver,56726,2015-10-13,Active
LOY0000304,CUS0018672,Silver,235400,2015-04-21,Active
LOY0000305,CUS0043816,Gold,207305,2026-02-24,Suspended
LOY0000306,CUS0026114,Gold,111189,2020-06-16,Suspended
LOY0000307,CUS0024967,Silver,123374,2020-05-29,Active
LOY0000308,CUS0030172,Gold,246311,2023-06-15,Expired
LOY0000309,CUS0011227,Silver,33888,2024-08-13,Suspended
LOY0000310,CUS0044816,Gold,31721,2023-06-17,Suspended
LOY0000311,CUS0001889,Gold,229683,2015-05-18,Expired
LOY0000312,CUS0031542,Gold,227976,2021-07-24,Expired
LOY0000313,CUS0005881,Blue,171983,2023-07-05,Suspended
LOY0000314,CUS0056135,Gold,113224,2019-07-13,Active
LOY0000315,CUS0055311,Gold,65009,2016-07-14,Expired
LOY0000316,CUS0002333,Gold,236543,2023-03-23,Active
LOY0000317,CUS0034366,Silver,94026,2022-11-14,Expired
LOY0000318,CUS0021771,Silver,51893,2023-07-06,Expired
LOY0000319,CUS0036522,Silver,141372,2015-05-16,Active
LOY0000320,CUS0011588,Silver,93644,2019-11-12,Suspended
LOY0000321,CUS0000965,Blue,218527,2022-02-10,Active
LOY0000322,CUS0019224,Platinum,179372,2016-11-27,Expired
LOY0000323,CUS0039882,Silver,81088,2019-08-09,Active
LOY0000324,CUS0049041,Gold,165801,2020-07-12,Suspended
LOY0000325,CUS0025152,Gold,169236,2018-08-07,Active
LOY0000326,CUS0044339,Gold,27998,2021-10-23,Active
LOY0000327,CUS0020193,Platinum,224563,2018-11-25,Suspended
LOY0000328,CUS0016837,Gold,2535,2025-11-19,Active
LOY0000329,CUS0045062,Gold,175678,2019-09-18,Expired
LOY0000330,CUS0036268,Gold,128644,2019-08-13,Active
LOY0000331,CUS0020766,Silver,211873,2017-09-22,Active
LOY0000332,CUS0026534,Silver,192414,2015-07-15,Active
LOY0000333,CUS0032760,Gold,116756,2025-11-13,Expired
LOY0000334,CUS0015411,Blue,91121,2021-02-01,Expired
LOY0000335,CUS0009864,Gold,72581,2017-12-13,Active
LOY0000336,CUS0046210,Gold,195634,2023-05-29,Expired
LOY0000337,CUS0007760,Silver,17757,2023-09-19,Active
LOY0000338,CUS0013726,Platinum,153771,2020-02-25,Active
LOY0000339,CUS0047789,Silver,132920,2025-02-20,Active
LOY0000340,CUS0003921,Blue,87133,2023-08-13,Suspended
LOY0000341,CUS0025544,Gold,67178,2023-06-11,Active
LOY0000342,CUS0021605,Blue,83781,2019-02-18,Active
LOY0000343,CUS0055894,Silver,52002,2019-09-22,Suspended
LOY0000344,CUS0059090,Silver,243730,2021-02-13,Expired
LOY0000345,CUS0005532,Silver,198210,2026-04-12,Expired
LOY0000346,CUS0025236,Gold,215159,2019-05-30,Active
LOY0000347,CUS0028479,Blue,12334,2017-06-22,Active
LOY0000348,CUS0017008,Silver,22515,2023-11-05,Active
LOY0000349,CUS0044317,Blue,85758,2026-07-01,Active
LOY0000350,CUS0044982,Platinum,201323,2017-08-31,Active
LOY0000351,CUS0006378,Gold,893,2020-11-19,Active
LOY0000352,CUS0048080,Silver,164247,2016-02-28,Active
LOY0000353,CUS0027028,Platinum,122091,2018-07-09,Active
LOY0000354,CUS0031827,Blue,57007,2017-03-29,Active
LOY0000355,CUS0002990,Platinum,164193,2025-01-01,Expired
LOY0000356,CUS0044742,Platinum,101077,2021-08-24,Expired
LOY0000357,CUS0006890,Blue,63404,2023-05-24,Active
LOY0000358,CUS0002505,Silver,39881,2016-04-13,Active
LOY0000359,CUS0029529,Silver,1622,2022-07-01,Active
LOY0000360,CUS0010500,Silver,121311,2020-04-03,Active
LOY0000361,CUS0029131,Silver,157312,2023-01-29,Suspended
LOY0000362,CUS0032325,Blue,48977,2025-05-09,Suspended
LOY0000363,CUS0013562,Gold,42018,2021-05-28,Suspended
LOY0000364,CUS0043652,Silver,42211,2016-10-24,Active
LOY0000365,CUS0027475,Silver,196076,2024-09-01,Active
LOY0000366,CUS0027167,Silver,78925,2017-07-14,Active
LOY0000367,CUS0020009,Blue,149700,2015-12-10,Active
LOY0000368,CUS0021032,Silver,111935,2017-09-23,Expired
LOY0000369,CUS0019948,Blue,234227,2025-09-10,Suspended
LOY0000370,CUS0045510,Silver,124490,2024-05-18,Active
LOY0000371,CUS0021621,Silver,2002,2021-10-24,Active
LOY0000372,CUS0010945,Gold,236672,2015-08-22,Active
LOY0000373,CUS0001751,Silver,96368,2015-12-03,Active
LOY0000374,CUS0040117,Silver,234600,2019-07-30,Suspended
LOY0000375,CUS0049640,Silver,137340,2017-09-24,Suspended
LOY0000376,CUS0040805,Gold,18956,2023-08-09,Active
LOY0000377,CUS0036732,Platinum,59438,2023-07-02,Active
LOY0000378,CUS0013721,Blue,231660,2022-01-17,Suspended
LOY0000379,CUS0008123,Silver,188252,2018-07-03,Active
LOY0000380,CUS0057028,Blue,204418,2025-04-26,Suspended
LOY0000381,CUS0026671,Gold,160913,2016-11-30,Suspended
LOY0000382,CUS0045960,Platinum,100006,2020-04-20,Suspended
LOY0000383,CUS0025210,Gold,230467,2021-12-26,Suspended
LOY0000384,CUS0035387,Gold,233229,2025-05-24,Active
LOY0000385,CUS0026045,Silver,128274,2016-02-07,Active
LOY0000386,CUS0024986,Blue,84720,2015-07-17,Suspended
LOY0000387,CUS0006266,Gold,131258,2017-08-09,Active
LOY0000388,CUS0042336,Silver,105056,2026-01-09,Active
LOY0000389,CUS0035138,Silver,6595,2022-04-01,Expired
LOY0000390,CUS0041057,Gold,55434,2015-10-01,Expired
LOY0000391,CUS0056895,Gold,12764,2025-06-02,Active
LOY0000392,CUS0023705,Silver,123795,2020-08-26,Active
LOY0000393,CUS0019431,Silver,155859,2023-04-09,Active
LOY0000394,CUS0040818,Gold,158530,2017-10-17,Active
LOY0000395,CUS0002209,Silver,86011,2018-01-31,Active
LOY0000396,CUS0021709,Gold,102924,2018-04-05,Active
LOY0000397,CUS0028442,Blue,87585,2015-05-25,Suspended
LOY0000398,CUS0045320,Platinum,222458,2026-03-10,Active
LOY0000399,CUS0011907,Gold,61767,2018-08-17,Active
LOY0000400,CUS0025085,Silver,82666,2015-09-23,Active
LOY0000401,CUS0044330,Silver,2613,2021-12-29,Active
LOY0000402,CUS0040846,Silver,148373,2019-01-09,Suspended
LOY0000403,CUS0010701,Blue,135683,2020-11-20,Active
LOY0000404,CUS0053469,Platinum,233179,2018-07-05,Active
LOY0000405,CUS0049740,Silver,100468,2019-04-20,Active
LOY0000406,CUS0013001,Blue,93227,2019-11-06,Active
LOY0000407,CUS0010530,Silver,240342,2020-08-22,Active
LOY0000408,CUS0048268,Silver,151059,2019-03-10,Suspended
LOY0000409,CUS0050333,Silver,86649,2020-08-24,Expired
LOY0000410,CUS0017367,Blue,164101,2016-05-22,Expired
LOY0000411,CUS0028625,Silver,229070,2015-01-20,Active
LOY0000412,CUS0045714,Blue,1067,2018-08-04,Active
LOY0000413,CUS0044802,Silver,37451,2022-06-05,Suspended
LOY0000414,CUS0055224,Silver,127955,2020-10-27,Expired
LOY0000415,CUS0013539,Gold,87341,2018-01-19,Active
LOY0000416,CUS0033654,Gold,202404,2022-10-10,Active
LOY0000417,CUS0016384,Blue,211237,2022-01-09,Active
LOY0000418,CUS0005403,Silver,25147,2024-11-27,Suspended
LOY0000419,CUS0023096,Gold,80229,2018-12-09,Active
LOY0000420,CUS0002210,Platinum,104758,2024-10-04,Active
LOY0000421,CUS0017320,Silver,115484,2022-02-23,Active
LOY0000422,CUS0005218,Blue,206674,2022-06-16,Active
LOY0000423,CUS0024097,Gold,246906,2017-07-23,Active
LOY0000424,CUS0015866,Blue,93900,2025-10-10,Expired
LOY0000425,CUS0011528,Silver,40618,2021-03-12,Active
LOY0000426,CUS0035270,Blue,225374,2023-01-20,Expired
LOY0000427,CUS0021645,Silver,196346,2018-05-07,Expired
LOY0000428,CUS0054861,Gold,243222,2020-03-16,Expired
LOY0000429,CUS0058349,Silver,233698,2025-08-18,Active
LOY0000430,CUS0016953,Silver,228113,2021-11-03,Active
LOY0000431,CUS0046777,Silver,81845,2020-03-02,Active
LOY0000432,CUS0057205,Gold,40877,2024-09-28,Suspended
LOY0000433,CUS0043230,Gold,236052,2022-12-10,Expired
LOY0000434,CUS0026010,Silver,84089,2015-03-25,Suspended
LOY0000435,CUS0044397,Silver,73266,2020-03-26,Expired
LOY0000436,CUS0046041,Gold,126572,2019-04-14,Expired
LOY0000437,CUS0047875,Silver,162640,2025-06-05,Suspended
LOY0000438,CUS0043636,Silver,232103,2017-05-18,Active
LOY0000439,CUS0033076,Silver,183770,2026-03-30,Active
