booking_id,customer_id,booking_date,flight_id,channel,booking_status,total_amount,currency
BK00000072,CUS0005290,2025-06-15,FLT0011830,Airport Kiosk,Confirmed,2030.12,USD
BK00000073,CUS0056987,2025-12-18,FLT0075920,Mobile App,Confirmed,450.39,GBP
BK00000074,CUS0051387,2026-03-19,FLT0037308,Airport Kiosk,Confirmed,3702.83,EUR
BK00000075,CUS0045971,2026-04-10,FLT0011271,Airport Kiosk,Confirmed,2458.67,EUR
BK00000076,CUS0029463,2025-10-28,FLT0031047,Website,Confirmed,3069.04,CAD
BK00000077,CUS0039178,2026-04-18,FLT0016213,Travel Agent,Confirmed,4454.37,USD
BK00000078,CUS0021872,2025-06-15,FLT0076893,Call Center,Confirmed,2264.24,GBP
BK00000079,CUS0002355,2025-11-11,FLT0063830,Travel Agent,Confirmed,2937.45,USD
BK00000080,CUS0011110,2025-11-15,FLT0060560,Mobile App,Confirmed,4126.52,USD
BK00000081,CUS0045264,2026-04-13,FLT0062986,Airport Kiosk,Confirmed,2194.89,AUD
BK00000082,CUS0018305,2026-03-12,FLT0022113,Website,Confirmed,3433.74,USD
BK00000083,CUS0057709,2025-11-12,FLT0070680,Website,Confirmed,648.44,USD
BK00000084,CUS0037730,2026-02-01,FLT0005230,Travel Agent,Confirmed,3668.46,USD
BK00000085,CUS0007034,2025-07-09,FLT0036831,Website,Confirmed,695.82,USD
BK00000086,CUS0009915,2026-01-13,FLT0058496,Travel Agent,Confirmed,866.48,EUR
BK00000087,CUS0050207,2025-08-19,FLT0073169,Website,Cancelled,4437.28,EUR
BK00000088,CUS0054715,2025-09-30,FLT0028264,Website,Confirmed,2476.92,CAD
BK00000089,CUS0028826,2025-09-24,FLT0048036,Mobile App,Confirmed,234.92,USD
BK00000090,CUS0047592,2026-05-30,FLT0034241,Mobile App,Confirmed,631.84,USD
BK00000091,CUS0047185,2025-05-13,FLT0079262,Call Center,Confirmed,1735.73,USD
BK00000092,CUS0039745,2025-04-06,FLT0004175,Call Center,Confirmed,2563.28,EUR
BK00000093,CUS0054495,2026-03-23,FLT0069207,Airport Kiosk,Confirmed,2709.56,USD
BK00000094,CUS0017332,2026-05-21,FLT0035173,Travel Agent,Confirmed,3392.42,USD
BK00000095,CUS0024430,2025-07-27,FLT0073575,Mobile App,Cancelled,3152.16,USD
BK00000096,CUS0051197,2025-06-11,FLT0000951,Mobile App,Confirmed,2593.18,USD
BK00000097,CUS0006701,2026-06-26,FLT0021003,Travel Agent,Confirmed,2321.49,USD
BK00000098,CUS0047841,2025-09-29,FLT0015097,Travel Agent,Confirmed,4332.33,CAD
BK00000099,CUS0042413,2025-08-06,FLT0063814,Call Center,Confirmed,2163.87,USD
BK00000100,CUS0040294,2025-05-14,FLT0026447,Call Center,Confirmed,3047.75,USD
BK00000101,CUS0046119,2026-03-11,FLT0064153,Airport Kiosk,Confirmed,2933.73,USD
BK00000102,CUS0009242,2026-06-13,FLT0052246,Call Center,Confirmed,3671.95,EUR
BK00000103,CUS0005046,2025-08-25,FLT0071371,Mobile App,Cancelled,1458.38,USD
BK00000104,CUS0000349,2026-05-13,FLT0047691,Airport Kiosk,Confirmed,2214.96,CAD
BK00000105,CUS0020856,2026-02-27,FLT0066850,Airport Kiosk,Confirmed,1606.61,CAD
BK00000106,CUS0037864,2026-05-18,FLT0009976,Website,Confirmed,2522.51,USD
BK00000107,CUS0022715,2025-12-03,FLT0056201,Mobile App,Confirmed,136.09,GBP
BK00000108,CUS0051257,2025-11-10,FLT0041204,Call Center,Confirmed,666.82,USD
BK00000109,CUS0005492,2025-12-05,FLT0072615,Call Center,Confirmed,1474.52,USD
BK00000110,CUS0059644,2026-01-14,FLT0002377,Airport Kiosk,Confirmed,2292.48,GBP
BK00000111,CUS0026670,2025-05-03,FLT0002678,Travel Agent,Confirmed,2688.18,EUR
BK00000112,CUS0042387,2025-12-28,FLT0055605,Mobile App,Confirmed,1687.66,USD
BK00000113,CUS0051299,2025-07-20,FLT0048201,Travel Agent,Confirmed,3247.28,GBP
BK00000114,CUS0007341,2025-11-01,FLT0061813,Mobile App,Confirmed,4159.47,USD
BK00000115,CUS0033815,2026-01-27,FLT0068925,Travel Agent,Confirmed,1162.89,EUR
BK00000116,CUS0040528,2025-09-09,FLT0069745,Call Center,Confirmed,2557.86,USD
BK00000117,CUS0018327,2025-11-10,FLT0068838,Mobile App,Confirmed,2211.5,AUD
BK00000118,CUS0017672,2025-07-18,FLT0055964,Call Center,Confirmed,599.56,USD
BK00000119,CUS0042443,2025-08-10,FLT0028934,Travel Agent,Confirmed,2091.39,USD
BK00000120,CUS0056539,2025-09-14,FLT0052883,Mobile App,Confirmed,2291.36,USD
BK00000121,CUS0040547,2025-12-02,FLT0004006,Website,Confirmed,3398.42,GBP
BK00000122,CUS0035163,2025-05-01,FLT0076257,Website,Confirmed,935.0,EUR
BK00000123,CUS0027695,2025-08-25,FLT0032465,Call Center,Cancelled,2531.36,USD
BK00000124,CUS0013765,2026-05-10,FLT0061889,Website,Confirmed,3183.62,USD
BK00000125,CUS0007032,2025-07-02,FLT0044572,Call Center,Confirmed,3198.56,USD
BK00000126,CUS0015771,2025-03-23,FLT0012989,Airport Kiosk,Confirmed,2905.61,EUR
BK00000127,CUS0010494,2025-10-31,FLT0064019,Call Center,Confirmed,3218.3,USD
BK00000128,CUS0056629,2025-09-04,FLT0035164,Airport Kiosk,Confirmed,2621.77,USD
BK00000129,CUS0029199,2025-10-13,FLT0061224,Mobile App,Confirmed,4226.14,CAD
BK00000130,CUS0012579,2026-04-14,FLT0067237,Call Center,Cancelled,782.8,USD
BK00000131,CUS0006055,2025-04-13,FLT0019926,Website,Confirmed,1286.96,EUR
BK00000132,CUS0038890,2025-05-01,FLT0074837,Call Center,Confirmed,1330.47,USD
BK00000133,CUS0004472,2026-01-19,FLT0030734,Travel Agent,Confirmed,4492.04,EUR
BK00000134,CUS0037403,2025-06-12,FLT0017777,Airport Kiosk,Confirmed,1083.55,CAD
BK00000135,CUS0043205,2025-08-21,FLT0009873,Travel Agent,Confirmed,2558.34,AUD
BK00000136,CUS0000475,2025-10-11,FLT0003757,Travel Agent,Confirmed,4217.72,CAD
BK00000137,CUS0040462,2025-07-20,FLT0033061,Airport Kiosk,Confirmed,1870.9,EUR
BK00000138,CUS0016574,2025-08-12,FLT0039581,Call Center,Confirmed,3658.69,USD
BK00000139,CUS0022034,2025-10-09,FLT0067243,Airport Kiosk,Confirmed,4217.36,EUR
BK00000140,CUS0045962,2026-03-16,FLT0042758,Call Center,Confirmed,1119.32,EUR
BK00000141,CUS0027762,2026-01-17,FLT0068922,Travel Agent,Confirmed,4352.04,USD
BK00000142,CUS0010689,2025-05-09,FLT0044642,Mobile App,Confirmed,2472.62,USD
BK00000143,CUS0029156,2026-02-13,FLT0049463,Airport Kiosk,Confirmed,2551.03,USD
BK00000144,CUS0052785,2026-02-22,FLT0061344,Call Center,Confirmed,2653.24,USD
BK00000145,CUS0016886,2025-06-30,FLT0023332,Airport Kiosk,Confirmed,441.39,USD
BK00000146,CUS0033192,2026-01-02,FLT0021755,Airport Kiosk,Confirmed,1280.14,USD
BK00000147,CUS0022376,2025-09-26,FLT0056725,Airport Kiosk,Confirmed,471.55,USD
BK00000148,CUS0053433,2025-10-14,FLT0018916,Website,Confirmed,1744.27,EUR
BK00000149,CUS0035023,2025-05-13,FLT0027246,Call Center,Confirmed,4231.93,USD
BK00000150,CUS0016024,2026-03-23,FLT0007232,Travel Agent,Confirmed,1781.9,USD
BK00000151,CUS0023994,2025-12-08,FLT0051102,Mobile App,Confirmed,4174.75,USD
BK00000152,CUS0054140,2025-11-09,FLT0063654,Mobile App,Confirmed,191.9,USD
BK00000153,CUS0002707,2026-01-24,FLT0048592,Travel Agent,Confirmed,451.66,USD
BK00000154,CUS0040050,2026-05-12,FLT0049518,Website,Confirmed,2358.58,CAD
BK00000155,CUS0025578,2025-06-14,FLT0012884,Call Center,Confirmed,4429.85,USD
BK00000156,CUS0045545,2025-07-15,FLT0063165,Travel Agent,Confirmed,2025.19,USD
BK00000157,CUS0055702,2025-12-02,FLT0015023,Website,Confirmed,3642.63,AUD
BK00000158,CUS0049871,2026-05-11,FLT0055351,Travel Agent,Confirmed,1188.93,CAD
BK00000159,CUS0001652,2026-07-04,FLT0061683,Call Center,Confirmed,3447.5,USD
BK00000160,CUS0005318,2025-09-20,FLT0046651,Mobile App,Confirmed,2020.06,USD
BK00000161,CUS0023257,2025-06-17,FLT0050359,Travel Agent,Confirmed,3970.25,USD
BK00000162,CUS0050975,2026-01-08,FLT0054283,Mobile App,Confirmed,382.97,USD
BK00000163,CUS0018737,2026-03-26,FLT0026987,Airport Kiosk,Confirmed,412.67,AUD
BK00000164,CUS0043543,2025-07-26,FLT0032382,Call Center,Confirmed,3888.75,GBP
BK00000165,CUS0058136,2025-08-26,FLT0042311,Website,Confirmed,187.09,USD
BK00000166,CUS0042955,2025-12-19,FLT0035480,Airport Kiosk,Confirmed,4096.2,GBP
BK00000167,CUS0041744,2026-04-04,FLT0059764,Travel Agent,Confirmed,2263.08,EUR
BK00000168,CUS0055968,2025-05-28,FLT0067938,Website,Confirmed,4485.11,GBP
BK00000169,CUS0013708,2026-01-09,FLT0057552,Website,Confirmed,633.63,USD
BK00000170,CUS0034046,2026-03-13,FLT0078498,Call Center,Confirmed,2100.91,USD
BK00000171,CUS0010627,2025-09-24,FLT0056904,Mobile App,Confirmed,486.55,EUR
BK00000172,CUS0030819,2025-04-22,FLT0060420,Website,Confirmed,4409.69,GBP
BK00000173,CUS0000432,2026-03-25,FLT0052350,Call Center,Confirmed,1244.04,GBP
BK00000174,CUS0040080,2025-07-04,FLT0067271,Airport Kiosk,Confirmed,3190.29,GBP
BK00000175,CUS0012381,2026-06-17,FLT0067017,Airport Kiosk,Confirmed,2645.97,USD
BK00000176,CUS0025475,2026-04-27,FLT0064177,Mobile App,Confirmed,4323.98,USD
BK00000177,CUS0036803,2025-09-21,FLT0036176,Travel Agent,Confirmed,4211.63,EUR
BK00000178,CUS0028930,2025-09-19,FLT0019334,Call Center,Confirmed,2508.87,USD
BK00000179,CUS0029658,2025-04-11,FLT0041950,Mobile App,Confirmed,2577.21,USD
BK00000180,CUS0048881,2026-03-11,FLT0073347,Travel Agent,Confirmed,4218.84,CAD
BK00000181,CUS0035613,2025-06-05,FLT0007959,Call Center,Confirmed,4310.09,USD
BK00000182,CUS0045561,2025-07-04,FLT0078101,Airport Kiosk,Confirmed,717.06,USD
BK00000183,CUS0030640,2025-11-23,FLT0078991,Travel Agent,Confirmed,3394.06,USD
BK00000184,CUS0035986,2025-10-18,FLT0074070,Mobile App,Confirmed,3300.55,EUR
BK00000185,CUS0012968,2025-08-21,FLT0046482,Mobile App,Cancelled,1567.81,EUR
BK00000186,CUS0008366,2025-03-01,FLT0004752,Mobile App,Confirmed,3188.71,USD
BK00000187,CUS0048039,2025-12-28,FLT0038071,Website,Confirmed,3531.6,USD
BK00000188,CUS0036440,2025-07-08,FLT0007809,Call Center,Confirmed,2723.24,GBP
BK00000189,CUS0008835,2025-03-18,FLT0057541,Travel Agent,Confirmed,768.87,AUD
BK00000190,CUS0017534,2025-11-18,FLT0024020,Website,Confirmed,450.0,USD
BK00000191,CUS0010889,2026-01-11,FLT0052421,Travel Agent,Confirmed,2658.12,EUR
BK00000192,CUS0056309,2025-04-04,FLT0038744,Mobile App,Cancelled,1475.31,AUD
BK00000193,CUS0025523,2026-03-29,FLT0018867,Website,Confirmed,3488.53,EUR
BK00000194,CUS0028643,2026-03-10,FLT0052966,Call Center,Refunded,442.75,USD
BK00000195,CUS0005170,2026-02-11,FLT0072591,Website,Confirmed,2518.05,USD
BK00000196,CUS0041666,2026-01-22,FLT0057005,Call Center,Confirmed,1757.7,USD
BK00000197,CUS0022397,2026-02-05,FLT0008832,Travel Agent,Confirmed,390.15,USD
BK00000198,CUS0029249,2025-09-10,FLT0069821,Airport Kiosk,Confirmed,167.04,AUD
BK00000199,CUS0031627,2026-03-05,FLT0044012,Mobile App,Confirmed,3251.35,USD
BK00000200,CUS0028041,2025-07-06,FLT0062523,Call Center,Confirmed,897.52,GBP
BK00000201,CUS0056760,2025-10-13,FLT0001881,Call Center,Confirmed,2788.37,USD
BK00000202,CUS0036994,2025-04-04,FLT0002553,Call Center,Confirmed,86.13,EUR
BK00000203,CUS0051041,2025-07-09,FLT0022152,Website,Confirmed,294.87,CAD
BK00000204,CUS0047353,2025-12-12,FLT0002222,Website,Confirmed,3132.0,GBP
BK00000205,CUS0053892,2025-08-15,FLT0078607,Website,Cancelled,127.42,CAD
BK00000206,CUS0054317,2026-02-16,FLT0015692,Travel Agent,Confirmed,2940.39,CAD
BK00000207,CUS0043276,2026-03-31,FLT0035826,Website,Confirmed,2373.31,USD
BK00000208,CUS0027289,2026-06-21,FLT0064749,Mobile App,Confirmed,3005.65,GBP
BK00000209,CUS0051219,2025-11-20,FLT0074419,Airport Kiosk,Confirmed,2763.92,AUD
BK00000210,CUS0034808,2026-01-20,FLT0045029,Travel Agent,Confirmed,97.6,GBP
BK00000211,CUS0009013,2025-11-22,FLT0037401,Mobile App,Confirmed,4001.31,USD
BK00000212,CUS0011566,2026-01-23,FLT0079399,Airport Kiosk,Confirmed,2509.34,EUR
BK00000213,CUS0031077,2025-09-05,FLT0066852,Mobile App,Confirmed,3006.38,USD
BK00000214,CUS0040614,2025-04-09,FLT0049838,Travel Agent,Confirmed,817.48,USD
BK00000215,CUS0011515,2026-04-25,FLT0033955,Airport Kiosk,Cancelled,3124.3,USD
BK00000216,CUS0002618,2026-03-31,FLT0040174,Travel Agent,Confirmed,2122.25,EUR
BK00000217,CUS0009151,2026-02-20,FLT0009448,Mobile App,Confirmed,107.13,EUR
BK00000218,CUS0047804,2026-02-03,FLT0010217,Travel Agent,Confirmed,931.66,USD
BK00000219,CUS0036995,2025-08-26,FLT0076443,Mobile App,Confirmed,2994.04,EUR
BK00000220,CUS0024200,2025-06-26,FLT0028682,Call Center,Confirmed,2275.56,EUR
BK00000221,CUS0027900,2025-05-31,FLT0049431,Website,Confirmed,3725.76,GBP
BK00000222,CUS0047704,2026-01-30,FLT0048661,Airport Kiosk,Confirmed,1283.06,EUR
BK00000223,CUS0005421,2025-05-23,FLT0019703,Mobile App,Confirmed,1503.91,CAD
BK00000224,CUS0016597,2025-08-16,FLT0030878,Travel Agent,Cancelled,657.86,USD
BK00000225,CUS0020844,2026-04-24,FLT0044455,Travel Agent,Confirmed,374.09,GBP
BK00000226,CUS0027537,2025-11-06,FLT0038289,Mobile App,Cancelled,2294.8,AUD
BK00000227,CUS0032527,2026-06-03,FLT0003881,Airport Kiosk,Confirmed,501.37,EUR
BK00000228,CUS0008196,2026-01-20,FLT0025278,Call Center,Confirmed,3581.41,USD
BK00000229,CUS0046246,2026-04-13,FLT0067502,Website,Confirmed,2173.8,USD
BK00000230,CUS0005005,2025-11-26,FLT0030308,Mobile App,Cancelled,2505.62,GBP
BK00000231,CUS0025206,2025-09-30,FLT0066830,Website,Confirmed,114.42,USD
BK00000232,CUS0043319,2025-12-22,FLT0074001,Mobile App,Confirmed,1888.44,AUD
BK00000233,CUS0048109,2026-04-06,FLT0045779,Travel Agent,Confirmed,3450.22,EUR
BK00000234,CUS0052976,2025-08-11,FLT0038645,Travel Agent,Confirmed,2083.86,USD
BK00000235,CUS0001271,2025-10-27,FLT0021084,Call Center,Confirmed,3452.43,EUR
BK00000236,CUS0002936,2025-12-20,FLT0046866,Website,Confirmed,2499.03,CAD
BK00000237,CUS0021444,2025-04-19,FLT0038852,Call Center,Cancelled,148.91,USD
BK00000238,CUS0032169,2025-04-17,FLT0052332,Mobile App,Cancelled,1303.54,USD
BK00000239,CUS0058608,2025-08-25,FLT0040237,Mobile App,Confirmed,3193.86,AUD
BK00000240,CUS0022285,2025-11-16,FLT0021403,Airport Kiosk,Confirmed,743.9,GBP
BK00000241,CUS0044057,2026-02-25,FLT0017896,Mobile App,Confirmed,616.53,USD
BK00000242,CUS0006535,2025-11-18,FLT0038724,Call Center,Confirmed,2304.63,GBP
BK00000243,CUS0015825,2025-10-07,FLT0002096,Call Center,Confirmed,3808.83,USD
BK00000244,CUS0003839,2025-07-18,FLT0073882,Website,Confirmed,4397.22,USD
BK00000245,CUS0059286,2025-04-22,FLT0058410,Travel Agent,Confirmed,588.94,USD
BK00000246,CUS0020391,2025-08-04,FLT0014407,Travel Agent,Confirmed,4249.58,GBP
BK00000247,CUS0053825,2025-12-09,FLT0037649,Website,Confirmed,958.26,GBP
BK00000248,CUS0045410,2026-01-06,FLT0021245,Call Center,Cancelled,3407.86,USD
BK00000249,CUS0055499,2025-08-13,FLT0070486,Call Center,Confirmed,3555.09,EUR
BK00000250,CUS0014682,2026-03-27,FLT0061080,Mobile App,Confirmed,2410.16,USD
BK00000251,CUS0045034,2026-03-18,FLT0008100,Travel Agent,Confirmed,1283.16,USD
BK00000252,CUS0043548,2025-10-06,FLT0022144,Website,Confirmed,3280.93,CAD
BK00000253,CUS0058045,2026-03-01,FLT0031034,Website,Confirmed,4092.83,CAD
BK00000254,CUS0015250,2026-01-31,FLT0060105,Airport Kiosk,Confirmed,2285.4,EUR
BK00000255,CUS0019345,2025-11-11,FLT0012120,Travel Agent,Confirmed,3531.22,USD
BK00000256,CUS0017604,2026-05-06,FLT0060366,Airport Kiosk,Confirmed,2362.2,USD
BK00000257,CUS0055930,2025-03-25,FLT0015687,Airport Kiosk,Confirmed,522.18,USD
BK00000258,CUS0011716,2025-11-03,FLT0025715,Airport Kiosk,Confirmed,3098.46,USD
BK00000259,CUS0008493,2025-12-15,FLT0014664,Mobile App,Confirmed,2329.57,AUD
BK00000260,CUS0044912,2026-07-01,FLT0001533,Travel Agent,Confirmed,840.43,USD
BK00000261,CUS0046145,2026-01-16,FLT0068436,Airport Kiosk,Confirmed,3042.31,AUD
BK00000262,CUS0059545,2025-06-13,FLT0003785,Travel Agent,Confirmed,1268.73,USD
BK00000263,CUS0031432,2025-08-20,FLT0000509,Website,Confirmed,3614.72,USD
BK00000264,CUS0051105,2025-10-24,FLT0028038,Website,Confirmed,2450.02,CAD
BK00000265,CUS0018797,2025-02-11,FLT0029898,Call Center,Confirmed,1131.45,USD
BK00000266,CUS0045100,2025-07-10,FLT0002624,Airport Kiosk,Cancelled,344.28,EUR
BK00000267,CUS0006256,2025-12-02,FLT0048392,Mobile App,Confirmed,2350.26,USD
BK00000268,CUS0020156,2025-12-01,FLT0042814,Travel Agent,Confirmed,3263.72,USD
BK00000269,CUS0022327,2025-09-15,FLT0014533,Airport Kiosk,Confirmed,1935.59,USD
BK00000270,CUS0051790,2025-10-01,FLT0015999,Mobile App,Confirmed,907.43,USD
BK00000271,CUS0001799,2025-10-10,FLT0006919,Mobile App,Confirmed,1935.62,USD
BK00000272,CUS0055212,2026-03-01,FLT0004172,Website,Cancelled,1689.96,USD
BK00000273,CUS0030325,2025-12-29,FLT0069278,Airport Kiosk,Confirmed,3907.82,EUR
BK00000274,CUS0021572,2025-10-02,FLT0069901,Call Center,Refunded,2314.65,EUR
BK00000275,CUS0059058,2025-11-06,FLT0043358,Mobile App,Cancelled,1451.78,GBP
BK00000276,CUS0037830,2025-05-11,FLT0046601,Website,Confirmed,2338.66,USD
BK00000277,CUS0016141,2025-04-21,FLT0072549,Website,Confirmed,3100.11,EUR
BK00000278,CUS0049885,2025-05-01,FLT0010764,Website,Confirmed,2426.64,GBP
BK00000279,CUS0035779,2026-04-01,FLT0040156,Airport Kiosk,Confirmed,4032.7,USD
BK00000280,CUS0050178,2026-04-24,FLT0059929,Mobile App,Confirmed,986.92,USD
BK00000281,CUS0011854,2025-10-03,FLT0027019,Call Center,Confirmed,130.06,USD
BK00000282,CUS0047647,2025-12-23,FLT0034066,Mobile App,Confirmed,1943.73,EUR
BK00000283,CUS0002132,2026-01-25,FLT0010423,Call Center,Confirmed,2215.01,EUR
BK00000284,CUS0031633,2025-06-05,FLT0052548,Mobile App,Confirmed,4052.73,EUR
BK00000285,CUS0059959,2025-05-17,FLT0030827,Mobile App,Confirmed,1754.1,USD
BK00000286,CUS0030479,2026-03-03,FLT0034630,Airport Kiosk,Confirmed,3992.37,USD
BK00000287,CUS0006148,2025-12-07,FLT0023236,Travel Agent,Confirmed,813.66,AUD
BK00000288,CUS0042914,2025-10-27,FLT0021002,Website,Confirmed,2635.11,EUR
BK00000289,CUS0012296,2025-11-12,FLT0008277,Website,Confirmed,1118.76,USD
BK00000290,CUS0042049,2025-10-14,FLT0040254,Mobile App,Confirmed,2477.37,USD
BK00000291,CUS0049404,2025-09-28,FLT0057261,Airport Kiosk,Confirmed,381.88,EUR
BK00000292,CUS0002994,2025-07-06,FLT0068671,Website,Confirmed,3624.15,USD
BK00000293,CUS0010536,2025-03-28,FLT0029523,Mobile App,Confirmed,2200.11,EUR
BK00000294,CUS0038334,2025-07-17,FLT0076258,Airport Kiosk,Cancelled,397.46,EUR
