history_id,aircraft_id,maintenance_date,maintenance_type,cost,next_due_date
AMH000048,ACFT00065,2019-07-12,A-Check,458541.15,2020-08-17
AMH000049,ACFT00450,2023-09-09,C-Check,320453.62,2024-08-06
AMH000050,ACFT00061,2022-09-18,B-Check,264823.82,2024-03-25
AMH000051,ACFT00360,2024-05-01,B-Check,214482.7,2024-11-23
AMH000052,ACFT00117,2020-09-18,A-Check,303743.09,2021-08-09
AMH000053,ACFT00508,2021-12-17,Unscheduled Repair,345026.77,2023-11-04
AMH000054,ACFT00102,2024-02-12,D-Check,436598.2,2024-09-18
AMH000055,ACFT00504,2024-03-23,B-Check,350472.88,2025-02-11
AMH000056,ACFT00093,2020-07-12,A-Check,173546.92,2021-08-07
AMH000057,ACFT00083,2019-02-27,Unscheduled Repair,124119.76,2020-04-09
AMH000058,ACFT00046,2019-12-06,A-Check,410736.45,2020-12-27
AMH000059,ACFT00134,2018-11-04,C-Check,296526.25,2020-01-14
AMH000060,ACFT00270,2019-08-03,A-Check,323639.68,2021-02-23
AMH000061,ACFT00442,2024-04-21,B-Check,268524.33,2025-02-25
AMH000062,ACFT00015,2021-06-19,C-Check,240230.25,2022-08-22
AMH000063,ACFT00185,2025-02-18,C-Check,499290.51,2026-10-04
AMH000064,ACFT00146,2024-05-06,Unscheduled Repair,51207.61,2026-04-15
AMH000065,ACFT00344,2023-07-30,C-Check,145031.7,2023-11-11
AMH000066,ACFT00246,2022-03-12,C-Check,451955.55,2023-09-16
AMH000067,ACFT00577,2022-03-29,B-Check,423901.59,2023-11-29
AMH000068,ACFT00034,2026-05-09,B-Check,79895.69,2027-11-27
AMH000069,ACFT00226,2020-12-01,B-Check,493359.92,2022-02-18
AMH000070,ACFT00404,2018-11-27,A-Check,223303.88,2019-12-02
AMH000071,ACFT00269,2024-02-03,C-Check,383451.19,2025-05-13
AMH000072,ACFT00527,2020-02-12,A-Check,114904.26,2020-07-28
AMH000073,ACFT00224,2021-01-26,C-Check,167334.18,2021-06-15
AMH000074,ACFT00462,2026-07-27,B-Check,289999.07,2027-12-22
AMH000075,ACFT00456,2019-06-25,B-Check,392510.77,2020-11-01
AMH000076,ACFT00094,2019-07-28,Unscheduled Repair,443225.21,2020-06-10
AMH000077,ACFT00195,2026-06-02,B-Check,184636.14,2027-05-27
AMH000078,ACFT00371,2025-02-06,A-Check,47920.72,2025-09-16
AMH000079,ACFT00429,2025-08-21,A-Check,300655.13,2026-12-03
AMH000080,ACFT00512,2021-08-01,A-Check,381572.48,2022-06-06
AMH000081,ACFT00443,2024-02-28,B-Check,298224.1,2025-11-10
AMH000082,ACFT00429,2022-08-04,A-Check,356710.62,2023-03-29
AMH000083,ACFT00177,2024-11-13,Unscheduled Repair,133758.48,2026-10-30
AMH000084,ACFT00085,2024-06-11,C-Check,198553.43,2026-04-02
AMH000085,ACFT00334,2023-01-06,B-Check,373778.09,2023-12-07
AMH000086,ACFT00530,2021-01-16,Unscheduled Repair,372087.67,2022-08-04
AMH000087,ACFT00065,2022-09-24,A-Check,394475.39,2024-09-10
AMH000088,ACFT00317,2024-04-23,Unscheduled Repair,166404.83,2024-11-14
AMH000089,ACFT00467,2021-03-28,C-Check,415842.37,2022-02-21
AMH000090,ACFT00017,2021-05-13,A-Check,250045.23,2022-08-13
AMH000091,ACFT00467,2024-12-31,A-Check,342566.44,2025-04-29
AMH000092,ACFT00142,2023-09-11,A-Check,166275.45,2024-09-08
AMH000093,ACFT00097,2021-10-29,B-Check,153745.93,2022-09-28
AMH000094,ACFT00405,2021-12-23,D-Check,132763.95,2023-06-18
AMH000095,ACFT00029,2026-04-19,D-Check,479923.44,2028-02-20
AMH000096,ACFT00523,2020-02-27,C-Check,110437.21,2021-02-14
AMH000097,ACFT00575,2022-01-13,B-Check,16435.13,2023-01-18
AMH000098,ACFT00271,2021-12-04,B-Check,260358.21,2022-12-01
AMH000099,ACFT00067,2019-07-25,B-Check,426618.04,2020-03-06
AMH000100,ACFT00227,2020-12-14,A-Check,320421.8,2022-12-05
AMH000101,ACFT00157,2021-09-17,D-Check,33078.11,2022-09-22
AMH000102,ACFT00407,2021-03-17,A-Check,481797.67,2021-10-27
AMH000103,ACFT00052,2019-01-16,A-Check,290105.44,2020-05-06
AMH000104,ACFT00392,2018-04-28,A-Check,338871.59,2019-01-02
AMH000105,ACFT00061,2023-11-16,A-Check,447278.05,2024-06-29
AMH000106,ACFT00410,2018-04-16,D-Check,104822.59,2019-12-14
AMH000107,ACFT00396,2019-02-11,C-Check,49873.63,2020-09-05
AMH000108,ACFT00319,2019-01-19,A-Check,70710.71,2019-05-23
AMH000109,ACFT00124,2018-09-30,B-Check,121991.22,2019-01-05
AMH000110,ACFT00392,2024-10-07,C-Check,72933.98,2025-05-10
AMH000111,ACFT00455,2019-07-13,B-Check,442149.24,2020-01-27
AMH000112,ACFT00433,2025-09-09,B-Check,400490.06,2027-04-29
AMH000113,ACFT00508,2020-11-26,A-Check,259753.03,2021-04-04
AMH000114,ACFT00476,2019-10-18,B-Check,337417.78,2020-05-06
AMH000115,ACFT00446,2018-10-27,C-Check,433440.55,2019-04-24
AMH000116,ACFT00420,2022-05-28,A-Check,472387.47,2023-10-25
AMH000117,ACFT00098,2021-05-03,B-Check,46920.6,2022-12-19
AMH000118,ACFT00087,2021-05-04,A-Check,202867.29,2022-12-11
AMH000119,ACFT00352,2023-11-01,C-Check,382661.72,2025-04-27
AMH000120,ACFT00270,2025-05-12,C-Check,327576.88,2027-01-09
AMH000121,ACFT00272,2019-05-24,D-Check,65958.78,2020-03-23
AMH000122,ACFT00319,2023-10-27,C-Check,329340.49,2025-04-23
AMH000123,ACFT00028,2019-02-15,Unscheduled Repair,302266.23,2020-09-12
AMH000124,ACFT00026,2026-07-03,A-Check,148001.72,2026-10-05
AMH000125,ACFT00339,2018-03-09,A-Check,140885.92,2018-07-16
AMH000126,ACFT00031,2021-10-03,B-Check,195681.79,2023-03-11
AMH000127,ACFT00348,2020-01-08,A-Check,10586.61,2020-07-18
AMH000128,ACFT00282,2022-04-22,B-Check,456449.42,2023-06-23
AMH000129,ACFT00553,2025-07-02,A-Check,127738.84,2025-11-25
AMH000130,ACFT00524,2021-12-27,B-Check,357079.46,2023-06-25
AMH000131,ACFT00125,2020-01-13,D-Check,267313.31,2021-08-20
AMH000132,ACFT00119,2025-01-07,C-Check,112966.67,2026-07-01
AMH000133,ACFT00371,2020-05-02,D-Check,286996.36,2021-08-14
AMH000134,ACFT00272,2022-08-08,B-Check,283614.51,2023-01-09
AMH000135,ACFT00127,2020-03-04,A-Check,234427.54,2020-12-26
AMH000136,ACFT00337,2020-11-27,A-Check,480358.64,2021-05-27
AMH000137,ACFT00590,2025-12-18,B-Check,295749.99,2026-08-05
AMH000138,ACFT00157,2021-09-07,A-Check,36727.01,2022-08-01
AMH000139,ACFT00056,2023-03-03,A-Check,112828.68,2024-11-27
AMH000140,ACFT00587,2025-12-20,A-Check,166123.57,2027-03-06
AMH000141,ACFT00572,2024-04-17,B-Check,83473.69,2024-08-12
AMH000142,ACFT00355,2022-05-03,A-Check,337708.67,2024-02-09
AMH000143,ACFT00358,2019-02-13,A-Check,449585.09,2019-09-08
AMH000144,ACFT00553,2022-01-26,C-Check,262198.72,2023-09-12
AMH000145,ACFT00216,2019-02-01,A-Check,491834.69,2021-01-01
AMH000146,ACFT00300,2024-08-13,C-Check,301988.81,2024-11-13
AMH000147,ACFT00351,2018-02-02,B-Check,272027.63,2018-06-13
AMH000148,ACFT00291,2020-02-10,B-Check,129137.08,2021-04-07
AMH000149,ACFT00415,2025-12-12,C-Check,439537.35,2027-04-07
AMH000150,ACFT00322,2019-06-11,B-Check,461496.77,2021-01-12
AMH000151,ACFT00181,2020-04-22,A-Check,417516.87,2022-02-08
AMH000152,ACFT00222,2018-02-19,A-Check,466986.49,2018-08-02
AMH000153,ACFT00113,2022-09-15,B-Check,488316.84,2023-07-04
AMH000154,ACFT00243,2025-10-27,C-Check,167609.85,2026-05-29
AMH000155,ACFT00023,2023-03-27,B-Check,495133.26,2024-07-29
AMH000156,ACFT00565,2020-09-05,A-Check,80133.23,2022-07-12
AMH000157,ACFT00342,2021-09-23,B-Check,222799.2,2022-11-13
AMH000158,ACFT00505,2021-07-23,Unscheduled Repair,116518.33,2022-10-04
AMH000159,ACFT00173,2021-12-23,Unscheduled Repair,494043.36,2022-10-23
AMH000160,ACFT00046,2018-04-11,A-Check,2502.99,2018-11-27
AMH000161,ACFT00122,2023-12-11,A-Check,351597.66,2025-08-31
AMH000162,ACFT00426,2022-02-02,Unscheduled Repair,313427.58,2022-09-25
AMH000163,ACFT00594,2025-12-28,C-Check,260288.61,2027-11-26
AMH000164,ACFT00448,2021-09-04,B-Check,314397.34,2023-06-30
AMH000165,ACFT00573,2020-02-16,A-Check,468186.34,2022-02-01
AMH000166,ACFT00031,2023-03-15,A-Check,107891.4,2024-04-30
AMH000167,ACFT00405,2023-12-10,A-Check,423083.77,2024-09-02
AMH000168,ACFT00438,2021-03-12,C-Check,478694.31,2021-11-13
AMH000169,ACFT00520,2024-03-04,A-Check,259533.16,2025-06-29
AMH000170,ACFT00435,2020-10-31,B-Check,31256.29,2021-04-15
AMH000171,ACFT00554,2021-03-11,B-Check,43027.48,2022-04-21
AMH000172,ACFT00434,2021-09-07,C-Check,486283.88,2023-06-13
AMH000173,ACFT00141,2022-01-28,B-Check,325146.39,2023-07-28
AMH000174,ACFT00552,2019-11-27,C-Check,293551.18,2020-07-05
AMH000175,ACFT00259,2026-06-18,A-Check,119602.28,2027-12-12
AMH000176,ACFT00444,2022-07-15,A-Check,54105.73,2022-12-30
AMH000177,ACFT00275,2024-05-18,C-Check,268341.5,2025-05-27
AMH000178,ACFT00308,2022-01-23,A-Check,67206.69,2023-03-22
AMH000179,ACFT00247,2018-08-12,A-Check,277598.44,2019-12-06
AMH000180,ACFT00058,2021-01-10,A-Check,41128.06,2021-07-05
AMH000181,ACFT00579,2023-10-16,C-Check,472043.27,2025-09-20
AMH000182,ACFT00549,2019-08-19,C-Check,266749.76,2020-03-12
AMH000183,ACFT00128,2022-10-02,B-Check,280100.62,2024-05-23
AMH000184,ACFT00211,2023-12-26,A-Check,117545.3,2024-09-21
AMH000185,ACFT00155,2018-07-25,C-Check,50152.14,2019-04-06
AMH000186,ACFT00443,2021-02-24,C-Check,288162.73,2022-12-18
AMH000187,ACFT00240,2025-04-23,A-Check,176938.27,2026-01-20
AMH000188,ACFT00021,2020-12-29,B-Check,479492.59,2021-12-31
AMH000189,ACFT00417,2026-02-11,A-Check,179405.44,2026-08-01
AMH000190,ACFT00009,2023-04-27,C-Check,427437.53,2024-03-14
AMH000191,ACFT00135,2022-02-23,C-Check,399132.5,2023-05-29
AMH000192,ACFT00357,2025-02-13,A-Check,75229.22,2026-04-04
AMH000193,ACFT00342,2018-12-15,C-Check,153537.71,2020-05-08
AMH000194,ACFT00010,2022-05-17,Unscheduled Repair,460685.64,2023-09-21
AMH000195,ACFT00299,2023-02-24,B-Check,127639.8,2024-08-07
AMH000196,ACFT00367,2022-07-11,A-Check,439474.99,2023-02-11
AMH000197,ACFT00474,2025-05-30,A-Check,163842.11,2026-07-28
AMH000198,ACFT00230,2019-07-23,A-Check,400977.34,2020-12-26
AMH000199,ACFT00390,2021-12-24,A-Check,249259.68,2022-10-21
AMH000200,ACFT00263,2019-12-28,Unscheduled Repair,221404.08,2021-06-25
AMH000201,ACFT00537,2024-09-26,A-Check,283008.94,2025-02-14
AMH000202,ACFT00129,2023-12-03,A-Check,356934.85,2025-02-01
AMH000203,ACFT00182,2023-11-07,C-Check,362932.6,2024-08-05
AMH000204,ACFT00099,2020-02-02,A-Check,264646.8,2021-12-09
AMH000205,ACFT00107,2020-01-15,A-Check,269387.43,2021-06-11
AMH000206,ACFT00300,2020-01-17,C-Check,164684.09,2020-10-19
AMH000207,ACFT00235,2022-06-04,A-Check,147309.36,2023-01-07
AMH000208,ACFT00023,2018-02-07,A-Check,393391.29,2019-11-20
AMH000209,ACFT00442,2026-06-27,B-Check,458120.44,2028-04-29
AMH000210,ACFT00304,2022-05-20,B-Check,362712.69,2024-04-02
AMH000211,ACFT00205,2024-12-13,C-Check,325702.17,2026-11-30
AMH000212,ACFT00365,2023-07-13,Unscheduled Repair,91128.82,2024-10-29
AMH000213,ACFT00531,2022-05-30,C-Check,218539.4,2023-01-22
AMH000214,ACFT00463,2023-05-02,Unscheduled Repair,329748.14,2024-03-15
AMH000215,ACFT00439,2018-07-24,B-Check,118550.33,2020-05-26
AMH000216,ACFT00575,2022-01-09,C-Check,38993.72,2022-06-08
AMH000217,ACFT00501,2022-10-05,B-Check,6711.21,2023-04-14
AMH000218,ACFT00067,2026-03-02,A-Check,363141.15,2027-08-13
AMH000219,ACFT00122,2020-11-22,A-Check,210390.29,2022-11-12
AMH000220,ACFT00466,2020-11-05,Unscheduled Repair,245872.4,2021-02-09
AMH000221,ACFT00246,2024-05-26,Unscheduled Repair,400761.13,2026-04-17
AMH000222,ACFT00383,2025-05-08,C-Check,388639.65,2026-05-21
AMH000223,ACFT00285,2019-10-23,C-Check,17259.6,2020-03-29
AMH000224,ACFT00305,2023-03-22,A-Check,316456.1,2024-07-20
AMH000225,ACFT00138,2019-10-12,Unscheduled Repair,232328.33,2021-05-24
AMH000226,ACFT00339,2018-07-08,A-Check,246369.24,2019-08-19
AMH000227,ACFT00300,2020-08-27,A-Check,356682.88,2021-04-26
AMH000228,ACFT00589,2020-02-29,A-Check,407588.86,2021-02-26
AMH000229,ACFT00209,2019-07-23,B-Check,268286.27,2020-10-01
AMH000230,ACFT00156,2022-10-01,C-Check,386700.62,2023-01-10
AMH000231,ACFT00091,2021-08-28,A-Check,466030.19,2023-03-24
AMH000232,ACFT00073,2018-09-02,C-Check,453643.02,2020-05-15
AMH000233,ACFT00143,2021-11-27,A-Check,220210.96,2023-02-20
AMH000234,ACFT00546,2021-04-26,Unscheduled Repair,338270.34,2021-09-28
AMH000235,ACFT00426,2021-12-11,B-Check,243286.66,2022-11-28
AMH000236,ACFT00016,2021-03-08,A-Check,346502.75,2023-02-15
AMH000237,ACFT00451,2021-03-24,B-Check,153603.53,2022-07-07
AMH000238,ACFT00493,2025-08-02,B-Check,30181.99,2026-07-29
AMH000239,ACFT00526,2018-09-10,A-Check,141053.17,2019-11-15
AMH000240,ACFT00161,2020-03-12,C-Check,390594.64,2020-12-20
AMH000241,ACFT00407,2021-11-20,A-Check,382407.7,2023-03-16
AMH000242,ACFT00421,2022-01-28,C-Check,175753.49,2023-11-19
AMH000243,ACFT00447,2024-03-02,A-Check,250909.85,2026-02-08
AMH000244,ACFT00492,2025-05-13,B-Check,190471.18,2026-08-27
AMH000245,ACFT00361,2023-09-27,B-Check,376546.68,2024-05-04
AMH000246,ACFT00349,2021-07-17,A-Check,5983.93,2023-05-24
AMH000247,ACFT00554,2018-10-03,A-Check,68015.27,2019-03-03
AMH000248,ACFT00289,2020-01-12,C-Check,142115.54,2020-11-26
AMH000249,ACFT00534,2018-08-27,C-Check,467292.68,2020-07-27
AMH000250,ACFT00269,2025-05-21,A-Check,404215.25,2025-11-05
AMH000251,ACFT00507,2021-11-17,A-Check,395790.13,2022-12-27
AMH000252,ACFT00160,2020-08-01,A-Check,134922.64,2021-05-10
AMH000253,ACFT00252,2020-07-29,C-Check,237860.4,2021-12-22
AMH000254,ACFT00519,2018-12-14,A-Check,121442.34,2020-07-07
AMH000255,ACFT00190,2021-10-31,C-Check,392484.9,2023-01-13
AMH000256,ACFT00300,2021-12-21,B-Check,60141.96,2022-08-06
AMH000257,ACFT00586,2025-03-17,C-Check,6951.16,2026-09-08
AMH000258,ACFT00435,2023-10-03,A-Check,440166.01,2024-02-04
AMH000259,ACFT00270,2023-12-21,B-Check,82577.12,2025-01-10
AMH000260,ACFT00194,2024-10-06,A-Check,208701.92,2026-05-20
AMH000261,ACFT00004,2019-05-08,A-Check,6316.91,2019-09-17
AMH000262,ACFT00112,2020-03-22,A-Check,297196.96,2020-12-15
AMH000263,ACFT00466,2020-03-31,B-Check,228076.56,2020-09-20
AMH000264,ACFT00501,2025-04-27,A-Check,142548.32,2027-02-19
AMH000265,ACFT00558,2023-06-05,B-Check,483553.4,2024-08-29
AMH000266,ACFT00178,2022-04-08,B-Check,11000.61,2024-01-27
AMH000267,ACFT00285,2019-02-18,A-Check,266668.17,2020-12-14
AMH000268,ACFT00578,2020-12-03,A-Check,112589.57,2021-08-01
AMH000269,ACFT00037,2019-08-13,A-Check,229316.28,2020-09-16
AMH000270,ACFT00132,2019-08-25,A-Check,277858.95,2021-01-24
AMH000271,ACFT00397,2026-05-19,D-Check,385984.08,2027-08-08
AMH000272,ACFT00094,2023-05-01,A-Check,273964.83,2024-10-20
AMH000273,ACFT00448,2018-03-21,D-Check,271957.16,2018-10-13
AMH000274,ACFT00194,2018-01-09,C-Check,397620.09,2018-12-07
AMH000275,ACFT00306,2020-09-17,B-Check,99219.27,2022-07-15
AMH000276,ACFT00467,2021-08-02,B-Check,29650.77,2023-04-28
AMH000277,ACFT00080,2021-11-22,C-Check,286268.93,2023-09-09
AMH000278,ACFT00591,2019-11-26,B-Check,45596.19,2021-03-23
AMH000279,ACFT00182,2023-08-15,Unscheduled Repair,476259.44,2025-07-26
AMH000280,ACFT00537,2022-05-12,Unscheduled Repair,167931.85,2024-03-30
AMH000281,ACFT00132,2020-04-18,Unscheduled Repair,394667.67,2020-09-05
AMH000282,ACFT00230,2024-08-04,A-Check,171339.55,2026-06-13
AMH000283,ACFT00072,2025-07-11,A-Check,476059.87,2026-10-04
AMH000284,ACFT00485,2018-09-01,A-Check,432333.86,2018-12-25
AMH000285,ACFT00017,2024-11-16,B-Check,140096.23,2026-10-25
AMH000286,ACFT00421,2023-11-08,C-Check,101717.06,2024-04-08
AMH000287,ACFT00230,2020-11-29,A-Check,364666.64,2022-03-02
AMH000288,ACFT00119,2022-06-17,A-Check,309689.55,2023-06-14
AMH000289,ACFT00211,2022-02-03,A-Check,319472.55,2023-03-05
AMH000290,ACFT00379,2022-08-04,C-Check,397870.41,2023-04-26
AMH000291,ACFT00001,2018-09-26,A-Check,36533.95,2019-05-15
AMH000292,ACFT00525,2024-11-18,C-Check,397780.64,2025-03-01
AMH000293,ACFT00039,2022-04-11,A-Check,40705.24,2024-01-26
AMH000294,ACFT00183,2018-12-01,C-Check,443498.56,2019-05-01
AMH000295,ACFT00027,2023-07-28,A-Check,410274.1,2023-11-01
AMH000296,ACFT00115,2024-01-10,A-Check,18082.3,2024-05-12
AMH000297,ACFT00064,2024-01-24,C-Check,67937.26,2024-10-13
AMH000298,ACFT00102,2018-04-02,A-Check,18870.57,2019-12-24
AMH000299,ACFT00084,2023-03-29,B-Check,341427.57,2024-07-15
AMH000300,ACFT00210,2023-05-12,A-Check,144284.53,2024-11-04
AMH000301,ACFT00584,2025-01-05,A-Check,443076.57,2026-05-27
AMH000302,ACFT00270,2021-10-23,Unscheduled Repair,423742.58,2023-03-28
AMH000303,ACFT00300,2025-06-26,C-Check,261804.37,2025-10-01
AMH000304,ACFT00156,2025-06-23,A-Check,255549.09,2026-04-27
AMH000305,ACFT00145,2019-06-30,C-Check,177483.66,2020-05-13
AMH000306,ACFT00319,2023-01-14,B-Check,479017.19,2023-10-07
AMH000307,ACFT00158,2022-12-01,C-Check,329582.76,2023-09-09
AMH000308,ACFT00168,2025-02-12,A-Check,202803.94,2026-04-24
AMH000309,ACFT00161,2020-08-31,B-Check,162110.13,2021-05-23
AMH000310,ACFT00423,2024-04-10,A-Check,462992.5,2025-10-13
AMH000311,ACFT00584,2023-07-22,Unscheduled Repair,452095.14,2024-09-26
AMH000312,ACFT00265,2018-05-04,B-Check,241451.76,2019-03-09
AMH000313,ACFT00307,2021-09-09,B-Check,218745.71,2022-01-24
AMH000314,ACFT00198,2022-09-16,C-Check,14212.71,2023-11-13
AMH000315,ACFT00190,2019-12-14,A-Check,225564.65,2021-01-05
AMH000316,ACFT00503,2025-05-02,A-Check,49819.78,2026-10-17
AMH000317,ACFT00522,2018-01-12,A-Check,489050.63,2019-01-20
AMH000318,ACFT00199,2019-04-23,A-Check,349563.66,2019-10-07
AMH000319,ACFT00516,2021-03-28,C-Check,301905.57,2023-02-17
AMH000320,ACFT00295,2024-04-27,A-Check,141640.71,2024-10-25
AMH000321,ACFT00417,2021-06-29,C-Check,214543.32,2022-07-14
AMH000322,ACFT00208,2022-05-07,A-Check,139705.92,2024-01-20
AMH000323,ACFT00408,2020-08-16,A-Check,273857.49,2022-01-25
AMH000324,ACFT00059,2024-09-14,C-Check,91655.54,2026-03-15
AMH000325,ACFT00520,2019-05-08,C-Check,462442.53,2021-01-29
AMH000326,ACFT00572,2024-04-14,A-Check,219984.47,2025-09-21
AMH000327,ACFT00329,2019-03-18,C-Check,38124.61,2020-07-05
AMH000328,ACFT00443,2018-07-12,A-Check,432629.82,2018-11-24
AMH000329,ACFT00532,2024-05-22,A-Check,453548.84,2025-12-04
AMH000330,ACFT00135,2019-04-26,A-Check,304668.75,2020-12-12
AMH000331,ACFT00347,2025-01-22,B-Check,352634.13,2026-09-22
AMH000332,ACFT00225,2023-12-20,B-Check,437091.93,2024-07-30
AMH000333,ACFT00145,2024-03-27,B-Check,38501.8,2025-05-15
AMH000334,ACFT00453,2020-11-22,A-Check,134175.5,2022-01-28
AMH000335,ACFT00454,2020-11-19,B-Check,201350.0,2022-05-13
AMH000336,ACFT00306,2025-04-10,D-Check,427844.0,2027-01-01
AMH000337,ACFT00383,2025-05-03,D-Check,230109.17,2027-01-18
AMH000338,ACFT00600,2024-05-08,D-Check,399654.1,2024-08-25
AMH000339,ACFT00374,2020-04-08,C-Check,279338.61,2020-08-29
AMH000340,ACFT00587,2024-08-26,Unscheduled Repair,313711.66,2024-12-13
AMH000341,ACFT00499,2019-02-07,A-Check,477582.39,2020-03-28
AMH000342,ACFT00239,2018-07-27,B-Check,213083.48,2020-05-30
AMH000343,ACFT00039,2018-09-16,A-Check,268691.86,2019-10-20
AMH000344,ACFT00256,2023-10-20,A-Check,149965.12,2024-02-22
AMH000345,ACFT00390,2021-10-11,A-Check,188145.84,2022-01-17
AMH000346,ACFT00592,2026-01-22,B-Check,330537.77,2027-03-10
AMH000347,ACFT00350,2020-03-06,A-Check,308240.21,2021-06-13
AMH000348,ACFT00385,2026-01-12,A-Check,116447.6,2027-08-17
AMH000349,ACFT00504,2019-04-28,A-Check,380889.58,2019-09-08
AMH000350,ACFT00085,2022-08-01,A-Check,167425.4,2024-06-01
AMH000351,ACFT00295,2023-05-16,A-Check,476763.41,2025-05-02
AMH000352,ACFT00062,2026-07-17,B-Check,190676.07,2027-12-18
AMH000353,ACFT00399,2024-01-28,B-Check,496551.9,2025-02-26
AMH000354,ACFT00295,2023-10-19,A-Check,396157.55,2025-09-02
AMH000355,ACFT00459,2025-08-20,A-Check,410927.63,2026-04-16
AMH000356,ACFT00057,2026-02-12,B-Check,459056.58,2027-05-15
AMH000357,ACFT00598,2025-06-04,B-Check,112393.38,2026-04-12
AMH000358,ACFT00061,2023-05-16,A-Check,461443.28,2024-02-24
AMH000359,ACFT00324,2022-02-23,B-Check,134778.6,2023-04-04
AMH000360,ACFT00145,2026-01-15,A-Check,360666.24,2026-07-04
AMH000361,ACFT00484,2021-11-02,B-Check,480946.16,2022-10-11
AMH000362,ACFT00444,2023-05-27,A-Check,334809.77,2024-05-04
AMH000363,ACFT00059,2020-04-05,A-Check,464116.89,2021-08-16
AMH000364,ACFT00175,2022-05-21,A-Check,252746.72,2022-12-08
AMH000365,ACFT00400,2019-07-03,C-Check,391960.29,2020-05-06
AMH000366,ACFT00181,2023-06-13,A-Check,255962.17,2025-04-06
AMH000367,ACFT00205,2022-06-06,B-Check,335847.16,2023-05-12
AMH000368,ACFT00394,2023-03-12,A-Check,344994.66,2024-04-08
AMH000369,ACFT00573,2022-11-17,B-Check,45745.68,2024-11-01
AMH000370,ACFT00340,2024-07-31,C-Check,67448.81,2024-11-13
AMH000371,ACFT00179,2025-04-29,C-Check,362040.48,2026-05-20
AMH000372,ACFT00485,2018-06-10,A-Check,402587.6,2020-02-05
