route_id,origin_airport_id,destination_airport_id,distance_km,typical_duration_min
RT00123,APT00224,APT00069,2711,230
RT00124,APT00110,APT00176,11270,856
RT00125,APT00074,APT00146,7979,626
RT00126,APT00195,APT00245,4283,350
RT00127,APT00138,APT00075,9430,734
RT00128,APT00001,APT00061,13339,1031
RT00129,APT00161,APT00227,6555,517
RT00130,APT00127,APT00083,603,76
RT00131,APT00147,APT00054,11825,910
RT00132,APT00046,APT00207,2794,223
RT00133,APT00120,APT00205,2719,215
RT00134,APT00164,APT00016,8712,690
RT00135,APT00172,APT00215,11225,864
RT00136,APT00173,APT00161,11143,854
RT00137,APT00250,APT00070,12177,931
RT00138,APT00127,APT00136,12394,940
RT00139,APT00108,APT00060,1970,185
RT00140,APT00138,APT00042,4347,338
RT00141,APT00082,APT00033,10137,776
RT00142,APT00078,APT00041,5593,442
RT00143,APT00175,APT00149,10080,776
RT00144,APT00078,APT00204,6476,496
RT00145,APT00189,APT00122,6429,501
RT00146,APT00188,APT00004,572,75
RT00147,APT00239,APT00108,8594,661
RT00148,APT00033,APT00189,12122,944
RT00149,APT00091,APT00210,11497,882
RT00150,APT00195,APT00185,4863,374
RT00151,APT00108,APT00093,9539,728
RT00152,APT00166,APT00165,2950,255
RT00153,APT00186,APT00017,8942,692
RT00154,APT00222,APT00103,5846,477
RT00155,APT00057,APT00136,12988,1007
RT00156,APT00065,APT00007,10005,760
RT00157,APT00118,APT00004,1211,109
RT00158,APT00128,APT00202,12218,947
RT00159,APT00227,APT00055,10193,775
RT00160,APT00010,APT00031,3172,276
RT00161,APT00061,APT00151,4099,321
RT00162,APT00229,APT00070,2582,226
RT00163,APT00156,APT00245,4480,371
RT00164,APT00171,APT00238,13224,1016
RT00165,APT00062,APT00208,12650,982
RT00166,APT00158,APT00075,7802,621
RT00167,APT00093,APT00220,5198,421
RT00168,APT00185,APT00064,5247,424
RT00169,APT00023,APT00060,13405,1026
RT00170,APT00071,APT00244,2950,239
RT00171,APT00164,APT00171,10653,834
RT00172,APT00154,APT00021,13934,1061
RT00173,APT00212,APT00223,12002,922
RT00174,APT00202,APT00040,10124,784
RT00175,APT00004,APT00173,12617,967
RT00176,APT00023,APT00110,3206,261
RT00177,APT00089,APT00005,13775,1060
RT00178,APT00240,APT00199,1459,128
RT00179,APT00120,APT00174,390,68
RT00180,APT00224,APT00222,2950,236
RT00181,APT00015,APT00156,8603,666
RT00182,APT00241,APT00191,3618,306
RT00183,APT00015,APT00228,8942,694
RT00184,APT00204,APT00245,1732,160
RT00185,APT00220,APT00143,9819,765
RT00186,APT00073,APT00005,3369,271
RT00187,APT00075,APT00087,7423,588
RT00188,APT00148,APT00158,1811,152
RT00189,APT00183,APT00027,13589,1051
RT00190,APT00030,APT00029,5412,418
RT00191,APT00059,APT00099,8545,670
RT00192,APT00191,APT00229,6909,531
RT00193,APT00204,APT00080,8415,667
RT00194,APT00038,APT00235,6482,514
RT00195,APT00224,APT00202,1209,101
RT00196,APT00218,APT00075,11643,886
RT00197,APT00218,APT00058,9066,694
RT00198,APT00060,APT00208,3705,315
RT00199,APT00170,APT00191,1359,128
RT00200,APT00040,APT00160,12441,951
RT00201,APT00049,APT00245,4789,377
RT00202,APT00018,APT00025,12732,964
RT00203,APT00125,APT00097,10769,823
RT00204,APT00180,APT00154,13445,1043
RT00205,APT00050,APT00018,9306,724
RT00206,APT00047,APT00245,2697,223
RT00207,APT00069,APT00146,688,61
RT00208,APT00050,APT00077,3591,289
RT00209,APT00210,APT00060,6261,490
RT00210,APT00042,APT00001,8808,673
RT00211,APT00069,APT00151,12563,970
RT00212,APT00076,APT00245,2144,189
RT00213,APT00051,APT00009,8962,711
RT00214,APT00236,APT00105,1381,123
RT00215,APT00053,APT00168,6843,531
RT00216,APT00122,APT00109,1217,125
RT00217,APT00145,APT00165,5359,421
RT00218,APT00065,APT00180,8564,670
RT00219,APT00118,APT00242,10397,811
RT00220,APT00042,APT00154,11304,883
RT00221,APT00121,APT00180,7438,576
RT00222,APT00005,APT00075,3772,310
RT00223,APT00111,APT00037,12799,972
RT00224,APT00092,APT00025,13082,1014
RT00225,APT00088,APT00027,13552,1027
RT00226,APT00027,APT00208,11128,864
RT00227,APT00250,APT00010,10934,836
RT00228,APT00007,APT00121,1268,118
RT00229,APT00036,APT00156,8101,619
RT00230,APT00026,APT00171,5820,466
RT00231,APT00245,APT00017,3773,306
RT00232,APT00079,APT00216,1138,114
RT00233,APT00109,APT00110,3143,255
RT00234,APT00190,APT00005,12829,972
RT00235,APT00013,APT00033,12739,982
RT00236,APT00017,APT00216,10450,813
RT00237,APT00046,APT00237,1601,149
RT00238,APT00172,APT00190,9674,742
RT00239,APT00245,APT00083,1949,177
RT00240,APT00158,APT00238,9621,747
RT00241,APT00219,APT00069,664,65
RT00242,APT00222,APT00058,4135,323
RT00243,APT00069,APT00193,1890,160
RT00244,APT00046,APT00080,13082,991
RT00245,APT00040,APT00132,8048,634
RT00246,APT00200,APT00168,12934,980
RT00247,APT00170,APT00041,480,47
RT00248,APT00218,APT00232,10404,794
RT00249,APT00128,APT00041,6822,530
RT00250,APT00245,APT00249,6671,510
RT00251,APT00225,APT00069,12251,946
RT00252,APT00204,APT00105,850,76
RT00253,APT00202,APT00063,13229,1026
RT00254,APT00031,APT00137,590,70
RT00255,APT00188,APT00001,5206,402
RT00256,APT00238,APT00042,2106,179
RT00257,APT00073,APT00132,7419,570
RT00258,APT00205,APT00176,8421,670
RT00259,APT00088,APT00241,9060,706
RT00260,APT00053,APT00211,11213,874
RT00261,APT00185,APT00231,10563,813
RT00262,APT00041,APT00201,13288,1010
RT00263,APT00121,APT00196,6404,497
RT00264,APT00235,APT00087,2619,218
RT00265,APT00039,APT00227,2348,209
RT00266,APT00038,APT00242,4002,322
RT00267,APT00237,APT00131,8520,676
RT00268,APT00196,APT00030,946,90
RT00269,APT00116,APT00011,13376,1019
RT00270,APT00102,APT00125,13848,1062
RT00271,APT00242,APT00161,2474,198
RT00272,APT00183,APT00142,10976,853
RT00273,APT00228,APT00225,8428,645
RT00274,APT00023,APT00136,6833,541
RT00275,APT00135,APT00168,10337,796
RT00276,APT00183,APT00191,8142,630
RT00277,APT00009,APT00225,4666,377
RT00278,APT00130,APT00155,7958,627
RT00279,APT00014,APT00143,2073,192
RT00280,APT00226,APT00019,3710,296
RT00281,APT00173,APT00163,13627,1056
RT00282,APT00047,APT00045,2758,241
RT00283,APT00133,APT00092,8455,673
RT00284,APT00027,APT00135,4298,360
RT00285,APT00203,APT00021,6613,528
RT00286,APT00049,APT00176,3610,288
RT00287,APT00155,APT00070,8049,633
RT00288,APT00020,APT00131,7893,624
RT00289,APT00039,APT00088,8723,672
RT00290,APT00246,APT00089,4453,367
RT00291,APT00097,APT00099,8188,645
RT00292,APT00030,APT00013,10259,793
RT00293,APT00177,APT00049,10135,795
RT00294,APT00051,APT00198,8037,614
RT00295,APT00150,APT00030,4328,354
RT00296,APT00204,APT00126,7545,598
RT00297,APT00173,APT00035,7609,581
RT00298,APT00062,APT00137,13327,1021
RT00299,APT00059,APT00164,5403,430
RT00300,APT00056,APT00118,4649,364
RT00301,APT00161,APT00195,10548,827
RT00302,APT00171,APT00066,8966,700
RT00303,APT00133,APT00143,6093,474
RT00304,APT00101,APT00069,200,38
RT00305,APT00016,APT00130,9927,757
RT00306,APT00210,APT00016,10369,789
RT00307,APT00168,APT00067,13038,1009
RT00308,APT00162,APT00179,7135,574
RT00309,APT00026,APT00196,7308,566
RT00310,APT00072,APT00068,3075,247
RT00311,APT00076,APT00064,6543,520
RT00312,APT00152,APT00074,220,41
RT00313,APT00199,APT00070,7109,547
RT00314,APT00218,APT00249,9955,776
RT00315,APT00133,APT00165,11045,844
RT00316,APT00091,APT00097,9345,713
RT00317,APT00103,APT00116,11314,871
RT00318,APT00186,APT00130,9382,735
RT00319,APT00079,APT00141,10961,847
RT00320,APT00105,APT00097,6236,496
RT00321,APT00198,APT00244,8510,655
RT00322,APT00138,APT00072,9022,700
RT00323,APT00118,APT00108,8101,638
RT00324,APT00186,APT00002,8084,631
RT00325,APT00072,APT00124,10989,841
RT00326,APT00015,APT00215,3496,300
RT00327,APT00199,APT00250,4572,354
RT00328,APT00115,APT00119,7358,588
RT00329,APT00081,APT00035,9106,713
RT00330,APT00024,APT00182,7301,560
RT00331,APT00233,APT00163,2951,238
RT00332,APT00183,APT00240,11565,888
RT00333,APT00068,APT00128,7732,617
RT00334,APT00155,APT00001,6182,488
RT00335,APT00117,APT00226,12317,940
RT00336,APT00081,APT00171,6217,503
RT00337,APT00078,APT00202,2428,195
RT00338,APT00019,APT00029,13784,1067
RT00339,APT00244,APT00115,5480,445
RT00340,APT00232,APT00115,12543,961
RT00341,APT00219,APT00067,7332,560
RT00342,APT00078,APT00213,3543,301
RT00343,APT00250,APT00047,5396,443
RT00344,APT00069,APT00018,12762,978
RT00345,APT00208,APT00059,13236,1007
RT00346,APT00025,APT00248,2103,175
RT00347,APT00077,APT00028,13822,1050
RT00348,APT00147,APT00148,11976,926
RT00349,APT00243,APT00046,9138,710
RT00350,APT00066,APT00099,2729,224
RT00351,APT00109,APT00141,8294,651
RT00352,APT00212,APT00005,6073,483
RT00353,APT00119,APT00060,1917,153
RT00354,APT00173,APT00150,13778,1055
RT00355,APT00106,APT00004,8527,674
RT00356,APT00001,APT00125,1539,148
RT00357,APT00071,APT00154,4915,403
RT00358,APT00145,APT00054,11789,922
RT00359,APT00005,APT00040,6302,483
RT00360,APT00058,APT00124,7027,545
RT00361,APT00239,APT00182,2166,185
RT00362,APT00004,APT00234,1731,154
RT00363,APT00062,APT00084,13695,1060
RT00364,APT00158,APT00250,13344,1031
RT00365,APT00144,APT00083,1515,144
RT00366,APT00051,APT00083,7779,597
RT00367,APT00015,APT00186,9598,749
RT00368,APT00226,APT00121,12352,959
RT00369,APT00141,APT00098,7923,626
RT00370,APT00146,APT00198,12193,941
RT00371,APT00015,APT00008,1868,152
RT00372,APT00053,APT00180,401,44
RT00373,APT00018,APT00095,6615,528
RT00374,APT00245,APT00223,3854,325
RT00375,APT00194,APT00183,10621,830
RT00376,APT00139,APT00236,4849,385
RT00377,APT00173,APT00032,5816,463
RT00378,APT00041,APT00048,7581,583
RT00379,APT00248,APT00227,13468,1037
RT00380,APT00132,APT00098,1191,104
RT00381,APT00132,APT00205,7825,619
RT00382,APT00241,APT00174,5567,450
RT00383,APT00024,APT00126,696,63
RT00384,APT00107,APT00011,11442,896
RT00385,APT00022,APT00019,12812,993
RT00386,APT00107,APT00181,2590,215
RT00387,APT00067,APT00024,10684,824
RT00388,APT00116,APT00002,9877,752
RT00389,APT00178,APT00055,9933,782
RT00390,APT00070,APT00230,6552,504
RT00391,APT00013,APT00159,4618,383
RT00392,APT00040,APT00182,1175,117
RT00393,APT00181,APT00166,681,88
RT00394,APT00148,APT00144,2647,219
RT00395,APT00245,APT00064,7484,597
RT00396,APT00225,APT00108,2146,182
RT00397,APT00040,APT00138,9675,745
RT00398,APT00186,APT00248,8752,676
RT00399,APT00023,APT00226,4955,409
RT00400,APT00024,APT00186,1405,128
RT00401,APT00200,APT00205,7340,574
RT00402,APT00101,APT00203,11558,895
RT00403,APT00250,APT00169,5633,448
RT00404,APT00002,APT00208,11331,875
RT00405,APT00127,APT00018,4149,332
RT00406,APT00077,APT00006,1304,111
RT00407,APT00247,APT00112,9169,726
RT00408,APT00170,APT00014,12457,958
RT00409,APT00195,APT00084,12394,968
RT00410,APT00072,APT00050,13436,1030
RT00411,APT00225,APT00240,1687,153
RT00412,APT00212,APT00166,799,85
RT00413,APT00198,APT00011,8059,642
RT00414,APT00120,APT00159,13314,1011
RT00415,APT00231,APT00185,13971,1072
RT00416,APT00170,APT00081,4056,318
RT00417,APT00017,APT00222,5377,439
RT00418,APT00222,APT00244,9373,727
RT00419,APT00006,APT00246,12807,997
RT00420,APT00173,APT00023,2612,213
RT00421,APT00062,APT00113,13664,1038
RT00422,APT00225,APT00196,11480,889
RT00423,APT00185,APT00112,1139,99
RT00424,APT00204,APT00121,11818,907
RT00425,APT00177,APT00082,9054,698
RT00426,APT00145,APT00106,13701,1043
RT00427,APT00217,APT00176,3089,244
RT00428,APT00074,APT00007,13896,1071
RT00429,APT00134,APT00202,856,96
RT00430,APT00074,APT00184,1246,114
RT00431,APT00028,APT00034,6378,496
RT00432,APT00220,APT00195,9279,709
RT00433,APT00126,APT00133,2503,217
RT00434,APT00014,APT00079,3968,331
RT00435,APT00208,APT00115,5580,444
RT00436,APT00236,APT00132,1932,166
RT00437,APT00168,APT00053,2628,226
RT00438,APT00081,APT00154,2253,205
RT00439,APT00216,APT00160,13365,1041
RT00440,APT00187,APT00092,13122,999
RT00441,APT00071,APT00116,8874,689
RT00442,APT00082,APT00157,9634,758
RT00443,APT00248,APT00127,2091,184
RT00444,APT00239,APT00109,896,101
RT00445,APT00172,APT00240,5402,444
RT00446,APT00009,APT00221,13782,1046
RT00447,APT00058,APT00095,6794,537
RT00448,APT00089,APT00182,11347,876
RT00449,APT00136,APT00204,5303,415
RT00450,APT00218,APT00027,4466,363
RT00451,APT00213,APT00151,11407,868
RT00452,APT00068,APT00202,6697,526
RT00453,APT00027,APT00015,10300,794
RT00454,APT00069,APT00084,10226,787
RT00455,APT00059,APT00201,10233,795
RT00456,APT00226,APT00235,9529,752
RT00457,APT00004,APT00249,11370,890
RT00458,APT00209,APT00154,6590,525
RT00459,APT00167,APT00011,4383,347
RT00460,APT00026,APT00007,7270,583
RT00461,APT00174,APT00204,4679,389
RT00462,APT00148,APT00186,796,94
RT00463,APT00001,APT00049,5193,425
RT00464,APT00056,APT00032,7108,567
RT00465,APT00087,APT00036,7381,585
RT00466,APT00054,APT00221,4895,398
RT00467,APT00148,APT00193,10211,794
RT00468,APT00157,APT00238,4133,338
RT00469,APT00042,APT00028,9136,706
RT00470,APT00031,APT00176,3920,330
RT00471,APT00166,APT00232,13815,1065
RT00472,APT00118,APT00136,9155,714
RT00473,APT00066,APT00195,7884,623
RT00474,APT00064,APT00153,6123,471
RT00475,APT00010,APT00002,10632,834
RT00476,APT00215,APT00108,6076,482
RT00477,APT00212,APT00065,11284,884
RT00478,APT00142,APT00021,2396,192
RT00479,APT00088,APT00152,11518,880
RT00480,APT00054,APT00233,13473,1048
RT00481,APT00077,APT00014,3547,296
RT00482,APT00233,APT00082,3290,275
RT00483,APT00022,APT00170,13377,1025
RT00484,APT00207,APT00078,5804,461
RT00485,APT00076,APT00029,9796,760
RT00486,APT00066,APT00048,2824,226
RT00487,APT00204,APT00007,6100,483
RT00488,APT00241,APT00249,9903,767
RT00489,APT00248,APT00124,12548,960
RT00490,APT00067,APT00236,6218,486
RT00491,APT00151,APT00174,1236,125
RT00492,APT00073,APT00088,5908,473
RT00493,APT00049,APT00236,9072,704
RT00494,APT00097,APT00065,12276,948
RT00495,APT00016,APT00046,11707,895
RT00496,APT00041,APT00203,10680,825
RT00497,APT00152,APT00142,2481,212
RT00498,APT00174,APT00107,7374,570
RT00499,APT00067,APT00150,8150,626
RT00500,APT00142,APT00243,6666,524
RT00501,APT00193,APT00070,12937,1008
RT00502,APT00225,APT00226,13446,1031
RT00503,APT00145,APT00229,3101,269
RT00504,APT00060,APT00192,13399,1039
RT00505,APT00180,APT00039,11881,923
RT00506,APT00042,APT00022,9925,780
RT00507,APT00034,APT00030,5463,431
RT00508,APT00090,APT00178,10690,833
RT00509,APT00082,APT00101,8289,635
RT00510,APT00036,APT00247,12607,964
RT00511,APT00013,APT00002,10015,777
RT00512,APT00237,APT00094,13507,1024
RT00513,APT00172,APT00066,5985,480
RT00514,APT00182,APT00222,1335,137
RT00515,APT00017,APT00030,6989,537
RT00516,APT00201,APT00103,13963,1086
RT00517,APT00091,APT00218,9239,704
RT00518,APT00189,APT00244,9901,755
RT00519,APT00124,APT00230,8829,694
RT00520,APT00061,APT00166,8379,658
RT00521,APT00065,APT00040,1046,116
RT00522,APT00035,APT00024,5901,464
RT00523,APT00209,APT00104,1392,131
RT00524,APT00108,APT00120,4842,377
RT00525,APT00197,APT00131,10133,789
RT00526,APT00209,APT00013,11298,886
RT00527,APT00041,APT00171,3285,273
RT00528,APT00082,APT00099,9231,729
RT00529,APT00031,APT00027,3325,270
RT00530,APT00003,APT00230,2969,261
RT00531,APT00247,APT00090,13447,1034
RT00532,APT00168,APT00058,8616,660
RT00533,APT00114,APT00125,2925,239
RT00534,APT00050,APT00238,2148,185
RT00535,APT00151,APT00208,883,78
RT00536,APT00138,APT00025,7056,565
RT00537,APT00056,APT00174,1596,136
RT00538,APT00004,APT00169,8251,648
RT00539,APT00118,APT00223,6186,500
RT00540,APT00130,APT00242,8972,695
RT00541,APT00201,APT00188,3063,257
RT00542,APT00099,APT00166,2204,190
RT00543,APT00024,APT00089,1590,151
RT00544,APT00221,APT00226,1519,124
RT00545,APT00104,APT00237,1197,109
RT00546,APT00183,APT00248,3770,310
RT00547,APT00011,APT00239,11245,855
RT00548,APT00009,APT00163,8577,678
RT00549,APT00006,APT00240,3655,302
RT00550,APT00199,APT00197,13057,989
RT00551,APT00060,APT00241,10702,812
RT00552,APT00200,APT00008,10951,835
RT00553,APT00237,APT00246,12600,974
RT00554,APT00168,APT00108,10490,811
RT00555,APT00247,APT00220,13403,1029
RT00556,APT00233,APT00072,4757,382
RT00557,APT00183,APT00090,12014,925
RT00558,APT00202,APT00208,1741,150
RT00559,APT00154,APT00134,4341,335
RT00560,APT00055,APT00172,12508,948
RT00561,APT00026,APT00080,2040,183
RT00562,APT00096,APT00156,7111,565
RT00563,APT00119,APT00122,4899,384
RT00564,APT00088,APT00234,1587,136
RT00565,APT00025,APT00125,3455,281
RT00566,APT00128,APT00022,7582,597
RT00567,APT00126,APT00186,8903,694
RT00568,APT00239,APT00077,9520,740
RT00569,APT00239,APT00222,2014,162
RT00570,APT00157,APT00025,4614,368
RT00571,APT00214,APT00250,1637,154
RT00572,APT00078,APT00087,327,51
RT00573,APT00243,APT00210,5589,453
RT00574,APT00236,APT00160,8778,688
RT00575,APT00031,APT00244,5317,434
RT00576,APT00177,APT00086,753,83
RT00577,APT00115,APT00155,3235,269
RT00578,APT00066,APT00173,6172,488
RT00579,APT00104,APT00038,5109,400
RT00580,APT00228,APT00196,11581,891
RT00581,APT00232,APT00035,8452,648
RT00582,APT00086,APT00209,13984,1070
RT00583,APT00116,APT00031,2621,210
RT00584,APT00131,APT00045,5310,422
RT00585,APT00185,APT00125,1405,143
RT00586,APT00120,APT00046,477,58
RT00587,APT00099,APT00019,12950,1003
RT00588,APT00232,APT00013,7002,548
RT00589,APT00093,APT00071,9305,734
RT00590,APT00066,APT00124,4012,316
RT00591,APT00081,APT00011,911,103
RT00592,APT00083,APT00034,12520,970
RT00593,APT00142,APT00156,9286,732
RT00594,APT00168,APT00079,10018,764
RT00595,APT00033,APT00191,7560,603
RT00596,APT00223,APT00212,5779,470
RT00597,APT00063,APT00008,6027,470
RT00598,APT00029,APT00238,10715,831
RT00599,APT00170,APT00173,3336,277
RT00600,APT00053,APT00207,4908,379
RT00601,APT00190,APT00120,4442,358
RT00602,APT00238,APT00001,7400,584
RT00603,APT00175,APT00222,13553,1032
RT00604,APT00196,APT00145,12934,990
RT00605,APT00125,APT00010,7718,605
RT00606,APT00087,APT00041,2962,259
RT00607,APT00156,APT00052,13177,999
RT00608,APT00090,APT00094,4520,377
RT00609,APT00220,APT00111,5117,417
RT00610,APT00118,APT00108,12421,966
RT00611,APT00126,APT00218,3833,298
RT00612,APT00171,APT00237,6573,519
RT00613,APT00048,APT00172,12851,984
RT00614,APT00143,APT00161,4586,380
RT00615,APT00190,APT00217,8815,693
RT00616,APT00196,APT00067,714,82
RT00617,APT00056,APT00143,13939,1055
RT00618,APT00014,APT00163,5981,484
RT00619,APT00049,APT00071,9449,732
RT00620,APT00206,APT00239,7108,547
RT00621,APT00066,APT00059,6188,500
RT00622,APT00015,APT00225,5807,472
RT00623,APT00152,APT00080,445,57
RT00624,APT00221,APT00206,4028,331
RT00625,APT00056,APT00094,5453,436
RT00626,APT00011,APT00054,5293,415
RT00627,APT00035,APT00219,3974,330
RT00628,APT00032,APT00038,9065,718
RT00629,APT00051,APT00039,11642,911
RT00630,APT00045,APT00226,12499,967
RT00631,APT00162,APT00080,13617,1041
RT00632,APT00056,APT00001,9165,724
RT00633,APT00139,APT00109,5872,477
RT00634,APT00102,APT00187,9117,693
RT00635,APT00166,APT00191,2026,171
RT00636,APT00166,APT00022,11472,886
RT00637,APT00151,APT00070,7582,595
RT00638,APT00224,APT00157,2478,216
RT00639,APT00049,APT00168,6076,480
RT00640,APT00133,APT00158,4355,336
RT00641,APT00099,APT00084,5023,390
RT00642,APT00135,APT00217,898,99
RT00643,APT00035,APT00020,421,61
RT00644,APT00079,APT00207,5025,405
RT00645,APT00236,APT00114,4363,350
RT00646,APT00202,APT00174,13983,1066
RT00647,APT00107,APT00108,3823,305
RT00648,APT00027,APT00095,4744,385
RT00649,APT00165,APT00110,12829,987
RT00650,APT00075,APT00041,12064,917
RT00651,APT00082,APT00056,984,94
RT00652,APT00024,APT00162,1383,137
RT00653,APT00072,APT00141,1510,140
RT00654,APT00054,APT00126,6544,525
RT00655,APT00009,APT00119,8101,632
RT00656,APT00150,APT00020,5050,402
RT00657,APT00243,APT00218,379,66
RT00658,APT00031,APT00240,2981,248
RT00659,APT00013,APT00061,8681,665
RT00660,APT00025,APT00078,5340,422
RT00661,APT00139,APT00160,1904,171
RT00662,APT00208,APT00001,9187,709
RT00663,APT00077,APT00025,8664,671
RT00664,APT00029,APT00227,6966,558
RT00665,APT00024,APT00044,13174,1011
RT00666,APT00155,APT00147,11851,907
RT00667,APT00090,APT00222,748,69
RT00668,APT00088,APT00185,12688,973
RT00669,APT00060,APT00068,884,98
RT00670,APT00225,APT00038,6850,531
RT00671,APT00094,APT00182,12643,972
RT00672,APT00179,APT00102,13747,1060
RT00673,APT00188,APT00243,511,75
RT00674,APT00015,APT00164,1193,123
RT00675,APT00062,APT00003,3529,282
RT00676,APT00225,APT00063,4013,314
RT00677,APT00222,APT00188,4056,334
RT00678,APT00104,APT00178,5950,463
RT00679,APT00039,APT00188,4599,365
RT00680,APT00074,APT00059,8241,631
RT00681,APT00238,APT00062,11984,931
RT00682,APT00171,APT00053,7733,593
RT00683,APT00019,APT00176,4780,379
RT00684,APT00182,APT00003,8038,624
RT00685,APT00036,APT00205,8762,668
RT00686,APT00075,APT00070,12568,975
RT00687,APT00121,APT00124,13274,1023
RT00688,APT00088,APT00062,4030,328
RT00689,APT00177,APT00107,12872,980
RT00690,APT00039,APT00193,11472,871
RT00691,APT00221,APT00050,1968,158
RT00692,APT00151,APT00146,7900,620
RT00693,APT00076,APT00014,2300,204
RT00694,APT00240,APT00045,6968,555
RT00695,APT00120,APT00174,817,95
