airport_id,iata_code,airport_name,city,country,timezone,active_flag
APT00173,RKB,Atlanta International Airport,Atlanta,United States,UTC-1,True
APT00174,DWP,Johannesburg International Airport,Johannesburg,South Africa,UTC+9,True
APT00175,TFH,Bengaluru International Airport,Bengaluru,India,UTC-6,True
APT00176,BXA,Santiago International Airport,Santiago,Chile,UTC+7,True
APT00177,LNK,Nairobi International Airport,Nairobi,Kenya,UTC+1,True
APT00178,JDE,Calgary International Airport,Calgary,Canada,UTC+11,True
APT00179,DDJ,San Diego International Airport,San Diego,United States,UTC+2,True
APT00180,WAK,Vienna International Airport,Vienna,Austria,UTC-9,True
APT00181,XQB,Rome International Airport,Rome,Italy,UTC+0,True
APT00182,REW,Reykjavik International Airport,Reykjavik,Iceland,UTC+12,True
APT00183,JMW,Oslo International Airport,Oslo,Norway,UTC-8,True
APT00184,PBY,Doha International Airport,Doha,Qatar,UTC-3,True
APT00185,BUR,Hamburg International Airport,Hamburg,Germany,UTC+8,True
APT00186,NLG,Oslo Intl,Oslo,Norway,UTC+4,True
APT00187,GGX,Dallas International Airport,Dallas,United States,UTC-10,True
APT00188,LDU,Calgary International Airport,Calgary,Canada,UTC+4,True
APT00189,RHK,Manila International Airport,Manila,Philippines,UTC+6,True
APT00190,RQB,Colombo International Airport,Colombo,Sri Lanka,UTC+0,True
APT00191,PEC,Milan International Airport,Milan,Italy,UTC+5,True
APT00192,ZLG,Nice International Airport,Nice,France,UTC+10,True
APT00193,LNU,Munich International Airport,Munich,Germany,UTC+4,True
APT00194,TJT,Montreal International Airport,Montreal,Canada,UTC+6,True
APT00195,DTQ,Lisbon International Airport,Lisbon,Portugal,UTC+1,True
APT00196,ERK,Seattle International Airport,Seattle,United States,UTC-3,True
APT00197,GDV,Osaka International Airport,Osaka,Japan,UTC-9,True
APT00198,TRH,Ottawa International Airport,Ottawa,Canada,UTC-11,True
APT00199,DUY,Karachi International Airport,Karachi,Pakistan,UTC+9,True
APT00200,EDW, Cologne International Airport ,Cologne,Germany,UTC-5,True
APT00201,GSX,Atlanta International Airport,Atlanta,United States,UTC+10,True
APT00202,PSU,Doha International Airport,Doha,Qatar,UTC+11,True
APT00203,HRB,Mexico City International Airport,Mexico City,Mexico,UTC-4,True
APT00204,LSP,Hong Kong International Airport,Hong Kong,China,UTC-11,True
APT00205,ZQJ,Prague International Airport,Prague,Czech Republic,UTC-1,True
APT00206,HHW,Portland International Airport,Portland,United States,UTC+2,True
APT00207,VJV,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,UTC-6,True
APT00208,HWY,Zagreb International Airport,Zagreb,Croatia,UTC+12,True
APT00209,FUC,Taipei International Airport,Taipei,Taiwan,UTC+0,True
APT00210,QRR,Dublin International Airport,Dublin,Ireland,UTC-5,True
APT00211,JKG,Vancouver International Airport,Vancouver,Canada,UTC-6,True
APT00212,PEJ,Seattle International Airport,Seattle,United States,UTC-11,True
APT00213,DWF,Miami International Airport,Miami,United States,UTC-8,True
APT00214,CKL,Madrid International Airport,Madrid,Spain,UTC+12,True
APT00215,ALK,Frankfurt International Airport,Frankfurt,Germany,UTC+3,True
APT00216,RBY,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,UTC-8,True
APT00217,MXF, London International Airport ,London,United Kingdom,UTC+4,True
APT00218,PED,Madrid International Airport,Madrid,Spain,UTC-1,True
APT00219,HSV,Paris International Airport,Paris,France,UTC+4,True
APT00220,ANC,Vienna International Airport,Vienna,Austria,UTC-9,True
APT00221,HHH,Atlanta International Airport,Atlanta,United States,UTC+0,True
APT00222,JSU,Toronto International Airport,Toronto,Canada,UTC-3,True
APT00223,XVY,Orlando International Airport,Orlando,United States,UTC-2,True
APT00224,TVE,Oslo International Airport,Oslo,Norway,UTC+0,True
APT00225,PXX,Philadelphia International Airport,Philadelphia,United States,UTC-9,True
APT00226,GBN,Riyadh Intl,Riyadh,Saudi Arabia,UTC-10,True
APT00227,WUC,Denver International Airport,Denver,United States,UTC-11,True
APT00228,JEA,Zurich International Airport,Zurich,Switzerland,UTC-8,True
APT00229,PNL,ABU DHABI AIRPORT,Abu Dhabi,United Arab Emirates,UTC+8,True
APT00230,PTQ,Colombo International Airport,Colombo,Sri Lanka,UTC-5,True
APT00231,NUT,Las Vegas International Airport,Las Vegas,United States,UTC+0,True
APT00232,RFR, Houston International Airport ,Houston,United States,UTC+7,True
APT00233,JED,Mumbai International Airport,Mumbai,India,UTC-7,True
APT00234,SZW,Mexico City International Airport,Mexico City,Mexico,UTC-8,True
APT00235,YKE,Phoenix International Airport,Phoenix,United States,UTC+10,True
APT00236,LEQ,Johannesburg International Airport,Johannesburg,South Africa,UTC-6,True
APT00237,GTA,Houston International Airport,Houston,United States,UTC+2,True
APT00238,JTM,Berlin Intl,Berlin,Germany,UTC-11,True
APT00239,JMQ,Amsterdam International Airport,Amsterdam,Netherlands,UTC-5,True
APT00240,CVJ,Miami International Airport,Miami,United States,UTC+2,True
APT00241,DND,Ho Chi Minh City International Airport,Ho Chi Minh City,Vietnam,UTC-4,True
APT00242,WBJ,Taipei International Airport,Taipei,Taiwan,UTC-11,True
APT00243,URU,Budapest International Airport,Budapest,Hungary,UTC-7,True
APT00244,VMW,HO CHI MINH CITY AIRPORT,Ho Chi Minh City,Vietnam,UTC+11,True
APT00245,MQM,Brussels International Airport,Brussels,Belgium,UTC-7,True
APT00246,XCK,Portland International Airport,Portland,United States,UTC-7,True
APT00247,BDR,Bucharest International Airport,Bucharest,Romania,UTC+9,True
APT00248,FBN,Dublin International Airport,Dublin,Ireland,UTC-3,True
APT00249,LEV,Bucharest International Airport,Bucharest,Romania,UTC+10,True
APT00250,UCB,Barcelona International Airport,Barcelona,Spain,UTC-9,True
