checkin_id,ticket_id,passenger_id,flight_id,checkin_time,checkin_method
CHK00000025,TKT00000028,PAX00000028,FLT0043889,2026-05-12 11:17:00,Mobile App
CHK00000026,TKT00000029,PAX00000029,FLT0043889,2026-05-12 11:47:00,Airport Kiosk
CHK00000027,TKT00000030,PAX00000030,FLT0043889,2026-05-12 10:52:00,Mobile App
CHK00000028,TKT00000031,PAX00000031,FLT0037379,2026-01-20 01:02:00,Online
CHK00000029,TKT00000032,PAX00000032,FLT0037379,2026-01-20 03:03:00,Mobile App
CHK00000030,TKT00000033,PAX00000033,FLT0072337,2026-04-14 23:14:00,Online
CHK00000031,TKT00000034,PAX00000034,FLT0051267,2026-08-11 05:52:00,Mobile App
CHK00000032,TKT00000036,PAX00000036,FLT0026304,2026-06-15 12:42:00,Airport Kiosk
CHK00000033,TKT00000037,PAX00000037,FLT0026304,2026-06-15 10:43:00,Airport Kiosk
CHK00000034,TKT00000038,PAX00000038,FLT0040786,2026-04-23 20:57:00,Airport Kiosk
CHK00000035,TKT00000039,PAX00000039,FLT0040786,2026-04-23 21:48:00,Airport Kiosk
CHK00000036,TKT00000040,PAX00000040,FLT0035047,2026-06-14 12:41:00,Online
CHK00000037,TKT00000041,PAX00000041,FLT0035047,2026-06-14 13:13:00,Online
CHK00000038,TKT00000043,PAX00000043,FLT0035047,2026-06-14 12:35:00,Counter
CHK00000039,TKT00000044,PAX00000044,FLT0056560,2026-04-19 23:38:00,Online
CHK00000040,TKT00000045,PAX00000045,FLT0056560,2026-04-19 23:52:00,Mobile App
CHK00000041,TKT00000047,PAX00000047,FLT0056560,2026-04-19 23:35:00,Online
CHK00000042,TKT00000048,PAX00000048,FLT0079227,2025-11-19 02:21:00,Mobile App
CHK00000043,TKT00000049,PAX00000049,FLT0068680,2026-06-12 04:42:00,Online
CHK00000044,TKT00000050,PAX00000050,FLT0068680,2026-06-12 04:49:00,Online
CHK00000045,TKT00000051,PAX00000051,FLT0068680,2026-06-12 03:39:00,Airport Kiosk
CHK00000046,TKT00000052,PAX00000052,FLT0029197,2026-03-06 01:24:00,Counter
CHK00000047,TKT00000054,PAX00000054,FLT0005555,2026-01-28 02:04:00,Online
CHK00000048,TKT00000055,PAX00000055,FLT0047570,2026-02-24 01:36:00,Airport Kiosk
CHK00000049,TKT00000057,PAX00000057,FLT0047570,2026-02-24 02:03:00,Airport Kiosk
CHK00000050,TKT00000058,PAX00000058,FLT0004028,2025-11-16 17:32:00,Mobile App
CHK00000051,TKT00000059,PAX00000059,FLT0035645,2026-03-13 22:14:00,Online
CHK00000052,TKT00000060,PAX00000060,FLT0079311,2025-09-21 00:10:00,Counter
CHK00000053,TKT00000061,PAX00000061,FLT0066089,2026-05-31 20:45:00,Mobile App
CHK00000054,TKT00000062,PAX00000062,FLT0066089,2026-05-31 21:52:00,Online
CHK00000055,TKT00000064,PAX00000064,FLT0007488,2025-08-06 10:23:00,Airport Kiosk
CHK00000056,TKT00000065,PAX00000065,FLT0007488,2025-08-06 11:13:00,Airport Kiosk
CHK00000057,TKT00000066,PAX00000066,FLT0007488,2025-08-06 09:42:00,Online
CHK00000058,TKT00000067,PAX00000067,FLT0007488,2025-08-06 08:46:00,Mobile App
CHK00000059,TKT00000068,PAX00000068,FLT0037926,2026-06-29 10:37:00,Online
CHK00000060,TKT00000069,PAX00000069,FLT0037926,2026-06-29 10:19:00,Online
CHK00000061,TKT00000070,PAX00000070,FLT0019750,2026-04-13 17:41:00,Mobile App
CHK00000062,TKT00000071,PAX00000071,FLT0003856,2026-05-19 03:00:00,Online
CHK00000063,TKT00000072,PAX00000072,FLT0003856,2026-05-19 03:22:00,Mobile App
CHK00000064,TKT00000073,PAX00000073,FLT0056837,2025-12-22 08:19:00,Online
CHK00000065,TKT00000074,PAX00000074,FLT0056837,2025-12-22 07:33:00,Mobile App
CHK00000066,TKT00000075,PAX00000075,FLT0064879,2026-08-10 18:26:00,Mobile App
CHK00000067,TKT00000076,PAX00000076,FLT0064879,2026-08-10 18:52:00,Airport Kiosk
CHK00000068,TKT00000079,PAX00000079,FLT0014008,2025-09-22 00:08:00,Mobile App
CHK00000069,TKT00000080,PAX00000080,FLT0029583,2025-09-26 07:17:00,Online
CHK00000070,TKT00000081,PAX00000081,FLT0029583,2025-09-26 07:17:00,Airport Kiosk
CHK00000071,TKT00000082,PAX00000082,FLT0029583,2025-09-26 06:59:00,Mobile App
CHK00000072,TKT00000083,PAX00000083,FLT0029583,2025-09-26 05:22:00,Online
CHK00000073,TKT00000085,PAX00000085,FLT0053660,2025-10-03 22:03:00,Mobile App
CHK00000074,TKT00000086,PAX00000086,FLT0053660,2025-10-03 22:20:00,Airport Kiosk
CHK00000075,TKT00000088,PAX00000088,FLT0026298,2025-09-16 07:59:00,Counter
CHK00000076,TKT00000089,PAX00000089,FLT0026298,2025-09-16 09:26:00,Counter
CHK00000077,TKT00000090,PAX00000090,FLT0026298,2025-09-16 09:04:00,Online
CHK00000078,TKT00000091,PAX00000091,FLT0004726,2026-05-16 01:27:00,Online
CHK00000079,TKT00000092,PAX00000092,FLT0034827,2025-12-31 11:59:00,Airport Kiosk
CHK00000080,TKT00000093,PAX00000093,FLT0034827,2025-12-31 12:16:00,Mobile App
CHK00000081,TKT00000094,PAX00000094,FLT0043952,2025-12-05 08:36:00,Online
CHK00000082,TKT00000095,PAX00000095,FLT0057827,2026-03-05 14:30:00,Mobile App
CHK00000083,TKT00000096,PAX00000096,FLT0057827,2026-03-05 13:28:00,Mobile App
CHK00000084,TKT00000097,PAX00000097,FLT0066713,2025-07-31 21:40:00,Airport Kiosk
CHK00000085,TKT00000098,PAX00000098,FLT0066713,2025-07-31 23:02:00,Counter
CHK00000086,TKT00000100,PAX00000100,FLT0015120,2025-12-20 23:29:00,Airport Kiosk
CHK00000087,TKT00000101,PAX00000101,FLT0015120,2025-12-21 00:20:00,Online
CHK00000088,TKT00000102,PAX00000102,FLT0015120,2025-12-20 23:10:00,Online
CHK00000089,TKT00000103,PAX00000103,FLT0010870,2026-05-04 04:15:00,Airport Kiosk
CHK00000090,TKT00000104,PAX00000104,FLT0010870,2026-05-04 04:10:00,Airport Kiosk
CHK00000091,TKT00000105,PAX00000105,FLT0010870,2026-05-04 04:57:00,Online
CHK00000092,TKT00000106,PAX00000106,FLT0010870,2026-05-04 05:47:00,Online
CHK00000093,TKT00000108,PAX00000108,FLT0028936,2026-07-03 14:38:00,Mobile App
CHK00000094,TKT00000109,PAX00000109,FLT0028936,2026-07-03 15:06:00,Online
CHK00000095,TKT00000110,PAX00000110,FLT0028936,2026-07-03 14:44:00,Online
CHK00000096,TKT00000111,PAX00000111,FLT0055328,2025-08-23 07:56:00,Mobile App
CHK00000097,TKT00000113,PAX00000113,FLT0059044,2026-03-18 21:30:00,Airport Kiosk
CHK00000098,TKT00000116,PAX00000116,FLT0062128,2025-09-22 20:36:00,Airport Kiosk
CHK00000099,TKT00000117,PAX00000117,FLT0062128,2025-09-22 22:11:00,Airport Kiosk
CHK00000100,TKT00000118,PAX00000118,FLT0045884,2026-03-24 01:00:00,Online
CHK00000101,TKT00000119,PAX00000119,FLT0045884,2026-03-24 00:36:00,Airport Kiosk
CHK00000102,TKT00000120,PAX00000120,FLT0076866,2026-06-01 13:18:00,Online
CHK00000103,TKT00000121,PAX00000121,FLT0026529,2026-04-07 03:19:00,Online
CHK00000104,TKT00000122,PAX00000122,FLT0027582,2026-05-04 06:10:00,Airport Kiosk
CHK00000105,TKT00000123,PAX00000123,FLT0073787,2025-09-19 02:32:00,Online
CHK00000106,TKT00000124,PAX00000124,FLT0073787,2025-09-19 03:31:00,Online
CHK00000107,TKT00000125,PAX00000125,FLT0073787,2025-09-19 04:05:00,Online
CHK00000108,TKT00000126,PAX00000126,FLT0057773,2025-10-24 12:42:00,Airport Kiosk
CHK00000109,TKT00000127,PAX00000127,FLT0057773,2025-10-24 14:53:00,Counter
CHK00000110,TKT00000128,PAX00000128,FLT0076632,2026-01-16 13:45:00,Mobile App
CHK00000111,TKT00000129,PAX00000129,FLT0047271,2025-10-03 01:58:00,Online
CHK00000112,TKT00000130,PAX00000130,FLT0047271,2025-10-03 02:27:00,Airport Kiosk
CHK00000113,TKT00000131,PAX00000131,FLT0047271,2025-10-03 03:34:00,Counter
CHK00000114,TKT00000133,PAX00000133,FLT0033311,2026-04-29 12:31:00,Mobile App
CHK00000115,TKT00000134,PAX00000134,FLT0033311,2026-04-29 13:09:00,Online
CHK00000116,TKT00000136,PAX00000136,FLT0011830,2025-09-03 00:47:00,Counter
CHK00000117,TKT00000137,PAX00000137,FLT0075920,2026-06-11 07:16:00,Airport Kiosk
CHK00000118,TKT00000138,PAX00000138,FLT0075920,2026-06-11 07:13:00,Online
CHK00000119,TKT00000139,PAX00000139,FLT0075920,2026-06-11 08:23:00,Mobile App
CHK00000120,TKT00000141,PAX00000141,FLT0037308,2026-08-14 15:37:00,Mobile App
CHK00000121,TKT00000142,PAX00000142,FLT0037308,2026-08-14 15:27:00,Airport Kiosk
CHK00000122,TKT00000143,PAX00000143,FLT0037308,2026-08-14 14:53:00,Online
CHK00000123,TKT00000144,PAX00000144,FLT0011271,2026-05-10 11:39:00,Airport Kiosk
CHK00000124,TKT00000146,PAX00000146,FLT0031047,2026-02-09 22:30:00,Online
CHK00000125,TKT00000148,PAX00000148,FLT0076893,2025-11-23 07:50:00,Mobile App
CHK00000126,TKT00000149,PAX00000149,FLT0063830,2025-11-28 21:51:00,Online
CHK00000127,TKT00000150,PAX00000150,FLT0063830,2025-11-28 22:07:00,Mobile App
CHK00000128,TKT00000151,PAX00000151,FLT0060560,2026-04-10 05:41:00,Online
CHK00000129,TKT00000152,PAX00000152,FLT0062986,2026-04-20 09:33:00,Mobile App
CHK00000130,TKT00000153,PAX00000153,FLT0022113,2026-04-24 07:54:00,Mobile App
CHK00000131,TKT00000154,PAX00000154,FLT0070680,2026-03-21 22:24:00,Online
CHK00000132,TKT00000155,PAX00000155,FLT0070680,2026-03-21 23:13:00,Online
CHK00000133,TKT00000156,PAX00000156,FLT0005230,2026-06-16 01:40:00,Mobile App
CHK00000134,TKT00000157,PAX00000157,FLT0005230,2026-06-16 03:39:00,Online
CHK00000135,TKT00000158,PAX00000158,FLT0036831,2025-11-18 03:24:00,Online
CHK00000136,TKT00000159,PAX00000159,FLT0058496,2026-03-05 01:56:00,Online
CHK00000137,TKT00000164,PAX00000164,FLT0028264,2025-12-03 05:30:00,Counter
CHK00000138,TKT00000165,PAX00000165,FLT0048036,2025-10-15 11:49:00,Online
CHK00000139,TKT00000166,PAX00000166,FLT0034241,2026-06-26 16:12:00,Airport Kiosk
CHK00000140,TKT00000167,PAX00000167,FLT0079262,2025-10-06 01:38:00,Airport Kiosk
CHK00000141,TKT00000168,PAX00000168,FLT0004175,2025-09-05 05:20:00,Online
CHK00000142,TKT00000169,PAX00000169,FLT0069207,2026-08-08 02:20:00,Mobile App
CHK00000143,TKT00000175,PAX00000175,FLT0021003,2026-08-05 00:58:00,Mobile App
CHK00000144,TKT00000176,PAX00000176,FLT0015097,2025-12-12 15:49:00,Mobile App
CHK00000145,TKT00000177,PAX00000177,FLT0015097,2025-12-12 15:43:00,Counter
CHK00000146,TKT00000179,PAX00000179,FLT0063814,2026-01-19 05:57:00,Online
CHK00000147,TKT00000180,PAX00000180,FLT0063814,2026-01-19 07:13:00,Mobile App
CHK00000148,TKT00000181,PAX00000181,FLT0063814,2026-01-19 06:27:00,Counter
CHK00000149,TKT00000182,PAX00000182,FLT0026447,2025-09-20 22:01:00,Online
CHK00000150,TKT00000183,PAX00000183,FLT0026447,2025-09-20 21:08:00,Airport Kiosk
CHK00000151,TKT00000184,PAX00000184,FLT0064153,2026-07-03 08:38:00,Online
CHK00000152,TKT00000185,PAX00000185,FLT0064153,2026-07-03 07:43:00,Online
CHK00000153,TKT00000186,PAX00000186,FLT0064153,2026-07-03 07:17:00,Online
CHK00000154,TKT00000187,PAX00000187,FLT0052246,2026-07-03 11:01:00,Online
CHK00000155,TKT00000190,PAX00000190,FLT0047691,2026-07-05 14:32:00,Mobile App
CHK00000156,TKT00000191,PAX00000191,FLT0047691,2026-07-05 13:35:00,Airport Kiosk
CHK00000157,TKT00000192,PAX00000192,FLT0047691,2026-07-05 14:05:00,Online
CHK00000158,TKT00000193,PAX00000193,FLT0066850,2026-05-25 11:43:00,Online
CHK00000159,TKT00000194,PAX00000194,FLT0066850,2026-05-25 11:56:00,Online
CHK00000160,TKT00000195,PAX00000195,FLT0009976,2026-05-29 07:21:00,Counter
CHK00000161,TKT00000196,PAX00000196,FLT0056201,2025-12-06 04:34:00,Mobile App
CHK00000162,TKT00000197,PAX00000197,FLT0041204,2026-02-26 09:12:00,Online
CHK00000163,TKT00000199,PAX00000199,FLT0002377,2026-07-08 13:05:00,Mobile App
CHK00000164,TKT00000200,PAX00000200,FLT0002377,2026-07-08 12:48:00,Mobile App
CHK00000165,TKT00000201,PAX00000201,FLT0002678,2025-08-24 22:15:00,Online
CHK00000166,TKT00000202,PAX00000202,FLT0055605,2026-03-28 01:13:00,Mobile App
CHK00000167,TKT00000203,PAX00000203,FLT0048201,2025-10-19 05:16:00,Mobile App
CHK00000168,TKT00000204,PAX00000204,FLT0048201,2025-10-19 05:39:00,Online
CHK00000169,TKT00000205,PAX00000205,FLT0048201,2025-10-19 06:28:00,Mobile App
CHK00000170,TKT00000207,PAX00000207,FLT0061813,2026-04-29 05:29:00,Online
CHK00000171,TKT00000208,PAX00000208,FLT0061813,2026-04-29 06:41:00,Mobile App
CHK00000172,TKT00000209,PAX00000209,FLT0061813,2026-04-29 04:39:00,Mobile App
CHK00000173,TKT00000210,PAX00000210,FLT0068925,2026-06-09 01:59:00,Online
CHK00000174,TKT00000212,PAX00000212,FLT0069745,2025-10-23 21:32:00,Mobile App
CHK00000175,TKT00000213,PAX00000213,FLT0068838,2026-03-10 10:24:00,Airport Kiosk
CHK00000176,TKT00000214,PAX00000214,FLT0068838,2026-03-10 09:38:00,Counter
CHK00000177,TKT00000215,PAX00000215,FLT0068838,2026-03-10 10:59:00,Mobile App
CHK00000178,TKT00000216,PAX00000216,FLT0055964,2025-09-02 20:57:00,Online
CHK00000179,TKT00000217,PAX00000217,FLT0055964,2025-09-02 21:39:00,Airport Kiosk
CHK00000180,TKT00000218,PAX00000218,FLT0055964,2025-09-02 20:38:00,Airport Kiosk
CHK00000181,TKT00000219,PAX00000219,FLT0055964,2025-09-02 22:02:00,Airport Kiosk
CHK00000182,TKT00000220,PAX00000220,FLT0028934,2025-10-11 06:38:00,Mobile App
CHK00000183,TKT00000221,PAX00000221,FLT0028934,2025-10-11 07:56:00,Online
CHK00000184,TKT00000222,PAX00000222,FLT0028934,2025-10-11 08:24:00,Online
CHK00000185,TKT00000223,PAX00000223,FLT0028934,2025-10-11 06:39:00,Mobile App
CHK00000186,TKT00000224,PAX00000224,FLT0052883,2025-11-21 13:44:00,Mobile App
CHK00000187,TKT00000225,PAX00000225,FLT0052883,2025-11-21 14:29:00,Online
CHK00000188,TKT00000226,PAX00000226,FLT0052883,2025-11-21 13:46:00,Mobile App
CHK00000189,TKT00000227,PAX00000227,FLT0004006,2026-03-01 02:46:00,Airport Kiosk
CHK00000190,TKT00000228,PAX00000228,FLT0004006,2026-03-01 02:06:00,Mobile App
CHK00000191,TKT00000229,PAX00000229,FLT0076257,2025-10-03 05:57:00,Online
CHK00000192,TKT00000230,PAX00000230,FLT0076257,2025-10-03 05:11:00,Online
CHK00000193,TKT00000232,PAX00000232,FLT0061889,2026-06-08 04:18:00,Mobile App
CHK00000194,TKT00000233,PAX00000233,FLT0061889,2026-06-08 03:29:00,Airport Kiosk
CHK00000195,TKT00000234,PAX00000234,FLT0044572,2025-09-16 05:43:00,Online
CHK00000196,TKT00000235,PAX00000235,FLT0012989,2025-08-04 04:35:00,Mobile App
CHK00000197,TKT00000236,PAX00000236,FLT0012989,2025-08-04 03:56:00,Mobile App
CHK00000198,TKT00000237,PAX00000237,FLT0012989,2025-08-04 03:46:00,Counter
CHK00000199,TKT00000238,PAX00000238,FLT0012989,2025-08-04 03:29:00,Counter
CHK00000200,TKT00000239,PAX00000239,FLT0064019,2026-02-15 00:14:00,Online
CHK00000201,TKT00000240,PAX00000240,FLT0064019,2026-02-14 22:06:00,Online
CHK00000202,TKT00000241,PAX00000241,FLT0064019,2026-02-14 22:10:00,Mobile App
CHK00000203,TKT00000242,PAX00000242,FLT0035164,2026-02-12 09:26:00,Counter
CHK00000204,TKT00000243,PAX00000243,FLT0061224,2026-03-26 07:36:00,Counter
CHK00000205,TKT00000246,PAX00000246,FLT0019926,2025-09-14 00:38:00,Airport Kiosk
CHK00000206,TKT00000247,PAX00000247,FLT0019926,2025-09-14 00:30:00,Airport Kiosk
CHK00000207,TKT00000248,PAX00000248,FLT0074837,2025-09-20 21:02:00,Online
CHK00000208,TKT00000249,PAX00000249,FLT0030734,2026-02-05 17:35:00,Counter
CHK00000209,TKT00000250,PAX00000250,FLT0030734,2026-02-05 16:31:00,Counter
CHK00000210,TKT00000251,PAX00000251,FLT0017777,2025-09-28 02:35:00,Online
CHK00000211,TKT00000254,PAX00000254,FLT0003757,2025-12-28 17:39:00,Mobile App
CHK00000212,TKT00000255,PAX00000255,FLT0003757,2025-12-28 19:18:00,Mobile App
CHK00000213,TKT00000256,PAX00000256,FLT0033061,2025-08-02 21:56:00,Online
CHK00000214,TKT00000257,PAX00000257,FLT0033061,2025-08-02 23:08:00,Online
CHK00000215,TKT00000258,PAX00000258,FLT0033061,2025-08-02 22:23:00,Counter
CHK00000216,TKT00000259,PAX00000259,FLT0039581,2025-10-29 06:06:00,Online
CHK00000217,TKT00000260,PAX00000260,FLT0039581,2025-10-29 05:36:00,Mobile App
CHK00000218,TKT00000261,PAX00000261,FLT0067243,2026-02-12 01:27:00,Mobile App
CHK00000219,TKT00000262,PAX00000262,FLT0067243,2026-02-12 01:25:00,Online
CHK00000220,TKT00000263,PAX00000263,FLT0042758,2026-05-03 02:36:00,Mobile App
CHK00000221,TKT00000264,PAX00000264,FLT0068922,2026-06-07 23:51:00,Online
CHK00000222,TKT00000265,PAX00000265,FLT0068922,2026-06-08 00:38:00,Counter
CHK00000223,TKT00000267,PAX00000267,FLT0049463,2026-07-17 21:18:00,Online
CHK00000224,TKT00000268,PAX00000268,FLT0049463,2026-07-17 19:21:00,Online
CHK00000225,TKT00000269,PAX00000269,FLT0049463,2026-07-17 20:37:00,Airport Kiosk
CHK00000226,TKT00000270,PAX00000270,FLT0061344,2026-05-24 16:48:00,Online
CHK00000227,TKT00000271,PAX00000271,FLT0023332,2025-10-30 02:47:00,Mobile App
CHK00000228,TKT00000272,PAX00000272,FLT0023332,2025-10-30 03:35:00,Airport Kiosk
CHK00000229,TKT00000273,PAX00000273,FLT0023332,2025-10-30 03:33:00,Online
CHK00000230,TKT00000274,PAX00000274,FLT0021755,2026-05-23 16:28:00,Airport Kiosk
CHK00000231,TKT00000275,PAX00000275,FLT0056725,2026-02-25 17:30:00,Mobile App
CHK00000232,TKT00000276,PAX00000276,FLT0056725,2026-02-25 19:22:00,Airport Kiosk
CHK00000233,TKT00000278,PAX00000278,FLT0018916,2025-10-17 11:34:00,Counter
CHK00000234,TKT00000279,PAX00000279,FLT0018916,2025-10-17 10:44:00,Mobile App
CHK00000235,TKT00000280,PAX00000280,FLT0018916,2025-10-17 10:28:00,Mobile App
CHK00000236,TKT00000281,PAX00000281,FLT0027246,2025-08-05 16:35:00,Online
CHK00000237,TKT00000282,PAX00000282,FLT0007232,2026-06-30 20:20:00,Mobile App
CHK00000238,TKT00000283,PAX00000283,FLT0007232,2026-06-30 21:29:00,Airport Kiosk
CHK00000239,TKT00000284,PAX00000284,FLT0007232,2026-06-30 19:04:00,Mobile App
CHK00000240,TKT00000285,PAX00000285,FLT0007232,2026-06-30 19:23:00,Online
CHK00000241,TKT00000286,PAX00000286,FLT0051102,2026-01-20 03:28:00,Airport Kiosk
CHK00000242,TKT00000287,PAX00000287,FLT0063654,2026-01-05 04:13:00,Online
CHK00000243,TKT00000288,PAX00000288,FLT0063654,2026-01-05 02:21:00,Mobile App
CHK00000244,TKT00000289,PAX00000289,FLT0048592,2026-02-09 21:38:00,Mobile App
CHK00000245,TKT00000290,PAX00000290,FLT0049518,2026-06-19 01:49:00,Airport Kiosk
CHK00000246,TKT00000292,PAX00000292,FLT0063165,2025-12-01 09:19:00,Online
CHK00000247,TKT00000293,PAX00000293,FLT0063165,2025-12-01 08:01:00,Online
CHK00000248,TKT00000294,PAX00000294,FLT0063165,2025-12-01 08:45:00,Mobile App
CHK00000249,TKT00000296,PAX00000296,FLT0015023,2026-04-01 08:32:00,Online
CHK00000250,TKT00000297,PAX00000297,FLT0015023,2026-04-01 07:30:00,Online
CHK00000251,TKT00000299,PAX00000299,FLT0055351,2026-08-01 01:21:00,Airport Kiosk
CHK00000252,TKT00000300,PAX00000300,FLT0061683,2026-07-28 23:36:00,Online
CHK00000253,TKT00000301,PAX00000301,FLT0046651,2026-01-27 03:29:00,Online
CHK00000254,TKT00000302,PAX00000302,FLT0050359,2025-10-14 19:45:00,Mobile App
CHK00000255,TKT00000303,PAX00000303,FLT0050359,2025-10-14 20:30:00,Online
CHK00000256,TKT00000304,PAX00000304,FLT0050359,2025-10-14 18:55:00,Mobile App
CHK00000257,TKT00000305,PAX00000305,FLT0054283,2026-04-15 14:04:00,Online
CHK00000258,TKT00000306,PAX00000306,FLT0026987,2026-05-30 04:18:00,Online
CHK00000259,TKT00000307,PAX00000307,FLT0032382,2026-01-10 16:13:00,Mobile App
CHK00000260,TKT00000308,PAX00000308,FLT0032382,2026-01-10 14:51:00,Mobile App
CHK00000261,TKT00000309,PAX00000309,FLT0032382,2026-01-10 16:08:00,Counter
CHK00000262,TKT00000311,PAX00000311,FLT0042311,2026-02-02 01:47:00,Online
CHK00000263,TKT00000312,PAX00000312,FLT0035480,2026-02-06 13:29:00,Airport Kiosk
CHK00000264,TKT00000313,PAX00000313,FLT0035480,2026-02-06 12:54:00,Online
CHK00000265,TKT00000314,PAX00000314,FLT0035480,2026-02-06 14:00:00,Mobile App
CHK00000266,TKT00000315,PAX00000315,FLT0059764,2026-06-20 09:30:00,Online
CHK00000267,TKT00000316,PAX00000316,FLT0059764,2026-06-20 07:31:00,Online
CHK00000268,TKT00000317,PAX00000317,FLT0059764,2026-06-20 07:49:00,Airport Kiosk
CHK00000269,TKT00000318,PAX00000318,FLT0059764,2026-06-20 07:51:00,Online
CHK00000270,TKT00000319,PAX00000319,FLT0067938,2025-09-07 20:40:00,Online
CHK00000271,TKT00000320,PAX00000320,FLT0067938,2025-09-07 19:34:00,Airport Kiosk
CHK00000272,TKT00000321,PAX00000321,FLT0057552,2026-01-23 07:46:00,Online
CHK00000273,TKT00000322,PAX00000322,FLT0057552,2026-01-23 08:26:00,Mobile App
CHK00000274,TKT00000324,PAX00000324,FLT0078498,2026-04-20 23:32:00,Airport Kiosk
CHK00000275,TKT00000326,PAX00000326,FLT0056904,2026-02-19 21:20:00,Online
CHK00000276,TKT00000327,PAX00000327,FLT0056904,2026-02-19 20:29:00,Online
CHK00000277,TKT00000328,PAX00000328,FLT0056904,2026-02-19 22:22:00,Mobile App
CHK00000278,TKT00000329,PAX00000329,FLT0060420,2025-09-23 21:15:00,Online
CHK00000279,TKT00000330,PAX00000330,FLT0060420,2025-09-23 22:15:00,Online
CHK00000280,TKT00000331,PAX00000331,FLT0060420,2025-09-23 20:46:00,Counter
CHK00000281,TKT00000332,PAX00000332,FLT0052350,2026-05-26 09:50:00,Airport Kiosk
CHK00000282,TKT00000334,PAX00000334,FLT0067271,2025-08-07 17:36:00,Counter
CHK00000283,TKT00000335,PAX00000335,FLT0067017,2026-07-04 01:08:00,Airport Kiosk
CHK00000284,TKT00000336,PAX00000336,FLT0067017,2026-07-04 00:20:00,Online
CHK00000285,TKT00000337,PAX00000337,FLT0067017,2026-07-03 23:51:00,Mobile App
CHK00000286,TKT00000339,PAX00000339,FLT0064177,2026-05-22 02:10:00,Online
CHK00000287,TKT00000340,PAX00000340,FLT0036176,2026-02-22 10:23:00,Mobile App
CHK00000288,TKT00000341,PAX00000341,FLT0019334,2026-02-21 06:24:00,Airport Kiosk
CHK00000289,TKT00000342,PAX00000342,FLT0019334,2026-02-21 07:34:00,Online
CHK00000290,TKT00000343,PAX00000343,FLT0041950,2025-08-25 04:32:00,Mobile App
CHK00000291,TKT00000344,PAX00000344,FLT0073347,2026-08-14 20:27:00,Airport Kiosk
CHK00000292,TKT00000345,PAX00000345,FLT0007959,2025-09-08 23:53:00,Counter
CHK00000293,TKT00000346,PAX00000346,FLT0007959,2025-09-08 22:51:00,Mobile App
CHK00000294,TKT00000348,PAX00000348,FLT0078101,2025-12-18 09:22:00,Mobile App
CHK00000295,TKT00000349,PAX00000349,FLT0078101,2025-12-18 07:35:00,Mobile App
CHK00000296,TKT00000350,PAX00000350,FLT0078991,2026-02-23 13:16:00,Mobile App
CHK00000297,TKT00000351,PAX00000351,FLT0074070,2025-10-20 00:45:00,Mobile App
CHK00000298,TKT00000354,PAX00000354,FLT0004752,2025-08-11 05:32:00,Online
CHK00000299,TKT00000355,PAX00000355,FLT0038071,2026-02-19 10:40:00,Online
CHK00000300,TKT00000356,PAX00000356,FLT0038071,2026-02-19 12:36:00,Mobile App
CHK00000301,TKT00000357,PAX00000357,FLT0007809,2025-12-24 05:00:00,Online
