refund_id,payment_id,booking_id,refund_date,refund_amount,reason
REF000159,PAY00030430,BK00030430,2026-01-12,3089.63,Duplicate Booking
REF000160,PAY00031660,BK00031660,2025-07-26,2812.23,Flight Cancelled
REF000161,PAY00031803,BK00031803,2025-05-31,3709.33,Medical Emergency
REF000162,PAY00031903,BK00031903,2025-08-21,1328.44,Medical Emergency
REF000163,PAY00032027,BK00032027,2025-09-29,1573.55,Flight Cancelled
REF000164,PAY00032122,BK00032122,2026-02-20,1367.59,Flight Cancelled
REF000165,PAY00032181,BK00032181,2025-08-08,3349.14,Flight Cancelled
REF000166,PAY00032218,BK00032218,2025-08-18,2829.7,Passenger Request
REF000167,PAY00032233,BK00032233,2026-03-15,855.36,Medical Emergency
REF000168,PAY00032251,BK00032251,2025-11-08,4172.46,Flight Cancelled
REF000169,PAY00032315,BK00032315,2026-02-23,798.07,Schedule Change
REF000170,PAY00032383,BK00032383,2025-06-27,3221.99,Medical Emergency
REF000171,PAY00032465,BK00032465,2026-02-04,655.65,Medical Emergency
REF000172,PAY00032579,BK00032579,2026-05-23,1037.15,Medical Emergency
REF000173,PAY00032844,BK00032844,2025-09-02,1133.06,Medical Emergency
REF000174,PAY00032848,BK00032848,2026-02-12,2146.3,Passenger Request
REF000175,PAY00032955,BK00032955,2026-01-04,2836.37,Passenger Request
REF000176,PAY00033861,BK00033861,2025-07-11,475.5,Medical Emergency
REF000177,PAY00033988,BK00033988,2026-06-15,2996.52,Flight Cancelled
REF000178,PAY00034161,BK00034161,2025-10-25,1787.77,Schedule Change
REF000179,PAY00034282,BK00034282,2025-06-23,1554.49,Schedule Change
REF000180,PAY00034968,BK00034968,2026-01-26,2792.34,Duplicate Booking
REF000181,PAY00035022,BK00035022,2025-04-09,826.51,Passenger Request
REF000182,PAY00035210,BK00035210,2025-07-21,529.43,Flight Cancelled
REF000183,PAY00035503,BK00035503,2026-06-18,2828.64,Medical Emergency
REF000184,PAY00035519,BK00035519,2026-04-26,2286.22,Duplicate Booking
REF000185,PAY00035679,BK00035679,2025-08-26,3184.88,Passenger Request
REF000186,PAY00035896,BK00035896,2025-12-20,567.7,Schedule Change
REF000187,PAY00036249,BK00036249,2025-04-28,1146.91,Duplicate Booking
REF000188,PAY00036656,BK00036656,2025-04-26,1115.63,Duplicate Booking
REF000189,PAY00036694,BK00036694,2026-03-01,1732.75,Schedule Change
REF000190,PAY00036877,BK00036877,2025-07-04,814.35,Duplicate Booking
REF000191,PAY00036965,BK00036965,2025-10-28,1826.39,Flight Cancelled
REF000192,PAY00037090,BK00037090,2025-07-16,2194.43,Schedule Change
REF000193,PAY00037413,BK00037413,2026-03-03,2226.49,Passenger Request
REF000194,PAY00037637,BK00037637,2025-05-07,2552.77,Flight Cancelled
REF000195,PAY00037849,BK00037849,2025-06-13,1459.81,Medical Emergency
REF000196,PAY00037874,BK00037874,2025-11-25,2182.89,Duplicate Booking
REF000197,PAY00037939,BK00037939,2026-03-28,1807.79,Schedule Change
REF000198,PAY00038052,BK00038052,2025-11-20,1352.86,Passenger Request
REF000199,PAY00038230,BK00038230,2026-07-06,1871.11,Duplicate Booking
REF000200,PAY00038405,BK00038405,2026-04-20,3079.88,Duplicate Booking
REF000201,PAY00038530,BK00038530,2026-02-14,2133.04,Medical Emergency
REF000202,PAY00038558,BK00038558,2025-09-09,3161.97,Medical Emergency
REF000203,PAY00038900,BK00038900,2025-07-23,1599.37,Schedule Change
REF000204,PAY00039236,BK00039236,2025-12-18,1180.89,Passenger Request
REF000205,PAY00039552,BK00039552,2025-09-05,759.53,Flight Cancelled
REF000206,PAY00039832,BK00039832,2025-05-20,2051.57,Schedule Change
REF000207,PAY00040783,BK00040783,2025-07-27,3043.62,Medical Emergency
REF000208,PAY00041374,BK00041374,2026-02-22,1331.57,Duplicate Booking
REF000209,PAY00041621,BK00041621,2026-01-15,231.54,Schedule Change
REF000210,PAY00041654,BK00041654,2025-05-22,3225.79,Duplicate Booking
REF000211,PAY00041730,BK00041730,2025-08-29,1156.13,Medical Emergency
REF000212,PAY00041738,BK00041738,2025-10-27,1729.71,Flight Cancelled
REF000213,PAY00041847,BK00041847,2025-12-22,2953.18,Medical Emergency
REF000214,PAY00042038,BK00042038,2026-04-17,1349.04,Flight Cancelled
REF000215,PAY00042100,BK00042100,2025-11-21,1229.13,Schedule Change
REF000216,PAY00042414,BK00042414,2026-03-04,269.42,Flight Cancelled
REF000217,PAY00042809,BK00042809,2026-04-05,2378.04,Duplicate Booking
REF000218,PAY00042830,BK00042830,2025-06-30,218.57,Medical Emergency
REF000219,PAY00043056,BK00043056,2026-03-14,1952.56,Flight Cancelled
REF000220,PAY00043180,BK00043180,2025-12-12,3283.39,Flight Cancelled
REF000221,PAY00043443,BK00043443,2025-10-13,780.39,Passenger Request
REF000222,PAY00043874,BK00043874,2026-05-10,1092.48,Duplicate Booking
REF000223,PAY00044705,BK00044705,2026-01-08,667.74,Schedule Change
REF000224,PAY00044899,BK00044899,2025-08-07,3508.61,Duplicate Booking
REF000225,PAY00044962,BK00044962,2025-06-28,2557.72,Passenger Request
REF000226,PAY00045090,BK00045090,2026-01-04,1110.37,Schedule Change
REF000227,PAY00045138,BK00045138,2025-09-06,155.73,Duplicate Booking
REF000228,PAY00045857,BK00045857,2025-09-09,2405.63,Duplicate Booking
REF000229,PAY00045893,BK00045893,2025-08-04,589.33,Medical Emergency
REF000230,PAY00046170,BK00046170,2025-07-09,198.29,Medical Emergency
REF000231,PAY00046264,BK00046264,2026-03-14,1159.26,Medical Emergency
REF000232,PAY00046952,BK00046952,2025-09-11,2742.65,Passenger Request
REF000233,PAY00046985,BK00046985,2026-04-19,183.84,Flight Cancelled
REF000234,PAY00047385,BK00047385,2025-07-01,759.64,Duplicate Booking
REF000235,PAY00047509,BK00047509,2025-06-08,2250.49,Passenger Request
REF000236,PAY00047539,BK00047539,2026-01-24,1164.64,Schedule Change
REF000237,PAY00047562,BK00047562,2026-02-04,2133.0,Medical Emergency
REF000238,PAY00047604,BK00047604,2025-11-20,1474.49,Duplicate Booking
REF000239,PAY00047668,BK00047668,2026-01-15,837.48,Flight Cancelled
REF000240,PAY00048295,BK00048295,2025-08-15,86.4,Passenger Request
REF000241,PAY00048372,BK00048372,2026-04-06,2804.05,Medical Emergency
REF000242,PAY00048716,BK00048716,2025-10-08,2033.75,Medical Emergency
REF000243,PAY00048729,BK00048729,2026-05-04,122.76,Schedule Change
REF000244,PAY00048779,BK00048779,2026-07-11,2176.22,Medical Emergency
REF000245,PAY00048870,BK00048870,2025-07-08,696.8,Medical Emergency
REF000246,PAY00049017,BK00049017,2026-03-23,911.8,Schedule Change
REF000247,PAY00049254,BK00049254,2026-03-28,792.47,Schedule Change
REF000248,PAY00049349,BK00049349,2025-09-30,242.16,Flight Cancelled
REF000249,PAY00049355,BK00049355,2025-11-28,3912.67,Flight Cancelled
REF000250,PAY00049670,BK00049670,2025-12-12,2500.46,Schedule Change
REF000251,PAY00049688,BK00049688,2025-10-28,1720.24,Schedule Change
REF000252,PAY00049692,BK00049692,2025-06-14,147.58,Duplicate Booking
REF000253,PAY00049886,BK00049886,2025-10-19,2079.6,Passenger Request
REF000254,PAY00049908,BK00049908,2025-08-24,1987.39,Medical Emergency
REF000255,PAY00050215,BK00050215,2025-09-17,3499.92,Flight Cancelled
REF000256,PAY00050241,BK00050241,2025-10-12,2853.81,Schedule Change
REF000257,PAY00051177,BK00051177,2025-08-02,1156.81,Passenger Request
REF000258,PAY00051615,BK00051615,2025-12-15,3173.16,Flight Cancelled
REF000259,PAY00051619,BK00051619,2025-06-22,1757.6,Passenger Request
REF000260,PAY00051725,BK00051725,2025-05-10,1385.07,Schedule Change
REF000261,PAY00051966,BK00051966,2025-12-30,1772.48,Medical Emergency
REF000262,PAY00052363,BK00052363,2025-05-28,1765.9,Passenger Request
REF000263,PAY00052865,BK00052865,2025-10-29,1171.44,Duplicate Booking
REF000264,PAY00052950,BK00052950,2026-05-30,3694.03,Schedule Change
REF000265,PAY00053002,BK00053002,2026-04-14,1005.4,Schedule Change
REF000266,PAY00053559,BK00053559,2026-03-04,3794.04,Passenger Request
REF000267,PAY00053742,BK00053742,2025-12-05,3172.56,Flight Cancelled
REF000268,PAY00053787,BK00053787,2026-03-22,3551.12,Schedule Change
REF000269,PAY00053903,BK00053903,2026-02-03,1695.87,Flight Cancelled
REF000270,PAY00054020,BK00054020,2026-02-21,960.0,Schedule Change
REF000271,PAY00054708,BK00054708,2026-03-01,1693.37,Flight Cancelled
REF000272,PAY00055255,BK00055255,2025-10-26,1699.76,Schedule Change
REF000273,PAY00055296,BK00055296,2026-03-02,503.9,Schedule Change
REF000274,PAY00055423,BK00055423,2025-09-12,2256.79,Passenger Request
REF000275,PAY00055622,BK00055622,2025-11-01,2212.42,Duplicate Booking
REF000276,PAY00056084,BK00056084,2025-09-24,2819.61,Passenger Request
REF000277,PAY00056160,BK00056160,2026-06-05,2333.5,Medical Emergency
REF000278,PAY00056181,BK00056181,2025-08-21,522.1,Duplicate Booking
REF000279,PAY00056323,BK00056323,2025-06-10,3496.01,Duplicate Booking
REF000280,PAY00056380,BK00056380,2026-05-01,1629.61,Duplicate Booking
REF000281,PAY00056529,BK00056529,2026-05-24,1581.5,Passenger Request
REF000282,PAY00056648,BK00056648,2026-04-11,444.49,Medical Emergency
REF000283,PAY00056919,BK00056919,2026-01-30,1871.79,Medical Emergency
REF000284,PAY00057334,BK00057334,2026-04-11,1890.73,Passenger Request
REF000285,PAY00057913,BK00057913,2025-08-24,728.01,Schedule Change
REF000286,PAY00058095,BK00058095,2025-07-08,1309.18,Flight Cancelled
REF000287,PAY00058243,BK00058243,2025-08-09,1120.39,Flight Cancelled
REF000288,PAY00058689,BK00058689,2026-05-12,4218.96,Schedule Change
REF000289,PAY00058903,BK00058903,2025-08-24,1268.6,Duplicate Booking
REF000290,PAY00059163,BK00059163,2025-11-24,1444.84,Medical Emergency
REF000291,PAY00059427,BK00059427,2025-04-30,412.04,Schedule Change
REF000292,PAY00059499,BK00059499,2026-06-30,2443.3,Medical Emergency
REF000293,PAY00059669,BK00059669,2025-12-19,1580.56,Flight Cancelled
REF000294,PAY00059784,BK00059784,2025-05-26,2669.72,Medical Emergency
REF000295,PAY00059912,BK00059912,2025-07-30,630.73,Duplicate Booking
REF000296,PAY00059929,BK00059929,2026-03-07,222.41,Medical Emergency
REF000297,PAY00060027,BK00060027,2025-11-22,3371.74,Passenger Request
REF000298,PAY00060129,BK00060129,2025-12-02,514.36,Passenger Request
REF000299,PAY00060208,BK00060208,2025-09-26,2743.14,Flight Cancelled
REF000300,PAY00060412,BK00060412,2026-04-13,2027.06,Flight Cancelled
REF000301,PAY00060587,BK00060587,2025-06-14,568.2,Flight Cancelled
REF000302,PAY00060846,BK00060846,2026-08-03,2279.73,Flight Cancelled
REF000303,PAY00061014,BK00061014,2025-08-15,3207.71,Schedule Change
REF000304,PAY00061430,BK00061430,2026-03-26,2843.3,Medical Emergency
REF000305,PAY00061679,BK00061679,2025-07-22,1998.02,Schedule Change
REF000306,PAY00062512,BK00062512,2026-01-15,1086.61,Schedule Change
REF000307,PAY00062599,BK00062599,2025-11-11,1139.14,Duplicate Booking
REF000308,PAY00062707,BK00062707,2025-08-12,2596.28,Flight Cancelled
REF000309,PAY00062760,BK00062760,2026-04-25,3615.64,Passenger Request
REF000310,PAY00062872,BK00062872,2025-11-16,2971.48,Schedule Change
REF000311,PAY00063149,BK00063149,2025-10-18,610.98,Schedule Change
REF000312,PAY00063901,BK00063901,2025-07-02,1954.11,Flight Cancelled
REF000313,PAY00064123,BK00064123,2025-12-20,3439.67,Duplicate Booking
REF000314,PAY00064511,BK00064511,2025-05-30,56.94,Schedule Change
REF000315,PAY00064833,BK00064833,2026-02-04,937.67,Flight Cancelled
REF000316,PAY00064912,BK00064912,2025-07-23,1810.99,Medical Emergency
REF000317,PAY00065018,BK00065018,2026-05-05,1663.03,Medical Emergency
REF000318,PAY00065074,BK00065074,2025-08-07,172.85,Passenger Request
REF000319,PAY00065123,BK00065123,2025-11-21,1905.21,Flight Cancelled
REF000320,PAY00065654,BK00065654,2026-03-30,2390.53,Duplicate Booking
REF000321,PAY00065713,BK00065713,2025-12-12,2287.92,Flight Cancelled
REF000322,PAY00065958,BK00065958,2025-09-20,77.58,Flight Cancelled
REF000323,PAY00066201,BK00066201,2026-04-25,345.09,Flight Cancelled
REF000324,PAY00066399,BK00066399,2025-07-05,1251.56,Schedule Change
REF000325,PAY00066410,BK00066410,2025-10-20,2725.01,Duplicate Booking
REF000326,PAY00066447,BK00066447,2025-06-13,3022.46,Passenger Request
REF000327,PAY00066848,BK00066848,2026-01-15,333.12,Passenger Request
REF000328,PAY00066878,BK00066878,2025-08-07,3178.99,Duplicate Booking
REF000329,PAY00067329,BK00067329,2026-02-19,474.95,Flight Cancelled
REF000330,PAY00067347,BK00067347,2025-10-07,2813.69,Duplicate Booking
REF000331,PAY00067360,BK00067360,2026-01-16,2336.72,Duplicate Booking
REF000332,PAY00067527,BK00067527,2025-11-17,2538.6,Flight Cancelled
REF000333,PAY00067686,BK00067686,2025-11-17,693.05,Passenger Request
REF000334,PAY00067763,BK00067763,2025-04-22,2205.05,Passenger Request
REF000335,PAY00068083,BK00068083,2025-11-19,1260.0,Medical Emergency
REF000336,PAY00068249,BK00068249,2025-08-31,370.69,Flight Cancelled
REF000337,PAY00068262,BK00068262,2026-02-27,1052.77,Passenger Request
REF000338,PAY00068286,BK00068286,2026-08-03,1819.16,Schedule Change
REF000339,PAY00068716,BK00068716,2025-11-14,1644.14,Duplicate Booking
REF000340,PAY00068760,BK00068760,2025-07-05,952.16,Duplicate Booking
REF000341,PAY00068953,BK00068953,2026-03-22,3116.57,Passenger Request
REF000342,PAY00069167,BK00069167,2025-07-23,287.55,Flight Cancelled
REF000343,PAY00069297,BK00069297,2025-07-20,531.95,Medical Emergency
REF000344,PAY00069399,BK00069399,2026-01-23,2043.92,Flight Cancelled
REF000345,PAY00070500,BK00070500,2026-04-02,2858.87,Passenger Request
REF000346,PAY00070586,BK00070586,2026-02-21,871.32,Passenger Request
REF000347,PAY00070760,BK00070760,2025-10-05,309.81,Passenger Request
REF000348,PAY00070846,BK00070846,2025-06-27,987.63,Passenger Request
REF000349,PAY00071182,BK00071182,2026-03-02,1888.01,Passenger Request
REF000350,PAY00071325,BK00071325,2025-09-11,2680.77,Medical Emergency
REF000351,PAY00071479,BK00071479,2025-12-12,1392.24,Passenger Request
REF000352,PAY00071483,BK00071483,2026-02-07,1803.38,Schedule Change
REF000353,PAY00071620,BK00071620,2025-12-13,1997.78,Duplicate Booking
REF000354,PAY00071910,BK00071910,2026-05-03,2093.31,Flight Cancelled
REF000355,PAY00071938,BK00071938,2025-11-10,771.15,Medical Emergency
REF000356,PAY00071945,BK00071945,2026-01-27,1578.04,Schedule Change
REF000357,PAY00071962,BK00071962,2025-07-02,2780.08,Schedule Change
REF000358,PAY00072295,BK00072295,2026-06-01,1121.48,Duplicate Booking
REF000359,PAY00072548,BK00072548,2026-01-23,2260.18,Passenger Request
REF000360,PAY00072557,BK00072557,2026-05-10,660.66,Passenger Request
REF000361,PAY00072632,BK00072632,2026-04-23,94.02,Duplicate Booking
REF000362,PAY00072757,BK00072757,2025-10-05,1769.19,Schedule Change
REF000363,PAY00072881,BK00072881,2026-02-21,2235.32,Schedule Change
REF000364,PAY00073183,BK00073183,2026-05-10,470.26,Flight Cancelled
REF000365,PAY00073262,BK00073262,2025-10-20,2608.23,Schedule Change
REF000366,PAY00073294,BK00073294,2025-08-15,1594.93,Duplicate Booking
REF000367,PAY00073415,BK00073415,2025-10-23,1522.8,Schedule Change
REF000368,PAY00073491,BK00073491,2026-01-31,3965.35,Passenger Request
REF000369,PAY00073495,BK00073495,2026-01-10,241.88,Duplicate Booking
