aircraft_id,tail_number,model_id,airline_id,manufacture_year,status
ACFT00316,N8916G,AM0022,AL0020,2001,Active
ACFT00317,N7413N,AM0010,AL0010,2003,Active
ACFT00318,N7096X,AM0024,AL0018,2010,Active
ACFT00319,N9107E,AM0016,AL0016,2017,In Maintenance
ACFT00320,N1497N,AM0004,AL0007,2009,Active
ACFT00321,N1361N,AM0024,AL0005,2013,Active
ACFT00322,N0326X,AM0020,AL0016,2012,Active
ACFT00323,N1769X,AM0008,AL0005,2005,Retired
ACFT00324,N1751G,AM0014,AL0007,2005,Active
ACFT00325,N9533W,AM0010,AL0005,2009,Active
ACFT00326,N2159E,AM0014,AL0013,1998,Active
ACFT00327,N2416G,AM0025,AL0006,2017,Active
ACFT00328,N1299N,AM0023,AL0014,2015,In Maintenance
ACFT00329,N4816S,AM0006,AL0019,2006,Retired
ACFT00330,N7276X,AM0025,AL0017,2008,Retired
ACFT00331,N1682T,AM0011,AL0019,2007,In Maintenance
ACFT00332,N0761B,AM0018,AL0001,2016,In Maintenance
ACFT00333,N7240Z,AM0020,AL0010,2019,Active
ACFT00334,N5912Q,AM0013,AL0005,2001,In Maintenance
ACFT00335,N6798D,AM0012,AL0019,2009,Active
ACFT00336,N3958P,AM0012,AL0015,1998,Active
ACFT00337,N0486D,AM0022,AL0007,2010,Active
ACFT00338,N2897C,AM0010,AL0012,2004,Active
ACFT00339,N6865M,AM0007,AL0013,2007,Active
ACFT00340,N2270C,AM0010,AL0010,2010,In Maintenance
ACFT00341,N3765N,AM0005,AL0010,2007,Active
ACFT00342,N1307U,AM0010,AL0002,2009,Active
ACFT00343,N2238M,AM0003,AL0010,2019,Active
ACFT00344,N7465G,AM0003,AL0007,2020,Active
ACFT00345,N8779F,AM0019,AL0017,1998,Active
ACFT00346,N0534F,AM0002,AL0018,2008,Active
ACFT00347,N3337Q,AM0015,AL0016,2021,Retired
ACFT00348,N4151H,AM0020,AL0001,2012,Retired
ACFT00349,N4132W,AM0019,AL0017,2003,In Maintenance
ACFT00350,N8066K,AM0012,AL0008,2014,In Maintenance
ACFT00351,N4730J,AM0005,AL0009,2002,In Maintenance
ACFT00352,N2321Z,AM0024,AL0019,1998,Active
ACFT00353,N1776X,AM0021,AL0018,2015,Active
ACFT00354,N0315R,AM0016,AL0002,2012,In Maintenance
ACFT00355,N8329S,AM0003,AL0008,2019,In Maintenance
ACFT00356,N7443T,AM0001,AL0015,2007,Active
ACFT00357,N2914H,AM0008,AL0011,2021,Active
ACFT00358,N6697F,AM0004,AL0006,2009,Active
ACFT00359,N2840V,AM0022,AL0011,2018,Active
ACFT00360,N6076Q,AM0006,AL0018,2000,Active
ACFT00361,N8446E,AM0008,AL0005,2000,Active
ACFT00362,N1825G,AM0025,AL0015,2019,Active
ACFT00363,N2584D,AM0021,AL0015,2021,In Maintenance
ACFT00364,N2183J,AM0006,AL0018,2024,In Maintenance
ACFT00365,N0494R,AM0010,AL0006,2007,Retired
ACFT00366,N1170L,AM0013,AL0005,1998,Active
ACFT00367,N3059B,AM0017,AL0011,2025,In Maintenance
ACFT00368,N8570W,AM0024,AL0011,2014,In Maintenance
ACFT00369,N0963A,AM0022,AL0009,2004,Active
ACFT00370,N6067G,AM0025,AL0016,2019,Active
ACFT00371,N2221F,AM0002,AL0016,2023,Active
ACFT00372,N6378U,AM0006,AL0005,2005,In Maintenance
ACFT00373,N5392M,AM0015,AL0016,2019,Retired
ACFT00374,N4757Y,AM0002,AL0005,2020,In Maintenance
ACFT00375,N3819E,AM0009,AL0009,2012,Active
ACFT00376,N8391M,AM0004,AL0001,2015,In Maintenance
ACFT00377,N9020H,AM0024,AL0007,2005,Active
ACFT00378,N3621E,AM0002,AL0020,2024,In Maintenance
ACFT00379,N9921B,AM0004,AL0009,2025,Active
ACFT00380,N9772R,AM0005,AL0015,2025,Retired
ACFT00381,N0653T,AM0004,AL0003,2018,Retired
ACFT00382,N6410Y,AM0015,AL0013,1999,Active
ACFT00383,N2362K,AM0010,AL0008,2008,Active
ACFT00384,N7560L,AM0023,AL0015,2010,In Maintenance
ACFT00385,N4611U,AM0007,AL0019,2024,In Maintenance
ACFT00386,N6829G,AM0014,AL0011,2013,In Maintenance
ACFT00387,N6193V,AM0017,AL0003,2013,Active
ACFT00388,N3740E,AM0016,AL0010,2002,Active
ACFT00389,N6125G,AM0020,AL0003,2020,Active
ACFT00390,N1667Y,AM0006,AL0009,2007,Active
ACFT00391,N1429N,AM0013,AL0002,2000,Active
ACFT00392,N0602T,AM0021,AL0013,2025,Active
ACFT00393,N5758P,AM0022,AL0007,2003,Active
ACFT00394,N0070K,AM0016,AL0005,1998,Active
ACFT00395,N0351M,AM0017,AL0001,2000,Retired
ACFT00396,N9002V,AM0022,AL0018,2010,Active
ACFT00397,N4607B,AM0016,AL0017,2000,Retired
ACFT00398,N7182E,AM0024,AL0017,2021,Active
ACFT00399,N3015H,AM0004,AL0002,2012,Active
ACFT00400,N3813E,AM0009,AL0007,2007,In Maintenance
ACFT00401,N4300W,AM0003,AL0020,1998,Active
ACFT00402,N0794H,AM0003,AL0012,2011,Active
ACFT00403,N7919Y,AM0012,AL0003,2002,Active
ACFT00404,N1070Q,AM0006,AL0003,2025,Retired
ACFT00405,N0620B,AM0011,AL0006,2006,Active
ACFT00406,N1508Q,AM0011,AL0020,2011,Active
ACFT00407,N2966E,AM0016,AL0004,1998,In Maintenance
ACFT00408,N7594S,AM0024,AL0019,2001,In Maintenance
ACFT00409,N3018T,AM0022,AL0014,2003,Active
ACFT00410,N3600N,AM0010,AL0019,1999,Active
ACFT00411,N6972V,AM0009,AL0017,2018,Active
ACFT00412,N4810B,AM0020,AL0007,2024,Active
ACFT00413,N9097D,AM0004,AL0017,2025,Retired
ACFT00414,N8115G,AM0014,AL0004,2005,Active
ACFT00415,N2160F,AM0011,AL0006,2020,Retired
ACFT00416,N5462R,AM0005,AL0005,2012,In Maintenance
ACFT00417,N7325P,AM0016,AL0003,1999,Active
ACFT00418,N0515Y,AM0009,AL0002,2000,Active
ACFT00419,N5739V,AM0005,AL0004,2013,Active
ACFT00420,N9765Y,AM0017,AL0003,2009,Retired
ACFT00421,N8400F,AM0005,AL0008,1998,Active
ACFT00422,N0219C,AM0017,AL0002,2024,Active
ACFT00423,N6317Z,AM0005,AL0002,2018,Active
ACFT00424,N7956D,AM0011,AL0020,2012,Active
ACFT00425,N8723Q,AM0021,AL0002,2025,Active
ACFT00426,N0820H,AM0006,AL0002,2025,Active
ACFT00427,N8258A,AM0020,AL0001,2025,Active
ACFT00428,N7261D,AM0019,AL0003,2005,In Maintenance
ACFT00429,N7896M,AM0023,AL0011,2022,In Maintenance
ACFT00430,N1263M,AM0005,AL0017,2012,Active
ACFT00431,N1421D,AM0018,AL0015,2018,Active
ACFT00432,N5305D,AM0024,AL0012,2022,Active
ACFT00433,N0149F,AM0020,AL0002,2002,Retired
ACFT00434,N2237H,AM0005,AL0016,2010,Active
ACFT00435,N6895T,AM0021,AL0001,2001,Active
ACFT00436,N9721C,AM0003,AL0013,2005,Active
ACFT00437,N8523G,AM0015,AL0009,2009,Retired
ACFT00438,N8683M,AM0013,AL0018,2021,Active
ACFT00439,N1955K,AM0014,AL0007,2022,Active
ACFT00440,N2946A,AM0013,AL0013,2008,Retired
ACFT00441,N2801V,AM0001,AL0009,2007,In Maintenance
ACFT00442,N3251B,AM0013,AL0011,2012,Active
ACFT00443,N0016H,AM0024,AL0019,2023,Active
ACFT00444,N0048J,AM0011,AL0015,2025,Active
ACFT00445,N0241Z,AM0007,AL0009,2004,Active
ACFT00446,N7393D,AM0025,AL0009,2003,Retired
ACFT00447,N9935E,AM0003,AL0015,2017,Active
ACFT00448,N6675S,AM0013,AL0007,2006,Active
ACFT00449,N5814K,AM0013,AL0004,2003,Retired
ACFT00450,N5139C,AM0012,AL0010,1998,Active
ACFT00451,N6640A,AM0024,AL0002,2009,Active
ACFT00452,N2101E,AM0011,AL0004,2008,In Maintenance
ACFT00453,N8606D,AM0025,AL0009,2013,Active
ACFT00454,N4001L,AM0002,AL0016,2003,Retired
ACFT00455,N4367T,AM0019,AL0016,2018,Active
ACFT00456,N5542M,AM0015,AL0006,2017,In Maintenance
ACFT00457,N0937Y,AM0007,AL0009,2010,Retired
ACFT00458,N4841A,AM0006,AL0004,2003,Active
ACFT00459,N1943L,AM0018,AL0016,2012,Active
ACFT00460,N2890T,AM0016,AL0005,2016,Retired
ACFT00461,N3090E,AM0016,AL0016,2008,Active
ACFT00462,N0453B,AM0002,AL0017,2005,Active
ACFT00463,N1989N,AM0015,AL0014,2012,Active
ACFT00464,N5764H,AM0025,AL0007,2007,Retired
ACFT00465,N4017W,AM0001,AL0020,2009,Active
ACFT00466,N1007H,AM0012,AL0014,2007,Retired
ACFT00467,N3094V,AM0013,AL0013,2006,Retired
ACFT00468,N7185Q,AM0023,AL0018,2018,Retired
ACFT00469,N2894C,AM0008,AL0018,2010,Active
ACFT00470,N8855F,AM0012,AL0002,2011,Active
ACFT00471,N0942S,AM0018,AL0018,2016,Active
ACFT00472,N0024J,AM0002,AL0016,2008,Active
ACFT00473,N1335P,AM0021,AL0005,2000,Retired
ACFT00474,N8829N,AM0021,AL0007,2021,In Maintenance
ACFT00475,N1378J,AM0018,AL0016,1999,Active
ACFT00476,N1116N,AM0017,AL0005,2014,Active
ACFT00477,N4687D,AM0019,AL0010,2005,In Maintenance
