feedback_id,customer_id,flight_id,rating,comments,submitted_date
FB000133,CUS0041975,FLT0042063,3,"Excellent crew, will fly again.",2025-05-20
FB000134,CUS0019709,FLT0046762,2,Great service!,2025-06-04
FB000135,CUS0046592,FLT0077798,4,"Lost my baggage, very disappointed.",2024-12-31
FB000136,CUS0013908,FLT0016306,1,,2024-01-09
FB000137,CUS0059935,FLT0010042,2,"Excellent crew, will fly again.",2024-03-29
FB000138,CUS0025721,FLT0017922,3,Smooth check-in process.,2024-04-23
FB000139,CUS0045191,,5,Food could be better.,2024-03-22
FB000140,CUS0028272,FLT0006018,5,Food could be better.,2025-01-05
FB000141,CUS0023993,,2,"Lost my baggage, very disappointed.",2025-04-17
FB000142,CUS0045086,FLT0078139,3,"Lost my baggage, very disappointed.",2024-06-18
FB000143,CUS0014191,,5,,2024-05-10
FB000144,CUS0039635,FLT0038878,5,Food could be better.,2026-02-11
FB000145,CUS0041381,,5,Smooth check-in process.,2025-01-08
FB000146,CUS0042865,FLT0061693,4,,2024-12-10
FB000147,CUS0031756,FLT0031478,2,,2024-02-19
FB000148,CUS0037752,FLT0055616,2,Smooth check-in process.,2025-04-16
FB000149,CUS0050490,,4,,2024-11-24
FB000150,CUS0051156,FLT0058831,1,,2025-08-10
FB000151,CUS0029667,,3,Flight was delayed but staff were helpful.,2025-10-02
FB000152,CUS0004860,FLT0041608,5,Comfortable seats.,2025-05-26
FB000153,CUS0012521,FLT0004568,1,"Lost my baggage, very disappointed.",2025-06-30
FB000154,CUS0053999,FLT0007074,1,"Lost my baggage, very disappointed.",2026-03-18
FB000155,CUS0012546,FLT0065303,4,Great service!,2024-01-04
FB000156,CUS0013700,FLT0005821,5,,2025-08-19
FB000157,CUS0048828,FLT0062881,3,,2024-06-22
FB000158,CUS0039971,FLT0053119,1,,2026-02-13
FB000159,CUS0057568,FLT0076265,4,Smooth check-in process.,2024-12-12
FB000160,CUS0031896,FLT0040511,3,Flight was delayed but staff were helpful.,2024-02-26
FB000161,CUS0057840,FLT0041389,2,"Excellent crew, will fly again.",2024-08-09
FB000162,CUS0047555,FLT0071864,4,,2025-04-13
FB000163,CUS0051184,FLT0025149,5,Flight was delayed but staff were helpful.,2024-05-08
FB000164,CUS0016670,FLT0045455,4,"Excellent crew, will fly again.",2026-01-17
FB000165,CUS0058082,,2,,2024-03-17
FB000166,CUS0041751,,5,Great service!,2024-06-11
FB000167,CUS0022154,FLT0014942,3,,2024-06-22
FB000168,CUS0018703,,4,,2026-03-31
FB000169,CUS0015787,FLT0048283,1,Smooth check-in process.,2026-01-12
FB000170,CUS0035587,FLT0007880,3,Great service!,2026-04-29
FB000171,CUS0025775,FLT0052321,2,,2025-12-16
FB000172,CUS0036224,FLT0050892,1,Flight was delayed but staff were helpful.,2024-02-09
FB000173,CUS0017466,FLT0045310,3,,2024-12-01
FB000174,CUS0008942,FLT0008915,1,Food could be better.,2024-02-13
FB000175,CUS0010812,FLT0043116,2,,2024-07-18
FB000176,CUS0057260,FLT0050689,4,,2024-11-14
FB000177,CUS0000687,,2,Smooth check-in process.,2025-08-10
FB000178,CUS0036469,FLT0004310,4,Food could be better.,2024-11-22
FB000179,CUS0053949,FLT0072872,1,Flight was delayed but staff were helpful.,2025-11-01
FB000180,CUS0026133,FLT0056195,2,Flight was delayed but staff were helpful.,2025-07-28
FB000181,CUS0047795,FLT0012667,3,"Lost my baggage, very disappointed.",2024-11-02
FB000182,CUS0008622,FLT0068188,5,,2025-11-10
FB000183,CUS0001033,FLT0036154,3,,2024-02-26
FB000184,CUS0033533,,5,Great service!,2025-04-04
FB000185,CUS0048089,FLT0023526,1,Food could be better.,2025-05-22
FB000186,CUS0031789,FLT0003724,1,Great service!,2026-02-17
FB000187,CUS0010471,FLT0017854,1,Great service!,2025-12-26
FB000188,CUS0016971,FLT0005902,4,Comfortable seats.,2024-08-24
FB000189,CUS0054812,FLT0069570,4,Great service!,2025-12-23
FB000190,CUS0037175,FLT0007796,4,Flight was delayed but staff were helpful.,2024-04-03
FB000191,CUS0016599,FLT0056670,3,,2024-07-10
FB000192,CUS0008080,FLT0015176,2,Comfortable seats.,2024-05-03
FB000193,CUS0039896,FLT0041692,3,,2024-07-12
FB000194,CUS0046544,FLT0037873,5,Flight was delayed but staff were helpful.,2025-05-10
FB000195,CUS0048168,FLT0070738,2,,2026-01-30
FB000196,CUS0018619,FLT0039426,3,"Lost my baggage, very disappointed.",2025-09-05
FB000197,CUS0009400,FLT0039322,3,"Excellent crew, will fly again.",2025-10-10
FB000198,CUS0025656,,4,"Excellent crew, will fly again.",2024-12-22
FB000199,CUS0041159,FLT0062657,5,"Excellent crew, will fly again.",2026-02-18
FB000200,CUS0056476,FLT0076779,5,Smooth check-in process.,2024-02-14
FB000201,CUS0016345,FLT0071395,4,"Lost my baggage, very disappointed.",2024-07-03
FB000202,CUS0044367,,1,,2024-01-16
FB000203,CUS0056487,FLT0036727,3,Food could be better.,2024-12-05
FB000204,CUS0051151,,4,Comfortable seats.,2025-08-26
FB000205,CUS0050232,,4,Great service!,2026-02-15
FB000206,CUS0005617,FLT0019356,2,"Lost my baggage, very disappointed.",2024-06-30
FB000207,CUS0042779,FLT0012349,1,Food could be better.,2024-08-25
FB000208,CUS0042907,FLT0044705,3,Great service!,2026-02-28
FB000209,CUS0050820,,4,,2024-11-21
FB000210,CUS0045095,FLT0033042,2,Flight was delayed but staff were helpful.,2026-04-25
FB000211,CUS0006740,,3,Great service!,2026-06-16
FB000212,CUS0056108,FLT0077534,5,Great service!,2024-02-24
FB000213,CUS0009374,FLT0052385,1,"Lost my baggage, very disappointed.",2025-07-21
FB000214,CUS0029983,FLT0008191,1,Flight was delayed but staff were helpful.,2025-04-16
FB000215,CUS0000763,,3,"Excellent crew, will fly again.",2024-02-10
FB000216,CUS0059991,FLT0004296,4,Great service!,2025-04-07
FB000217,CUS0047922,FLT0000099,1,Great service!,2026-05-24
FB000218,CUS0043977,,2,"Excellent crew, will fly again.",2025-08-14
FB000219,CUS0049452,FLT0076544,4,"Lost my baggage, very disappointed.",2025-12-08
FB000220,CUS0011488,FLT0004475,1,Great service!,2024-06-24
FB000221,CUS0030374,FLT0054453,5,,2024-03-29
FB000222,CUS0053197,FLT0023845,1,Comfortable seats.,2025-04-29
FB000223,CUS0019947,FLT0074501,2,,2026-01-19
FB000224,CUS0037325,,5,Comfortable seats.,2026-03-02
FB000225,CUS0037322,FLT0045802,5,Smooth check-in process.,2024-12-03
FB000226,CUS0032272,FLT0050826,5,,2024-04-08
FB000227,CUS0005789,FLT0043823,3,Flight was delayed but staff were helpful.,2025-11-23
FB000228,CUS0008687,FLT0067701,4,"Excellent crew, will fly again.",2026-05-27
FB000229,CUS0008986,,1,Flight was delayed but staff were helpful.,2024-01-16
FB000230,CUS0026456,FLT0078356,5,Flight was delayed but staff were helpful.,2026-06-14
FB000231,CUS0023816,,1,,2025-07-09
FB000232,CUS0040863,FLT0023242,1,Food could be better.,2026-01-27
FB000233,CUS0002074,FLT0030029,2,Great service!,2024-02-18
FB000234,CUS0054014,FLT0033255,5,,2024-04-12
FB000235,CUS0055820,FLT0063027,5,Flight was delayed but staff were helpful.,2024-05-25
FB000236,CUS0056776,FLT0027226,3,,2025-08-21
FB000237,CUS0012332,FLT0042799,2,Great service!,2024-04-20
FB000238,CUS0053001,FLT0067693,4,,2025-07-09
FB000239,CUS0044769,,3,Great service!,2024-01-10
FB000240,CUS0014596,FLT0020381,2,Flight was delayed but staff were helpful.,2025-10-17
FB000241,CUS0038363,FLT0061124,2,Great service!,2024-07-26
FB000242,CUS0000500,FLT0071445,1,"Excellent crew, will fly again.",2026-03-10
FB000243,CUS0038840,FLT0014599,4,Smooth check-in process.,2025-09-19
FB000244,CUS0045555,FLT0073965,2,,2024-11-28
FB000245,CUS0033342,,1,Great service!,2024-04-06
FB000246,CUS0014190,FLT0018150,2,,2026-06-25
FB000247,CUS0025813,FLT0030134,2,"Excellent crew, will fly again.",2024-02-28
FB000248,CUS0009167,FLT0029527,1,"Excellent crew, will fly again.",2025-10-05
FB000249,CUS0030999,,5,Comfortable seats.,2026-02-24
FB000250,CUS0029687,FLT0051261,2,Flight was delayed but staff were helpful.,2025-11-09
FB000251,CUS0040935,FLT0006447,2,,2024-01-11
FB000252,CUS0039853,FLT0046598,2,,2025-04-21
FB000253,CUS0011438,FLT0041897,1,Great service!,2026-01-23
FB000254,CUS0040182,,1,"Excellent crew, will fly again.",2025-04-22
FB000255,CUS0003115,FLT0013790,3,Smooth check-in process.,2024-01-05
FB000256,CUS0005254,,3,Flight was delayed but staff were helpful.,2024-04-19
FB000257,CUS0023123,FLT0052566,5,"Excellent crew, will fly again.",2026-04-12
FB000258,CUS0031901,FLT0004621,5,Flight was delayed but staff were helpful.,2026-05-25
FB000259,CUS0029940,,5,Comfortable seats.,2024-03-26
FB000260,CUS0020992,FLT0075527,1,,2025-01-05
FB000261,CUS0018616,FLT0019870,2,Flight was delayed but staff were helpful.,2025-01-04
FB000262,CUS0031071,,2,,2025-03-14
FB000263,CUS0052121,FLT0071381,2,"Excellent crew, will fly again.",2024-07-25
FB000264,CUS0024845,FLT0044899,5,,2024-08-20
FB000265,CUS0019539,FLT0068072,5,Food could be better.,2025-06-01
FB000266,CUS0000940,FLT0068826,2,"Excellent crew, will fly again.",2024-06-26
FB000267,CUS0020911,FLT0037286,5,Great service!,2025-08-17
FB000268,CUS0003238,FLT0030888,2,Flight was delayed but staff were helpful.,2024-03-31
FB000269,CUS0033909,FLT0065175,3,"Lost my baggage, very disappointed.",2026-01-17
FB000270,CUS0037100,FLT0062927,2,"Lost my baggage, very disappointed.",2024-08-02
FB000271,CUS0055412,FLT0048749,3,Comfortable seats.,2026-06-09
FB000272,CUS0026203,FLT0077611,1,,2024-06-05
FB000273,CUS0008454,FLT0004839,2,Food could be better.,2026-03-09
FB000274,CUS0038343,FLT0021589,3,Food could be better.,2025-11-11
FB000275,CUS0006190,FLT0079511,3,Comfortable seats.,2025-02-10
FB000276,CUS0037181,FLT0011118,4,,2025-04-08
FB000277,CUS0024451,FLT0011541,4,Comfortable seats.,2025-12-21
FB000278,CUS0000751,FLT0027534,3,Flight was delayed but staff were helpful.,2025-04-24
FB000279,CUS0015521,FLT0069307,4,Comfortable seats.,2024-08-04
FB000280,CUS0026877,,3,Food could be better.,2025-05-20
FB000281,CUS0007738,,3,,2024-08-30
FB000282,CUS0049381,FLT0045010,1,,2026-07-07
FB000283,CUS0001302,FLT0065471,3,Smooth check-in process.,2024-05-17
FB000284,CUS0035295,FLT0026415,3,Food could be better.,2025-10-13
FB000285,CUS0024693,,5,,2024-08-27
FB000286,CUS0003378,FLT0022077,4,"Lost my baggage, very disappointed.",2025-11-22
FB000287,CUS0041788,FLT0046804,1,Great service!,2026-06-22
FB000288,CUS0036646,FLT0020739,3,"Excellent crew, will fly again.",2026-01-06
FB000289,CUS0017238,FLT0005504,3,,2024-12-19
FB000290,CUS0016870,FLT0027982,1,,2025-07-20
FB000291,CUS0053769,,5,Great service!,2024-06-07
FB000292,CUS0010836,FLT0038926,2,Comfortable seats.,2026-02-08
FB000293,CUS0023299,FLT0047460,1,Great service!,2025-09-19
FB000294,CUS0016188,,3,"Lost my baggage, very disappointed.",2024-08-26
FB000295,CUS0015545,,3,"Lost my baggage, very disappointed.",2025-08-09
FB000296,CUS0048940,FLT0003536,5,,2025-04-19
FB000297,CUS0021885,FLT0033396,5,,2025-09-07
FB000298,CUS0004436,FLT0069807,5,Comfortable seats.,2025-02-17
FB000299,CUS0004141,,2,,2025-12-17
FB000300,CUS0040445,,4,"Excellent crew, will fly again.",2026-02-06
FB000301,CUS0058783,FLT0008500,4,Food could be better.,2024-08-23
FB000302,CUS0016630,FLT0021307,5,"Excellent crew, will fly again.",2025-06-01
FB000303,CUS0047012,FLT0017831,2,Smooth check-in process.,2026-06-03
FB000304,CUS0044747,FLT0047068,3,"Excellent crew, will fly again.",2024-12-11
FB000305,CUS0041394,FLT0041311,4,Smooth check-in process.,2025-10-04
FB000306,CUS0032191,FLT0025024,1,Flight was delayed but staff were helpful.,2024-10-14
FB000307,CUS0059545,FLT0027204,4,"Excellent crew, will fly again.",2024-01-10
FB000308,CUS0025514,FLT0002649,1,Smooth check-in process.,2024-09-05
FB000309,CUS0043527,,2,Food could be better.,2025-03-24
FB000310,CUS0040630,,2,Smooth check-in process.,2024-02-17
FB000311,CUS0020594,FLT0023891,2,,2024-09-17
FB000312,CUS0031791,FLT0058604,2,Great service!,2024-01-07
FB000313,CUS0010606,FLT0057978,3,Great service!,2024-02-20
FB000314,CUS0059735,,3,"Excellent crew, will fly again.",2024-08-12
FB000315,CUS0033777,,3,,2025-01-27
FB000316,CUS0037176,FLT0021394,3,Flight was delayed but staff were helpful.,2024-08-17
FB000317,CUS0028318,FLT0047402,4,Smooth check-in process.,2025-09-27
FB000318,CUS0041225,,3,"Excellent crew, will fly again.",2025-01-27
FB000319,CUS0058660,FLT0025996,2,Flight was delayed but staff were helpful.,2026-05-27
FB000320,CUS0011205,FLT0016327,1,,2025-12-18
FB000321,CUS0003457,FLT0030048,1,"Lost my baggage, very disappointed.",2025-06-09
FB000322,CUS0031263,FLT0077338,5,Flight was delayed but staff were helpful.,2026-02-01
FB000323,CUS0052777,FLT0069592,2,Comfortable seats.,2026-05-15
FB000324,CUS0019475,FLT0072499,2,,2026-01-27
FB000325,CUS0019218,FLT0079515,2,,2024-04-15
FB000326,CUS0037325,FLT0016032,2,Great service!,2025-04-17
FB000327,CUS0032092,,4,Smooth check-in process.,2026-02-16
FB000328,CUS0050094,,1,Comfortable seats.,2024-08-04
FB000329,CUS0014618,FLT0008534,2,Food could be better.,2024-05-19
FB000330,CUS0019422,FLT0079084,3,Smooth check-in process.,2026-02-13
FB000331,CUS0012834,FLT0004134,4,,2026-04-23
FB000332,CUS0016144,FLT0059151,2,"Lost my baggage, very disappointed.",2024-05-15
FB000333,CUS0008523,,2,Comfortable seats.,2025-02-21
FB000334,CUS0015934,FLT0010909,5,Flight was delayed but staff were helpful.,2026-07-16
FB000335,CUS0001644,,1,Flight was delayed but staff were helpful.,2024-07-03
FB000336,CUS0015754,FLT0029643,4,Food could be better.,2026-05-16
FB000337,CUS0021895,FLT0016039,2,,2024-05-04
FB000338,CUS0036613,FLT0008226,1,Comfortable seats.,2024-03-06
FB000339,CUS0001400,,3,Food could be better.,2026-02-14
FB000340,CUS0049905,,5,Smooth check-in process.,2024-05-07
FB000341,CUS0045001,FLT0035022,2,,2024-04-03
FB000342,CUS0047422,,3,,2025-02-08
FB000343,CUS0006620,FLT0073332,3,"Lost my baggage, very disappointed.",2025-05-21
FB000344,CUS0014158,FLT0047376,5,Food could be better.,2025-09-30
FB000345,CUS0036367,FLT0068432,5,"Lost my baggage, very disappointed.",2026-04-03
FB000346,CUS0038298,,1,Flight was delayed but staff were helpful.,2026-04-02
FB000347,CUS0007171,FLT0063168,1,Comfortable seats.,2024-05-18
FB000348,CUS0028928,FLT0016724,4,"Lost my baggage, very disappointed.",2024-12-09
FB000349,CUS0015339,,5,Smooth check-in process.,2024-05-24
FB000350,CUS0053588,FLT0037101,3,"Lost my baggage, very disappointed.",2024-12-07
FB000351,CUS0024851,FLT0038527,1,"Excellent crew, will fly again.",2025-04-04
FB000352,CUS0012223,FLT0078566,3,,2025-11-16
FB000353,CUS0055933,,3,Smooth check-in process.,2024-06-11
FB000354,CUS0028067,,5,Comfortable seats.,2026-02-05
FB000355,CUS0008206,,3,,2024-02-24
FB000356,CUS0007818,FLT0038151,4,Comfortable seats.,2026-06-20
FB000357,CUS0055953,FLT0023922,4,Food could be better.,2024-01-01
FB000358,CUS0058831,FLT0046457,3,,2024-06-26
FB000359,CUS0030156,,2,Food could be better.,2026-02-10
FB000360,CUS0049841,FLT0018594,1,Smooth check-in process.,2025-10-09
FB000361,CUS0048463,FLT0078077,2,"Excellent crew, will fly again.",2025-07-21
FB000362,CUS0025719,FLT0033664,1,Great service!,2024-02-27
FB000363,CUS0035455,FLT0041115,4,,2025-03-05
FB000364,CUS0046267,FLT0026268,5,Comfortable seats.,2025-07-21
FB000365,CUS0017708,FLT0053758,3,"Excellent crew, will fly again.",2025-11-15
FB000366,CUS0054685,FLT0048811,1,"Lost my baggage, very disappointed.",2025-11-18
FB000367,CUS0043044,FLT0017718,2,"Lost my baggage, very disappointed.",2024-09-09
FB000368,CUS0055599,FLT0020334,5,Flight was delayed but staff were helpful.,2025-05-08
FB000369,CUS0043335,,4,Great service!,2024-06-22
FB000370,CUS0018369,FLT0079639,5,"Excellent crew, will fly again.",2025-12-04
FB000371,CUS0008719,FLT0020328,2,"Excellent crew, will fly again.",2024-04-22
FB000372,CUS0035409,FLT0000503,4,Great service!,2025-03-13
FB000373,CUS0005345,FLT0046090,5,Smooth check-in process.,2025-02-26
FB000374,CUS0058438,FLT0069705,3,"Lost my baggage, very disappointed.",2024-05-28
FB000375,CUS0038282,FLT0028902,3,"Lost my baggage, very disappointed.",2026-01-02
FB000376,CUS0039123,FLT0001508,3,Comfortable seats.,2024-01-05
FB000377,CUS0038647,FLT0026731,3,"Lost my baggage, very disappointed.",2024-06-22
FB000378,CUS0014977,FLT0060673,1,,2025-12-15
FB000379,CUS0004556,,5,"Lost my baggage, very disappointed.",2026-04-04
FB000380,CUS0014970,FLT0018090,2,Great service!,2025-12-25
FB000381,CUS0006910,FLT0021319,1,,2025-07-25
FB000382,CUS0040295,,2,Food could be better.,2024-05-17
FB000383,CUS0001373,FLT0022842,5,,2025-03-08
FB000384,CUS0017929,FLT0002254,4,"Lost my baggage, very disappointed.",2024-08-12
FB000385,CUS0059036,FLT0011345,3,Food could be better.,2025-01-14
FB000386,CUS0054281,FLT0059954,4,,2026-02-01
FB000387,CUS0036739,FLT0046397,5,,2024-05-29
FB000388,CUS0054085,FLT0015976,2,,2024-10-28
FB000389,CUS0055332,,3,,2024-07-02
FB000390,CUS0004770,FLT0056365,5,Food could be better.,2026-02-28
FB000391,CUS0044059,,2,"Lost my baggage, very disappointed.",2025-06-30
FB000392,CUS0045185,FLT0026316,4,Food could be better.,2026-02-01
FB000393,CUS0028325,FLT0004456,2,Smooth check-in process.,2025-02-21
FB000394,CUS0004211,FLT0001068,2,,2025-05-09
FB000395,CUS0009885,FLT0079615,1,,2024-01-26
FB000396,CUS0002246,FLT0033970,3,Great service!,2025-04-02
FB000397,CUS0001299,FLT0047992,4,Food could be better.,2025-10-22
FB000398,CUS0000433,FLT0033113,2,"Excellent crew, will fly again.",2024-07-14
FB000399,CUS0005875,FLT0032298,1,Smooth check-in process.,2026-05-01
