assignment_id,flight_id,crew_id,role_on_flight
CA00000158,FLT0000040,CRW001763,First Officer
CA00000159,FLT0000040,CRW000491,Flight Attendant
CA00000160,FLT0000040,CRW001915,Flight Attendant
CA00000161,FLT0000041,CRW001842,Captain
CA00000162,FLT0000041,CRW000334,First Officer
CA00000163,FLT0000041,CRW000902,Flight Attendant
CA00000164,FLT0000041,CRW002178,Flight Attendant
CA00000165,FLT0000042,CRW002336,Captain
CA00000166,FLT0000042,CRW002447,First Officer
CA00000167,FLT0000042,CRW000711,Flight Attendant
CA00000168,FLT0000042,CRW001915,Flight Attendant
CA00000169,FLT0000043,CRW000139,Captain
CA00000170,FLT0000043,CRW002138,First Officer
CA00000171,FLT0000043,CRW000327,Flight Attendant
CA00000172,FLT0000043,CRW002195,Flight Attendant
CA00000173,FLT0000044,CRW001053,Captain
CA00000174,FLT0000044,CRW001895,First Officer
CA00000175,FLT0000044,CRW001562,Flight Attendant
CA00000176,FLT0000044,CRW000051,Flight Attendant
CA00000177,FLT0000045,CRW001359,Captain
CA00000178,FLT0000045,CRW000194,First Officer
CA00000179,FLT0000045,CRW000795,Flight Attendant
CA00000180,FLT0000045,CRW001826,Flight Attendant
CA00000181,FLT0000046,CRW000013,Captain
CA00000182,FLT0000046,CRW000072,First Officer
CA00000183,FLT0000046,CRW000987,Flight Attendant
CA00000184,FLT0000046,CRW001388,Flight Attendant
CA00000185,FLT0000047,CRW001370,Captain
CA00000186,FLT0000047,CRW001872,First Officer
CA00000187,FLT0000047,CRW001520,Flight Attendant
CA00000188,FLT0000047,CRW000351,Flight Attendant
CA00000189,FLT0000048,CRW000301,Captain
CA00000190,FLT0000048,CRW001532,First Officer
CA00000191,FLT0000048,CRW000419,Flight Attendant
CA00000192,FLT0000048,CRW002082,Flight Attendant
CA00000193,FLT0000049,CRW000564,Captain
CA00000194,FLT0000049,CRW001910,First Officer
CA00000195,FLT0000049,CRW001316,Flight Attendant
CA00000196,FLT0000049,CRW002347,Flight Attendant
CA00000197,FLT0000050,CRW001070,Captain
CA00000198,FLT0000050,CRW001709,First Officer
CA00000199,FLT0000050,CRW002011,Flight Attendant
CA00000200,FLT0000050,CRW001027,Flight Attendant
CA00000201,FLT0000051,CRW002116,Captain
CA00000202,FLT0000051,CRW000840,First Officer
CA00000203,FLT0000051,CRW000207,Flight Attendant
CA00000204,FLT0000051,CRW001647,Flight Attendant
CA00000205,FLT0000052,CRW002263,Captain
CA00000206,FLT0000052,CRW001780,First Officer
CA00000207,FLT0000052,CRW000115,Flight Attendant
CA00000208,FLT0000052,CRW000471,Flight Attendant
CA00000209,FLT0000053,CRW001491,Captain
CA00000210,FLT0000053,CRW001167,First Officer
CA00000211,FLT0000053,CRW002405,Flight Attendant
CA00000212,FLT0000053,CRW001907,Flight Attendant
CA00000213,FLT0000054,CRW000533,Captain
CA00000214,FLT0000054,CRW000075,First Officer
CA00000215,FLT0000054,CRW000884,Flight Attendant
CA00000216,FLT0000054,CRW000622,Flight Attendant
CA00000217,FLT0000055,CRW000755,Captain
CA00000218,FLT0000055,CRW001236,First Officer
CA00000219,FLT0000055,CRW002448,Flight Attendant
CA00000220,FLT0000055,CRW000165,Flight Attendant
CA00000221,FLT0000056,CRW001468,Captain
CA00000222,FLT0000056,CRW000941,First Officer
CA00000223,FLT0000056,CRW000304,Flight Attendant
CA00000224,FLT0000056,CRW000126,Flight Attendant
CA00000225,FLT0000057,CRW002077,Captain
CA00000226,FLT0000057,CRW000376,First Officer
CA00000227,FLT0000057,CRW001922,Flight Attendant
CA00000228,FLT0000057,CRW002459,Flight Attendant
CA00000229,FLT0000058,CRW001442,Captain
CA00000230,FLT0000058,CRW002142,First Officer
CA00000231,FLT0000058,CRW000862,Flight Attendant
CA00000232,FLT0000058,CRW001075,Flight Attendant
CA00000233,FLT0000059,CRW001070,Captain
CA00000234,FLT0000059,CRW002115,First Officer
CA00000235,FLT0000059,CRW001855,Flight Attendant
CA00000236,FLT0000059,CRW002334,Flight Attendant
CA00000237,FLT0000060,CRW001695,Captain
CA00000238,FLT0000060,CRW000359,First Officer
CA00000239,FLT0000060,CRW001402,Flight Attendant
CA00000240,FLT0000060,CRW000902,Flight Attendant
CA00000241,FLT0000061,CRW001491,Captain
CA00000242,FLT0000061,CRW000539,First Officer
CA00000243,FLT0000061,CRW002129,Flight Attendant
CA00000244,FLT0000061,CRW001402,Flight Attendant
CA00000245,FLT0000062,CRW001695,Captain
CA00000246,FLT0000062,CRW001711,First Officer
CA00000247,FLT0000062,CRW000156,Flight Attendant
CA00000248,FLT0000062,CRW001721,Flight Attendant
CA00000249,FLT0000063,CRW000448,Captain
CA00000250,FLT0000063,CRW000701,First Officer
CA00000251,FLT0000063,CRW002325,Flight Attendant
CA00000252,FLT0000063,CRW000979,Flight Attendant
CA00000253,FLT0000064,CRW000728,Captain
CA00000254,FLT0000064,CRW000759,First Officer
CA00000255,FLT0000064,CRW001490,Flight Attendant
CA00000256,FLT0000064,CRW001759,Flight Attendant
CA00000257,FLT0000065,CRW002277,Captain
CA00000258,FLT0000065,CRW000412,First Officer
CA00000259,FLT0000065,CRW002387,Flight Attendant
CA00000260,FLT0000065,CRW001718,Flight Attendant
CA00000261,FLT0000066,CRW002016,Captain
CA00000262,FLT0000066,CRW000492,First Officer
CA00000263,FLT0000066,CRW000685,Flight Attendant
CA00000264,FLT0000066,CRW000137,Flight Attendant
CA00000265,FLT0000067,CRW002135,Captain
CA00000266,FLT0000067,CRW002237,First Officer
CA00000267,FLT0000067,CRW001741,Flight Attendant
CA00000268,FLT0000067,CRW001030,Flight Attendant
CA00000269,FLT0000068,CRW001602,Captain
CA00000270,FLT0000068,CRW002324,First Officer
CA00000271,FLT0000068,CRW000098,Flight Attendant
CA00000272,FLT0000068,CRW000126,Flight Attendant
CA00000273,FLT0000069,CRW000563,Captain
CA00000274,FLT0000069,CRW001097,First Officer
CA00000275,FLT0000069,CRW002202,Flight Attendant
CA00000276,FLT0000069,CRW000930,Flight Attendant
CA00000277,FLT0000070,CRW001925,Captain
CA00000278,FLT0000070,CRW001711,First Officer
CA00000279,FLT0000070,CRW001297,Flight Attendant
CA00000280,FLT0000070,CRW001447,Flight Attendant
CA00000281,FLT0000071,CRW001093,Captain
CA00000282,FLT0000071,CRW001554,First Officer
CA00000283,FLT0000071,CRW002018,Flight Attendant
CA00000284,FLT0000071,CRW001550,Flight Attendant
CA00000285,FLT0000072,CRW000382,Captain
CA00000286,FLT0000072,CRW000944,First Officer
CA00000287,FLT0000072,CRW001180,Flight Attendant
CA00000288,FLT0000072,CRW002486,Flight Attendant
CA00000289,FLT0000073,CRW000206,Captain
CA00000290,FLT0000073,CRW001994,First Officer
CA00000291,FLT0000073,CRW000401,Flight Attendant
CA00000292,FLT0000073,CRW001076,Flight Attendant
CA00000293,FLT0000074,CRW001960,Captain
CA00000294,FLT0000074,CRW000669,First Officer
CA00000295,FLT0000074,CRW001517,Flight Attendant
CA00000296,FLT0000074,CRW000877,Flight Attendant
CA00000297,FLT0000075,CRW001538,Captain
CA00000298,FLT0000075,CRW000693,First Officer
CA00000299,FLT0000075,CRW000016,Flight Attendant
CA00000300,FLT0000075,CRW001640,Flight Attendant
CA00000301,FLT0000076,CRW001833,Captain
CA00000302,FLT0000076,CRW000779,First Officer
CA00000303,FLT0000076,CRW000405,Flight Attendant
CA00000304,FLT0000076,CRW000062,Flight Attendant
CA00000305,FLT0000077,CRW002091,Captain
CA00000306,FLT0000077,CRW001063,First Officer
CA00000307,FLT0000077,CRW002122,Flight Attendant
CA00000308,FLT0000077,CRW001550,Flight Attendant
CA00000309,FLT0000078,CRW000755,Captain
CA00000310,FLT0000078,CRW000913,First Officer
CA00000311,FLT0000078,CRW000300,Flight Attendant
CA00000312,FLT0000078,CRW001677,Flight Attendant
CA00000313,FLT0000079,CRW000120,Captain
CA00000314,FLT0000079,CRW001722,First Officer
CA00000315,FLT0000079,CRW001571,Flight Attendant
CA00000316,FLT0000079,CRW000295,Flight Attendant
CA00000317,FLT0000080,CRW000448,Captain
CA00000318,FLT0000080,CRW001924,First Officer
CA00000319,FLT0000080,CRW002003,Flight Attendant
CA00000320,FLT0000080,CRW001581,Flight Attendant
CA00000321,FLT0000081,CRW001106,Captain
CA00000322,FLT0000081,CRW000804,First Officer
CA00000323,FLT0000081,CRW001082,Flight Attendant
CA00000324,FLT0000081,CRW002282,Flight Attendant
CA00000325,FLT0000082,CRW001435,Captain
CA00000326,FLT0000082,CRW002308,First Officer
CA00000327,FLT0000082,CRW002226,Flight Attendant
CA00000328,FLT0000082,CRW000017,Flight Attendant
CA00000329,FLT0000083,CRW001658,Captain
CA00000330,FLT0000083,CRW002327,First Officer
CA00000331,FLT0000083,CRW000650,Flight Attendant
CA00000332,FLT0000083,CRW001363,Flight Attendant
CA00000333,FLT0000084,CRW001116,Captain
CA00000334,FLT0000084,CRW001014,First Officer
CA00000335,FLT0000084,CRW002417,Flight Attendant
CA00000336,FLT0000084,CRW000706,Flight Attendant
CA00000337,FLT0000085,CRW000211,Captain
CA00000338,FLT0000085,CRW000434,First Officer
CA00000339,FLT0000085,CRW000684,Flight Attendant
CA00000340,FLT0000085,CRW002368,Flight Attendant
CA00000341,FLT0000086,CRW001715,Captain
CA00000342,FLT0000086,CRW000818,First Officer
CA00000343,FLT0000086,CRW001633,Flight Attendant
CA00000344,FLT0000086,CRW002019,Flight Attendant
CA00000345,FLT0000087,CRW001747,Captain
CA00000346,FLT0000087,CRW000629,First Officer
CA00000347,FLT0000087,CRW001083,Flight Attendant
CA00000348,FLT0000087,CRW000099,Flight Attendant
CA00000349,FLT0000088,CRW001106,Captain
CA00000350,FLT0000088,CRW002403,First Officer
CA00000351,FLT0000088,CRW000488,Flight Attendant
CA00000352,FLT0000088,CRW000621,Flight Attendant
CA00000353,FLT0000089,CRW001201,Captain
CA00000354,FLT0000089,CRW000714,First Officer
CA00000355,FLT0000089,CRW000596,Flight Attendant
CA00000356,FLT0000089,CRW002448,Flight Attendant
CA00000357,FLT0000090,CRW001622,Captain
CA00000358,FLT0000090,CRW000334,First Officer
CA00000359,FLT0000090,CRW001051,Flight Attendant
CA00000360,FLT0000090,CRW000694,Flight Attendant
CA00000361,FLT0000091,CRW002022,Captain
CA00000362,FLT0000091,CRW001748,First Officer
CA00000363,FLT0000091,CRW000170,Flight Attendant
CA00000364,FLT0000091,CRW001327,Flight Attendant
CA00000365,FLT0000092,CRW000198,Captain
CA00000366,FLT0000092,CRW002478,First Officer
CA00000367,FLT0000092,CRW000997,Flight Attendant
CA00000368,FLT0000092,CRW001299,Flight Attendant
CA00000369,FLT0000093,CRW001978,Captain
CA00000370,FLT0000093,CRW001711,First Officer
CA00000371,FLT0000093,CRW001593,Flight Attendant
CA00000372,FLT0000093,CRW001681,Flight Attendant
CA00000373,FLT0000094,CRW002441,Captain
CA00000374,FLT0000094,CRW000117,First Officer
CA00000375,FLT0000094,CRW000320,Flight Attendant
CA00000376,FLT0000094,CRW002345,Flight Attendant
CA00000377,FLT0000095,CRW000881,Captain
CA00000378,FLT0000095,CRW002481,First Officer
CA00000379,FLT0000095,CRW002095,Flight Attendant
CA00000380,FLT0000095,CRW001390,Flight Attendant
CA00000381,FLT0000096,CRW001496,Captain
CA00000382,FLT0000096,CRW000328,First Officer
CA00000383,FLT0000096,CRW002475,Flight Attendant
CA00000384,FLT0000096,CRW002108,Flight Attendant
CA00000385,FLT0000097,CRW000305,Captain
CA00000386,FLT0000097,CRW001913,First Officer
CA00000387,FLT0000097,CRW001846,Flight Attendant
CA00000388,FLT0000097,CRW000528,Flight Attendant
CA00000389,FLT0000098,CRW001538,Captain
CA00000390,FLT0000098,CRW000941,First Officer
CA00000391,FLT0000098,CRW000074,Flight Attendant
CA00000392,FLT0000098,CRW000125,Flight Attendant
CA00000393,FLT0000099,CRW000403,Captain
CA00000394,FLT0000099,CRW001011,First Officer
CA00000395,FLT0000099,CRW000299,Flight Attendant
CA00000396,FLT0000099,CRW002146,Flight Attendant
CA00000397,FLT0000100,CRW002360,Captain
CA00000398,FLT0000100,CRW002388,First Officer
CA00000399,FLT0000100,CRW001751,Flight Attendant
CA00000400,FLT0000100,CRW000451,Flight Attendant
CA00000401,FLT0000101,CRW000211,Captain
CA00000402,FLT0000101,CRW000138,First Officer
CA00000403,FLT0000101,CRW000659,Flight Attendant
CA00000404,FLT0000101,CRW001090,Flight Attendant
CA00000405,FLT0000102,CRW001544,Captain
CA00000406,FLT0000102,CRW001720,First Officer
CA00000407,FLT0000102,CRW000973,Flight Attendant
CA00000408,FLT0000102,CRW001022,Flight Attendant
CA00000409,FLT0000103,CRW000382,Captain
CA00000410,FLT0000103,CRW000210,First Officer
CA00000411,FLT0000103,CRW002266,Flight Attendant
CA00000412,FLT0000103,CRW002104,Flight Attendant
CA00000413,FLT0000104,CRW000216,Captain
CA00000414,FLT0000104,CRW001870,First Officer
CA00000415,FLT0000104,CRW000969,Flight Attendant
CA00000416,FLT0000104,CRW000025,Flight Attendant
CA00000417,FLT0000105,CRW000206,Captain
CA00000418,FLT0000105,CRW001531,First Officer
CA00000419,FLT0000105,CRW001999,Flight Attendant
CA00000420,FLT0000105,CRW000339,Flight Attendant
CA00000421,FLT0000106,CRW000081,Captain
CA00000422,FLT0000106,CRW001673,First Officer
CA00000423,FLT0000106,CRW001402,Flight Attendant
CA00000424,FLT0000106,CRW001024,Flight Attendant
CA00000425,FLT0000107,CRW002109,Captain
CA00000426,FLT0000107,CRW000779,First Officer
CA00000427,FLT0000107,CRW001490,Flight Attendant
CA00000428,FLT0000107,CRW000326,Flight Attendant
CA00000429,FLT0000108,CRW000068,Captain
CA00000430,FLT0000108,CRW001889,First Officer
CA00000431,FLT0000108,CRW001312,Flight Attendant
CA00000432,FLT0000108,CRW000070,Flight Attendant
CA00000433,FLT0000109,CRW002116,Captain
CA00000434,FLT0000109,CRW001548,First Officer
CA00000435,FLT0000109,CRW001204,Flight Attendant
CA00000436,FLT0000109,CRW001311,Flight Attendant
CA00000437,FLT0000110,CRW000113,Captain
CA00000438,FLT0000110,CRW001780,First Officer
CA00000439,FLT0000110,CRW000912,Flight Attendant
CA00000440,FLT0000110,CRW000394,Flight Attendant
CA00000441,FLT0000111,CRW001001,Captain
CA00000442,FLT0000111,CRW001212,First Officer
CA00000443,FLT0000111,CRW001109,Flight Attendant
CA00000444,FLT0000111,CRW001550,Flight Attendant
CA00000445,FLT0000112,CRW001666,Captain
CA00000446,FLT0000112,CRW002170,First Officer
CA00000447,FLT0000112,CRW002212,Flight Attendant
CA00000448,FLT0000112,CRW001022,Flight Attendant
CA00000449,FLT0000113,CRW001703,Captain
CA00000450,FLT0000113,CRW002150,First Officer
CA00000451,FLT0000113,CRW001342,Flight Attendant
CA00000452,FLT0000113,CRW000890,Flight Attendant
CA00000453,FLT0000114,CRW001378,Captain
CA00000454,FLT0000114,CRW000138,First Officer
CA00000455,FLT0000114,CRW000734,Flight Attendant
CA00000456,FLT0000114,CRW002463,Flight Attendant
CA00000457,FLT0000115,CRW001844,Captain
CA00000458,FLT0000115,CRW002319,First Officer
CA00000459,FLT0000115,CRW002118,Flight Attendant
CA00000460,FLT0000115,CRW000080,Flight Attendant
CA00000461,FLT0000116,CRW001066,Captain
CA00000462,FLT0000116,CRW000348,First Officer
CA00000463,FLT0000116,CRW000915,Flight Attendant
CA00000464,FLT0000116,CRW000684,Flight Attendant
CA00000465,FLT0000117,CRW000729,Captain
CA00000466,FLT0000117,CRW002447,First Officer
CA00000467,FLT0000117,CRW001131,Flight Attendant
CA00000468,FLT0000117,CRW001291,Flight Attendant
CA00000469,FLT0000118,CRW000120,Captain
CA00000470,FLT0000118,CRW001167,First Officer
CA00000471,FLT0000118,CRW002418,Flight Attendant
CA00000472,FLT0000118,CRW001045,Flight Attendant
CA00000473,FLT0000119,CRW001359,Captain
CA00000474,FLT0000119,CRW001344,First Officer
CA00000475,FLT0000119,CRW001424,Flight Attendant
CA00000476,FLT0000119,CRW001514,Flight Attendant
CA00000477,FLT0000120,CRW000065,Captain
CA00000478,FLT0000120,CRW000241,First Officer
CA00000479,FLT0000120,CRW001085,Flight Attendant
CA00000480,FLT0000120,CRW001028,Flight Attendant
CA00000481,FLT0000121,CRW002362,Captain
CA00000482,FLT0000121,CRW001714,First Officer
CA00000483,FLT0000121,CRW000052,Flight Attendant
CA00000484,FLT0000121,CRW000490,Flight Attendant
CA00000485,FLT0000122,CRW002130,Captain
CA00000486,FLT0000122,CRW002169,First Officer
CA00000487,FLT0000122,CRW000062,Flight Attendant
CA00000488,FLT0000122,CRW001348,Flight Attendant
CA00000489,FLT0000123,CRW001378,Captain
CA00000490,FLT0000123,CRW000647,First Officer
CA00000491,FLT0000123,CRW002497,Flight Attendant
CA00000492,FLT0000123,CRW002144,Flight Attendant
CA00000493,FLT0000124,CRW001290,Captain
CA00000494,FLT0000124,CRW001808,First Officer
CA00000495,FLT0000124,CRW002027,Flight Attendant
CA00000496,FLT0000124,CRW002093,Flight Attendant
CA00000497,FLT0000125,CRW001364,Captain
CA00000498,FLT0000125,CRW002001,First Officer
CA00000499,FLT0000125,CRW000052,Flight Attendant
CA00000500,FLT0000125,CRW001054,Flight Attendant
CA00000501,FLT0000126,CRW000289,Captain
CA00000502,FLT0000126,CRW000105,First Officer
CA00000503,FLT0000126,CRW000003,Flight Attendant
CA00000504,FLT0000126,CRW000248,Flight Attendant
CA00000505,FLT0000127,CRW001659,Captain
CA00000506,FLT0000127,CRW002138,First Officer
CA00000507,FLT0000127,CRW000465,Flight Attendant
CA00000508,FLT0000127,CRW002020,Flight Attendant
CA00000509,FLT0000128,CRW002227,Captain
CA00000510,FLT0000128,CRW000348,First Officer
CA00000511,FLT0000128,CRW000253,Flight Attendant
CA00000512,FLT0000128,CRW002112,Flight Attendant
CA00000513,FLT0000129,CRW000093,Captain
CA00000514,FLT0000129,CRW002327,First Officer
CA00000515,FLT0000129,CRW001846,Flight Attendant
CA00000516,FLT0000129,CRW000491,Flight Attendant
CA00000517,FLT0000130,CRW001715,Captain
CA00000518,FLT0000130,CRW000162,First Officer
CA00000519,FLT0000130,CRW002127,Flight Attendant
CA00000520,FLT0000130,CRW002296,Flight Attendant
CA00000521,FLT0000131,CRW001477,Captain
CA00000522,FLT0000131,CRW001673,First Officer
CA00000523,FLT0000131,CRW002286,Flight Attendant
CA00000524,FLT0000131,CRW001197,Flight Attendant
CA00000525,FLT0000132,CRW001727,Captain
CA00000526,FLT0000132,CRW001722,First Officer
CA00000527,FLT0000132,CRW000014,Flight Attendant
CA00000528,FLT0000132,CRW001476,Flight Attendant
CA00000529,FLT0000133,CRW000837,Captain
CA00000530,FLT0000133,CRW001671,First Officer
CA00000531,FLT0000133,CRW000615,Flight Attendant
CA00000532,FLT0000133,CRW001238,Flight Attendant
CA00000533,FLT0000134,CRW001359,Captain
CA00000534,FLT0000134,CRW001253,First Officer
CA00000535,FLT0000134,CRW001396,Flight Attendant
CA00000536,FLT0000134,CRW000353,Flight Attendant
CA00000537,FLT0000135,CRW001622,Captain
CA00000538,FLT0000135,CRW001719,First Officer
CA00000539,FLT0000135,CRW001204,Flight Attendant
CA00000540,FLT0000135,CRW000227,Flight Attendant
CA00000541,FLT0000136,CRW002090,Captain
CA00000542,FLT0000136,CRW000788,First Officer
CA00000543,FLT0000136,CRW001089,Flight Attendant
CA00000544,FLT0000136,CRW002247,Flight Attendant
CA00000545,FLT0000137,CRW000639,Captain
CA00000546,FLT0000137,CRW000613,First Officer
CA00000547,FLT0000137,CRW000611,Flight Attendant
CA00000548,FLT0000137,CRW000528,Flight Attendant
CA00000549,FLT0000138,CRW002471,Captain
CA00000550,FLT0000138,CRW000173,First Officer
CA00000551,FLT0000138,CRW001192,Flight Attendant
CA00000552,FLT0000138,CRW001438,Flight Attendant
