flight_id,schedule_id,flight_date,aircraft_id,airline_id,route_id,scheduled_departure_time,scheduled_arrival_time,origin_airport_id,dest_airport_id,status,actual_departure_time,actual_arrival_time,gate_id
FLT0000012,SCH001018,2025-12-11,ACFT00159,AL0003,RT00451,04:00:00,18:28:00,APT00213,APT00151,Arrived,2025-12-11 04:00:00,2025-12-11 18:28:00,GATE00443
FLT0000013,SCH002421,2026-04-04,ACFT00534,AL0010,RT00703,03:00:00,06:09:00,APT00106,APT00067,Arrived,2026-04-04 03:00:00,2026-04-04 06:09:00,
FLT0000014,SCH002375,2026-04-03,ACFT00112,AL0006,RT00003,07:30:00,23:14:00,APT00015,APT00235,Arrived,2026-04-03 07:30:00,2026-04-03 23:14:00,GATE00064
FLT0000015,SCH001791,2026-02-28,ACFT00290,AL0015,RT00074,23:30:00,16:44:00,APT00082,APT00104,Arrived,2026-02-28 23:30:00,2026-03-01 16:44:00,GATE00073
FLT0000016,SCH000567,2026-02-21,ACFT00361,AL0005,RT00473,14:30:00,00:53:00,APT00066,APT00195,Arrived,2026-02-21 14:30:00,2026-02-22 00:53:00,GATE00434
FLT0000017,SCH001135,2025-09-04,ACFT00409,AL0014,RT00199,13:45:00,15:53:00,APT00170,APT00191,Arrived,2025-09-04 13:45:00,2025-09-04 15:53:00,
FLT0000018,SCH000399,2026-03-12,ACFT00130,AL0001,RT00833,15:15:00,05:44:00,APT00205,APT00232,Arrived,2026-03-12 15:15:00,2026-03-13 05:44:00,GATE00180
FLT0000019,SCH000345,2025-10-05,ACFT00583,AL0004,RT00577,11:00:00,15:29:00,APT00115,APT00155,Delayed,2025-10-05 12:15:00,2025-10-05 16:44:00,GATE00045
FLT0000020,SCH002168,2026-01-23,ACFT00004,AL0019,RT00768,02:45:00,18:54:00,APT00150,APT00016,Arrived,2026-01-23 02:45:00,2026-01-23 18:54:00,
FLT0000021,SCH000238,2026-07-01,ACFT00247,AL0002,RT00366,23:15:00,09:12:00,APT00051,APT00083,Arrived,2026-07-01 23:15:00,2026-07-02 09:12:00,GATE00465
FLT0000022,SCH000753,2026-03-11,ACFT00501,AL0012,RT00205,03:15:00,15:19:00,APT00050,APT00018,Arrived,2026-03-11 03:15:00,2026-03-11 15:19:00,GATE00560
FLT0000023,SCH000633,2025-10-05,ACFT00540,AL0015,RT00193,14:15:00,01:22:00,APT00204,APT00080,Arrived,2025-10-05 14:15:00,2025-10-06 01:22:00,
FLT0000024,SCH002369,2026-07-26,ACFT00072,AL0004,RT00367,03:15:00,15:44:00,APT00015,APT00186,Arrived,2026-07-26 03:15:00,2026-07-26 15:44:00,GATE00064
FLT0000025,SCH002078,2026-08-10,ACFT00503,AL0013,RT00020,12:00:00,02:59:00,APT00128,APT00156,Scheduled,,,GATE00479
FLT0000026,SCH001455,2026-03-07,ACFT00174,AL0002,RT00268,00:15:00,01:45:00,APT00196,APT00030,Arrived,2026-03-07 00:15:00,2026-03-07 01:45:00,GATE00430
FLT0000027,SCH000518,2026-06-07,ACFT00377,AL0007,RT00242,11:45:00,17:08:00,APT00222,APT00058,Arrived,2026-06-07 11:45:00,2026-06-07 17:08:00,GATE00500
FLT0000028,SCH002253,2026-04-24,ACFT00167,AL0002,RT00227,14:45:00,04:41:00,APT00250,APT00010,Delayed,2026-04-24 16:01:00,2026-04-25 05:57:00,GATE00079
FLT0000029,SCH001265,2025-12-17,ACFT00027,AL0012,RT00010,21:45:00,08:35:00,APT00036,APT00144,Arrived,2025-12-17 21:45:00,2025-12-18 08:35:00,GATE00189
FLT0000030,SCH001651,2025-12-09,ACFT00179,AL0004,RT00307,06:30:00,23:19:00,APT00168,APT00067,Arrived,2025-12-09 06:30:00,2025-12-09 23:19:00,GATE00526
FLT0000031,SCH002340,2026-03-08,ACFT00194,AL0006,RT00852,17:45:00,22:10:00,APT00019,APT00230,Arrived,2026-03-08 17:45:00,2026-03-08 22:10:00,
FLT0000032,SCH001984,2025-09-02,ACFT00248,AL0018,RT00337,03:30:00,06:45:00,APT00078,APT00202,Arrived,2025-09-02 03:30:00,2025-09-02 06:45:00,GATE00486
FLT0000033,SCH001473,2026-05-30,ACFT00475,AL0016,RT00200,00:15:00,16:06:00,APT00040,APT00160,Arrived,2026-05-30 00:15:00,2026-05-30 16:06:00,GATE00433
FLT0000034,SCH002002,2026-07-16,ACFT00505,AL0016,RT00276,05:30:00,16:00:00,APT00183,APT00191,Arrived,2026-07-16 05:30:00,2026-07-16 16:00:00,GATE00176
FLT0000035,SCH000939,2026-06-14,ACFT00043,AL0004,RT00790,16:15:00,20:27:00,APT00178,APT00113,Arrived,2026-06-14 16:15:00,2026-06-14 20:27:00,GATE00058
FLT0000036,SCH001988,2026-07-23,ACFT00002,AL0016,RT00478,13:00:00,16:12:00,APT00142,APT00021,Arrived,2026-07-23 13:00:00,2026-07-23 16:12:00,GATE00279
FLT0000037,SCH001053,2025-08-02,ACFT00530,AL0013,RT00750,22:45:00,13:49:00,APT00071,APT00246,Arrived,2025-08-02 22:45:00,2025-08-03 13:49:00,GATE00587
FLT0000038,SCH001533,2026-05-06,ACFT00198,AL0003,RT00188,00:15:00,02:47:00,APT00148,APT00158,Arrived,2026-05-06 00:15:00,2026-05-06 02:47:00,GATE00250
FLT0000039,SCH001623,2026-07-31,ACFT00163,AL0014,RT00870,02:30:00,12:29:00,APT00201,APT00019,Arrived,2026-07-31 02:30:00,2026-07-31 12:29:00,GATE00120
FLT0000040,SCH001121,2025-12-23,ACFT00393,AL0007,RT00732,00:30:00,09:41:00,APT00022,APT00074,Arrived,2025-12-23 00:30:00,2025-12-23 09:41:00,GATE00516
FLT0000041,SCH000765,2026-06-05,ACFT00144,AL0008,RT00359,13:45:00,21:48:00,APT00005,APT00040,Arrived,2026-06-05 13:45:00,2026-06-05 21:48:00,
FLT0000042,SCH002453,2026-04-30,ACFT00523,AL0001,RT00725,17:15:00,01:10:00,APT00031,APT00205,Arrived,2026-04-30 17:15:00,2026-05-01 01:10:00,GATE00208
FLT0000043,SCH000868,2025-12-16,ACFT00320,AL0007,RT00066,23:30:00,04:42:00,APT00206,APT00061,Arrived,2025-12-16 23:30:00,2025-12-17 04:42:00,GATE00003
FLT0000044,SCH000928,2026-02-11,ACFT00467,AL0013,RT00599,02:00:00,06:37:00,APT00170,APT00173,Arrived,2026-02-11 02:00:00,2026-02-11 06:37:00,
FLT0000045,SCH002002,2025-11-22,ACFT00275,AL0016,RT00276,05:30:00,16:00:00,APT00183,APT00191,Arrived,2025-11-22 05:30:00,2025-11-22 16:00:00,GATE00176
FLT0000046,SCH002031,2026-01-06,ACFT00599,AL0010,RT00005,20:15:00,09:11:00,APT00236,APT00215,Arrived,2026-01-06 20:15:00,2026-01-07 09:11:00,GATE00577
FLT0000047,SCH000930,2026-01-16,ACFT00448,AL0007,RT00252,16:30:00,17:46:00,APT00204,APT00105,Arrived,2026-01-16 16:30:00,2026-01-16 17:46:00,
FLT0000048,SCH001327,2026-01-20,ACFT00362,AL0015,RT00372,16:30:00,17:14:00,APT00053,APT00180,Arrived,2026-01-20 16:30:00,2026-01-20 17:14:00,GATE00489
FLT0000049,SCH001888,2025-11-04,ACFT00013,AL0010,RT00734,01:45:00,14:46:00,APT00159,APT00176,Arrived,2025-11-04 01:45:00,2025-11-04 14:46:00,GATE00414
FLT0000050,SCH002447,2026-04-16,ACFT00065,AL0020,RT00099,22:15:00,00:53:00,APT00066,APT00235,Arrived,2026-04-16 22:15:00,2026-04-17 00:53:00,GATE00434
FLT0000051,SCH000221,2025-10-24,ACFT00163,AL0014,RT00695,05:15:00,06:50:00,APT00120,APT00174,Cancelled,,,
FLT0000052,SCH001245,2026-06-10,ACFT00138,AL0002,RT00738,02:30:00,08:52:00,APT00032,APT00115,Delayed,2026-06-10 06:11:00,2026-06-10 12:33:00,GATE00055
FLT0000053,SCH002110,2026-06-25,ACFT00450,AL0010,RT00585,15:30:00,17:53:00,APT00185,APT00125,Arrived,2026-06-25 15:30:00,2026-06-25 17:53:00,GATE00081
FLT0000054,SCH002126,2026-06-17,ACFT00133,AL0018,RT00043,23:00:00,10:52:00,APT00236,APT00167,Arrived,2026-06-17 23:00:00,2026-06-18 10:52:00,GATE00577
FLT0000055,SCH002087,2026-03-11,ACFT00021,AL0008,RT00036,12:30:00,21:32:00,APT00096,APT00075,Arrived,2026-03-11 12:30:00,2026-03-11 21:32:00,GATE00308
FLT0000056,SCH001147,2025-12-16,ACFT00026,AL0001,RT00571,00:45:00,03:19:00,APT00214,APT00250,Cancelled,,,
FLT0000057,SCH000757,2026-02-21,ACFT00147,AL0004,RT00138,18:30:00,10:10:00,APT00127,APT00136,Arrived,2026-02-21 18:30:00,2026-02-22 10:10:00,GATE00315
FLT0000058,SCH001913,2026-06-19,ACFT00418,AL0002,RT00718,00:15:00,09:07:00,APT00094,APT00244,Arrived,2026-06-19 00:15:00,2026-06-19 09:07:00,GATE00017
FLT0000059,SCH000320,2026-01-24,ACFT00253,AL0001,RT00470,10:30:00,16:00:00,APT00031,APT00176,Arrived,2026-01-24 10:30:00,2026-01-24 16:00:00,GATE00208
FLT0000060,SCH000319,2026-07-09,ACFT00072,AL0004,RT00332,15:45:00,06:33:00,APT00183,APT00240,Arrived,2026-07-09 15:45:00,2026-07-10 06:33:00,GATE00360
FLT0000061,SCH000690,2026-02-02,ACFT00019,AL0011,RT00146,03:30:00,04:45:00,APT00188,APT00004,Arrived,2026-02-02 03:30:00,2026-02-02 04:45:00,
FLT0000062,SCH000724,2025-10-29,ACFT00251,AL0020,RT00439,04:45:00,22:06:00,APT00216,APT00160,Arrived,2025-10-29 04:45:00,2025-10-29 22:06:00,GATE00324
FLT0000063,SCH000630,2025-09-25,ACFT00162,AL0009,RT00832,05:00:00,22:07:00,APT00063,APT00046,Arrived,2025-09-25 05:00:00,2025-09-25 22:07:00,GATE00535
FLT0000064,SCH001734,2025-09-01,ACFT00536,AL0011,RT00141,01:45:00,14:41:00,APT00082,APT00033,Arrived,2025-09-01 01:45:00,2025-09-01 14:41:00,GATE00139
FLT0000065,SCH000558,2026-03-30,ACFT00278,AL0015,RT00786,04:30:00,18:12:00,APT00089,APT00086,Arrived,2026-03-30 04:30:00,2026-03-30 18:12:00,GATE00205
FLT0000066,SCH000736,2026-07-26,ACFT00231,AL0011,RT00460,20:15:00,05:58:00,APT00026,APT00007,Arrived,2026-07-26 20:15:00,2026-07-27 05:58:00,GATE00071
FLT0000067,SCH002242,2025-12-17,ACFT00183,AL0005,RT00196,10:45:00,01:31:00,APT00218,APT00075,Arrived,2025-12-17 10:45:00,2025-12-18 01:31:00,GATE00352
FLT0000068,SCH000517,2025-10-30,ACFT00083,AL0014,RT00769,21:45:00,01:15:00,APT00215,APT00207,Arrived,2025-10-30 21:45:00,2025-10-31 01:15:00,GATE00259
FLT0000069,SCH001487,2025-10-08,ACFT00248,AL0018,RT00154,08:30:00,16:27:00,APT00222,APT00103,Arrived,2025-10-08 08:30:00,2025-10-08 16:27:00,GATE00500
FLT0000070,SCH001415,2025-10-29,ACFT00373,AL0016,RT00276,16:15:00,02:45:00,APT00183,APT00191,Delayed,2025-10-29 18:41:00,2025-10-30 05:11:00,
FLT0000071,SCH001751,2026-05-08,ACFT00471,AL0018,RT00290,01:15:00,07:22:00,APT00246,APT00089,Arrived,2026-05-08 01:15:00,2026-05-08 07:22:00,GATE00179
FLT0000072,SCH000067,2026-07-16,ACFT00206,AL0017,RT00782,21:30:00,00:33:00,APT00054,APT00148,Arrived,2026-07-16 21:30:00,2026-07-17 00:33:00,
FLT0000073,SCH001828,2026-07-17,ACFT00329,AL0019,RT00189,02:00:00,19:31:00,APT00183,APT00027,Arrived,2026-07-17 02:00:00,2026-07-17 19:31:00,GATE00176
FLT0000074,SCH000011,2025-08-05,ACFT00259,AL0009,RT00542,00:45:00,03:55:00,APT00099,APT00166,Arrived,2025-08-05 00:45:00,2025-08-05 03:55:00,GATE00215
FLT0000075,SCH000672,2025-11-20,ACFT00223,AL0005,RT00487,19:45:00,03:48:00,APT00204,APT00007,Delayed,2025-11-20 20:44:00,2025-11-21 04:47:00,
FLT0000076,SCH001912,2026-05-26,ACFT00048,AL0020,RT00096,07:45:00,12:35:00,APT00159,APT00215,Arrived,2026-05-26 07:45:00,2026-05-26 12:35:00,GATE00414
FLT0000077,SCH001373,2025-11-13,ACFT00447,AL0015,RT00110,20:15:00,10:17:00,APT00190,APT00195,Arrived,2025-11-13 20:15:00,2025-11-14 10:17:00,GATE00008
FLT0000078,SCH002353,2025-12-22,ACFT00082,AL0014,RT00151,05:00:00,17:08:00,APT00108,APT00093,Arrived,2025-12-22 05:00:00,2025-12-22 17:08:00,GATE00248
FLT0000079,SCH002000,2025-09-17,ACFT00092,AL0019,RT00737,18:00:00,08:47:00,APT00024,APT00227,Arrived,2025-09-17 18:00:00,2025-09-18 08:47:00,GATE00151
FLT0000080,SCH000890,2026-02-05,ACFT00333,AL0010,RT00749,20:00:00,04:05:00,APT00113,APT00197,Arrived,2026-02-05 20:00:00,2026-02-06 04:05:00,GATE00114
FLT0000081,SCH000496,2026-07-20,ACFT00222,AL0018,RT00838,07:00:00,22:09:00,APT00190,APT00164,Arrived,2026-07-20 07:00:00,2026-07-20 22:09:00,GATE00150
FLT0000082,SCH002448,2026-04-06,ACFT00103,AL0007,RT00817,03:00:00,06:50:00,APT00111,APT00050,Arrived,2026-04-06 03:00:00,2026-04-06 06:50:00,GATE00314
FLT0000083,SCH000414,2026-03-05,ACFT00170,AL0015,RT00015,18:30:00,19:37:00,APT00027,APT00037,Arrived,2026-03-05 18:30:00,2026-03-05 19:37:00,GATE00254
FLT0000084,SCH000181,2025-11-16,ACFT00040,AL0003,RT00015,01:15:00,02:22:00,APT00027,APT00037,Arrived,2025-11-16 01:15:00,2025-11-16 02:22:00,GATE00254
FLT0000085,SCH002110,2025-08-13,ACFT00022,AL0010,RT00585,15:30:00,17:53:00,APT00185,APT00125,Arrived,2025-08-13 15:30:00,2025-08-13 17:53:00,GATE00146
FLT0000086,SCH001520,2025-09-15,ACFT00125,AL0012,RT00493,13:30:00,01:14:00,APT00049,APT00236,Arrived,2025-09-15 13:30:00,2025-09-16 01:14:00,GATE00501
FLT0000087,SCH001717,2026-07-16,ACFT00124,AL0001,RT00226,00:00:00,14:24:00,APT00027,APT00208,Arrived,2026-07-16 00:00:00,2026-07-16 14:24:00,GATE00254
FLT0000088,SCH001792,2026-02-07,ACFT00592,AL0005,RT00589,09:15:00,21:29:00,APT00093,APT00071,Arrived,2026-02-07 09:15:00,2026-02-07 21:29:00,GATE00142
FLT0000089,SCH001440,2026-04-12,ACFT00557,AL0012,RT00544,21:00:00,23:04:00,APT00221,APT00226,Arrived,2026-04-12 21:00:00,2026-04-12 23:04:00,GATE00524
FLT0000090,SCH002308,2026-07-14,ACFT00166,AL0019,RT00867,20:15:00,09:52:00,APT00131,APT00186,Arrived,2026-07-14 20:15:00,2026-07-15 09:52:00,GATE00305
FLT0000091,SCH001199,2026-03-30,ACFT00297,AL0008,RT00226,17:15:00,07:39:00,APT00027,APT00208,Delayed,2026-03-30 17:47:00,2026-03-31 08:11:00,GATE00254
FLT0000092,SCH000582,2026-01-07,ACFT00567,AL0008,RT00819,10:30:00,00:31:00,APT00131,APT00012,Arrived,2026-01-07 10:30:00,2026-01-08 00:31:00,GATE00305
FLT0000093,SCH000012,2026-07-14,ACFT00133,AL0018,RT00208,07:00:00,11:49:00,APT00050,APT00077,Arrived,2026-07-14 07:00:00,2026-07-14 11:49:00,GATE00560
FLT0000094,SCH000877,2026-04-09,ACFT00158,AL0014,RT00169,06:30:00,23:36:00,APT00023,APT00060,Delayed,2026-04-09 09:14:00,2026-04-10 02:20:00,
FLT0000095,SCH001844,2026-01-18,ACFT00556,AL0010,RT00628,04:00:00,15:58:00,APT00032,APT00038,Arrived,2026-01-18 04:00:00,2026-01-18 15:58:00,GATE00055
FLT0000096,SCH001421,2025-10-02,ACFT00486,AL0006,RT00656,22:45:00,05:27:00,APT00150,APT00020,Cancelled,,,
FLT0000097,SCH001596,2025-11-02,ACFT00524,AL0016,RT00694,07:00:00,16:15:00,APT00240,APT00045,Arrived,2025-11-02 07:00:00,2025-11-02 16:15:00,
FLT0000098,SCH000568,2025-10-03,ACFT00392,AL0013,RT00806,07:00:00,12:01:00,APT00062,APT00061,Arrived,2025-10-03 07:00:00,2025-10-03 12:01:00,GATE00088
FLT0000099,SCH000671,2025-08-21,ACFT00418,AL0002,RT00883,05:15:00,13:53:00,APT00199,APT00229,Arrived,2025-08-21 05:15:00,2025-08-21 13:53:00,GATE00187
FLT0000100,SCH001596,2025-11-11,ACFT00454,AL0016,RT00694,07:00:00,16:15:00,APT00240,APT00045,Arrived,2025-11-11 07:00:00,2025-11-11 16:15:00,GATE00569
FLT0000101,SCH000273,2026-03-28,ACFT00428,AL0003,RT00377,08:30:00,16:13:00,APT00173,APT00032,Arrived,2026-03-28 08:30:00,2026-03-28 16:13:00,GATE00405
FLT0000102,SCH001962,2026-06-01,ACFT00127,AL0008,RT00580,22:00:00,12:51:00,APT00228,APT00196,Arrived,2026-06-01 22:00:00,2026-06-02 12:51:00,GATE00423
FLT0000103,SCH002465,2025-12-18,ACFT00097,AL0020,RT00819,10:45:00,00:46:00,APT00131,APT00012,Arrived,2025-12-18 10:45:00,2025-12-19 00:46:00,GATE00305
FLT0000104,SCH001538,2026-01-11,ACFT00512,AL0005,RT00135,21:15:00,11:39:00,APT00172,APT00215,Arrived,2026-01-11 21:15:00,2026-01-12 11:39:00,GATE00096
FLT0000105,SCH001814,2026-06-17,ACFT00335,AL0019,RT00089,01:15:00,03:00:00,APT00125,APT00142,Arrived,2026-06-17 01:15:00,2026-06-17 03:00:00,GATE00341
FLT0000106,SCH000586,2025-08-03,ACFT00492,AL0013,RT00326,08:00:00,13:00:00,APT00015,APT00215,Cancelled,,,
FLT0000107,SCH000474,2026-06-05,ACFT00558,AL0004,RT00745,03:30:00,09:00:00,APT00012,APT00006,Arrived,2026-06-05 03:30:00,2026-06-05 09:00:00,GATE00508
FLT0000108,SCH000236,2026-05-24,ACFT00282,AL0011,RT00590,09:00:00,14:16:00,APT00066,APT00124,Arrived,2026-05-24 09:00:00,2026-05-24 14:16:00,GATE00434
FLT0000109,SCH000867,2025-10-02,ACFT00300,AL0010,RT00649,09:00:00,01:27:00,APT00165,APT00110,Arrived,2025-10-02 09:00:00,2025-10-03 01:27:00,GATE00105
FLT0000110,SCH000314,2026-01-15,ACFT00456,AL0006,RT00132,17:45:00,21:28:00,APT00046,APT00207,Arrived,2026-01-15 17:45:00,2026-01-15 21:28:00,GATE00201
FLT0000111,SCH001455,2025-08-04,ACFT00451,AL0002,RT00268,00:15:00,01:45:00,APT00196,APT00030,Arrived,2025-08-04 00:15:00,2025-08-04 01:45:00,GATE00482
FLT0000112,SCH002109,2025-08-13,ACFT00124,AL0001,RT00782,08:45:00,11:48:00,APT00054,APT00148,Arrived,2025-08-13 08:45:00,2025-08-13 11:48:00,
FLT0000113,SCH000548,2025-10-18,ACFT00230,AL0018,RT00333,21:45:00,08:02:00,APT00068,APT00128,Arrived,2025-10-18 21:45:00,2025-10-19 08:02:00,GATE00244
FLT0000114,SCH000557,2026-04-12,ACFT00049,AL0014,RT00009,18:00:00,07:26:00,APT00049,APT00065,Arrived,2026-04-12 18:00:00,2026-04-13 07:26:00,GATE00501
FLT0000115,SCH000856,2025-08-31,ACFT00253,AL0001,RT00711,18:00:00,01:15:00,APT00246,APT00031,Arrived,2025-08-31 18:00:00,2025-09-01 01:15:00,GATE00179
FLT0000116,SCH001996,2025-11-03,ACFT00485,AL0005,RT00709,22:30:00,15:04:00,APT00134,APT00104,Arrived,2025-11-03 22:30:00,2025-11-04 15:04:00,
FLT0000117,SCH002389,2025-10-16,ACFT00280,AL0014,RT00239,01:00:00,03:57:00,APT00245,APT00083,Arrived,2025-10-16 01:00:00,2025-10-16 03:57:00,GATE00060
FLT0000118,SCH002170,2025-12-03,ACFT00268,AL0012,RT00535,05:15:00,06:33:00,APT00151,APT00208,Arrived,2025-12-03 05:15:00,2025-12-03 06:33:00,GATE00575
FLT0000119,SCH000951,2026-01-21,ACFT00280,AL0014,RT00081,18:30:00,04:27:00,APT00209,APT00035,Arrived,2026-01-21 18:30:00,2026-01-22 04:27:00,GATE00343
FLT0000120,SCH001849,2026-06-20,ACFT00594,AL0019,RT00757,06:30:00,07:39:00,APT00227,APT00082,Arrived,2026-06-20 06:30:00,2026-06-20 07:39:00,GATE00348
FLT0000121,SCH002303,2025-08-09,ACFT00214,AL0013,RT00207,14:00:00,15:01:00,APT00069,APT00146,Arrived,2025-08-09 14:00:00,2025-08-09 15:01:00,GATE00143
FLT0000122,SCH001295,2025-11-29,ACFT00231,AL0011,RT00137,09:15:00,00:46:00,APT00250,APT00070,Arrived,2025-11-29 09:15:00,2025-11-30 00:46:00,GATE00079
FLT0000123,SCH002173,2026-07-21,ACFT00596,AL0011,RT00465,23:15:00,09:00:00,APT00087,APT00036,Arrived,2026-07-21 23:15:00,2026-07-22 09:00:00,GATE00337
FLT0000124,SCH001302,2025-10-08,ACFT00142,AL0015,RT00217,17:15:00,00:16:00,APT00145,APT00165,Arrived,2025-10-08 17:15:00,2025-10-09 00:16:00,GATE00238
FLT0000125,SCH001563,2026-02-12,ACFT00131,AL0005,RT00792,18:30:00,03:32:00,APT00177,APT00168,Arrived,2026-02-12 18:30:00,2026-02-13 03:32:00,GATE00310
FLT0000126,SCH001377,2025-09-19,ACFT00369,AL0009,RT00275,03:15:00,16:31:00,APT00135,APT00168,Arrived,2025-09-19 03:15:00,2025-09-19 16:31:00,GATE00417
FLT0000127,SCH000828,2026-06-06,ACFT00437,AL0009,RT00734,03:30:00,16:31:00,APT00159,APT00176,Arrived,2026-06-06 03:30:00,2026-06-06 16:31:00,GATE00414
FLT0000128,SCH001623,2026-05-30,ACFT00082,AL0014,RT00870,02:30:00,12:29:00,APT00201,APT00019,Arrived,2026-05-30 02:30:00,2026-05-30 12:29:00,GATE00120
FLT0000129,SCH002394,2026-07-30,ACFT00341,AL0010,RT00491,07:30:00,09:35:00,APT00151,APT00174,Arrived,2026-07-30 07:30:00,2026-07-30 09:35:00,GATE00575
FLT0000130,SCH000541,2026-01-27,ACFT00182,AL0010,RT00647,12:45:00,17:50:00,APT00107,APT00108,Arrived,2026-01-27 12:45:00,2026-01-27 17:50:00,GATE00024
FLT0000131,SCH000608,2026-01-21,ACFT00412,AL0007,RT00458,17:45:00,02:30:00,APT00209,APT00154,Arrived,2026-01-21 17:45:00,2026-01-22 02:30:00,GATE00343
FLT0000132,SCH002344,2026-05-30,ACFT00569,AL0011,RT00703,09:30:00,12:39:00,APT00106,APT00067,Arrived,2026-05-30 09:30:00,2026-05-30 12:39:00,
FLT0000133,SCH000893,2026-08-06,ACFT00348,AL0001,RT00825,11:00:00,01:21:00,APT00203,APT00218,Scheduled,,,GATE00056
FLT0000134,SCH001210,2026-07-21,ACFT00222,AL0018,RT00813,00:00:00,11:27:00,APT00091,APT00108,Arrived,2026-07-21 00:00:00,2026-07-21 11:27:00,GATE00531
FLT0000135,SCH002398,2026-01-01,ACFT00444,AL0015,RT00742,07:00:00,09:44:00,APT00171,APT00159,Arrived,2026-01-01 07:00:00,2026-01-01 09:44:00,
FLT0000136,SCH001216,2026-03-08,ACFT00297,AL0008,RT00819,00:30:00,14:31:00,APT00131,APT00012,Arrived,2026-03-08 00:30:00,2026-03-08 14:31:00,GATE00289
FLT0000137,SCH000458,2026-06-22,ACFT00448,AL0007,RT00177,02:45:00,20:25:00,APT00089,APT00005,Arrived,2026-06-22 02:45:00,2026-06-22 20:25:00,GATE00205
FLT0000138,SCH002479,2025-12-29,ACFT00182,AL0010,RT00075,23:15:00,09:53:00,APT00200,APT00105,Arrived,2025-12-29 23:15:00,2025-12-30 09:53:00,GATE00512
FLT0000139,SCH000130,2026-06-17,ACFT00523,AL0001,RT00130,19:45:00,21:01:00,APT00127,APT00083,Arrived,2026-06-17 19:45:00,2026-06-17 21:01:00,GATE00315
FLT0000140,SCH002331,2025-09-21,ACFT00523,AL0001,RT00157,14:15:00,16:04:00,APT00118,APT00004,Arrived,2025-09-21 14:15:00,2025-09-21 16:04:00,GATE00561
FLT0000141,SCH000320,2026-04-18,ACFT00376,AL0001,RT00470,10:30:00,16:00:00,APT00031,APT00176,Arrived,2026-04-18 10:30:00,2026-04-18 16:00:00,GATE00208
FLT0000142,SCH001272,2026-05-23,ACFT00574,AL0012,RT00111,21:00:00,04:51:00,APT00093,APT00060,Delayed,2026-05-23 22:30:00,2026-05-24 06:21:00,GATE00142
FLT0000143,SCH001379,2025-09-09,ACFT00548,AL0019,RT00545,07:15:00,09:04:00,APT00104,APT00237,Arrived,2025-09-09 07:15:00,2025-09-09 09:04:00,GATE00103
FLT0000144,SCH000645,2026-04-13,ACFT00414,AL0004,RT00020,06:15:00,21:14:00,APT00128,APT00156,Cancelled,,,
FLT0000145,SCH001098,2026-08-08,ACFT00257,AL0013,RT00437,13:00:00,16:46:00,APT00168,APT00053,Scheduled,,,GATE00526
FLT0000146,SCH001312,2026-01-22,ACFT00494,AL0013,RT00770,15:30:00,19:59:00,APT00234,APT00116,Arrived,2026-01-22 15:30:00,2026-01-22 19:59:00,GATE00276
FLT0000147,SCH001668,2026-05-15,ACFT00523,AL0001,RT00274,08:45:00,17:46:00,APT00023,APT00136,Arrived,2026-05-15 08:45:00,2026-05-15 17:46:00,GATE00241
