fuel_id,flight_id,aircraft_id,fuel_liters,fuel_cost
FUEL0000048,FLT0000048,ACFT00362,1507.3,1143.64
FUEL0000049,FLT0000049,ACFT00013,34281.5,26252.25
FUEL0000050,FLT0000050,ACFT00065,6914.4,7391.35
FUEL0000051,FLT0000051,ACFT00163,3303.5,3541.74
FUEL0000052,FLT0000052,ACFT00138,17658.9,16112.05
FUEL0000053,FLT0000053,ACFT00450,5001.0,5264.52
FUEL0000054,FLT0000054,ACFT00133,37910.5,33165.0
FUEL0000055,FLT0000055,ACFT00021,28956.6,28278.44
FUEL0000056,FLT0000056,ACFT00026,5661.5,5269.03
FUEL0000057,FLT0000057,ACFT00147,37949.2,35599.26
FUEL0000058,FLT0000058,ACFT00418,26688.7,25428.75
FUEL0000059,FLT0000059,ACFT00253,14746.6,14829.98
FUEL0000060,FLT0000060,ACFT00072,37125.9,29797.19
FUEL0000061,FLT0000061,ACFT00019,1915.8,1822.06
FUEL0000062,FLT0000062,ACFT00251,55159.3,60286.98
FUEL0000063,FLT0000063,ACFT00162,40191.4,30417.45
FUEL0000064,FLT0000064,ACFT00536,40291.5,42682.44
FUEL0000065,FLT0000065,ACFT00278,43965.4,44999.45
FUEL0000066,FLT0000066,ACFT00231,25936.6,21292.2
FUEL0000067,FLT0000067,ACFT00183,35900.1,27043.08
FUEL0000068,FLT0000068,ACFT00083,10160.8,7790.68
FUEL0000069,FLT0000069,ACFT00248,24187.4,20497.79
FUEL0000070,FLT0000070,ACFT00373,27473.1,24648.17
FUEL0000071,FLT0000071,ACFT00471,15546.6,12191.52
FUEL0000072,FLT0000072,ACFT00206,7945.5,6168.29
FUEL0000073,FLT0000073,ACFT00329,49658.9,43029.69
FUEL0000074,FLT0000074,ACFT00259,7518.9,7246.31
FUEL0000075,FLT0000075,ACFT00223,25232.8,25005.08
FUEL0000076,FLT0000076,ACFT00048,14466.4,11573.68
FUEL0000077,FLT0000077,ACFT00447,43792.7,47737.03
FUEL0000078,FLT0000078,ACFT00082,29203.4,24750.35
FUEL0000079,FLT0000079,ACFT00092,44382.5,46259.57
FUEL0000080,FLT0000080,ACFT00333,19853.6,16222.86
FUEL0000081,FLT0000081,ACFT00222,44904.2,45131.9
FUEL0000082,FLT0000082,ACFT00103,10896.9,11159.23
FUEL0000083,FLT0000083,ACFT00170,1985.8,1791.63
FUEL0000084,FLT0000084,ACFT00040,2020.0,2032.1
FUEL0000085,FLT0000085,ACFT00022,4439.3,4165.49
FUEL0000086,FLT0000086,ACFT00125,30031.3,30564.94
FUEL0000087,FLT0000087,ACFT00124,41177.8,43517.79
FUEL0000088,FLT0000088,ACFT00592,29168.6,22581.83
FUEL0000089,FLT0000089,ACFT00557,5883.4,5688.52
FUEL0000090,FLT0000090,ACFT00166,36886.0,28700.97
FUEL0000091,FLT0000091,ACFT00297,41014.0,37564.11
FUEL0000092,FLT0000092,ACFT00567,38592.2,41867.23
FUEL0000093,FLT0000093,ACFT00133,11373.9,9143.07
FUEL0000094,FLT0000094,ACFT00158,50124.6,46975.43
FUEL0000095,FLT0000095,ACFT00556,36075.7,30003.22
FUEL0000096,FLT0000096,ACFT00486,20449.4,17031.86
FUEL0000097,FLT0000097,ACFT00524,26159.0,22003.65
FUEL0000098,FLT0000098,ACFT00392,13034.0,10313.84
FUEL0000099,FLT0000099,ACFT00418,26855.1,20759.06
FUEL0000100,FLT0000100,ACFT00454,26365.8,20271.67
FUEL0000101,FLT0000101,ACFT00428,19477.2,18379.73
FUEL0000102,FLT0000102,ACFT00127,47296.8,46049.63
FUEL0000103,FLT0000103,ACFT00097,36498.5,36264.2
FUEL0000104,FLT0000104,ACFT00512,45530.9,44091.52
FUEL0000105,FLT0000105,ACFT00335,3872.9,3403.19
FUEL0000106,FLT0000106,ACFT00492,13413.7,14751.54
FUEL0000107,FLT0000107,ACFT00558,14221.8,14615.17
FUEL0000108,FLT0000108,ACFT00282,15095.3,13351.34
FUEL0000109,FLT0000109,ACFT00300,43698.1,36759.72
FUEL0000110,FLT0000110,ACFT00456,10778.8,11827.66
FUEL0000111,FLT0000111,ACFT00451,3507.9,2911.15
FUEL0000112,FLT0000112,ACFT00124,7846.1,8230.18
FUEL0000113,FLT0000113,ACFT00230,24250.1,18852.99
FUEL0000114,FLT0000114,ACFT00049,32731.1,27946.81
FUEL0000115,FLT0000115,ACFT00253,20525.6,15631.42
FUEL0000116,FLT0000116,ACFT00485,42740.8,46545.83
FUEL0000117,FLT0000117,ACFT00280,7911.6,8551.41
FUEL0000118,FLT0000118,ACFT00268,2816.0,2491.3
FUEL0000119,FLT0000119,ACFT00280,28349.8,28992.27
FUEL0000120,FLT0000120,ACFT00594,2070.1,2093.54
FUEL0000121,FLT0000121,ACFT00214,2326.3,2448.29
FUEL0000122,FLT0000122,ACFT00231,50505.1,54184.97
FUEL0000123,FLT0000123,ACFT00596,29841.3,27900.14
FUEL0000124,FLT0000124,ACFT00142,19301.0,20239.96
FUEL0000125,FLT0000125,ACFT00131,21309.6,18600.95
FUEL0000126,FLT0000126,ACFT00369,34210.7,35557.82
FUEL0000127,FLT0000127,ACFT00437,37667.9,31929.85
FUEL0000128,FLT0000128,ACFT00082,28522.1,29848.89
FUEL0000129,FLT0000129,ACFT00341,4527.9,4463.8
FUEL0000130,FLT0000130,ACFT00182,12287.8,10645.15
FUEL0000131,FLT0000131,ACFT00412,20901.2,20041.24
FUEL0000132,FLT0000132,ACFT00569,8430.0,6583.96
FUEL0000133,FLT0000133,ACFT00348,46935.6,46227.24
FUEL0000134,FLT0000134,ACFT00222,36051.4,28671.11
FUEL0000135,FLT0000135,ACFT00444,7132.3,7188.53
FUEL0000136,FLT0000136,ACFT00297,36333.2,34514.29
FUEL0000137,FLT0000137,ACFT00448,53617.3,55979.81
FUEL0000138,FLT0000138,ACFT00182,30349.4,27502.45
FUEL0000139,FLT0000139,ACFT00523,2272.2,1730.12
FUEL0000140,FLT0000140,ACFT00523,3742.5,3831.19
FUEL0000141,FLT0000141,ACFT00376,14412.0,14523.84
FUEL0000142,FLT0000142,ACFT00574,20880.4,15956.83
FUEL0000143,FLT0000143,ACFT00548,4422.3,4722.96
FUEL0000144,FLT0000144,ACFT00414,36605.0,33398.63
FUEL0000145,FLT0000145,ACFT00257,10295.9,8550.38
FUEL0000146,FLT0000146,ACFT00494,10138.2,8595.32
FUEL0000147,FLT0000147,ACFT00523,27796.9,23137.08
FUEL0000148,FLT0000148,ACFT00570,3835.5,3586.07
FUEL0000149,FLT0000149,ACFT00473,24286.5,21932.64
FUEL0000150,FLT0000150,ACFT00069,47641.5,41642.01
FUEL0000151,FLT0000151,ACFT00279,10157.6,8141.48
FUEL0000152,FLT0000152,ACFT00201,2003.4,1695.13
FUEL0000153,FLT0000153,ACFT00473,15341.4,15263.27
FUEL0000154,FLT0000154,ACFT00084,41116.0,34167.81
FUEL0000155,FLT0000155,ACFT00384,17455.8,13723.08
FUEL0000156,FLT0000156,ACFT00560,12066.3,9807.14
FUEL0000157,FLT0000157,ACFT00202,19431.3,17099.69
FUEL0000158,FLT0000158,ACFT00530,11334.9,11713.94
FUEL0000159,FLT0000159,ACFT00587,28736.7,31205.46
FUEL0000160,FLT0000160,ACFT00250,41049.2,41913.88
FUEL0000161,FLT0000161,ACFT00502,12605.8,10710.74
FUEL0000162,FLT0000162,ACFT00253,14834.5,15660.41
FUEL0000163,FLT0000163,ACFT00462,13352.1,11122.3
FUEL0000164,FLT0000164,ACFT00027,10616.9,10561.68
FUEL0000165,FLT0000165,ACFT00407,27078.9,21644.9
FUEL0000166,FLT0000166,ACFT00522,21224.4,19196.83
FUEL0000167,FLT0000167,ACFT00405,26423.5,24931.43
FUEL0000168,FLT0000168,ACFT00405,1947.4,1874.3
FUEL0000169,FLT0000169,ACFT00171,6507.4,5824.55
FUEL0000170,FLT0000170,ACFT00167,17202.5,14492.06
FUEL0000171,FLT0000171,ACFT00085,39517.5,33221.34
FUEL0000172,FLT0000172,ACFT00464,26743.5,24682.65
FUEL0000173,FLT0000173,ACFT00504,7851.4,7439.64
FUEL0000174,FLT0000174,ACFT00349,7529.6,7916.99
FUEL0000175,FLT0000175,ACFT00012,33873.9,25977.15
FUEL0000176,FLT0000176,ACFT00125,37527.6,33980.3
FUEL0000177,FLT0000177,ACFT00544,38118.3,30952.54
FUEL0000178,FLT0000178,ACFT00463,19460.7,17012.82
FUEL0000179,FLT0000179,ACFT00042,35256.5,37971.0
FUEL0000180,FLT0000180,ACFT00291,10196.4,8394.93
FUEL0000181,FLT0000181,ACFT00431,39414.4,39394.11
FUEL0000182,FLT0000182,ACFT00346,48633.4,37408.12
FUEL0000183,FLT0000183,ACFT00348,33933.8,32424.5
FUEL0000184,FLT0000184,ACFT00248,20188.2,17646.54
FUEL0000185,FLT0000185,ACFT00458,19050.5,20252.93
FUEL0000186,FLT0000186,ACFT00357,28861.0,26054.25
FUEL0000187,FLT0000187,ACFT00218,22900.7,22441.68
FUEL0000188,FLT0000188,ACFT00448,9297.7,9851.24
FUEL0000189,FLT0000189,ACFT00367,24416.9,24783.3
FUEL0000190,FLT0000190,ACFT00558,41167.7,44584.37
FUEL0000191,FLT0000191,ACFT00167,2105.3,1959.48
FUEL0000192,FLT0000192,ACFT00281,2736.8,2561.71
FUEL0000193,FLT0000193,ACFT00269,5974.0,4900.91
FUEL0000194,FLT0000194,ACFT00290,4844.6,3910.68
FUEL0000195,FLT0000195,ACFT00265,19165.4,17443.3
FUEL0000196,FLT0000196,ACFT00518,8528.8,7986.7
FUEL0000197,FLT0000197,ACFT00387,8089.2,7715.68
FUEL0000198,FLT0000198,ACFT00071,41579.2,31477.49
FUEL0000199,FLT0000199,ACFT00532,36456.4,30947.92
FUEL0000200,FLT0000200,ACFT00020,45291.7,47501.92
FUEL0000201,FLT0000201,ACFT00437,11436.8,9831.53
FUEL0000202,FLT0000202,ACFT00480,47186.8,49824.5
FUEL0000203,FLT0000203,ACFT00111,20006.5,21840.5
FUEL0000204,FLT0000204,ACFT00455,46349.3,40385.89
FUEL0000205,FLT0000205,ACFT00234,55794.5,54622.07
FUEL0000206,FLT0000206,ACFT00263,12433.0,10952.1
FUEL0000207,FLT0000207,ACFT00450,10388.1,10913.52
FUEL0000208,FLT0000208,ACFT00064,31411.7,33486.24
FUEL0000209,FLT0000209,ACFT00476,8907.5,8922.95
FUEL0000210,FLT0000210,ACFT00252,18479.9,15564.77
FUEL0000211,FLT0000211,ACFT00057,11530.4,9384.13
FUEL0000212,FLT0000212,ACFT00297,32607.7,33580.84
FUEL0000213,FLT0000213,ACFT00564,21957.4,19684.85
FUEL0000214,FLT0000214,ACFT00416,34445.7,31575.18
FUEL0000215,FLT0000215,ACFT00289,37593.4,36956.25
FUEL0000216,FLT0000216,ACFT00521,4080.5,3369.62
FUEL0000217,FLT0000217,ACFT00466,31064.9,33207.56
FUEL0000218,FLT0000218,ACFT00020,24023.3,26371.06
FUEL0000219,FLT0000219,ACFT00479,51874.1,46757.95
FUEL0000220,FLT0000220,ACFT00431,1229.4,1127.4
FUEL0000221,FLT0000221,ACFT00372,33005.5,27351.85
FUEL0000222,FLT0000222,ACFT00558,13178.2,12418.72
FUEL0000223,FLT0000223,ACFT00102,27349.9,21312.54
FUEL0000224,FLT0000224,ACFT00154,34528.7,34279.96
FUEL0000225,FLT0000225,ACFT00149,29288.3,28195.9
FUEL0000226,FLT0000226,ACFT00228,21193.2,21785.98
FUEL0000227,FLT0000227,ACFT00465,12692.2,13096.54
FUEL0000228,FLT0000228,ACFT00209,40843.9,39752.16
FUEL0000229,FLT0000229,ACFT00453,48060.4,38067.3
FUEL0000230,FLT0000230,ACFT00108,20043.2,21303.35
FUEL0000231,FLT0000231,ACFT00521,22496.3,18633.54
FUEL0000232,FLT0000232,ACFT00515,52852.3,50362.66
FUEL0000233,FLT0000233,ACFT00347,35465.8,33214.76
FUEL0000234,FLT0000234,ACFT00250,6472.3,7112.74
FUEL0000235,FLT0000235,ACFT00305,40076.5,37524.12
FUEL0000236,FLT0000236,ACFT00510,24501.8,21626.57
FUEL0000237,FLT0000237,ACFT00591,42968.2,35142.11
FUEL0000238,FLT0000238,ACFT00057,29177.5,23523.96
FUEL0000239,FLT0000239,ACFT00406,6411.0,5172.96
FUEL0000240,FLT0000240,ACFT00098,50001.6,44719.11
FUEL0000241,FLT0000241,ACFT00044,2837.3,3016.83
FUEL0000242,FLT0000242,ACFT00288,5109.9,4962.65
FUEL0000243,FLT0000243,ACFT00243,23095.4,24731.06
FUEL0000244,FLT0000244,ACFT00131,5894.9,5710.14
FUEL0000245,FLT0000245,ACFT00103,16570.2,15451.51
FUEL0000246,FLT0000246,ACFT00459,37530.0,41072.92
FUEL0000247,FLT0000247,ACFT00105,26690.8,26400.62
FUEL0000248,FLT0000248,ACFT00403,25544.8,25061.27
FUEL0000249,FLT0000249,ACFT00259,54134.1,46753.86
FUEL0000250,FLT0000250,ACFT00265,29664.9,25368.45
FUEL0000251,FLT0000251,ACFT00074,41214.3,39674.44
FUEL0000252,FLT0000252,ACFT00529,44368.4,43808.65
FUEL0000253,FLT0000253,ACFT00263,33411.9,28032.91
FUEL0000254,FLT0000254,ACFT00508,25929.4,24743.17
FUEL0000255,FLT0000255,ACFT00289,14544.3,15920.07
FUEL0000256,FLT0000256,ACFT00061,10116.5,10401.73
FUEL0000257,FLT0000257,ACFT00227,22606.1,24122.24
FUEL0000258,FLT0000258,ACFT00276,1813.3,1450.98
FUEL0000259,FLT0000259,ACFT00207,2535.0,2267.99
FUEL0000260,FLT0000260,ACFT00411,22710.4,19794.31
FUEL0000261,FLT0000261,ACFT00435,24096.8,19970.94
FUEL0000262,FLT0000262,ACFT00257,16584.0,12823.33
FUEL0000263,FLT0000263,ACFT00587,47558.3,52156.75
FUEL0000264,FLT0000264,ACFT00081,19525.3,18652.78
FUEL0000265,FLT0000265,ACFT00153,21992.5,23180.91
FUEL0000266,FLT0000266,ACFT00291,28982.3,22756.23
FUEL0000267,FLT0000267,ACFT00458,38474.5,30722.37
FUEL0000268,FLT0000268,ACFT00290,33295.4,35980.64
FUEL0000269,FLT0000269,ACFT00358,2638.5,2294.6
FUEL0000270,FLT0000270,ACFT00267,36338.4,37705.91
FUEL0000271,FLT0000271,ACFT00507,17096.7,16525.86
FUEL0000272,FLT0000272,ACFT00285,17773.6,15009.41
FUEL0000273,FLT0000273,ACFT00478,38774.2,32742.34
FUEL0000274,FLT0000274,ACFT00394,2311.2,2170.97
FUEL0000275,FLT0000275,ACFT00562,4665.1,4844.12
FUEL0000276,FLT0000276,ACFT00507,43392.4,38051.73
FUEL0000277,FLT0000277,ACFT00153,42940.5,42278.9
FUEL0000278,FLT0000278,ACFT00142,18342.5,17269.99
FUEL0000279,FLT0000279,ACFT00296,4771.4,4396.06
FUEL0000280,FLT0000280,ACFT00303,24355.8,25245.28
FUEL0000281,FLT0000281,ACFT00131,14499.5,12103.24
FUEL0000282,FLT0000282,ACFT00528,36162.1,34927.33
FUEL0000283,FLT0000283,ACFT00338,37978.9,40348.42
FUEL0000284,FLT0000284,ACFT00519,26626.7,21928.43
FUEL0000285,FLT0000285,ACFT00090,6566.2,6359.5
FUEL0000286,FLT0000286,ACFT00496,33100.6,24885.13
FUEL0000287,FLT0000287,ACFT00495,35387.6,27588.15
FUEL0000288,FLT0000288,ACFT00175,9762.6,7864.14
FUEL0000289,FLT0000289,ACFT00432,43541.6,41497.05
FUEL0000290,FLT0000290,ACFT00542,31532.9,24256.51
FUEL0000291,FLT0000291,ACFT00349,12447.3,12478.05
FUEL0000292,FLT0000292,ACFT00474,53432.0,42468.05
FUEL0000293,FLT0000293,ACFT00210,47549.5,48815.02
FUEL0000294,FLT0000294,ACFT00548,33863.0,28054.26
FUEL0000295,FLT0000295,ACFT00032,17154.0,13967.41
FUEL0000296,FLT0000296,ACFT00059,18919.7,16211.85
FUEL0000297,FLT0000297,ACFT00177,16974.1,13928.65
FUEL0000298,FLT0000298,ACFT00174,21566.2,21709.2
FUEL0000299,FLT0000299,ACFT00511,4681.7,3835.46
FUEL0000300,FLT0000300,ACFT00471,24487.1,23507.81
FUEL0000301,FLT0000301,ACFT00557,12729.4,13486.86
FUEL0000302,FLT0000302,ACFT00531,53944.0,56779.38
FUEL0000303,FLT0000303,ACFT00043,9903.8,7904.31
FUEL0000304,FLT0000304,ACFT00389,33450.2,36065.22
FUEL0000305,FLT0000305,ACFT00305,13338.1,10907.48
FUEL0000306,FLT0000306,ACFT00229,42055.4,37437.87
FUEL0000307,FLT0000307,ACFT00144,38611.4,37003.58
FUEL0000308,FLT0000308,ACFT00340,42928.1,37045.75
FUEL0000309,FLT0000309,ACFT00060,29806.3,31403.49
FUEL0000310,FLT0000310,ACFT00445,9432.2,8677.72
FUEL0000311,FLT0000311,ACFT00571,34000.0,30699.53
FUEL0000312,FLT0000312,ACFT00158,26619.1,20627.65
FUEL0000313,FLT0000313,ACFT00500,9428.6,10128.91
FUEL0000314,FLT0000314,ACFT00427,37693.1,29023.53
FUEL0000315,FLT0000315,ACFT00278,44659.6,41848.08
FUEL0000316,FLT0000316,ACFT00037,12462.1,13445.02
FUEL0000317,FLT0000317,ACFT00117,27648.7,22432.52
FUEL0000318,FLT0000318,ACFT00546,40003.0,31446.02
FUEL0000319,FLT0000319,ACFT00595,40946.6,35589.89
FUEL0000320,FLT0000320,ACFT00133,7923.4,6699.78
FUEL0000321,FLT0000321,ACFT00188,46874.2,47922.36
FUEL0000322,FLT0000322,ACFT00297,30899.7,27364.78
FUEL0000323,FLT0000323,ACFT00068,13023.9,11043.68
FUEL0000324,FLT0000324,ACFT00219,16319.7,17902.81
FUEL0000325,FLT0000325,ACFT00340,46616.7,49364.98
FUEL0000326,FLT0000326,ACFT00567,40164.9,34807.38
FUEL0000327,FLT0000327,ACFT00305,39959.1,43591.6
FUEL0000328,FLT0000328,ACFT00189,45043.2,49056.43
FUEL0000329,FLT0000329,ACFT00331,16312.8,17110.41
FUEL0000330,FLT0000330,ACFT00329,6233.8,5720.89
FUEL0000331,FLT0000331,ACFT00132,38246.8,35109.88
FUEL0000332,FLT0000332,ACFT00515,18504.3,18170.34
FUEL0000333,FLT0000333,ACFT00569,46681.7,37700.19
FUEL0000334,FLT0000334,ACFT00388,6683.2,6854.41
FUEL0000335,FLT0000335,ACFT00187,19011.0,18744.76
FUEL0000336,FLT0000336,ACFT00549,10275.7,8555.41
FUEL0000337,FLT0000337,ACFT00468,29946.9,30497.82
FUEL0000338,FLT0000338,ACFT00004,45544.4,37352.17
FUEL0000339,FLT0000339,ACFT00500,47769.7,40134.75
FUEL0000340,FLT0000340,ACFT00528,17711.1,17793.42
FUEL0000341,FLT0000341,ACFT00529,33204.9,35502.14
FUEL0000342,FLT0000342,ACFT00478,38214.6,41197.53
FUEL0000343,FLT0000343,ACFT00007,40964.0,31536.91
FUEL0000344,FLT0000344,ACFT00544,37403.2,37211.41
FUEL0000345,FLT0000345,ACFT00449,43538.5,42071.98
FUEL0000346,FLT0000346,ACFT00550,10228.6,9523.39
FUEL0000347,FLT0000347,ACFT00120,21557.9,20126.98
FUEL0000348,FLT0000348,ACFT00124,6273.0,6116.14
FUEL0000349,FLT0000349,ACFT00332,38458.5,40550.44
FUEL0000350,FLT0000350,ACFT00086,28219.0,21219.6
FUEL0000351,FLT0000351,ACFT00416,18716.2,19412.14
FUEL0000352,FLT0000352,ACFT00059,18500.4,19598.47
FUEL0000353,FLT0000353,ACFT00079,30154.7,31151.53
FUEL0000354,FLT0000354,ACFT00139,23329.5,23180.2
FUEL0000355,FLT0000355,ACFT00195,54412.9,59683.59
FUEL0000356,FLT0000356,ACFT00513,32746.7,26043.51
FUEL0000357,FLT0000357,ACFT00123,22198.3,19887.99
FUEL0000358,FLT0000358,ACFT00600,43571.8,42629.19
FUEL0000359,FLT0000359,ACFT00358,24479.7,22444.67
FUEL0000360,FLT0000360,ACFT00050,10099.9,9398.19
FUEL0000361,FLT0000361,ACFT00278,37266.5,35136.21
FUEL0000362,FLT0000362,ACFT00359,34373.7,27521.36
FUEL0000363,FLT0000363,ACFT00492,18202.1,16425.97
FUEL0000364,FLT0000364,ACFT00090,36961.8,29141.53
FUEL0000365,FLT0000365,ACFT00087,15507.7,13231.01
FUEL0000366,FLT0000366,ACFT00581,14485.2,13325.94
FUEL0000367,FLT0000367,ACFT00479,40813.5,33340.12
FUEL0000368,FLT0000368,ACFT00381,26143.7,23378.04
FUEL0000369,FLT0000369,ACFT00442,3172.5,3269.43
FUEL0000370,FLT0000370,ACFT00274,16267.8,13961.64
FUEL0000371,FLT0000371,ACFT00213,49430.7,39206.84
FUEL0000372,FLT0000372,ACFT00500,41775.6,40195.05
FUEL0000373,FLT0000373,ACFT00129,21881.3,20963.98
FUEL0000374,FLT0000374,ACFT00160,7339.5,6546.77
FUEL0000375,FLT0000375,ACFT00338,28958.2,25365.15
FUEL0000376,FLT0000376,ACFT00137,9990.8,10685.42
FUEL0000377,FLT0000377,ACFT00347,20414.4,16957.35
FUEL0000378,FLT0000378,ACFT00530,7229.1,7791.68
FUEL0000379,FLT0000379,ACFT00038,33655.0,30733.39
FUEL0000380,FLT0000380,ACFT00267,39850.9,35567.39
FUEL0000381,FLT0000381,ACFT00494,30184.3,32961.12
FUEL0000382,FLT0000382,ACFT00553,40446.3,37469.6
FUEL0000383,FLT0000383,ACFT00284,10902.7,10936.13
FUEL0000384,FLT0000384,ACFT00305,33224.9,33788.59
FUEL0000385,FLT0000385,ACFT00523,38473.3,29650.5
FUEL0000386,FLT0000386,ACFT00157,51165.6,38710.81
FUEL0000387,FLT0000387,ACFT00263,41205.0,43137.28
FUEL0000388,FLT0000388,ACFT00504,5543.7,4440.21
FUEL0000389,FLT0000389,ACFT00303,27394.8,26818.2
FUEL0000390,FLT0000390,ACFT00402,12495.8,11262.98
FUEL0000391,FLT0000391,ACFT00519,21701.0,17678.79
FUEL0000392,FLT0000392,ACFT00423,30138.1,22693.66
FUEL0000393,FLT0000393,ACFT00311,23842.1,18892.94
FUEL0000394,FLT0000394,ACFT00581,42266.6,33309.98
FUEL0000395,FLT0000395,ACFT00435,30482.1,32961.65
FUEL0000396,FLT0000396,ACFT00340,55982.7,43959.34
FUEL0000397,FLT0000397,ACFT00394,7743.9,8042.84
FUEL0000398,FLT0000398,ACFT00203,30689.5,23317.24
FUEL0000399,FLT0000399,ACFT00388,2346.7,2339.32
FUEL0000400,FLT0000400,ACFT00474,21249.0,19259.08
FUEL0000401,FLT0000401,ACFT00306,15639.0,16288.64
FUEL0000402,FLT0000402,ACFT00316,51073.2,48554.67
FUEL0000403,FLT0000403,ACFT00403,24539.3,20412.55
FUEL0000404,FLT0000404,ACFT00294,7544.7,8122.53
FUEL0000405,FLT0000405,ACFT00338,32090.3,25348.11
FUEL0000406,FLT0000406,ACFT00345,21245.0,16340.36
FUEL0000407,FLT0000407,ACFT00396,36631.4,33401.47
FUEL0000408,FLT0000408,ACFT00313,15649.0,17160.1
FUEL0000409,FLT0000409,ACFT00220,33116.7,30721.98
FUEL0000410,FLT0000410,ACFT00420,25809.2,22624.61
FUEL0000411,FLT0000411,ACFT00595,10310.8,8592.78
FUEL0000412,FLT0000412,ACFT00118,42657.5,42540.06
FUEL0000413,FLT0000413,ACFT00359,22994.8,22596.55
FUEL0000414,FLT0000414,ACFT00040,54742.5,47086.94
FUEL0000415,FLT0000415,ACFT00280,42187.2,39105.95
FUEL0000416,FLT0000416,ACFT00264,36840.9,30711.93
FUEL0000417,FLT0000417,ACFT00524,10908.9,11792.7
FUEL0000418,FLT0000418,ACFT00578,44550.1,41197.0
FUEL0000419,FLT0000419,ACFT00157,19429.8,18369.01
FUEL0000420,FLT0000420,ACFT00073,24782.6,24129.28
FUEL0000421,FLT0000421,ACFT00435,7064.1,5912.99
FUEL0000422,FLT0000422,ACFT00182,10287.6,10067.76
FUEL0000423,FLT0000423,ACFT00090,24112.4,24193.01
FUEL0000424,FLT0000424,ACFT00340,710.1,607.99
FUEL0000425,FLT0000425,ACFT00296,8974.5,8533.62
FUEL0000426,FLT0000426,ACFT00004,41382.3,35983.63
FUEL0000427,FLT0000427,ACFT00367,40284.6,35819.38
FUEL0000428,FLT0000428,ACFT00478,20845.4,22782.51
FUEL0000429,FLT0000429,ACFT00195,6001.6,4958.71
FUEL0000430,FLT0000430,ACFT00106,48811.4,52042.86
FUEL0000431,FLT0000431,ACFT00262,42264.6,40152.79
FUEL0000432,FLT0000432,ACFT00188,16730.8,16918.24
FUEL0000433,FLT0000433,ACFT00191,2668.5,2311.06
FUEL0000434,FLT0000434,ACFT00075,9502.4,8863.36
FUEL0000435,FLT0000435,ACFT00097,2533.2,2210.07
