service_id,booking_id,passenger_id,service_type,amount,status
ANC0000045,BK00033117,PAX00061241,Travel Insurance,55.51,Confirmed
ANC0000046,BK00000924,PAX00001706,In-flight Meal,41.59,Confirmed
ANC0000047,BK00074297,PAX00137324,Travel Insurance,45.15,Confirmed
ANC0000048,BK00103669,PAX00191774,Travel Insurance,33.85,Cancelled
ANC0000049,BK00103669,PAX00191774,Travel Insurance,28.97,Cancelled
ANC0000050,BK00100419,PAX00185798,Extra Baggage,76.59,Confirmed
ANC0000051,BK00099126,PAX00183394,Pet Fee,86.01,Confirmed
ANC0000052,BK00099126,PAX00183394,Wi-Fi,6.62,Confirmed
ANC0000053,BK00039798,PAX00073505,Priority Boarding,30.13,Confirmed
ANC0000054,BK00039798,PAX00073506,Travel Insurance,10.79,Confirmed
ANC0000055,BK00110749,PAX00204824,Lounge Access,55.18,Confirmed
ANC0000056,BK00029475,PAX00054561,Travel Insurance,25.33,Confirmed
ANC0000057,BK00029475,PAX00054561,Seat Upgrade,262.16,Confirmed
ANC0000058,BK00062005,PAX00114428,In-flight Meal,13.41,Confirmed
ANC0000059,BK00062005,PAX00114428,Pet Fee,114.47,Cancelled
ANC0000060,BK00056936,PAX00105082,Pet Fee,89.22,Confirmed
ANC0000061,BK00056936,PAX00105082,Pet Fee,176.66,Cancelled
ANC0000062,BK00024370,PAX00045140,Extra Baggage,63.0,Confirmed
ANC0000063,BK00024370,PAX00045140,Seat Upgrade,33.46,Confirmed
ANC0000064,BK00037241,PAX00068768,Priority Boarding,23.63,Confirmed
ANC0000065,BK00037241,PAX00068768,Priority Boarding,29.92,Confirmed
ANC0000066,BK00049307,PAX00091028,Wi-Fi,23.39,Confirmed
ANC0000067,BK00049307,PAX00091027,In-flight Meal,28.49,Confirmed
ANC0000068,BK00090612,PAX00167622,Pet Fee,77.22,Confirmed
ANC0000069,BK00107702,PAX00199223,Pet Fee,179.6,Confirmed
ANC0000070,BK00107702,PAX00199223,Seat Upgrade,234.85,Confirmed
ANC0000071,BK00089673,PAX00165872,Wi-Fi,23.18,Confirmed
ANC0000072,BK00089673,PAX00165872,Extra Baggage,129.53,Confirmed
ANC0000073,BK00095329,PAX00176339,In-flight Meal,15.37,Confirmed
ANC0000074,BK00095329,PAX00176339,Extra Baggage,40.42,Confirmed
ANC0000075,BK00032514,PAX00060152,Pet Fee,87.69,Confirmed
ANC0000076,BK00032514,PAX00060152,Pet Fee,166.54,Confirmed
ANC0000077,BK00137403,PAX00253954,Extra Baggage,71.61,Cancelled
ANC0000078,BK00108661,PAX00200984,In-flight Meal,34.18,Confirmed
ANC0000079,BK00108661,PAX00200983,Travel Insurance,11.7,Confirmed
ANC0000080,BK00117163,PAX00216623,Extra Baggage,72.06,Confirmed
ANC0000081,BK00117163,PAX00216623,Travel Insurance,49.0,Confirmed
ANC0000082,BK00034128,PAX00063071,Lounge Access,56.31,Confirmed
ANC0000083,BK00075599,PAX00139685,Seat Upgrade,175.37,Cancelled
ANC0000084,BK00094661,PAX00175105,Lounge Access,58.72,Confirmed
ANC0000085,BK00094661,PAX00175106,Lounge Access,77.54,Confirmed
ANC0000086,BK00015667,PAX00028975,Priority Boarding,15.86,Confirmed
ANC0000087,BK00102641,PAX00189874,Priority Boarding,33.62,Confirmed
ANC0000088,BK00072836,PAX00134644,Travel Insurance,39.58,Confirmed
ANC0000089,BK00058111,PAX00107211,Priority Boarding,18.17,Confirmed
ANC0000090,BK00058111,PAX00107211,Lounge Access,88.6,Confirmed
ANC0000091,BK00041679,PAX00076903,Seat Upgrade,254.23,Confirmed
ANC0000092,BK00111764,PAX00206697,Extra Baggage,82.81,Cancelled
ANC0000093,BK00111764,PAX00206697,Pet Fee,163.42,Confirmed
ANC0000094,BK00095771,PAX00177173,Priority Boarding,19.91,Cancelled
ANC0000095,BK00095771,PAX00177175,Seat Upgrade,170.04,Cancelled
ANC0000096,BK00142843,PAX00264035,Wi-Fi,13.03,Confirmed
ANC0000097,BK00082450,PAX00152441,Lounge Access,32.37,Confirmed
ANC0000098,BK00113687,PAX00210181,Extra Baggage,47.81,Confirmed
ANC0000099,BK00113687,PAX00210181,Extra Baggage,131.45,Confirmed
ANC0000100,BK00042247,PAX00077940,Wi-Fi,18.98,Confirmed
ANC0000101,BK00084726,PAX00156606,Wi-Fi,18.14,Cancelled
ANC0000102,BK00084726,PAX00156606,Priority Boarding,22.85,Confirmed
ANC0000103,BK00027727,PAX00051354,Lounge Access,70.18,Cancelled
ANC0000104,BK00122224,PAX00225952,Pet Fee,91.77,Cancelled
ANC0000105,BK00122224,PAX00225952,Seat Upgrade,131.18,Confirmed
ANC0000106,BK00040010,PAX00073893,Priority Boarding,24.5,Confirmed
ANC0000107,BK00040010,PAX00073893,Extra Baggage,60.98,Confirmed
ANC0000108,BK00066017,PAX00121940,Extra Baggage,144.53,Confirmed
ANC0000109,BK00066017,PAX00121940,Lounge Access,45.05,Confirmed
ANC0000110,BK00050464,PAX00093160,Seat Upgrade,237.69,Confirmed
ANC0000111,BK00050464,PAX00093159,Seat Upgrade,62.11,Confirmed
ANC0000112,BK00029065,PAX00053814,Lounge Access,53.35,Confirmed
ANC0000113,BK00034966,PAX00064621,Seat Upgrade,289.3,Confirmed
ANC0000114,BK00034966,PAX00064621,Extra Baggage,32.36,Cancelled
ANC0000115,BK00016623,PAX00030739,Seat Upgrade,64.93,Confirmed
ANC0000116,BK00119291,PAX00220558,Extra Baggage,97.07,Cancelled
ANC0000117,BK00086409,PAX00159795,In-flight Meal,13.56,Cancelled
ANC0000118,BK00086409,PAX00159795,Seat Upgrade,223.73,Confirmed
ANC0000119,BK00124009,PAX00229223,Wi-Fi,6.76,Cancelled
ANC0000120,BK00085461,PAX00158001,Wi-Fi,23.8,Confirmed
ANC0000121,BK00085461,PAX00158002,Seat Upgrade,216.06,Confirmed
ANC0000122,BK00034258,PAX00063314,In-flight Meal,28.16,Confirmed
ANC0000123,BK00034258,PAX00063314,Lounge Access,44.89,Confirmed
ANC0000124,BK00050692,PAX00093574,In-flight Meal,17.86,Cancelled
ANC0000125,BK00010673,PAX00019772,In-flight Meal,44.31,Confirmed
ANC0000126,BK00144167,PAX00266432,Extra Baggage,30.49,Confirmed
ANC0000127,BK00007322,PAX00013632,Priority Boarding,34.26,Cancelled
ANC0000128,BK00015111,PAX00027973,Extra Baggage,112.96,Confirmed
ANC0000129,BK00129697,PAX00239686,Travel Insurance,42.56,Confirmed
ANC0000130,BK00129697,PAX00239686,Extra Baggage,133.14,Confirmed
ANC0000131,BK00083565,PAX00154498,Lounge Access,52.36,Confirmed
ANC0000132,BK00119867,PAX00221586,Extra Baggage,98.11,Cancelled
ANC0000133,BK00133770,PAX00247266,In-flight Meal,28.06,Cancelled
ANC0000134,BK00133770,PAX00247266,Travel Insurance,22.95,Confirmed
ANC0000135,BK00146286,PAX00270362,Wi-Fi,17.24,Confirmed
ANC0000136,BK00084222,PAX00155680,Travel Insurance,15.87,Confirmed
ANC0000137,BK00000118,PAX00000217,Priority Boarding,34.08,Confirmed
ANC0000138,BK00071202,PAX00131567,Priority Boarding,24.57,Confirmed
ANC0000139,BK00084950,PAX00157035,Wi-Fi,24.18,Confirmed
ANC0000140,BK00052889,PAX00097640,Extra Baggage,81.72,Confirmed
ANC0000141,BK00052889,PAX00097638,Seat Upgrade,149.23,Confirmed
ANC0000142,BK00013859,PAX00025645,Extra Baggage,88.1,Confirmed
ANC0000143,BK00013859,PAX00025645,Travel Insurance,25.55,Confirmed
ANC0000144,BK00136207,PAX00251790,Extra Baggage,49.5,Confirmed
ANC0000145,BK00022935,PAX00042434,Lounge Access,66.42,Confirmed
ANC0000146,BK00022935,PAX00042434,Lounge Access,85.87,Cancelled
ANC0000147,BK00133891,PAX00247500,In-flight Meal,19.67,Confirmed
ANC0000148,BK00056198,PAX00103698,Priority Boarding,19.91,Confirmed
ANC0000149,BK00056198,PAX00103699,Travel Insurance,20.33,Confirmed
ANC0000150,BK00130665,PAX00241449,Travel Insurance,55.58,Cancelled
ANC0000151,BK00087519,PAX00161850,Seat Upgrade,275.67,Cancelled
ANC0000152,BK00016603,PAX00030707,In-flight Meal,29.31,Confirmed
ANC0000153,BK00105029,PAX00194308,Lounge Access,42.19,Confirmed
ANC0000154,BK00105029,PAX00194309,In-flight Meal,19.75,Confirmed
ANC0000155,BK00013217,PAX00024459,Travel Insurance,21.47,Confirmed
ANC0000156,BK00038883,PAX00071787,Lounge Access,77.77,Confirmed
ANC0000157,BK00073884,PAX00136576,In-flight Meal,12.99,Confirmed
ANC0000158,BK00017654,PAX00032675,Priority Boarding,27.56,Confirmed
ANC0000159,BK00017654,PAX00032675,Priority Boarding,37.46,Cancelled
ANC0000160,BK00142822,PAX00263995,Priority Boarding,33.33,Confirmed
ANC0000161,BK00084865,PAX00156868,Priority Boarding,20.75,Confirmed
ANC0000162,BK00117264,PAX00216798,Seat Upgrade,130.57,Confirmed
ANC0000163,BK00117264,PAX00216799,Lounge Access,60.44,Confirmed
ANC0000164,BK00034411,PAX00063599,Wi-Fi,16.55,Cancelled
ANC0000165,BK00034411,PAX00063599,Seat Upgrade,173.25,Confirmed
ANC0000166,BK00117837,PAX00217864,Priority Boarding,36.19,Confirmed
ANC0000167,BK00007417,PAX00013818,Extra Baggage,117.13,Confirmed
ANC0000168,BK00017710,PAX00032780,Travel Insurance,17.08,Confirmed
ANC0000169,BK00017710,PAX00032779,Priority Boarding,39.92,Cancelled
ANC0000170,BK00136253,PAX00251872,Seat Upgrade,108.0,Cancelled
ANC0000171,BK00026211,PAX00048535,Pet Fee,194.04,Confirmed
ANC0000172,BK00039345,PAX00072651,Wi-Fi,22.58,Confirmed
ANC0000173,BK00039345,PAX00072650,Seat Upgrade,179.25,Confirmed
ANC0000174,BK00116700,PAX00215768,Travel Insurance,44.29,Confirmed
ANC0000175,BK00116700,PAX00215769,Wi-Fi,11.46,Cancelled
ANC0000176,BK00095048,PAX00175826,Pet Fee,106.11,Confirmed
ANC0000177,BK00095048,PAX00175826,Lounge Access,35.93,Confirmed
ANC0000178,BK00111110,PAX00205482,Lounge Access,70.94,Confirmed
ANC0000179,BK00051157,PAX00094448,Lounge Access,88.63,Cancelled
ANC0000180,BK00129331,PAX00238996,Travel Insurance,59.39,Cancelled
ANC0000181,BK00129331,PAX00238997,In-flight Meal,28.57,Confirmed
ANC0000182,BK00067234,PAX00124165,Pet Fee,165.8,Confirmed
ANC0000183,BK00067234,PAX00124164,Priority Boarding,39.57,Confirmed
ANC0000184,BK00115062,PAX00212683,Seat Upgrade,158.99,Confirmed
ANC0000185,BK00115062,PAX00212683,Wi-Fi,9.7,Confirmed
ANC0000186,BK00017170,PAX00031749,Extra Baggage,115.62,Confirmed
ANC0000187,BK00017170,PAX00031747,Travel Insurance,52.69,Confirmed
ANC0000188,BK00125745,PAX00232446,Pet Fee,65.43,Confirmed
ANC0000189,BK00125745,PAX00232445,Seat Upgrade,115.49,Confirmed
ANC0000190,BK00046673,PAX00086131,In-flight Meal,16.04,Confirmed
ANC0000191,BK00149918,PAX00277105,Wi-Fi,17.52,Confirmed
ANC0000192,BK00149918,PAX00277104,Extra Baggage,118.26,Confirmed
ANC0000193,BK00102439,PAX00189520,In-flight Meal,16.5,Confirmed
ANC0000194,BK00102439,PAX00189520,Wi-Fi,20.83,Confirmed
ANC0000195,BK00004891,PAX00009081,Travel Insurance,13.41,Confirmed
ANC0000196,BK00146811,PAX00271353,Wi-Fi,12.54,Confirmed
ANC0000197,BK00146811,PAX00271354,Wi-Fi,21.98,Cancelled
ANC0000198,BK00010141,PAX00018775,Wi-Fi,9.02,Confirmed
ANC0000199,BK00111238,PAX00205707,Priority Boarding,17.47,Confirmed
ANC0000200,BK00117339,PAX00216923,Seat Upgrade,175.74,Confirmed
ANC0000201,BK00117339,PAX00216923,Pet Fee,183.24,Confirmed
ANC0000202,BK00088469,PAX00163635,Travel Insurance,45.4,Confirmed
ANC0000203,BK00116628,PAX00215623,Seat Upgrade,180.61,Confirmed
ANC0000204,BK00116628,PAX00215623,Lounge Access,53.65,Cancelled
ANC0000205,BK00113106,PAX00209087,Priority Boarding,25.78,Confirmed
ANC0000206,BK00113106,PAX00209087,Priority Boarding,37.23,Cancelled
ANC0000207,BK00057839,PAX00106730,Lounge Access,43.69,Confirmed
ANC0000208,BK00042458,PAX00078347,Pet Fee,96.5,Confirmed
ANC0000209,BK00057005,PAX00105197,In-flight Meal,16.42,Confirmed
ANC0000210,BK00057005,PAX00105197,Seat Upgrade,77.04,Cancelled
ANC0000211,BK00027965,PAX00051779,Priority Boarding,15.32,Cancelled
ANC0000212,BK00141962,PAX00262358,In-flight Meal,33.9,Cancelled
ANC0000213,BK00029910,PAX00055348,Travel Insurance,42.67,Confirmed
ANC0000214,BK00029910,PAX00055349,In-flight Meal,43.99,Cancelled
ANC0000215,BK00125078,PAX00231227,Lounge Access,36.13,Confirmed
ANC0000216,BK00125078,PAX00231225,Extra Baggage,92.65,Confirmed
ANC0000217,BK00051213,PAX00094543,In-flight Meal,12.27,Confirmed
ANC0000218,BK00109729,PAX00202947,Lounge Access,47.87,Cancelled
ANC0000219,BK00063781,PAX00117792,Seat Upgrade,245.0,Confirmed
ANC0000220,BK00008342,PAX00015483,Extra Baggage,140.0,Cancelled
ANC0000221,BK00008342,PAX00015481,Seat Upgrade,278.12,Confirmed
ANC0000222,BK00134181,PAX00248020,Extra Baggage,145.92,Confirmed
ANC0000223,BK00134181,PAX00248020,Wi-Fi,8.71,Confirmed
ANC0000224,BK00140419,PAX00259500,Lounge Access,84.64,Confirmed
ANC0000225,BK00140419,PAX00259500,In-flight Meal,14.16,Confirmed
ANC0000226,BK00095547,PAX00176762,Seat Upgrade,230.7,Cancelled
ANC0000227,BK00119333,PAX00220629,Pet Fee,145.45,Cancelled
ANC0000228,BK00119333,PAX00220629,Pet Fee,60.46,Confirmed
ANC0000229,BK00018608,PAX00034432,Extra Baggage,82.27,Cancelled
ANC0000230,BK00148774,PAX00275015,Extra Baggage,130.61,Cancelled
ANC0000231,BK00148774,PAX00275015,Travel Insurance,33.39,Confirmed
ANC0000232,BK00031588,PAX00058412,Travel Insurance,51.23,Confirmed
ANC0000233,BK00031588,PAX00058412,Pet Fee,189.02,Confirmed
ANC0000234,BK00049188,PAX00090819,Seat Upgrade,119.76,Confirmed
ANC0000235,BK00049188,PAX00090819,Pet Fee,98.18,Confirmed
ANC0000236,BK00024258,PAX00044927,Seat Upgrade,162.77,Confirmed
ANC0000237,BK00024258,PAX00044929,Lounge Access,45.04,Confirmed
ANC0000238,BK00082973,PAX00153418,In-flight Meal,36.6,Confirmed
ANC0000239,BK00140114,PAX00258920,In-flight Meal,37.07,Confirmed
ANC0000240,BK00041592,PAX00076734,Seat Upgrade,139.8,Confirmed
ANC0000241,BK00041592,PAX00076734,Lounge Access,87.84,Confirmed
ANC0000242,BK00025246,PAX00046760,Priority Boarding,32.84,Confirmed
ANC0000243,BK00008396,PAX00015596,Lounge Access,36.23,Cancelled
ANC0000244,BK00008396,PAX00015595,Priority Boarding,37.16,Cancelled
ANC0000245,BK00029319,PAX00054270,Lounge Access,66.4,Confirmed
ANC0000246,BK00007704,PAX00014333,Priority Boarding,29.4,Confirmed
ANC0000247,BK00069358,PAX00128112,Wi-Fi,19.45,Confirmed
ANC0000248,BK00069358,PAX00128109,Extra Baggage,113.11,Cancelled
ANC0000249,BK00019079,PAX00035260,In-flight Meal,36.33,Confirmed
ANC0000250,BK00019079,PAX00035260,Wi-Fi,7.48,Confirmed
ANC0000251,BK00055709,PAX00102815,Extra Baggage,84.68,Confirmed
ANC0000252,BK00147422,PAX00272494,Wi-Fi,14.6,Cancelled
ANC0000253,BK00147422,PAX00272494,Extra Baggage,113.55,Confirmed
ANC0000254,BK00104159,PAX00192680,Travel Insurance,28.48,Cancelled
ANC0000255,BK00104159,PAX00192680,Wi-Fi,6.62,Cancelled
ANC0000256,BK00108569,PAX00200820,Travel Insurance,10.87,Confirmed
ANC0000257,BK00108569,PAX00200820,Extra Baggage,123.13,Confirmed
ANC0000258,BK00008960,PAX00016619,Priority Boarding,37.28,Confirmed
ANC0000259,BK00008960,PAX00016618,Wi-Fi,13.6,Confirmed
ANC0000260,BK00073454,PAX00135786,Wi-Fi,12.54,Cancelled
ANC0000261,BK00126236,PAX00233334,Wi-Fi,9.49,Confirmed
ANC0000262,BK00126236,PAX00233334,Extra Baggage,65.93,Confirmed
ANC0000263,BK00036738,PAX00067847,Travel Insurance,47.72,Confirmed
ANC0000264,BK00019708,PAX00036402,Wi-Fi,18.2,Confirmed
ANC0000265,BK00089106,PAX00164789,Priority Boarding,35.98,Confirmed
ANC0000266,BK00067266,PAX00124230,Priority Boarding,19.44,Cancelled
ANC0000267,BK00067266,PAX00124230,Wi-Fi,11.59,Confirmed
ANC0000268,BK00024644,PAX00045628,In-flight Meal,40.3,Confirmed
ANC0000269,BK00020183,PAX00037263,Extra Baggage,106.15,Confirmed
ANC0000270,BK00020183,PAX00037263,Pet Fee,164.37,Cancelled
ANC0000271,BK00127042,PAX00234807,Priority Boarding,33.27,Confirmed
ANC0000272,BK00069080,PAX00127605,Pet Fee,182.51,Confirmed
ANC0000273,BK00069080,PAX00127605,Pet Fee,190.97,Cancelled
ANC0000274,BK00031814,PAX00058824,Travel Insurance,38.1,Confirmed
ANC0000275,BK00031814,PAX00058824,Extra Baggage,101.5,Confirmed
ANC0000276,BK00030991,PAX00057344,Priority Boarding,28.99,Confirmed
ANC0000277,BK00143577,PAX00265359,In-flight Meal,36.03,Confirmed
ANC0000278,BK00143577,PAX00265359,In-flight Meal,19.28,Confirmed
ANC0000279,BK00133635,PAX00247039,Extra Baggage,141.52,Cancelled
ANC0000280,BK00000261,PAX00000475,Lounge Access,43.98,Confirmed
ANC0000281,BK00061986,PAX00114393,In-flight Meal,25.37,Confirmed
ANC0000282,BK00054330,PAX00100264,Priority Boarding,18.37,Confirmed
ANC0000283,BK00136099,PAX00251590,Wi-Fi,18.2,Confirmed
ANC0000284,BK00058031,PAX00107059,Pet Fee,112.61,Confirmed
ANC0000285,BK00116582,PAX00215534,Lounge Access,32.28,Confirmed
ANC0000286,BK00065758,PAX00121442,Seat Upgrade,256.34,Confirmed
ANC0000287,BK00065758,PAX00121443,Wi-Fi,18.34,Cancelled
ANC0000288,BK00083358,PAX00154115,Extra Baggage,62.55,Confirmed
ANC0000289,BK00018540,PAX00034307,Lounge Access,36.17,Confirmed
ANC0000290,BK00018540,PAX00034307,In-flight Meal,34.86,Cancelled
ANC0000291,BK00039224,PAX00072429,In-flight Meal,38.02,Confirmed
ANC0000292,BK00039224,PAX00072428,Travel Insurance,15.26,Confirmed
ANC0000293,BK00062550,PAX00115482,Seat Upgrade,270.43,Confirmed
ANC0000294,BK00149344,PAX00276033,Pet Fee,151.33,Confirmed
ANC0000295,BK00051818,PAX00095666,In-flight Meal,10.11,Confirmed
ANC0000296,BK00051818,PAX00095665,Travel Insurance,32.15,Confirmed
ANC0000297,BK00115987,PAX00214426,Lounge Access,63.98,Confirmed
ANC0000298,BK00115987,PAX00214425,Lounge Access,71.91,Confirmed
ANC0000299,BK00041259,PAX00076137,Pet Fee,143.58,Confirmed
ANC0000300,BK00110040,PAX00203511,Priority Boarding,28.44,Cancelled
ANC0000301,BK00110040,PAX00203512,Seat Upgrade,278.97,Confirmed
ANC0000302,BK00115290,PAX00213120,Priority Boarding,39.33,Cancelled
ANC0000303,BK00115290,PAX00213117,Lounge Access,60.07,Confirmed
ANC0000304,BK00120499,PAX00222746,Wi-Fi,14.45,Confirmed
ANC0000305,BK00099639,PAX00184319,Travel Insurance,25.46,Confirmed
ANC0000306,BK00099639,PAX00184320,Pet Fee,128.51,Confirmed
ANC0000307,BK00005955,PAX00011066,Lounge Access,55.59,Confirmed
ANC0000308,BK00148288,PAX00274115,Seat Upgrade,265.6,Confirmed
ANC0000309,BK00148288,PAX00274116,In-flight Meal,37.3,Cancelled
ANC0000310,BK00010396,PAX00019235,Pet Fee,80.5,Confirmed
ANC0000311,BK00107132,PAX00198185,Lounge Access,62.97,Confirmed
ANC0000312,BK00099483,PAX00184033,Travel Insurance,39.41,Confirmed
ANC0000313,BK00131103,PAX00242272,Travel Insurance,57.38,Confirmed
ANC0000314,BK00042167,PAX00077809,Wi-Fi,15.5,Confirmed
ANC0000315,BK00104940,PAX00194153,In-flight Meal,39.41,Confirmed
ANC0000316,BK00048838,PAX00090173,Lounge Access,73.27,Cancelled
ANC0000317,BK00098162,PAX00181604,Extra Baggage,123.08,Confirmed
ANC0000318,BK00118819,PAX00219690,Priority Boarding,19.47,Confirmed
ANC0000319,BK00004879,PAX00009061,Extra Baggage,92.58,Confirmed
ANC0000320,BK00004879,PAX00009058,Seat Upgrade,114.25,Confirmed
ANC0000321,BK00105105,PAX00194443,Seat Upgrade,192.95,Confirmed
ANC0000322,BK00136069,PAX00251531,Travel Insurance,12.9,Confirmed
ANC0000323,BK00136069,PAX00251531,Travel Insurance,54.65,Confirmed
ANC0000324,BK00097012,PAX00179480,Travel Insurance,34.62,Confirmed
ANC0000325,BK00097012,PAX00179480,Wi-Fi,11.76,Cancelled
ANC0000326,BK00043824,PAX00080874,In-flight Meal,11.09,Confirmed
ANC0000327,BK00043824,PAX00080874,Pet Fee,109.43,Confirmed
ANC0000328,BK00091959,PAX00170120,Seat Upgrade,60.87,Cancelled
ANC0000329,BK00131783,PAX00243561,In-flight Meal,33.8,Cancelled
ANC0000330,BK00131783,PAX00243561,In-flight Meal,10.62,Confirmed
ANC0000331,BK00127083,PAX00234880,Seat Upgrade,232.52,Confirmed
ANC0000332,BK00127083,PAX00234880,Pet Fee,86.89,Confirmed
ANC0000333,BK00040207,PAX00074233,Travel Insurance,37.19,Cancelled
ANC0000334,BK00040207,PAX00074232,Priority Boarding,26.01,Confirmed
ANC0000335,BK00022620,PAX00041846,Wi-Fi,13.12,Cancelled
ANC0000336,BK00121046,PAX00223748,Priority Boarding,28.36,Cancelled
ANC0000337,BK00114676,PAX00211967,Lounge Access,38.25,Cancelled
ANC0000338,BK00050069,PAX00092438,Lounge Access,32.06,Cancelled
ANC0000339,BK00050069,PAX00092438,Lounge Access,36.76,Cancelled
ANC0000340,BK00120940,PAX00223559,Extra Baggage,110.78,Confirmed
ANC0000341,BK00120940,PAX00223559,Extra Baggage,31.05,Confirmed
ANC0000342,BK00116662,PAX00215687,Priority Boarding,24.06,Confirmed
ANC0000343,BK00116662,PAX00215687,In-flight Meal,37.3,Confirmed
ANC0000344,BK00141702,PAX00261874,Travel Insurance,34.68,Confirmed
ANC0000345,BK00091980,PAX00170167,In-flight Meal,20.48,Cancelled
ANC0000346,BK00112845,PAX00208630,Seat Upgrade,246.39,Confirmed
ANC0000347,BK00112845,PAX00208630,Pet Fee,130.95,Cancelled
ANC0000348,BK00075103,PAX00138786,Lounge Access,76.6,Cancelled
ANC0000349,BK00075103,PAX00138786,Pet Fee,111.59,Cancelled
ANC0000350,BK00072218,PAX00133465,Extra Baggage,78.96,Confirmed
ANC0000351,BK00103668,PAX00191771,Wi-Fi,9.26,Cancelled
ANC0000352,BK00130711,PAX00241542,Extra Baggage,68.9,Confirmed
ANC0000353,BK00130711,PAX00241541,Extra Baggage,101.07,Confirmed
ANC0000354,BK00065094,PAX00120200,In-flight Meal,16.53,Confirmed
ANC0000355,BK00064068,PAX00118310,Lounge Access,66.67,Confirmed
ANC0000356,BK00123515,PAX00228313,Wi-Fi,8.72,Confirmed
ANC0000357,BK00123515,PAX00228313,Wi-Fi,14.14,Cancelled
ANC0000358,BK00116222,PAX00214865,Travel Insurance,25.52,Confirmed
ANC0000359,BK00100595,PAX00186128,In-flight Meal,25.36,Cancelled
ANC0000360,BK00096163,PAX00177891,Extra Baggage,89.59,Cancelled
ANC0000361,BK00096163,PAX00177891,Priority Boarding,35.26,Confirmed
ANC0000362,BK00051514,PAX00095100,Travel Insurance,51.39,Confirmed
ANC0000363,BK00136066,PAX00251524,Travel Insurance,13.26,Confirmed
ANC0000364,BK00070330,PAX00129935,Lounge Access,60.5,Confirmed
ANC0000365,BK00070330,PAX00129935,Extra Baggage,59.26,Confirmed
ANC0000366,BK00080236,PAX00148341,Pet Fee,170.19,Confirmed
ANC0000367,BK00080236,PAX00148341,Extra Baggage,94.51,Confirmed
ANC0000368,BK00060891,PAX00112375,In-flight Meal,13.65,Cancelled
