transaction_id,loyalty_id,flight_id,points_earned,points_redeemed,transaction_date,transaction_type
LT00000068,LOY0013440,FLT0037478,4555,0,2025-08-17,Earn
LT00000069,LOY0004255,FLT0021925,2665,0,2020-04-18,Earn
LT00000070,LOY0014732,FLT0031516,0,0,2025-03-11,Adjustment
LT00000071,LOY0004049,FLT0058874,4894,0,2025-08-12,Earn
LT00000072,LOY0016860,FLT0037661,4953,0,2020-04-14,Bonus
LT00000073,LOY0025175,,0,12598,2022-06-14,Redeem
LT00000074,LOY0001356,FLT0040362,2010,0,2023-02-06,Bonus
LT00000075,LOY0031101,FLT0076373,1348,0,2023-01-17,Earn
LT00000076,LOY0022768,,497,0,2024-01-08,Earn
LT00000077,LOY0027975,FLT0019407,4838,0,2022-05-17,Earn
LT00000078,LOY0022772,FLT0005631,1642,0,2021-07-12,Earn
LT00000079,LOY0008607,FLT0035701,0,14825,2023-03-13,Redeem
LT00000080,LOY0017930,FLT0018855,3505,0,2021-02-16,Bonus
LT00000081,LOY0026322,FLT0047930,226,0,2021-10-14,Earn
LT00000082,LOY0003124,FLT0041755,0,0,2023-12-19,Adjustment
LT00000083,LOY0003765,FLT0015804,2355,0,2023-10-07,Earn
LT00000084,LOY0027698,,1547,0,2025-10-06,Bonus
LT00000085,LOY0011308,,0,0,2020-12-25,Adjustment
LT00000086,LOY0005584,,0,13104,2026-03-20,Redeem
LT00000087,LOY0006236,FLT0028464,0,15159,2024-01-30,Redeem
LT00000088,LOY0021549,FLT0057681,3527,0,2020-02-20,Earn
LT00000089,LOY0015639,FLT0058615,4185,0,2025-09-15,Earn
LT00000090,LOY0000261,FLT0027827,1627,0,2021-11-30,Earn
LT00000091,LOY0029256,FLT0078272,0,11428,2024-12-14,Redeem
LT00000092,LOY0010033,FLT0066940,0,10206,2020-02-06,Redeem
LT00000093,LOY0001539,,3734,0,2023-05-10,Bonus
LT00000094,LOY0003785,FLT0016554,2208,0,2024-12-08,Earn
LT00000095,LOY0003179,FLT0010067,0,16449,2022-12-13,Redeem
LT00000096,LOY0022517,,0,17457,2025-05-02,Redeem
LT00000097,LOY0011965,FLT0052564,570,0,2022-06-16,Earn
LT00000098,LOY0020911,FLT0071684,2155,0,2020-07-11,Earn
LT00000099,LOY0003659,FLT0076249,2819,0,2023-02-19,Earn
LT00000100,LOY0018785,FLT0067170,845,0,2023-05-02,Earn
LT00000101,LOY0025148,FLT0020422,0,6552,2022-09-13,Redeem
LT00000102,LOY0008352,,0,0,2022-07-25,Adjustment
LT00000103,LOY0022613,,2605,0,2021-10-30,Earn
LT00000104,LOY0023446,FLT0008924,4251,0,2024-12-02,Earn
LT00000105,LOY0029762,,3726,0,2023-02-11,Earn
LT00000106,LOY0018601,,4814,0,2023-12-19,Earn
LT00000107,LOY0003736,,0,6641,2024-06-21,Redeem
LT00000108,LOY0030943,FLT0025331,4970,0,2026-01-16,Earn
LT00000109,LOY0024648,FLT0057965,3264,0,2023-07-27,Earn
LT00000110,LOY0014276,FLT0010945,0,17914,2021-06-23,Redeem
LT00000111,LOY0030970,FLT0017282,0,0,2026-03-23,Adjustment
LT00000112,LOY0017720,FLT0004141,0,0,2022-10-04,Adjustment
LT00000113,LOY0024587,FLT0025346,0,9013,2025-09-23,Redeem
LT00000114,LOY0020548,FLT0018591,0,3156,2022-03-02,Redeem
LT00000115,LOY0003315,,4381,0,2023-01-02,Earn
LT00000116,LOY0015671,FLT0070689,4117,0,2023-10-16,Earn
LT00000117,LOY0027581,FLT0051025,2368,0,2020-04-28,Earn
LT00000118,LOY0026395,FLT0055068,0,0,2020-03-01,Adjustment
LT00000119,LOY0030133,FLT0021055,0,0,2023-02-04,Adjustment
LT00000120,LOY0020187,,1492,0,2022-06-22,Earn
LT00000121,LOY0025507,,0,5945,2022-06-02,Redeem
LT00000122,LOY0030201,FLT0005863,3410,0,2024-07-15,Earn
LT00000123,LOY0015240,,4675,0,2023-04-04,Earn
LT00000124,LOY0002308,FLT0009737,0,14922,2026-03-21,Redeem
LT00000125,LOY0026950,FLT0061327,0,0,2023-10-23,Adjustment
LT00000126,LOY0016034,,2658,0,2022-01-09,Earn
LT00000127,LOY0016975,FLT0049701,3232,0,2021-11-04,Earn
LT00000128,LOY0011408,FLT0000773,0,0,2025-10-22,Adjustment
LT00000129,LOY0022998,FLT0049714,2175,0,2022-06-28,Earn
LT00000130,LOY0000492,,0,8314,2026-04-28,Redeem
LT00000131,LOY0024850,FLT0016270,644,0,2020-07-30,Earn
LT00000132,LOY0000624,FLT0027075,1196,0,2024-09-10,Earn
LT00000133,LOY0025173,FLT0079998,1167,0,2022-02-23,Earn
LT00000134,LOY0032247,FLT0078309,4999,0,2024-05-17,Bonus
LT00000135,LOY0023254,FLT0071044,0,0,2024-09-24,Adjustment
LT00000136,LOY0008927,,1128,0,2025-05-09,Earn
LT00000137,LOY0023743,FLT0077611,2323,0,2020-12-24,Earn
LT00000138,LOY0004311,FLT0066415,3325,0,2020-04-16,Earn
LT00000139,LOY0024055,FLT0076430,4599,0,2020-01-10,Earn
LT00000140,LOY0022143,FLT0056347,0,8913,2024-06-30,Redeem
LT00000141,LOY0008831,FLT0064612,0,8441,2020-07-18,Redeem
LT00000142,LOY0022948,FLT0007049,0,12854,2026-02-11,Redeem
LT00000143,LOY0019870,,0,11719,2020-10-27,Redeem
LT00000144,LOY0016792,FLT0060839,0,15970,2021-12-17,Redeem
LT00000145,LOY0019824,,0,0,2021-11-12,Adjustment
LT00000146,LOY0023501,FLT0023666,3538,0,2023-04-13,Earn
LT00000147,LOY0006482,FLT0022698,2382,0,2021-12-16,Bonus
LT00000148,LOY0016922,FLT0042069,0,2999,2021-12-07,Redeem
LT00000149,LOY0023281,,1249,0,2021-08-17,Earn
LT00000150,LOY0020899,FLT0035049,0,0,2022-12-06,Adjustment
LT00000151,LOY0006499,FLT0079013,1247,0,2025-05-15,Earn
LT00000152,LOY0013980,FLT0001176,1321,0,2024-04-25,Earn
LT00000153,LOY0029866,FLT0016469,1504,0,2022-12-23,Earn
LT00000154,LOY0016963,FLT0035027,386,0,2023-02-26,Earn
LT00000155,LOY0012501,FLT0056711,1178,0,2025-12-14,Earn
LT00000156,LOY0027650,FLT0037382,0,8958,2025-04-18,Redeem
LT00000157,LOY0016595,FLT0017949,0,2670,2020-05-11,Redeem
LT00000158,LOY0017365,FLT0028926,0,927,2025-11-22,Redeem
LT00000159,LOY0028877,FLT0046668,0,18585,2020-03-12,Redeem
LT00000160,LOY0021226,,176,0,2025-11-23,Bonus
LT00000161,LOY0011017,FLT0018633,2991,0,2026-07-08,Bonus
LT00000162,LOY0020672,FLT0005026,0,13134,2026-02-02,Redeem
LT00000163,LOY0016824,FLT0017223,4962,0,2020-12-17,Earn
LT00000164,LOY0028767,,4582,0,2024-12-28,Earn
LT00000165,LOY0019626,,4420,0,2021-08-22,Earn
LT00000166,LOY0032001,FLT0020823,0,3973,2022-02-12,Redeem
LT00000167,LOY0014562,FLT0067772,0,4643,2021-06-02,Redeem
LT00000168,LOY0031213,FLT0070812,4870,0,2020-08-22,Earn
LT00000169,LOY0015615,FLT0008137,3295,0,2025-04-07,Earn
LT00000170,LOY0002944,FLT0009099,0,0,2021-05-12,Adjustment
LT00000171,LOY0005986,,0,7437,2020-05-29,Redeem
LT00000172,LOY0015004,FLT0077044,0,3631,2024-02-27,Redeem
LT00000173,LOY0025515,FLT0039136,3211,0,2020-10-22,Earn
LT00000174,LOY0000502,FLT0068873,0,0,2020-03-16,Adjustment
LT00000175,LOY0014606,,3528,0,2021-11-25,Earn
LT00000176,LOY0022339,,3479,0,2023-09-12,Earn
LT00000177,LOY0007516,,0,1438,2021-03-28,Redeem
LT00000178,LOY0019412,FLT0010380,4281,0,2023-06-07,Bonus
LT00000179,LOY0013033,FLT0013486,3809,0,2026-05-30,Earn
LT00000180,LOY0021151,FLT0011451,0,13053,2025-03-27,Redeem
LT00000181,LOY0016999,FLT0068095,0,10193,2022-10-20,Redeem
LT00000182,LOY0006222,FLT0043571,0,19730,2024-07-14,Redeem
LT00000183,LOY0016231,FLT0044080,3481,0,2024-03-31,Earn
LT00000184,LOY0015493,,0,7942,2022-12-28,Redeem
LT00000185,LOY0029229,,3319,0,2023-09-04,Earn
LT00000186,LOY0028794,FLT0048110,1880,0,2022-04-27,Earn
LT00000187,LOY0017264,FLT0018881,3085,0,2021-07-13,Earn
LT00000188,LOY0003422,FLT0065135,3930,0,2023-07-05,Earn
LT00000189,LOY0030249,,505,0,2026-02-13,Earn
LT00000190,LOY0014554,FLT0002919,1505,0,2022-08-28,Bonus
LT00000191,LOY0000476,FLT0037632,4496,0,2026-04-02,Bonus
LT00000192,LOY0028530,FLT0036401,540,0,2022-09-03,Earn
LT00000193,LOY0017082,,0,0,2025-02-11,Adjustment
LT00000194,LOY0010299,,2408,0,2024-09-23,Earn
LT00000195,LOY0008087,FLT0054127,4316,0,2024-12-03,Earn
LT00000196,LOY0022178,FLT0059154,379,0,2020-11-17,Earn
LT00000197,LOY0019193,FLT0079357,3326,0,2024-01-04,Earn
LT00000198,LOY0031411,FLT0009399,0,12799,2024-09-06,Redeem
LT00000199,LOY0019029,FLT0029942,736,0,2020-05-04,Earn
LT00000200,LOY0009692,FLT0026980,3248,0,2021-01-24,Earn
LT00000201,LOY0012865,FLT0021733,2578,0,2022-05-12,Bonus
LT00000202,LOY0005391,FLT0037676,208,0,2022-02-11,Earn
LT00000203,LOY0007108,FLT0005156,1397,0,2023-07-13,Earn
LT00000204,LOY0008738,FLT0047599,4366,0,2021-05-08,Earn
LT00000205,LOY0014311,,72,0,2020-04-25,Earn
LT00000206,LOY0029075,FLT0007037,838,0,2025-07-11,Earn
LT00000207,LOY0002003,FLT0046320,2873,0,2022-02-06,Earn
LT00000208,LOY0004214,,0,5756,2020-10-12,Redeem
LT00000209,LOY0000880,FLT0000164,2967,0,2020-10-10,Earn
LT00000210,LOY0004113,,4424,0,2021-12-25,Earn
LT00000211,LOY0006230,,1233,0,2022-07-06,Earn
LT00000212,LOY0019290,FLT0020283,904,0,2021-11-18,Earn
LT00000213,LOY0002481,,0,4083,2022-07-21,Redeem
LT00000214,LOY0002517,FLT0041213,2442,0,2025-06-04,Bonus
LT00000215,LOY0005538,FLT0004609,0,19671,2023-06-17,Redeem
LT00000216,LOY0022922,FLT0050953,4780,0,2021-10-25,Earn
LT00000217,LOY0017308,,555,0,2023-01-27,Earn
LT00000218,LOY0012378,FLT0032909,4152,0,2025-10-14,Earn
LT00000219,LOY0030145,FLT0057145,0,5901,2021-09-05,Redeem
LT00000220,LOY0012692,FLT0039063,3421,0,2022-11-23,Earn
LT00000221,LOY0005552,,0,0,2020-01-31,Adjustment
LT00000222,LOY0006107,FLT0054879,2594,0,2020-01-20,Earn
LT00000223,LOY0007975,FLT0077323,0,16359,2020-09-03,Redeem
LT00000224,LOY0012988,,0,14220,2023-01-01,Redeem
LT00000225,LOY0009099,FLT0020440,1551,0,2024-03-03,Earn
LT00000226,LOY0024011,FLT0057753,0,0,2021-06-03,Adjustment
LT00000227,LOY0005728,FLT0051810,0,0,2023-08-17,Adjustment
LT00000228,LOY0000698,FLT0045642,1373,0,2021-02-12,Earn
LT00000229,LOY0027688,FLT0017170,607,0,2025-04-24,Earn
LT00000230,LOY0021089,FLT0051810,1441,0,2025-05-09,Earn
LT00000231,LOY0015063,FLT0064728,0,15477,2020-05-18,Redeem
LT00000232,LOY0012992,,1202,0,2022-11-12,Earn
LT00000233,LOY0007032,FLT0029010,0,12849,2024-06-21,Redeem
LT00000234,LOY0025190,FLT0017520,0,10227,2022-09-18,Redeem
LT00000235,LOY0009284,,4275,0,2025-05-22,Earn
LT00000236,LOY0015714,FLT0074340,0,7292,2025-02-18,Redeem
LT00000237,LOY0002299,FLT0058301,2614,0,2023-09-17,Earn
LT00000238,LOY0018399,FLT0051825,0,0,2020-06-15,Adjustment
LT00000239,LOY0009199,,0,2325,2023-05-05,Redeem
LT00000240,LOY0017083,FLT0012020,0,2882,2024-10-10,Redeem
LT00000241,LOY0006003,,0,9565,2022-07-26,Redeem
LT00000242,LOY0010315,,4043,0,2020-10-11,Bonus
LT00000243,LOY0015333,FLT0022739,2238,0,2024-10-09,Earn
LT00000244,LOY0005407,,2124,0,2023-02-09,Earn
LT00000245,LOY0015808,FLT0023680,0,0,2025-09-03,Adjustment
LT00000246,LOY0012529,FLT0023945,0,15834,2021-09-30,Redeem
LT00000247,LOY0009481,,0,0,2023-03-14,Adjustment
LT00000248,LOY0017987,,0,853,2024-08-12,Redeem
LT00000249,LOY0016216,FLT0024573,1348,0,2024-02-28,Earn
LT00000250,LOY0019610,FLT0035252,0,10135,2020-09-07,Redeem
LT00000251,LOY0019086,FLT0072452,3655,0,2020-01-14,Earn
LT00000252,LOY0017091,,3569,0,2023-08-28,Earn
LT00000253,LOY0019140,,1004,0,2024-05-09,Earn
LT00000254,LOY0015053,FLT0053150,4382,0,2026-07-15,Earn
LT00000255,LOY0004306,FLT0059950,4635,0,2024-08-27,Earn
LT00000256,LOY0004859,,363,0,2021-04-01,Earn
LT00000257,LOY0027212,,3478,0,2023-04-02,Earn
LT00000258,LOY0010014,FLT0039906,0,0,2026-04-27,Adjustment
LT00000259,LOY0018191,FLT0075222,0,1356,2020-03-13,Redeem
LT00000260,LOY0025395,FLT0061252,244,0,2021-08-29,Earn
LT00000261,LOY0010280,FLT0052715,0,0,2021-12-29,Adjustment
LT00000262,LOY0029787,FLT0010880,4134,0,2022-06-21,Earn
LT00000263,LOY0029062,FLT0075814,222,0,2025-03-07,Earn
LT00000264,LOY0013705,FLT0025932,474,0,2024-02-05,Earn
LT00000265,LOY0008324,,0,11433,2025-02-22,Redeem
LT00000266,LOY0000225,,0,4251,2021-12-05,Redeem
LT00000267,LOY0023035,FLT0077458,276,0,2021-01-16,Earn
LT00000268,LOY0019887,FLT0031287,2193,0,2022-01-04,Earn
LT00000269,LOY0011295,,2162,0,2023-01-14,Earn
LT00000270,LOY0003234,,0,15982,2024-01-08,Redeem
LT00000271,LOY0030718,FLT0068040,3187,0,2022-02-03,Earn
LT00000272,LOY0029891,FLT0040939,3668,0,2020-05-04,Earn
LT00000273,LOY0004893,,0,17660,2025-07-29,Redeem
LT00000274,LOY0030927,FLT0033871,0,0,2025-01-13,Adjustment
LT00000275,LOY0010079,,3072,0,2020-05-22,Earn
LT00000276,LOY0019477,FLT0003274,3745,0,2024-03-01,Bonus
LT00000277,LOY0026501,,0,18886,2023-09-03,Redeem
LT00000278,LOY0019370,FLT0077094,0,7205,2021-03-09,Redeem
LT00000279,LOY0015687,FLT0028480,0,10060,2024-03-13,Redeem
LT00000280,LOY0017709,FLT0069831,0,1194,2026-07-03,Redeem
LT00000281,LOY0005953,FLT0019048,0,943,2021-03-27,Redeem
LT00000282,LOY0006101,,4232,0,2023-08-30,Bonus
LT00000283,LOY0017754,,0,8769,2020-08-07,Redeem
LT00000284,LOY0016246,FLT0051016,4789,0,2020-10-27,Earn
LT00000285,LOY0005719,,209,0,2025-04-18,Bonus
LT00000286,LOY0015546,FLT0033871,3237,0,2021-11-13,Earn
LT00000287,LOY0022784,,3894,0,2025-11-19,Earn
LT00000288,LOY0020694,,3377,0,2023-11-16,Earn
LT00000289,LOY0024973,,1775,0,2020-06-12,Bonus
LT00000290,LOY0019426,,1459,0,2021-01-13,Earn
LT00000291,LOY0019717,,0,9159,2023-07-21,Redeem
LT00000292,LOY0022133,FLT0072549,844,0,2023-03-25,Earn
LT00000293,LOY0005449,FLT0062748,1473,0,2021-06-05,Earn
LT00000294,LOY0027410,,0,5432,2020-05-23,Redeem
LT00000295,LOY0000910,FLT0055639,1591,0,2021-09-23,Earn
LT00000296,LOY0029217,,1731,0,2021-10-02,Earn
LT00000297,LOY0021157,FLT0053549,0,0,2021-07-06,Adjustment
LT00000298,LOY0004047,FLT0020950,0,932,2022-08-28,Redeem
LT00000299,LOY0005263,FLT0009813,0,0,2024-01-11,Adjustment
LT00000300,LOY0021996,FLT0060470,1318,0,2023-11-07,Earn
LT00000301,LOY0027419,FLT0029105,0,0,2021-04-10,Adjustment
LT00000302,LOY0009402,FLT0033091,0,0,2022-01-23,Adjustment
LT00000303,LOY0028147,,0,2851,2025-02-08,Redeem
LT00000304,LOY0017106,FLT0074014,0,13013,2024-11-09,Redeem
LT00000305,LOY0025047,FLT0019820,0,0,2026-06-28,Adjustment
LT00000306,LOY0010868,,0,6977,2025-03-13,Redeem
LT00000307,LOY0025118,FLT0037633,4958,0,2023-03-15,Earn
LT00000308,LOY0005810,,2642,0,2025-12-06,Earn
LT00000309,LOY0014486,,3200,0,2022-08-23,Earn
LT00000310,LOY0018702,FLT0007621,3660,0,2025-12-23,Earn
LT00000311,LOY0025107,,0,5176,2024-04-15,Redeem
LT00000312,LOY0031034,FLT0076864,1432,0,2021-01-22,Bonus
LT00000313,LOY0008285,FLT0023963,0,4403,2026-05-30,Redeem
LT00000314,LOY0020466,FLT0006232,698,0,2022-03-30,Earn
LT00000315,LOY0010354,FLT0069059,4089,0,2021-08-16,Earn
LT00000316,LOY0027579,,1730,0,2021-07-13,Earn
LT00000317,LOY0023683,,1879,0,2021-02-07,Earn
LT00000318,LOY0000109,FLT0021712,0,2120,2022-08-12,Redeem
LT00000319,LOY0024963,,0,2519,2020-02-10,Redeem
LT00000320,LOY0010404,FLT0047930,3716,0,2020-10-02,Bonus
LT00000321,LOY0021470,FLT0067475,4507,0,2022-01-29,Earn
LT00000322,LOY0018499,FLT0003318,4030,0,2020-04-03,Bonus
LT00000323,LOY0005344,,0,10257,2021-05-07,Redeem
LT00000324,LOY0019049,,0,8591,2024-03-10,Redeem
LT00000325,LOY0010071,FLT0006775,4137,0,2023-02-21,Earn
LT00000326,LOY0019061,FLT0020783,588,0,2025-09-29,Earn
LT00000327,LOY0032358,FLT0002179,0,0,2023-04-17,Adjustment
LT00000328,LOY0026286,FLT0024107,4578,0,2026-05-09,Earn
LT00000329,LOY0020587,FLT0032148,1952,0,2026-07-11,Earn
LT00000330,LOY0025537,,0,0,2024-12-10,Adjustment
LT00000331,LOY0000841,FLT0056469,0,0,2023-12-20,Adjustment
LT00000332,LOY0030380,FLT0059617,2156,0,2025-09-06,Earn
LT00000333,LOY0000521,FLT0037076,309,0,2021-10-26,Earn
LT00000334,LOY0021548,FLT0070781,883,0,2025-10-21,Earn
LT00000335,LOY0001803,,280,0,2023-07-20,Earn
LT00000336,LOY0014951,FLT0009224,2769,0,2024-06-03,Earn
LT00000337,LOY0032436,FLT0028231,127,0,2021-03-05,Earn
LT00000338,LOY0007805,FLT0075630,0,0,2020-11-09,Adjustment
LT00000339,LOY0018537,FLT0003385,0,3395,2022-04-15,Redeem
LT00000340,LOY0026726,FLT0040915,569,0,2024-07-02,Earn
LT00000341,LOY0030951,,1756,0,2023-05-09,Earn
LT00000342,LOY0016207,FLT0064512,0,0,2021-07-07,Adjustment
LT00000343,LOY0021160,FLT0009795,2092,0,2023-11-14,Bonus
LT00000344,LOY0016179,,0,0,2020-04-27,Adjustment
LT00000345,LOY0004750,,4388,0,2020-12-18,Earn
LT00000346,LOY0012432,FLT0023450,0,16938,2022-04-27,Redeem
LT00000347,LOY0018920,FLT0014959,412,0,2025-12-25,Earn
LT00000348,LOY0027985,FLT0043334,4900,0,2022-05-11,Earn
LT00000349,LOY0008564,,0,3623,2025-12-23,Redeem
LT00000350,LOY0029777,FLT0002877,2147,0,2021-04-11,Earn
LT00000351,LOY0001622,FLT0039290,413,0,2021-06-16,Earn
LT00000352,LOY0006100,FLT0023864,0,10735,2025-12-24,Redeem
LT00000353,LOY0015177,FLT0072419,0,7539,2021-09-04,Redeem
LT00000354,LOY0008577,FLT0023143,1859,0,2025-03-26,Earn
LT00000355,LOY0028089,FLT0059742,2102,0,2023-06-18,Earn
LT00000356,LOY0028452,,4281,0,2026-03-13,Earn
LT00000357,LOY0003801,FLT0079402,4343,0,2023-10-17,Earn
LT00000358,LOY0006734,FLT0073309,0,5962,2023-09-05,Redeem
LT00000359,LOY0021341,FLT0059991,0,19057,2022-02-05,Redeem
LT00000360,LOY0011235,FLT0045705,503,0,2025-05-26,Bonus
LT00000361,LOY0015937,FLT0064311,4399,0,2022-04-11,Earn
LT00000362,LOY0017997,FLT0000420,0,8262,2024-11-06,Redeem
LT00000363,LOY0022967,FLT0009106,0,10777,2023-04-18,Redeem
LT00000364,LOY0003193,FLT0030638,4772,0,2020-03-30,Bonus
LT00000365,LOY0006218,,2954,0,2024-06-02,Bonus
LT00000366,LOY0026917,FLT0038574,1128,0,2024-10-25,Earn
LT00000367,LOY0013897,FLT0041411,0,0,2020-05-08,Adjustment
LT00000368,LOY0000225,,0,12564,2021-01-04,Redeem
LT00000369,LOY0028438,FLT0012824,0,9858,2023-01-28,Redeem
LT00000370,LOY0010989,FLT0009620,1355,0,2020-01-17,Earn
LT00000371,LOY0008757,,3634,0,2026-06-29,Earn
LT00000372,LOY0006378,FLT0040623,0,17250,2024-11-03,Redeem
LT00000373,LOY0008374,,0,0,2025-07-22,Adjustment
LT00000374,LOY0002123,FLT0004643,1157,0,2021-02-26,Earn
LT00000375,LOY0003967,FLT0018706,1311,0,2020-06-27,Bonus
LT00000376,LOY0000932,FLT0026127,4293,0,2024-10-10,Bonus
LT00000377,LOY0019567,FLT0033872,358,0,2023-08-29,Earn
LT00000378,LOY0025945,FLT0041731,0,0,2020-06-13,Adjustment
LT00000379,LOY0024788,FLT0079022,3478,0,2026-01-22,Earn
LT00000380,LOY0021914,FLT0072217,1598,0,2023-02-06,Earn
LT00000381,LOY0016071,FLT0003901,2554,0,2025-03-20,Bonus
LT00000382,LOY0017802,FLT0006993,0,547,2025-09-12,Redeem
LT00000383,LOY0002122,FLT0004475,4997,0,2026-05-25,Earn
LT00000384,LOY0019418,FLT0009131,3009,0,2026-01-05,Earn
LT00000385,LOY0002103,,0,0,2021-05-22,Adjustment
LT00000386,LOY0008363,FLT0057530,0,18552,2025-07-08,Redeem
LT00000387,LOY0019504,FLT0039144,0,0,2022-05-02,Adjustment
LT00000388,LOY0005448,,3991,0,2023-07-17,Bonus
LT00000389,LOY0020894,FLT0061731,2593,0,2025-11-24,Earn
LT00000390,LOY0020076,,3013,0,2021-03-07,Bonus
LT00000391,LOY0012345,FLT0007289,4463,0,2021-06-16,Earn
LT00000392,LOY0001453,FLT0050289,1825,0,2022-08-20,Earn
LT00000393,LOY0026329,FLT0022980,3936,0,2024-02-16,Earn
LT00000394,LOY0013819,,1699,0,2021-05-28,Earn
LT00000395,LOY0029170,FLT0019191,0,0,2021-01-07,Adjustment
LT00000396,LOY0032715,FLT0050385,0,17280,2020-03-26,Redeem
LT00000397,LOY0031789,FLT0046851,0,0,2025-04-13,Adjustment
LT00000398,LOY0021261,FLT0061152,2367,0,2021-12-11,Earn
LT00000399,LOY0024767,FLT0059265,1972,0,2024-07-09,Earn
LT00000400,LOY0021328,FLT0008481,1085,0,2025-09-06,Earn
LT00000401,LOY0022785,FLT0076721,0,0,2024-07-02,Adjustment
