gate_id,airport_id,terminal,gate_number,gate_type
GATE00178,APT00217,D,43,Domestic
GATE00179,APT00246,D,13,International
GATE00180,APT00205,C,9,International
GATE00181,APT00087,3,13,Domestic
GATE00182,APT00069,D,55,International
GATE00183,APT00001,1,5,International
GATE00184,APT00249,A,17,Domestic
GATE00185,APT00185,C,21,International
GATE00186,APT00235,3,50,International
GATE00187,APT00199,3,22,International
GATE00188,APT00108,3,53,International
GATE00189,APT00036,A,59,Domestic
GATE00190,APT00012,2,39,International
GATE00191,APT00200,C,21,Domestic
GATE00192,APT00076,A,36,International
GATE00193,APT00095,A,40,Domestic
GATE00194,APT00211,2,7,Domestic
GATE00195,APT00121,E,50,Domestic
GATE00196,APT00239,E,26,International
GATE00197,APT00139,3,50,Domestic
GATE00198,APT00209,A,37,International
GATE00199,APT00031,A,51,International
GATE00200,APT00099,3,5,Domestic
GATE00201,APT00046,E,3,Domestic
GATE00202,APT00014,2,7,International
GATE00203,APT00248,E,52,International
GATE00204,APT00132,B,59,Domestic
GATE00205,APT00089,E,59,International
GATE00206,APT00094,3,20,International
GATE00207,APT00060,A,16,International
GATE00208,APT00031,B,21,International
GATE00209,APT00229,C,49,Domestic
GATE00210,APT00026,D,15,International
GATE00211,APT00096,1,33,Domestic
GATE00212,APT00038,B,39,Domestic
GATE00213,APT00233,3,22,International
GATE00214,APT00052,B,28,Domestic
GATE00215,APT00099,B,40,International
GATE00216,APT00190,3,47,Domestic
GATE00217,APT00146,D,12,Domestic
GATE00218,APT00096,E,31,International
GATE00219,APT00144,D,10,International
GATE00220,APT00110,C,1,Domestic
GATE00221,APT00072,E,39,Domestic
GATE00222,APT00153,2,29,Domestic
GATE00223,APT00092,A,16,International
GATE00224,APT00241,3,4,International
GATE00225,APT00117,B,56,Domestic
GATE00226,APT00191,3,49,International
GATE00227,APT00059,3,56,Domestic
GATE00228,APT00164,3,7,International
GATE00229,APT00143,1,1,International
GATE00230,APT00188,3,13,International
GATE00231,APT00116,2,6,Domestic
GATE00232,APT00182,1,28,Domestic
GATE00233,APT00015,3,39,International
GATE00234,APT00175,C,12,Domestic
GATE00235,APT00190,2,24,Domestic
GATE00236,APT00126,3,32,International
GATE00237,APT00009,1,19,International
GATE00238,APT00145,A,28,International
GATE00239,APT00197,B,35,International
GATE00240,APT00116,B,57,Domestic
GATE00241,APT00023,E,19,International
GATE00242,APT00099,D,6,Domestic
GATE00243,APT00249,2,52,International
GATE00244,APT00068,C,35,International
GATE00245,APT00135,B,28,Domestic
GATE00246,APT00089,E,43,Domestic
GATE00247,APT00180,B,58,Domestic
GATE00248,APT00108,3,8,International
GATE00249,APT00096,A,51,International
GATE00250,APT00148,D,38,Domestic
GATE00251,APT00146,3,35,International
GATE00252,APT00126,E,51,Domestic
GATE00253,APT00065,2,18,International
GATE00254,APT00027,D,47,Domestic
GATE00255,APT00175,2,34,International
GATE00256,APT00084,1,56,International
GATE00257,APT00156,E,28,International
GATE00258,APT00094,A,43,Domestic
GATE00259,APT00215,3,30,International
GATE00260,APT00179,A,24,International
GATE00261,APT00102,C,23,Domestic
GATE00262,APT00083,1,55,International
GATE00263,APT00189,2,50,Domestic
GATE00264,APT00002,E,14,International
GATE00265,APT00015,D,52,Domestic
GATE00266,APT00021,D,35,International
GATE00267,APT00087,3,7,International
GATE00268,APT00126,C,46,International
GATE00269,APT00073,2,10,Domestic
GATE00270,APT00047,A,52,International
GATE00271,APT00078,1,27,Domestic
GATE00272,APT00125,1,55,International
GATE00273,APT00074,1,29,Domestic
GATE00274,APT00147,D,6,Domestic
GATE00275,APT00096,1,46,Domestic
GATE00276,APT00234,D,43,Domestic
GATE00277,APT00249,E,18,Domestic
GATE00278,APT00166,3,13,International
GATE00279,APT00142,1,51,Domestic
GATE00280,APT00008,1,46,International
GATE00281,APT00158,3,18,Domestic
GATE00282,APT00095,B,42,International
GATE00283,APT00072,E,15,Domestic
GATE00284,APT00200,1,11,Domestic
GATE00285,APT00011,1,40,International
GATE00286,APT00065,B,50,Domestic
GATE00287,APT00195,2,55,International
GATE00288,APT00232,B,28,International
GATE00289,APT00131,D,9,Domestic
GATE00290,APT00135,1,33,International
GATE00291,APT00242,C,41,Domestic
GATE00292,APT00023,B,58,International
GATE00293,APT00121,1,7,International
GATE00294,APT00060,C,39,Domestic
GATE00295,APT00120,2,31,Domestic
GATE00296,APT00228,3,35,International
GATE00297,APT00152,C,6,Domestic
GATE00298,APT00248,1,1,International
GATE00299,APT00128,B,36,Domestic
GATE00300,APT00217,3,12,International
GATE00301,APT00042,B,37,International
GATE00302,APT00080,3,2,Domestic
GATE00303,APT00068,2,48,International
GATE00304,APT00194,C,20,International
GATE00305,APT00131,2,27,International
GATE00306,APT00056,1,21,International
GATE00307,APT00044,1,25,Domestic
GATE00308,APT00096,D,32,International
GATE00309,APT00038,B,39,International
GATE00310,APT00177,1,41,International
GATE00311,APT00213,A,59,International
GATE00312,APT00243,C,11,Domestic
GATE00313,APT00059,B,52,Domestic
GATE00314,APT00111,A,36,International
GATE00315,APT00127,A,19,International
GATE00316,APT00125,A,55,International
GATE00317,APT00114,3,42,Domestic
GATE00318,APT00055,2,11,International
GATE00319,APT00028,3,11,International
GATE00320,APT00102,A,39,International
GATE00321,APT00023,3,44,International
GATE00322,APT00016,E,3,International
GATE00323,APT00133,2,38,International
GATE00324,APT00216,2,32,International
GATE00325,APT00137,C,58,International
GATE00326,APT00006,1,44,International
GATE00327,APT00212,1,54,International
GATE00328,APT00173,D,3,Domestic
GATE00329,APT00075,D,46,Domestic
GATE00330,APT00068,B,20,International
GATE00331,APT00226,B,33,International
GATE00332,APT00120,3,52,International
GATE00333,APT00035,1,52,Domestic
GATE00334,APT00070,E,14,International
GATE00335,APT00066,1,15,International
GATE00336,APT00101,D,43,International
GATE00337,APT00087,B,52,International
GATE00338,APT00139,3,37,Domestic
GATE00339,APT00080,3,4,International
GATE00340,APT00163,B,10,International
GATE00341,APT00125,2,45,International
GATE00342,APT00236,D,44,Domestic
GATE00343,APT00209,1,53,International
GATE00344,APT00083,A,32,International
GATE00345,APT00011,D,26,Domestic
GATE00346,APT00149,A,7,International
GATE00347,APT00084,2,47,Domestic
GATE00348,APT00227,D,57,Domestic
GATE00349,APT00102,C,3,International
GATE00350,APT00072,1,30,Domestic
GATE00351,APT00084,3,21,International
GATE00352,APT00218,C,44,International
GATE00353,APT00028,1,46,International
GATE00354,APT00240,1,13,International
GATE00355,APT00058,D,57,Domestic
GATE00356,APT00213,2,9,Domestic
GATE00357,APT00138,B,47,International
GATE00358,APT00146,3,44,Domestic
GATE00359,APT00051,D,10,International
GATE00360,APT00183,A,40,International
GATE00361,APT00165,3,16,Domestic
GATE00362,APT00121,2,17,Domestic
GATE00363,APT00115,2,6,Domestic
GATE00364,APT00152,B,45,International
GATE00365,APT00119,2,48,Domestic
GATE00366,APT00244,1,30,Domestic
GATE00367,APT00011,3,46,Domestic
GATE00368,APT00063,C,21,International
GATE00369,APT00214,3,34,International
GATE00370,APT00200,1,47,International
GATE00371,APT00087,C,26,International
GATE00372,APT00128,B,37,International
GATE00373,APT00007,3,9,International
GATE00374,APT00045,1,30,International
GATE00375,APT00237,A,51,Domestic
GATE00376,APT00164,B,46,Domestic
GATE00377,APT00010,2,18,Domestic
GATE00378,APT00200,B,33,Domestic
GATE00379,APT00102,B,37,Domestic
GATE00380,APT00145,E,56,Domestic
GATE00381,APT00216,2,49,Domestic
GATE00382,APT00211,C,49,International
GATE00383,APT00034,1,45,International
GATE00384,APT00092,1,22,Domestic
GATE00385,APT00068,E,23,Domestic
GATE00386,APT00229,1,28,International
GATE00387,APT00197,B,26,International
GATE00388,APT00165,E,57,Domestic
GATE00389,APT00015,A,52,International
GATE00390,APT00202,1,53,International
GATE00391,APT00143,2,36,International
GATE00392,APT00068,2,12,International
GATE00393,APT00112,A,9,Domestic
GATE00394,APT00112,3,17,International
GATE00395,APT00074,D,39,International
GATE00396,APT00228,A,22,Domestic
GATE00397,APT00230,E,39,Domestic
GATE00398,APT00013,E,52,Domestic
GATE00399,APT00235,D,20,Domestic
GATE00400,APT00102,1,55,International
GATE00401,APT00202,E,31,Domestic
GATE00402,APT00197,B,48,International
GATE00403,APT00153,E,4,Domestic
GATE00404,APT00188,C,17,International
GATE00405,APT00173,A,55,International
GATE00406,APT00214,C,53,International
GATE00407,APT00107,3,34,International
GATE00408,APT00187,E,2,International
GATE00409,APT00245,C,4,International
GATE00410,APT00238,C,25,Domestic
GATE00411,APT00037,2,53,International
GATE00412,APT00126,1,23,International
GATE00413,APT00130,2,53,Domestic
GATE00414,APT00159,E,32,International
GATE00415,APT00164,3,8,Domestic
GATE00416,APT00213,1,34,Domestic
GATE00417,APT00135,D,22,International
GATE00418,APT00178,C,14,Domestic
GATE00419,APT00226,A,40,Domestic
GATE00420,APT00025,2,13,Domestic
GATE00421,APT00163,3,54,Domestic
GATE00422,APT00092,1,48,Domestic
GATE00423,APT00228,D,47,International
GATE00424,APT00141,B,5,International
GATE00425,APT00154,1,57,International
GATE00426,APT00191,B,30,International
GATE00427,APT00061,E,44,International
GATE00428,APT00138,C,12,Domestic
GATE00429,APT00195,2,46,International
GATE00430,APT00196,3,19,International
GATE00431,APT00057,B,42,Domestic
GATE00432,APT00211,C,17,Domestic
GATE00433,APT00040,3,56,International
GATE00434,APT00066,A,42,International
GATE00435,APT00216,E,27,International
GATE00436,APT00157,B,27,Domestic
GATE00437,APT00138,D,1,International
GATE00438,APT00142,A,18,Domestic
GATE00439,APT00243,B,47,Domestic
GATE00440,APT00057,D,50,Domestic
GATE00441,APT00074,A,59,International
GATE00442,APT00124,2,6,Domestic
GATE00443,APT00213,E,15,Domestic
GATE00444,APT00139,D,46,Domestic
GATE00445,APT00184,D,22,Domestic
GATE00446,APT00206,2,15,Domestic
GATE00447,APT00224,2,17,International
GATE00448,APT00116,A,55,Domestic
GATE00449,APT00115,1,51,Domestic
GATE00450,APT00020,D,1,Domestic
GATE00451,APT00020,2,50,International
GATE00452,APT00122,2,33,International
GATE00453,APT00189,1,50,Domestic
GATE00454,APT00211,1,37,Domestic
GATE00455,APT00103,B,41,International
GATE00456,APT00146,2,35,International
GATE00457,APT00205,1,44,International
GATE00458,APT00079,C,49,International
GATE00459,APT00039,B,30,Domestic
GATE00460,APT00231,E,7,International
GATE00461,APT00139,C,6,International
GATE00462,APT00038,1,25,International
GATE00463,APT00063,D,28,International
GATE00464,APT00081,B,51,Domestic
GATE00465,APT00051,D,2,International
GATE00466,APT00110,2,53,International
GATE00467,APT00205,2,4,Domestic
GATE00468,APT00187,C,30,Domestic
GATE00469,APT00230,2,25,Domestic
GATE00470,APT00210,A,33,Domestic
GATE00471,APT00077,3,3,International
GATE00472,APT00015,2,46,International
GATE00473,APT00038,A,8,Domestic
GATE00474,APT00200,1,46,Domestic
GATE00475,APT00086,D,34,International
GATE00476,APT00182,3,53,Domestic
GATE00477,APT00115,B,58,Domestic
GATE00478,APT00225,3,50,International
GATE00479,APT00128,2,27,Domestic
GATE00480,APT00226,C,25,Domestic
GATE00481,APT00063,D,40,Domestic
GATE00482,APT00196,1,39,International
GATE00483,APT00133,B,47,International
GATE00484,APT00048,3,29,Domestic
GATE00485,APT00059,B,28,International
GATE00486,APT00078,B,7,Domestic
GATE00487,APT00038,E,10,Domestic
GATE00488,APT00235,D,49,International
GATE00489,APT00053,A,59,Domestic
GATE00490,APT00152,3,36,Domestic
GATE00491,APT00146,B,21,Domestic
GATE00492,APT00137,A,4,Domestic
GATE00493,APT00160,E,3,Domestic
GATE00494,APT00230,3,40,International
GATE00495,APT00243,A,38,International
GATE00496,APT00220,D,17,Domestic
GATE00497,APT00116,3,12,Domestic
GATE00498,APT00184,3,5,Domestic
GATE00499,APT00047,B,41,Domestic
GATE00500,APT00222,E,36,International
GATE00501,APT00049,2,20,Domestic
GATE00502,APT00028,1,44,Domestic
GATE00503,APT00209,1,50,International
GATE00504,APT00191,2,31,International
GATE00505,APT00034,D,16,International
GATE00506,APT00242,A,1,Domestic
GATE00507,APT00028,1,47,International
GATE00508,APT00012,1,35,International
GATE00509,APT00240,2,21,International
GATE00510,APT00056,3,1,International
GATE00511,APT00059,C,49,International
GATE00512,APT00200,3,55,Domestic
GATE00513,APT00155,A,29,International
GATE00514,APT00132,3,16,International
GATE00515,APT00248,B,37,International
GATE00516,APT00022,1,52,International
GATE00517,APT00232,1,35,Domestic
GATE00518,APT00067,1,1,International
GATE00519,APT00158,3,12,Domestic
GATE00520,APT00081,E,6,Domestic
GATE00521,APT00073,B,25,International
GATE00522,APT00080,E,27,Domestic
GATE00523,APT00143,C,32,Domestic
GATE00524,APT00221,E,45,Domestic
GATE00525,APT00028,D,7,Domestic
GATE00526,APT00168,A,56,International
GATE00527,APT00216,1,16,Domestic
GATE00528,APT00186,A,31,International
GATE00529,APT00246,C,13,International
GATE00530,APT00004,E,21,International
GATE00531,APT00091,3,50,International
GATE00532,APT00108,C,3,International
GATE00533,APT00136,C,29,Domestic
GATE00534,APT00079,C,35,Domestic
GATE00535,APT00063,E,34,Domestic
GATE00536,APT00214,B,23,Domestic
GATE00537,APT00058,E,23,International
GATE00538,APT00239,2,54,International
GATE00539,APT00010,A,15,Domestic
GATE00540,APT00107,3,29,International
GATE00541,APT00155,E,22,Domestic
GATE00542,APT00244,1,46,Domestic
GATE00543,APT00193,E,48,International
GATE00544,APT00004,3,51,International
GATE00545,APT00189,1,6,Domestic
GATE00546,APT00081,3,6,Domestic
GATE00547,APT00216,C,23,International
GATE00548,APT00196,B,27,Domestic
GATE00549,APT00048,1,4,Domestic
GATE00550,APT00090,B,53,International
GATE00551,APT00207,A,53,International
GATE00552,APT00231,B,26,International
GATE00553,APT00154,C,46,Domestic
GATE00554,APT00055,A,34,Domestic
GATE00555,APT00098,1,39,International
GATE00556,APT00201,E,52,International
GATE00557,APT00153,B,6,Domestic
GATE00558,APT00051,C,14,Domestic
GATE00559,APT00071,3,26,Domestic
GATE00560,APT00050,3,53,Domestic
GATE00561,APT00118,A,35,Domestic
GATE00562,APT00112,E,24,Domestic
GATE00563,APT00138,C,2,Domestic
GATE00564,APT00237,C,35,Domestic
GATE00565,APT00165,E,16,Domestic
GATE00566,APT00149,3,20,Domestic
GATE00567,APT00092,E,59,Domestic
GATE00568,APT00161,3,32,International
GATE00569,APT00240,2,9,International
GATE00570,APT00003,2,3,International
GATE00571,APT00088,2,23,Domestic
GATE00572,APT00014,2,4,Domestic
GATE00573,APT00051,C,26,Domestic
GATE00574,APT00017,3,25,International
GATE00575,APT00151,3,52,Domestic
GATE00576,APT00206,E,20,Domestic
GATE00577,APT00236,1,17,Domestic
GATE00578,APT00059,3,37,International
GATE00579,APT00177,B,38,International
GATE00580,APT00082,A,3,International
GATE00581,APT00079,3,5,Domestic
GATE00582,APT00155,E,10,Domestic
GATE00583,APT00172,1,46,Domestic
GATE00584,APT00149,E,13,International
GATE00585,APT00025,E,59,International
GATE00586,APT00104,A,26,International
GATE00587,APT00071,C,56,International
GATE00588,APT00002,A,15,International
GATE00589,APT00010,D,25,International
GATE00590,APT00113,A,9,International
GATE00591,APT00025,2,50,Domestic
GATE00592,APT00187,C,36,Domestic
GATE00593,APT00014,1,5,International
GATE00594,APT00059,A,44,International
GATE00595,APT00247,A,53,Domestic
GATE00596,APT00179,D,41,International
GATE00597,APT00143,2,48,International
GATE00598,APT00004,2,17,Domestic
GATE00599,APT00011,E,26,Domestic
GATE00600,APT00228,E,51,Domestic
