log_id,flight_id,status,status_time,remarks
LOG00000084,FLT0000021,Arrived,2026-07-01 23:30:00,
LOG00000085,FLT0000022,Scheduled,2026-03-11 01:15:00,
LOG00000086,FLT0000022,Boarding,2026-03-11 02:00:00,
LOG00000087,FLT0000022,Departed,2026-03-11 02:45:00,
LOG00000088,FLT0000022,Arrived,2026-03-11 03:30:00,
LOG00000089,FLT0000023,Scheduled,2025-10-05 12:15:00,
LOG00000090,FLT0000023,Boarding,2025-10-05 13:00:00,
LOG00000091,FLT0000023,Departed,2025-10-05 13:45:00,
LOG00000092,FLT0000023,Arrived,2025-10-05 14:30:00,
LOG00000093,FLT0000024,Scheduled,2026-07-26 01:15:00,
LOG00000094,FLT0000024,Boarding,2026-07-26 02:00:00,
LOG00000095,FLT0000024,Departed,2026-07-26 02:45:00,
LOG00000096,FLT0000024,Arrived,2026-07-26 03:30:00,
LOG00000097,FLT0000025,Scheduled,2026-08-10 10:00:00,
LOG00000098,FLT0000026,Scheduled,2026-03-06 22:15:00,
LOG00000099,FLT0000026,Boarding,2026-03-06 23:00:00,
LOG00000100,FLT0000026,Departed,2026-03-06 23:45:00,
LOG00000101,FLT0000026,Arrived,2026-03-07 00:30:00,
LOG00000102,FLT0000027,Scheduled,2026-06-07 09:45:00,
LOG00000103,FLT0000027,Boarding,2026-06-07 10:30:00,
LOG00000104,FLT0000027,Departed,2026-06-07 11:15:00,
LOG00000105,FLT0000027,Arrived,2026-06-07 12:00:00,
LOG00000106,FLT0000028,Scheduled,2026-04-24 12:45:00,
LOG00000107,FLT0000028,Boarding,2026-04-24 13:30:00,
LOG00000108,FLT0000028,Departed,2026-04-24 14:15:00,Delay communicated to passengers
LOG00000109,FLT0000028,Arrived,2026-04-24 15:00:00,
LOG00000110,FLT0000029,Scheduled,2025-12-17 19:45:00,
LOG00000111,FLT0000029,Boarding,2025-12-17 20:30:00,
LOG00000112,FLT0000029,Departed,2025-12-17 21:15:00,
LOG00000113,FLT0000029,Arrived,2025-12-17 22:00:00,
LOG00000114,FLT0000030,Scheduled,2025-12-09 04:30:00,
LOG00000115,FLT0000030,Boarding,2025-12-09 05:15:00,
LOG00000116,FLT0000030,Departed,2025-12-09 06:00:00,
LOG00000117,FLT0000030,Arrived,2025-12-09 06:45:00,
LOG00000118,FLT0000031,Scheduled,2026-03-08 15:45:00,
LOG00000119,FLT0000031,Boarding,2026-03-08 16:30:00,
LOG00000120,FLT0000031,Departed,2026-03-08 17:15:00,
LOG00000121,FLT0000031,Arrived,2026-03-08 18:00:00,
LOG00000122,FLT0000032,Scheduled,2025-09-02 01:30:00,
LOG00000123,FLT0000032,Boarding,2025-09-02 02:15:00,
LOG00000124,FLT0000032,Departed,2025-09-02 03:00:00,
LOG00000125,FLT0000032,Arrived,2025-09-02 03:45:00,
LOG00000126,FLT0000033,Scheduled,2026-05-29 22:15:00,
LOG00000127,FLT0000033,Boarding,2026-05-29 23:00:00,
LOG00000128,FLT0000033,Departed,2026-05-29 23:45:00,
LOG00000129,FLT0000033,Arrived,2026-05-30 00:30:00,
LOG00000130,FLT0000034,Scheduled,2026-07-16 03:30:00,
LOG00000131,FLT0000034,Boarding,2026-07-16 04:15:00,
LOG00000132,FLT0000034,Departed,2026-07-16 05:00:00,
LOG00000133,FLT0000034,Arrived,2026-07-16 05:45:00,
LOG00000134,FLT0000035,Scheduled,2026-06-14 14:15:00,
LOG00000135,FLT0000035,Boarding,2026-06-14 15:00:00,
LOG00000136,FLT0000035,Departed,2026-06-14 15:45:00,
LOG00000137,FLT0000035,Arrived,2026-06-14 16:30:00,
LOG00000138,FLT0000036,Scheduled,2026-07-23 11:00:00,
LOG00000139,FLT0000036,Boarding,2026-07-23 11:45:00,
LOG00000140,FLT0000036,Departed,2026-07-23 12:30:00,
LOG00000141,FLT0000036,Arrived,2026-07-23 13:15:00,
LOG00000142,FLT0000037,Scheduled,2025-08-02 20:45:00,
LOG00000143,FLT0000037,Boarding,2025-08-02 21:30:00,
LOG00000144,FLT0000037,Departed,2025-08-02 22:15:00,
LOG00000145,FLT0000037,Arrived,2025-08-02 23:00:00,
LOG00000146,FLT0000038,Scheduled,2026-05-05 22:15:00,
LOG00000147,FLT0000038,Boarding,2026-05-05 23:00:00,
LOG00000148,FLT0000038,Departed,2026-05-05 23:45:00,
LOG00000149,FLT0000038,Arrived,2026-05-06 00:30:00,
LOG00000150,FLT0000039,Scheduled,2026-07-31 00:30:00,
LOG00000151,FLT0000039,Boarding,2026-07-31 01:15:00,
LOG00000152,FLT0000039,Departed,2026-07-31 02:00:00,
LOG00000153,FLT0000039,Arrived,2026-07-31 02:45:00,
LOG00000154,FLT0000040,Scheduled,2025-12-22 22:30:00,
LOG00000155,FLT0000040,Boarding,2025-12-22 23:15:00,
LOG00000156,FLT0000040,Departed,2025-12-23 00:00:00,
LOG00000157,FLT0000040,Arrived,2025-12-23 00:45:00,
LOG00000158,FLT0000041,Scheduled,2026-06-05 11:45:00,
LOG00000159,FLT0000041,Boarding,2026-06-05 12:30:00,
LOG00000160,FLT0000041,Departed,2026-06-05 13:15:00,
LOG00000161,FLT0000041,Arrived,2026-06-05 14:00:00,
LOG00000162,FLT0000042,Scheduled,2026-04-30 15:15:00,
LOG00000163,FLT0000042,Boarding,2026-04-30 16:00:00,
LOG00000164,FLT0000042,Departed,2026-04-30 16:45:00,
LOG00000165,FLT0000042,Arrived,2026-04-30 17:30:00,
LOG00000166,FLT0000043,Scheduled,2025-12-16 21:30:00,
LOG00000167,FLT0000043,Boarding,2025-12-16 22:15:00,
LOG00000168,FLT0000043,Departed,2025-12-16 23:00:00,
LOG00000169,FLT0000043,Arrived,2025-12-16 23:45:00,
LOG00000170,FLT0000044,Scheduled,2026-02-11 00:00:00,
LOG00000171,FLT0000044,Boarding,2026-02-11 00:45:00,
LOG00000172,FLT0000044,Departed,2026-02-11 01:30:00,
LOG00000173,FLT0000044,Arrived,2026-02-11 02:15:00,
LOG00000174,FLT0000045,Scheduled,2025-11-22 03:30:00,
LOG00000175,FLT0000045,Boarding,2025-11-22 04:15:00,
LOG00000176,FLT0000045,Departed,2025-11-22 05:00:00,
LOG00000177,FLT0000045,Arrived,2025-11-22 05:45:00,
LOG00000178,FLT0000046,Scheduled,2026-01-06 18:15:00,
LOG00000179,FLT0000046,Boarding,2026-01-06 19:00:00,
LOG00000180,FLT0000046,Departed,2026-01-06 19:45:00,
LOG00000181,FLT0000046,Arrived,2026-01-06 20:30:00,
LOG00000182,FLT0000047,Scheduled,2026-01-16 14:30:00,
LOG00000183,FLT0000047,Boarding,2026-01-16 15:15:00,
LOG00000184,FLT0000047,Departed,2026-01-16 16:00:00,
LOG00000185,FLT0000047,Arrived,2026-01-16 16:45:00,
LOG00000186,FLT0000048,Scheduled,2026-01-20 14:30:00,
LOG00000187,FLT0000048,Boarding,2026-01-20 15:15:00,
LOG00000188,FLT0000048,Departed,2026-01-20 16:00:00,
LOG00000189,FLT0000048,Arrived,2026-01-20 16:45:00,
LOG00000190,FLT0000049,Scheduled,2025-11-03 23:45:00,
LOG00000191,FLT0000049,Boarding,2025-11-04 00:30:00,
LOG00000192,FLT0000049,Departed,2025-11-04 01:15:00,
LOG00000193,FLT0000049,Arrived,2025-11-04 02:00:00,
LOG00000194,FLT0000050,Scheduled,2026-04-16 20:15:00,
LOG00000195,FLT0000050,Boarding,2026-04-16 21:00:00,
LOG00000196,FLT0000050,Departed,2026-04-16 21:45:00,
LOG00000197,FLT0000050,Arrived,2026-04-16 22:30:00,
LOG00000198,FLT0000051,Scheduled,2025-10-24 03:15:00,
LOG00000199,FLT0000051,Cancelled,2025-10-24 04:00:00,
LOG00000200,FLT0000052,Scheduled,2026-06-10 00:30:00,
LOG00000201,FLT0000052,Boarding,2026-06-10 01:15:00,
LOG00000202,FLT0000052,Departed,2026-06-10 02:00:00,Delay communicated to passengers
LOG00000203,FLT0000052,Arrived,2026-06-10 02:45:00,
LOG00000204,FLT0000053,Scheduled,2026-06-25 13:30:00,
LOG00000205,FLT0000053,Boarding,2026-06-25 14:15:00,
LOG00000206,FLT0000053,Departed,2026-06-25 15:00:00,
LOG00000207,FLT0000053,Arrived,2026-06-25 15:45:00,
LOG00000208,FLT0000054,Scheduled,2026-06-17 21:00:00,
LOG00000209,FLT0000054,Boarding,2026-06-17 21:45:00,
LOG00000210,FLT0000054,Departed,2026-06-17 22:30:00,
LOG00000211,FLT0000054,Arrived,2026-06-17 23:15:00,
LOG00000212,FLT0000055,Scheduled,2026-03-11 10:30:00,
LOG00000213,FLT0000055,Boarding,2026-03-11 11:15:00,
LOG00000214,FLT0000055,Departed,2026-03-11 12:00:00,
LOG00000215,FLT0000055,Arrived,2026-03-11 12:45:00,
LOG00000216,FLT0000056,Scheduled,2025-12-15 22:45:00,
LOG00000217,FLT0000056,Cancelled,2025-12-15 23:30:00,
LOG00000218,FLT0000057,Scheduled,2026-02-21 16:30:00,
LOG00000219,FLT0000057,Boarding,2026-02-21 17:15:00,
LOG00000220,FLT0000057,Departed,2026-02-21 18:00:00,
LOG00000221,FLT0000057,Arrived,2026-02-21 18:45:00,
LOG00000222,FLT0000058,Scheduled,2026-06-18 22:15:00,
LOG00000223,FLT0000058,Boarding,2026-06-18 23:00:00,
LOG00000224,FLT0000058,Departed,2026-06-18 23:45:00,
LOG00000225,FLT0000058,Arrived,2026-06-19 00:30:00,
LOG00000226,FLT0000059,Scheduled,2026-01-24 08:30:00,
LOG00000227,FLT0000059,Boarding,2026-01-24 09:15:00,
LOG00000228,FLT0000059,Departed,2026-01-24 10:00:00,
LOG00000229,FLT0000059,Arrived,2026-01-24 10:45:00,
LOG00000230,FLT0000060,Scheduled,2026-07-09 13:45:00,
LOG00000231,FLT0000060,Boarding,2026-07-09 14:30:00,
LOG00000232,FLT0000060,Departed,2026-07-09 15:15:00,
LOG00000233,FLT0000060,Arrived,2026-07-09 16:00:00,
LOG00000234,FLT0000061,Scheduled,2026-02-02 01:30:00,
LOG00000235,FLT0000061,Boarding,2026-02-02 02:15:00,
LOG00000236,FLT0000061,Departed,2026-02-02 03:00:00,
LOG00000237,FLT0000061,Arrived,2026-02-02 03:45:00,
LOG00000238,FLT0000062,Scheduled,2025-10-29 02:45:00,
LOG00000239,FLT0000062,Boarding,2025-10-29 03:30:00,
LOG00000240,FLT0000062,Departed,2025-10-29 04:15:00,
LOG00000241,FLT0000062,Arrived,2025-10-29 05:00:00,
LOG00000242,FLT0000063,Scheduled,2025-09-25 03:00:00,
LOG00000243,FLT0000063,Boarding,2025-09-25 03:45:00,
LOG00000244,FLT0000063,Departed,2025-09-25 04:30:00,
LOG00000245,FLT0000063,Arrived,2025-09-25 05:15:00,
LOG00000246,FLT0000064,Scheduled,2025-08-31 23:45:00,
LOG00000247,FLT0000064,Boarding,2025-09-01 00:30:00,
LOG00000248,FLT0000064,Departed,2025-09-01 01:15:00,
LOG00000249,FLT0000064,Arrived,2025-09-01 02:00:00,
LOG00000250,FLT0000065,Scheduled,2026-03-30 02:30:00,
LOG00000251,FLT0000065,Boarding,2026-03-30 03:15:00,
LOG00000252,FLT0000065,Departed,2026-03-30 04:00:00,
LOG00000253,FLT0000065,Arrived,2026-03-30 04:45:00,
LOG00000254,FLT0000066,Scheduled,2026-07-26 18:15:00,
LOG00000255,FLT0000066,Boarding,2026-07-26 19:00:00,
LOG00000256,FLT0000066,Departed,2026-07-26 19:45:00,
LOG00000257,FLT0000066,Arrived,2026-07-26 20:30:00,
LOG00000258,FLT0000067,Scheduled,2025-12-17 08:45:00,
LOG00000259,FLT0000067,Boarding,2025-12-17 09:30:00,
LOG00000260,FLT0000067,Departed,2025-12-17 10:15:00,
LOG00000261,FLT0000067,Arrived,2025-12-17 11:00:00,
LOG00000262,FLT0000068,Scheduled,2025-10-30 19:45:00,
LOG00000263,FLT0000068,Boarding,2025-10-30 20:30:00,
LOG00000264,FLT0000068,Departed,2025-10-30 21:15:00,
LOG00000265,FLT0000068,Arrived,2025-10-30 22:00:00,
LOG00000266,FLT0000069,Scheduled,2025-10-08 06:30:00,
LOG00000267,FLT0000069,Boarding,2025-10-08 07:15:00,
LOG00000268,FLT0000069,Departed,2025-10-08 08:00:00,
LOG00000269,FLT0000069,Arrived,2025-10-08 08:45:00,
LOG00000270,FLT0000070,Scheduled,2025-10-29 14:15:00,
LOG00000271,FLT0000070,Boarding,2025-10-29 15:00:00,
LOG00000272,FLT0000070,Departed,2025-10-29 15:45:00,Delay communicated to passengers
LOG00000273,FLT0000070,Arrived,2025-10-29 16:30:00,
LOG00000274,FLT0000071,Scheduled,2026-05-07 23:15:00,
LOG00000275,FLT0000071,Boarding,2026-05-08 00:00:00,
LOG00000276,FLT0000071,Departed,2026-05-08 00:45:00,
LOG00000277,FLT0000071,Arrived,2026-05-08 01:30:00,
LOG00000278,FLT0000072,Scheduled,2026-07-16 19:30:00,
LOG00000279,FLT0000072,Boarding,2026-07-16 20:15:00,
LOG00000280,FLT0000072,Departed,2026-07-16 21:00:00,
LOG00000281,FLT0000072,Arrived,2026-07-16 21:45:00,
LOG00000282,FLT0000073,Scheduled,2026-07-17 00:00:00,
LOG00000283,FLT0000073,Boarding,2026-07-17 00:45:00,
LOG00000284,FLT0000073,Departed,2026-07-17 01:30:00,
LOG00000285,FLT0000073,Arrived,2026-07-17 02:15:00,
LOG00000286,FLT0000074,Scheduled,2025-08-04 22:45:00,
LOG00000287,FLT0000074,Boarding,2025-08-04 23:30:00,
LOG00000288,FLT0000074,Departed,2025-08-05 00:15:00,
LOG00000289,FLT0000074,Arrived,2025-08-05 01:00:00,
LOG00000290,FLT0000075,Scheduled,2025-11-20 17:45:00,
LOG00000291,FLT0000075,Boarding,2025-11-20 18:30:00,
LOG00000292,FLT0000075,Departed,2025-11-20 19:15:00,Delay communicated to passengers
LOG00000293,FLT0000075,Arrived,2025-11-20 20:00:00,
LOG00000294,FLT0000076,Scheduled,2026-05-26 05:45:00,
LOG00000295,FLT0000076,Boarding,2026-05-26 06:30:00,
LOG00000296,FLT0000076,Departed,2026-05-26 07:15:00,
LOG00000297,FLT0000076,Arrived,2026-05-26 08:00:00,
LOG00000298,FLT0000077,Scheduled,2025-11-13 18:15:00,
LOG00000299,FLT0000077,Boarding,2025-11-13 19:00:00,
LOG00000300,FLT0000077,Departed,2025-11-13 19:45:00,
LOG00000301,FLT0000077,Arrived,2025-11-13 20:30:00,
LOG00000302,FLT0000078,Scheduled,2025-12-22 03:00:00,
LOG00000303,FLT0000078,Boarding,2025-12-22 03:45:00,
LOG00000304,FLT0000078,Departed,2025-12-22 04:30:00,
LOG00000305,FLT0000078,Arrived,2025-12-22 05:15:00,
LOG00000306,FLT0000079,Scheduled,2025-09-17 16:00:00,
LOG00000307,FLT0000079,Boarding,2025-09-17 16:45:00,
LOG00000308,FLT0000079,Departed,2025-09-17 17:30:00,
LOG00000309,FLT0000079,Arrived,2025-09-17 18:15:00,
LOG00000310,FLT0000080,Scheduled,2026-02-05 18:00:00,
LOG00000311,FLT0000080,Boarding,2026-02-05 18:45:00,
LOG00000312,FLT0000080,Departed,2026-02-05 19:30:00,
LOG00000313,FLT0000080,Arrived,2026-02-05 20:15:00,
LOG00000314,FLT0000081,Scheduled,2026-07-20 05:00:00,
LOG00000315,FLT0000081,Boarding,2026-07-20 05:45:00,
LOG00000316,FLT0000081,Departed,2026-07-20 06:30:00,
LOG00000317,FLT0000081,Arrived,2026-07-20 07:15:00,
LOG00000318,FLT0000082,Scheduled,2026-04-06 01:00:00,
LOG00000319,FLT0000082,Boarding,2026-04-06 01:45:00,
LOG00000320,FLT0000082,Departed,2026-04-06 02:30:00,
LOG00000321,FLT0000082,Arrived,2026-04-06 03:15:00,
LOG00000322,FLT0000083,Scheduled,2026-03-05 16:30:00,
LOG00000323,FLT0000083,Boarding,2026-03-05 17:15:00,
LOG00000324,FLT0000083,Departed,2026-03-05 18:00:00,
LOG00000325,FLT0000083,Arrived,2026-03-05 18:45:00,
LOG00000326,FLT0000084,Scheduled,2025-11-15 23:15:00,
LOG00000327,FLT0000084,Boarding,2025-11-16 00:00:00,
LOG00000328,FLT0000084,Departed,2025-11-16 00:45:00,
LOG00000329,FLT0000084,Arrived,2025-11-16 01:30:00,
LOG00000330,FLT0000085,Scheduled,2025-08-13 13:30:00,
LOG00000331,FLT0000085,Boarding,2025-08-13 14:15:00,
LOG00000332,FLT0000085,Departed,2025-08-13 15:00:00,
LOG00000333,FLT0000085,Arrived,2025-08-13 15:45:00,
LOG00000334,FLT0000086,Scheduled,2025-09-15 11:30:00,
LOG00000335,FLT0000086,Boarding,2025-09-15 12:15:00,
LOG00000336,FLT0000086,Departed,2025-09-15 13:00:00,
LOG00000337,FLT0000086,Arrived,2025-09-15 13:45:00,
LOG00000338,FLT0000087,Scheduled,2026-07-15 22:00:00,
LOG00000339,FLT0000087,Boarding,2026-07-15 22:45:00,
LOG00000340,FLT0000087,Departed,2026-07-15 23:30:00,
LOG00000341,FLT0000087,Arrived,2026-07-16 00:15:00,
LOG00000342,FLT0000088,Scheduled,2026-02-07 07:15:00,
LOG00000343,FLT0000088,Boarding,2026-02-07 08:00:00,
LOG00000344,FLT0000088,Departed,2026-02-07 08:45:00,
LOG00000345,FLT0000088,Arrived,2026-02-07 09:30:00,
LOG00000346,FLT0000089,Scheduled,2026-04-12 19:00:00,
LOG00000347,FLT0000089,Boarding,2026-04-12 19:45:00,
LOG00000348,FLT0000089,Departed,2026-04-12 20:30:00,
LOG00000349,FLT0000089,Arrived,2026-04-12 21:15:00,
LOG00000350,FLT0000090,Scheduled,2026-07-14 18:15:00,
LOG00000351,FLT0000090,Boarding,2026-07-14 19:00:00,
LOG00000352,FLT0000090,Departed,2026-07-14 19:45:00,
LOG00000353,FLT0000090,Arrived,2026-07-14 20:30:00,
LOG00000354,FLT0000091,Scheduled,2026-03-30 15:15:00,
LOG00000355,FLT0000091,Boarding,2026-03-30 16:00:00,
LOG00000356,FLT0000091,Departed,2026-03-30 16:45:00,Delay communicated to passengers
LOG00000357,FLT0000091,Arrived,2026-03-30 17:30:00,
LOG00000358,FLT0000092,Scheduled,2026-01-07 08:30:00,
LOG00000359,FLT0000092,Boarding,2026-01-07 09:15:00,
LOG00000360,FLT0000092,Departed,2026-01-07 10:00:00,
LOG00000361,FLT0000092,Arrived,2026-01-07 10:45:00,
LOG00000362,FLT0000093,Scheduled,2026-07-14 05:00:00,
LOG00000363,FLT0000093,Boarding,2026-07-14 05:45:00,
LOG00000364,FLT0000093,Departed,2026-07-14 06:30:00,
LOG00000365,FLT0000093,Arrived,2026-07-14 07:15:00,
LOG00000366,FLT0000094,Scheduled,2026-04-09 04:30:00,
LOG00000367,FLT0000094,Boarding,2026-04-09 05:15:00,
LOG00000368,FLT0000094,Departed,2026-04-09 06:00:00,Delay communicated to passengers
LOG00000369,FLT0000094,Arrived,2026-04-09 06:45:00,
LOG00000370,FLT0000095,Scheduled,2026-01-18 02:00:00,
LOG00000371,FLT0000095,Boarding,2026-01-18 02:45:00,
LOG00000372,FLT0000095,Departed,2026-01-18 03:30:00,
LOG00000373,FLT0000095,Arrived,2026-01-18 04:15:00,
LOG00000374,FLT0000096,Scheduled,2025-10-02 20:45:00,
LOG00000375,FLT0000096,Cancelled,2025-10-02 21:30:00,
LOG00000376,FLT0000097,Scheduled,2025-11-02 05:00:00,
LOG00000377,FLT0000097,Boarding,2025-11-02 05:45:00,
LOG00000378,FLT0000097,Departed,2025-11-02 06:30:00,
LOG00000379,FLT0000097,Arrived,2025-11-02 07:15:00,
LOG00000380,FLT0000098,Scheduled,2025-10-03 05:00:00,
LOG00000381,FLT0000098,Boarding,2025-10-03 05:45:00,
LOG00000382,FLT0000098,Departed,2025-10-03 06:30:00,
LOG00000383,FLT0000098,Arrived,2025-10-03 07:15:00,
LOG00000384,FLT0000099,Scheduled,2025-08-21 03:15:00,
LOG00000385,FLT0000099,Boarding,2025-08-21 04:00:00,
LOG00000386,FLT0000099,Departed,2025-08-21 04:45:00,
LOG00000387,FLT0000099,Arrived,2025-08-21 05:30:00,
LOG00000388,FLT0000100,Scheduled,2025-11-11 05:00:00,
LOG00000389,FLT0000100,Boarding,2025-11-11 05:45:00,
LOG00000390,FLT0000100,Departed,2025-11-11 06:30:00,
LOG00000391,FLT0000100,Arrived,2025-11-11 07:15:00,
LOG00000392,FLT0000101,Scheduled,2026-03-28 06:30:00,
LOG00000393,FLT0000101,Boarding,2026-03-28 07:15:00,
LOG00000394,FLT0000101,Departed,2026-03-28 08:00:00,
LOG00000395,FLT0000101,Arrived,2026-03-28 08:45:00,
LOG00000396,FLT0000102,Scheduled,2026-06-01 20:00:00,
LOG00000397,FLT0000102,Boarding,2026-06-01 20:45:00,
LOG00000398,FLT0000102,Departed,2026-06-01 21:30:00,
LOG00000399,FLT0000102,Arrived,2026-06-01 22:15:00,
LOG00000400,FLT0000103,Scheduled,2025-12-18 08:45:00,
LOG00000401,FLT0000103,Boarding,2025-12-18 09:30:00,
LOG00000402,FLT0000103,Departed,2025-12-18 10:15:00,
LOG00000403,FLT0000103,Arrived,2025-12-18 11:00:00,
LOG00000404,FLT0000104,Scheduled,2026-01-11 19:15:00,
LOG00000405,FLT0000104,Boarding,2026-01-11 20:00:00,
LOG00000406,FLT0000104,Departed,2026-01-11 20:45:00,
LOG00000407,FLT0000104,Arrived,2026-01-11 21:30:00,
LOG00000408,FLT0000105,Scheduled,2026-06-16 23:15:00,
LOG00000409,FLT0000105,Boarding,2026-06-17 00:00:00,
LOG00000410,FLT0000105,Departed,2026-06-17 00:45:00,
LOG00000411,FLT0000105,Arrived,2026-06-17 01:30:00,
LOG00000412,FLT0000106,Scheduled,2025-08-03 06:00:00,
LOG00000413,FLT0000106,Cancelled,2025-08-03 06:45:00,
LOG00000414,FLT0000107,Scheduled,2026-06-05 01:30:00,
LOG00000415,FLT0000107,Boarding,2026-06-05 02:15:00,
LOG00000416,FLT0000107,Departed,2026-06-05 03:00:00,
LOG00000417,FLT0000107,Arrived,2026-06-05 03:45:00,
LOG00000418,FLT0000108,Scheduled,2026-05-24 07:00:00,
LOG00000419,FLT0000108,Boarding,2026-05-24 07:45:00,
LOG00000420,FLT0000108,Departed,2026-05-24 08:30:00,
