seat_assignment_id,flight_id,aircraft_id,seat_number,passenger_id,class
SA00000064,FLT0056837,ACFT00209,6D,PAX00000073,Economy
SA00000065,FLT0056837,ACFT00209,29J,PAX00000074,Economy
SA00000066,FLT0064879,ACFT00136,36B,PAX00000075,Economy
SA00000067,FLT0064879,ACFT00136,42F,PAX00000076,Economy
SA00000068,FLT0014008,ACFT00046,34A,PAX00000079,Premium Economy
SA00000069,FLT0029583,ACFT00009,1G,PAX00000080,Economy
SA00000070,FLT0029583,ACFT00009,16D,PAX00000081,Business
SA00000071,FLT0029583,ACFT00009,40F,PAX00000082,Economy
SA00000072,FLT0029583,ACFT00009,9B,PAX00000083,Premium Economy
SA00000073,FLT0053660,ACFT00244,31K,PAX00000085,Economy
SA00000074,FLT0053660,ACFT00244,35H,PAX00000086,Economy
SA00000075,FLT0026298,ACFT00242,20G,PAX00000088,Economy
SA00000076,FLT0026298,ACFT00242,19B,PAX00000089,Premium Economy
SA00000077,FLT0026298,ACFT00242,6C,PAX00000090,First
SA00000078,FLT0004726,ACFT00029,18F,PAX00000091,Economy
SA00000079,FLT0034827,ACFT00478,15D,PAX00000092,Economy
SA00000080,FLT0034827,ACFT00478,30D,PAX00000093,Business
SA00000081,FLT0043952,ACFT00166,41K,PAX00000094,Premium Economy
SA00000082,FLT0057827,ACFT00233,14C,PAX00000095,Premium Economy
SA00000083,FLT0057827,ACFT00233,22C,PAX00000096,Economy
SA00000084,FLT0066713,ACFT00144,10K,PAX00000097,Economy
SA00000085,FLT0066713,ACFT00144,22K,PAX00000098,Premium Economy
SA00000086,FLT0015120,ACFT00281,22J,PAX00000100,Economy
SA00000087,FLT0015120,ACFT00281,38K,PAX00000101,Economy
SA00000088,FLT0015120,ACFT00281,18B,PAX00000102,Economy
SA00000089,FLT0010870,ACFT00458,36E,PAX00000103,Premium Economy
SA00000090,FLT0010870,ACFT00458,3K,PAX00000104,Business
SA00000091,FLT0010870,ACFT00458,41C,PAX00000105,Economy
SA00000092,FLT0010870,ACFT00458,33B,PAX00000106,First
SA00000093,FLT0028936,ACFT00421,43J,PAX00000108,Economy
SA00000094,FLT0028936,ACFT00421,32G,PAX00000109,First
SA00000095,FLT0028936,ACFT00421,26G,PAX00000110,Economy
SA00000096,FLT0055328,ACFT00158,1K,PAX00000111,Business
SA00000097,FLT0059044,ACFT00131,39H,PAX00000113,Premium Economy
SA00000098,FLT0062128,ACFT00026,27E,PAX00000116,Premium Economy
SA00000099,FLT0062128,ACFT00026,18A,PAX00000117,Economy
SA00000100,FLT0045884,ACFT00051,11H,PAX00000118,Economy
SA00000101,FLT0045884,ACFT00051,32B,PAX00000119,Economy
SA00000102,FLT0076866,ACFT00096,30J,PAX00000120,First
SA00000103,FLT0026529,ACFT00290,7E,PAX00000121,Premium Economy
SA00000104,FLT0027582,ACFT00557,38G,PAX00000122,Economy
SA00000105,FLT0073787,ACFT00188,39B,PAX00000123,Premium Economy
SA00000106,FLT0073787,ACFT00188,44K,PAX00000124,Economy
SA00000107,FLT0073787,ACFT00188,37J,PAX00000125,Economy
SA00000108,FLT0057773,ACFT00365,2E,PAX00000126,Economy
SA00000109,FLT0057773,ACFT00365,21D,PAX00000127,Economy
SA00000110,FLT0076632,ACFT00228,3C,PAX00000128,Economy
SA00000111,FLT0047271,ACFT00387,39A,PAX00000129,Premium Economy
SA00000112,FLT0047271,ACFT00387,40H,PAX00000130,Economy
SA00000113,FLT0047271,ACFT00387,24G,PAX00000131,Economy
SA00000114,FLT0033311,ACFT00272,33H,PAX00000133,Economy
SA00000115,FLT0033311,ACFT00272,28H,PAX00000134,First
SA00000116,FLT0011830,ACFT00528,21B,PAX00000136,Economy
SA00000117,FLT0075920,ACFT00338,11B,PAX00000137,Economy
SA00000118,FLT0075920,ACFT00338,24J,PAX00000138,Premium Economy
SA00000119,FLT0075920,ACFT00338,38B,PAX00000139,Economy
SA00000120,FLT0037308,ACFT00006,11C,PAX00000141,Economy
SA00000121,FLT0037308,ACFT00006,18K,PAX00000142,Premium Economy
SA00000122,FLT0037308,ACFT00006,36C,PAX00000143,Premium Economy
SA00000123,FLT0011271,ACFT00404,28K,PAX00000144,Premium Economy
SA00000124,FLT0031047,ACFT00096,11F,PAX00000146,Business
SA00000125,FLT0076893,ACFT00065,31G,PAX00000148,Economy
SA00000126,FLT0063830,ACFT00226,32B,PAX00000149,Economy
SA00000127,FLT0063830,ACFT00226,20G,PAX00000150,Economy
SA00000128,FLT0060560,ACFT00480,14E,PAX00000151,Premium Economy
SA00000129,FLT0062986,ACFT00430,11C,PAX00000152,Economy
SA00000130,FLT0022113,ACFT00312,42J,PAX00000153,Economy
SA00000131,FLT0070680,ACFT00100,15J,PAX00000154,Premium Economy
SA00000132,FLT0070680,ACFT00100,20A,PAX00000155,Economy
SA00000133,FLT0005230,ACFT00158,25A,PAX00000156,Economy
SA00000134,FLT0005230,ACFT00158,33J,PAX00000157,Business
SA00000135,FLT0036831,ACFT00268,16B,PAX00000158,Economy
SA00000136,FLT0058496,ACFT00181,6D,PAX00000159,Economy
SA00000137,FLT0028264,ACFT00355,9G,PAX00000164,Economy
SA00000138,FLT0048036,ACFT00231,2K,PAX00000165,Premium Economy
SA00000139,FLT0034241,ACFT00417,30J,PAX00000166,Premium Economy
SA00000140,FLT0079262,ACFT00453,4H,PAX00000167,Economy
SA00000141,FLT0004175,ACFT00034,44J,PAX00000168,Economy
SA00000142,FLT0069207,ACFT00520,20K,PAX00000169,Economy
SA00000143,FLT0021003,ACFT00367,25D,PAX00000175,Business
SA00000144,FLT0015097,ACFT00435,36K,PAX00000176,Economy
SA00000145,FLT0015097,ACFT00435,43A,PAX00000177,Economy
SA00000146,FLT0063814,ACFT00581,34K,PAX00000179,Economy
SA00000147,FLT0063814,ACFT00581,26F,PAX00000180,Economy
SA00000148,FLT0063814,ACFT00581,21A,PAX00000181,Economy
SA00000149,FLT0026447,ACFT00304,13E,PAX00000182,Economy
SA00000150,FLT0026447,ACFT00304,38G,PAX00000183,Business
SA00000151,FLT0064153,ACFT00123,26C,PAX00000184,Premium Economy
SA00000152,FLT0064153,ACFT00123,40C,PAX00000185,Economy
SA00000153,FLT0064153,ACFT00123,40A,PAX00000186,Economy
SA00000154,FLT0052246,ACFT00128,43J,PAX00000187,Economy
SA00000155,FLT0047691,ACFT00512,4D,PAX00000190,Economy
SA00000156,FLT0047691,ACFT00512,21E,PAX00000191,First
SA00000157,FLT0047691,ACFT00512,24A,PAX00000192,Business
SA00000158,FLT0066850,ACFT00553,14E,PAX00000193,Economy
SA00000159,FLT0066850,ACFT00553,20F,PAX00000194,Economy
SA00000160,FLT0009976,ACFT00226,39B,PAX00000195,First
SA00000161,FLT0056201,ACFT00417,10J,PAX00000196,Economy
SA00000162,FLT0041204,ACFT00279,43E,PAX00000197,Premium Economy
SA00000163,FLT0002377,ACFT00263,43A,PAX00000199,Premium Economy
SA00000164,FLT0002377,ACFT00263,13C,PAX00000200,Economy
SA00000165,FLT0002678,ACFT00166,4J,PAX00000201,Business
SA00000166,FLT0055605,ACFT00553,17K,PAX00000202,Economy
SA00000167,FLT0048201,ACFT00015,36B,PAX00000203,Premium Economy
SA00000168,FLT0048201,ACFT00015,34H,PAX00000204,Business
SA00000169,FLT0048201,ACFT00015,33H,PAX00000205,Economy
SA00000170,FLT0061813,ACFT00192,20G,PAX00000207,Economy
SA00000171,FLT0061813,ACFT00192,40B,PAX00000208,Economy
SA00000172,FLT0061813,ACFT00192,1K,PAX00000209,Economy
SA00000173,FLT0068925,ACFT00524,14D,PAX00000210,Economy
SA00000174,FLT0069745,ACFT00427,32B,PAX00000212,Economy
SA00000175,FLT0068838,ACFT00005,24J,PAX00000213,Economy
SA00000176,FLT0068838,ACFT00005,5K,PAX00000214,Economy
SA00000177,FLT0068838,ACFT00005,40A,PAX00000215,Premium Economy
SA00000178,FLT0055964,ACFT00407,24B,PAX00000216,Economy
SA00000179,FLT0055964,ACFT00407,7D,PAX00000217,Economy
SA00000180,FLT0055964,ACFT00407,11J,PAX00000218,Business
SA00000181,FLT0055964,ACFT00407,4H,PAX00000219,Economy
SA00000182,FLT0028934,ACFT00560,28K,PAX00000220,Premium Economy
SA00000183,FLT0028934,ACFT00560,25K,PAX00000221,Economy
SA00000184,FLT0028934,ACFT00560,36D,PAX00000222,Economy
SA00000185,FLT0028934,ACFT00560,35A,PAX00000223,Economy
SA00000186,FLT0052883,ACFT00339,39A,PAX00000224,Economy
SA00000187,FLT0052883,ACFT00339,10F,PAX00000225,Economy
SA00000188,FLT0052883,ACFT00339,25A,PAX00000226,Business
SA00000189,FLT0004006,ACFT00199,9K,PAX00000227,Premium Economy
SA00000190,FLT0004006,ACFT00199,10F,PAX00000228,Economy
SA00000191,FLT0076257,ACFT00361,39E,PAX00000229,Economy
SA00000192,FLT0076257,ACFT00361,2H,PAX00000230,Business
SA00000193,FLT0061889,ACFT00370,34H,PAX00000232,Economy
SA00000194,FLT0061889,ACFT00370,17A,PAX00000233,Economy
SA00000195,FLT0044572,ACFT00105,15H,PAX00000234,Premium Economy
SA00000196,FLT0012989,ACFT00026,37D,PAX00000235,Economy
SA00000197,FLT0012989,ACFT00026,2E,PAX00000236,Business
SA00000198,FLT0012989,ACFT00026,21C,PAX00000237,Economy
SA00000199,FLT0012989,ACFT00026,33J,PAX00000238,Premium Economy
SA00000200,FLT0064019,ACFT00166,19D,PAX00000239,Economy
SA00000201,FLT0064019,ACFT00166,3A,PAX00000240,Economy
SA00000202,FLT0064019,ACFT00166,29F,PAX00000241,Business
SA00000203,FLT0035164,ACFT00038,28D,PAX00000242,Business
SA00000204,FLT0061224,ACFT00395,14J,PAX00000243,Economy
SA00000205,FLT0019926,ACFT00312,40E,PAX00000246,Economy
SA00000206,FLT0019926,ACFT00312,10A,PAX00000247,Economy
SA00000207,FLT0074837,ACFT00144,15C,PAX00000248,Economy
SA00000208,FLT0030734,ACFT00159,38C,PAX00000249,Economy
SA00000209,FLT0030734,ACFT00159,19G,PAX00000250,Economy
SA00000210,FLT0017777,ACFT00430,23B,PAX00000251,Economy
SA00000211,FLT0003757,ACFT00417,26F,PAX00000254,Premium Economy
SA00000212,FLT0003757,ACFT00417,39A,PAX00000255,Business
SA00000213,FLT0033061,ACFT00464,29C,PAX00000256,First
SA00000214,FLT0033061,ACFT00464,27C,PAX00000257,Economy
SA00000215,FLT0033061,ACFT00464,12C,PAX00000258,Business
SA00000216,FLT0039581,ACFT00300,11H,PAX00000259,Economy
SA00000217,FLT0039581,ACFT00300,25D,PAX00000260,Premium Economy
SA00000218,FLT0067243,ACFT00127,5D,PAX00000261,Economy
SA00000219,FLT0067243,ACFT00127,5C,PAX00000262,Economy
SA00000220,FLT0042758,ACFT00526,35F,PAX00000263,Economy
SA00000221,FLT0068922,ACFT00400,39E,PAX00000264,Economy
SA00000222,FLT0068922,ACFT00400,33K,PAX00000265,Economy
SA00000223,FLT0049463,ACFT00207,23G,PAX00000267,Business
SA00000224,FLT0049463,ACFT00207,30C,PAX00000268,Economy
SA00000225,FLT0049463,ACFT00207,28K,PAX00000269,Economy
SA00000226,FLT0061344,ACFT00518,39B,PAX00000270,Economy
SA00000227,FLT0023332,ACFT00253,14F,PAX00000271,First
SA00000228,FLT0023332,ACFT00253,12K,PAX00000272,Economy
SA00000229,FLT0023332,ACFT00253,15A,PAX00000273,Economy
SA00000230,FLT0021755,ACFT00104,5A,PAX00000274,Economy
SA00000231,FLT0056725,ACFT00011,40G,PAX00000275,Premium Economy
SA00000232,FLT0056725,ACFT00011,25K,PAX00000276,Economy
SA00000233,FLT0018916,ACFT00459,11K,PAX00000278,Business
SA00000234,FLT0018916,ACFT00459,9J,PAX00000279,Economy
SA00000235,FLT0018916,ACFT00459,25G,PAX00000280,Economy
SA00000236,FLT0027246,ACFT00273,31E,PAX00000281,Economy
SA00000237,FLT0007232,ACFT00023,41B,PAX00000282,Economy
SA00000238,FLT0007232,ACFT00023,13K,PAX00000283,Economy
SA00000239,FLT0007232,ACFT00023,2A,PAX00000284,Economy
SA00000240,FLT0007232,ACFT00023,2F,PAX00000285,Economy
SA00000241,FLT0051102,ACFT00150,44E,PAX00000286,Economy
SA00000242,FLT0063654,ACFT00054,31B,PAX00000287,Economy
SA00000243,FLT0063654,ACFT00054,5C,PAX00000288,Economy
SA00000244,FLT0048592,ACFT00488,21A,PAX00000289,Premium Economy
SA00000245,FLT0049518,ACFT00543,10G,PAX00000290,Business
SA00000246,FLT0063165,ACFT00201,32A,PAX00000292,Business
SA00000247,FLT0063165,ACFT00201,12E,PAX00000293,Economy
SA00000248,FLT0063165,ACFT00201,13B,PAX00000294,Economy
SA00000249,FLT0015023,ACFT00129,8E,PAX00000296,Economy
SA00000250,FLT0015023,ACFT00129,7F,PAX00000297,Business
SA00000251,FLT0055351,ACFT00023,10G,PAX00000299,Economy
SA00000252,FLT0061683,ACFT00550,42G,PAX00000300,Economy
SA00000253,FLT0046651,ACFT00535,8D,PAX00000301,Premium Economy
SA00000254,FLT0050359,ACFT00411,29H,PAX00000302,Economy
SA00000255,FLT0050359,ACFT00411,30E,PAX00000303,Economy
SA00000256,FLT0050359,ACFT00411,24J,PAX00000304,Business
SA00000257,FLT0054283,ACFT00288,26C,PAX00000305,Economy
SA00000258,FLT0026987,ACFT00375,9H,PAX00000306,Economy
SA00000259,FLT0032382,ACFT00504,17H,PAX00000307,Economy
SA00000260,FLT0032382,ACFT00504,28C,PAX00000308,Economy
SA00000261,FLT0032382,ACFT00504,20J,PAX00000309,Economy
SA00000262,FLT0042311,ACFT00280,1D,PAX00000311,Business
SA00000263,FLT0035480,ACFT00087,25D,PAX00000312,Economy
SA00000264,FLT0035480,ACFT00087,23H,PAX00000313,Economy
SA00000265,FLT0035480,ACFT00087,35F,PAX00000314,Economy
SA00000266,FLT0059764,ACFT00325,26G,PAX00000315,Business
SA00000267,FLT0059764,ACFT00325,11B,PAX00000316,Business
SA00000268,FLT0059764,ACFT00325,16D,PAX00000317,Economy
SA00000269,FLT0059764,ACFT00325,3A,PAX00000318,Economy
SA00000270,FLT0067938,ACFT00578,4D,PAX00000319,Economy
SA00000271,FLT0067938,ACFT00578,2B,PAX00000320,Economy
SA00000272,FLT0057552,ACFT00396,29F,PAX00000321,Economy
SA00000273,FLT0057552,ACFT00396,29H,PAX00000322,Economy
SA00000274,FLT0078498,ACFT00435,24E,PAX00000324,Premium Economy
SA00000275,FLT0056904,ACFT00049,11F,PAX00000326,Economy
SA00000276,FLT0056904,ACFT00049,33H,PAX00000327,Economy
SA00000277,FLT0056904,ACFT00049,1F,PAX00000328,Economy
SA00000278,FLT0060420,ACFT00270,26E,PAX00000329,Economy
SA00000279,FLT0060420,ACFT00270,43B,PAX00000330,Economy
SA00000280,FLT0060420,ACFT00270,28F,PAX00000331,Economy
SA00000281,FLT0052350,ACFT00584,35B,PAX00000332,Business
SA00000282,FLT0067271,ACFT00142,8F,PAX00000334,Economy
SA00000283,FLT0067017,ACFT00358,26E,PAX00000335,Economy
SA00000284,FLT0067017,ACFT00358,22J,PAX00000336,Economy
SA00000285,FLT0067017,ACFT00358,28J,PAX00000337,Economy
SA00000286,FLT0064177,ACFT00340,4B,PAX00000339,Economy
SA00000287,FLT0036176,ACFT00538,8K,PAX00000340,First
SA00000288,FLT0019334,ACFT00358,12B,PAX00000341,Economy
SA00000289,FLT0019334,ACFT00358,20B,PAX00000342,Premium Economy
SA00000290,FLT0041950,ACFT00447,20G,PAX00000343,Economy
SA00000291,FLT0073347,ACFT00302,39E,PAX00000344,Premium Economy
SA00000292,FLT0007959,ACFT00299,15G,PAX00000345,Economy
SA00000293,FLT0007959,ACFT00299,37K,PAX00000346,Economy
SA00000294,FLT0078101,ACFT00301,24G,PAX00000348,Economy
SA00000295,FLT0078101,ACFT00301,26A,PAX00000349,Economy
SA00000296,FLT0078991,ACFT00433,13K,PAX00000350,Premium Economy
SA00000297,FLT0074070,ACFT00510,24C,PAX00000351,Business
SA00000298,FLT0004752,ACFT00197,31D,PAX00000354,Business
SA00000299,FLT0038071,ACFT00107,38J,PAX00000355,Economy
SA00000300,FLT0038071,ACFT00107,26F,PAX00000356,Economy
SA00000301,FLT0007809,ACFT00486,38F,PAX00000357,Economy
SA00000302,FLT0057541,ACFT00356,39G,PAX00000358,Economy
SA00000303,FLT0057541,ACFT00356,2F,PAX00000359,Economy
SA00000304,FLT0057541,ACFT00356,38F,PAX00000360,Economy
SA00000305,FLT0024020,ACFT00141,33A,PAX00000362,Economy
SA00000306,FLT0024020,ACFT00141,42F,PAX00000363,First
SA00000307,FLT0052421,ACFT00503,26F,PAX00000364,Economy
SA00000308,FLT0018867,ACFT00388,21B,PAX00000366,Business
SA00000309,FLT0018867,ACFT00388,7G,PAX00000367,Economy
SA00000310,FLT0018867,ACFT00388,32G,PAX00000368,Economy
SA00000311,FLT0008832,ACFT00310,35B,PAX00000372,Premium Economy
SA00000312,FLT0069821,ACFT00541,17A,PAX00000373,First
SA00000313,FLT0069821,ACFT00541,40K,PAX00000374,Economy
SA00000314,FLT0069821,ACFT00541,44G,PAX00000375,Economy
SA00000315,FLT0044012,ACFT00137,13D,PAX00000376,Economy
SA00000316,FLT0044012,ACFT00137,15C,PAX00000377,Economy
SA00000317,FLT0062523,ACFT00312,27J,PAX00000378,Economy
SA00000318,FLT0062523,ACFT00312,29A,PAX00000379,Economy
SA00000319,FLT0062523,ACFT00312,10E,PAX00000380,Economy
SA00000320,FLT0001881,ACFT00089,6A,PAX00000381,Economy
SA00000321,FLT0002553,ACFT00238,3H,PAX00000382,Economy
SA00000322,FLT0022152,ACFT00397,29H,PAX00000383,Economy
SA00000323,FLT0002222,ACFT00070,6F,PAX00000384,Business
SA00000324,FLT0002222,ACFT00070,35E,PAX00000385,Economy
SA00000325,FLT0002222,ACFT00070,1H,PAX00000386,Economy
SA00000326,FLT0015692,ACFT00255,36H,PAX00000388,Business
SA00000327,FLT0035826,ACFT00463,27A,PAX00000389,Premium Economy
SA00000328,FLT0035826,ACFT00463,12C,PAX00000390,Premium Economy
SA00000329,FLT0064749,ACFT00238,30H,PAX00000391,Economy
SA00000330,FLT0064749,ACFT00238,7C,PAX00000392,Economy
SA00000331,FLT0064749,ACFT00238,26G,PAX00000393,Economy
SA00000332,FLT0074419,ACFT00454,29F,PAX00000394,Economy
SA00000333,FLT0045029,ACFT00026,29C,PAX00000395,Economy
SA00000334,FLT0079399,ACFT00577,41H,PAX00000397,Economy
SA00000335,FLT0066852,ACFT00233,9J,PAX00000398,Economy
SA00000336,FLT0049838,ACFT00263,17F,PAX00000399,Economy
SA00000337,FLT0049838,ACFT00263,44A,PAX00000400,Economy
SA00000338,FLT0040174,ACFT00101,24F,PAX00000403,Economy
SA00000339,FLT0040174,ACFT00101,1C,PAX00000404,Economy
SA00000340,FLT0010217,ACFT00525,31E,PAX00000406,Economy
SA00000341,FLT0076443,ACFT00231,12F,PAX00000407,Economy
SA00000342,FLT0076443,ACFT00231,14J,PAX00000408,Premium Economy
SA00000343,FLT0028682,ACFT00024,1E,PAX00000409,Premium Economy
SA00000344,FLT0028682,ACFT00024,5F,PAX00000410,Economy
SA00000345,FLT0028682,ACFT00024,40F,PAX00000411,Economy
SA00000346,FLT0049431,ACFT00264,19C,PAX00000412,Business
SA00000347,FLT0049431,ACFT00264,4G,PAX00000413,Business
SA00000348,FLT0019703,ACFT00107,15K,PAX00000415,Premium Economy
SA00000349,FLT0044455,ACFT00442,15G,PAX00000417,Economy
SA00000350,FLT0044455,ACFT00442,2E,PAX00000418,Economy
SA00000351,FLT0003881,ACFT00047,44C,PAX00000421,Economy
SA00000352,FLT0025278,ACFT00369,17E,PAX00000422,Economy
SA00000353,FLT0025278,ACFT00369,1G,PAX00000423,Business
SA00000354,FLT0067502,ACFT00049,4G,PAX00000424,First
SA00000355,FLT0066830,ACFT00551,16G,PAX00000426,Economy
SA00000356,FLT0074001,ACFT00090,4D,PAX00000427,Economy
SA00000357,FLT0074001,ACFT00090,6J,PAX00000428,Economy
SA00000358,FLT0045779,ACFT00167,21E,PAX00000429,Business
SA00000359,FLT0045779,ACFT00167,20F,PAX00000430,Economy
SA00000360,FLT0021084,ACFT00591,12C,PAX00000432,Economy
SA00000361,FLT0046866,ACFT00082,14K,PAX00000433,Premium Economy
SA00000362,FLT0040237,ACFT00194,10K,PAX00000437,Economy
SA00000363,FLT0021403,ACFT00386,13F,PAX00000439,Economy
SA00000364,FLT0017896,ACFT00324,34A,PAX00000440,Economy
SA00000365,FLT0038724,ACFT00412,36A,PAX00000441,Economy
SA00000366,FLT0038724,ACFT00412,3G,PAX00000442,Economy
SA00000367,FLT0002096,ACFT00214,41C,PAX00000443,Premium Economy
SA00000368,FLT0002096,ACFT00214,13A,PAX00000444,Premium Economy
SA00000369,FLT0073882,ACFT00557,17D,PAX00000445,Economy
SA00000370,FLT0073882,ACFT00557,5D,PAX00000446,Economy
SA00000371,FLT0058410,ACFT00348,25K,PAX00000447,Economy
SA00000372,FLT0014407,ACFT00357,13H,PAX00000448,Premium Economy
SA00000373,FLT0014407,ACFT00357,10E,PAX00000449,Economy
SA00000374,FLT0037649,ACFT00084,22J,PAX00000450,First
SA00000375,FLT0037649,ACFT00084,39F,PAX00000451,Business
SA00000376,FLT0070486,ACFT00451,15D,PAX00000453,Economy
SA00000377,FLT0061080,ACFT00383,7H,PAX00000454,Premium Economy
SA00000378,FLT0061080,ACFT00383,17G,PAX00000455,Economy
SA00000379,FLT0008100,ACFT00262,26K,PAX00000456,Business
SA00000380,FLT0022144,ACFT00403,19E,PAX00000457,Economy
SA00000381,FLT0022144,ACFT00403,36B,PAX00000458,Economy
SA00000382,FLT0022144,ACFT00403,10D,PAX00000459,Economy
SA00000383,FLT0031034,ACFT00335,22H,PAX00000460,Economy
SA00000384,FLT0060105,ACFT00235,17E,PAX00000462,Economy
SA00000385,FLT0060105,ACFT00235,1J,PAX00000463,Premium Economy
SA00000386,FLT0012120,ACFT00198,29F,PAX00000464,Economy
SA00000387,FLT0060366,ACFT00395,27G,PAX00000465,Economy
SA00000388,FLT0060366,ACFT00395,6D,PAX00000466,Economy
SA00000389,FLT0015687,ACFT00527,2F,PAX00000467,Business
SA00000390,FLT0014664,ACFT00359,20B,PAX00000470,Premium Economy
SA00000391,FLT0001533,ACFT00168,28A,PAX00000471,Economy
SA00000392,FLT0001533,ACFT00168,13G,PAX00000473,Premium Economy
SA00000393,FLT0001533,ACFT00168,40H,PAX00000474,Economy
SA00000394,FLT0068436,ACFT00014,19G,PAX00000475,Economy
SA00000395,FLT0003785,ACFT00253,7G,PAX00000476,Economy
SA00000396,FLT0003785,ACFT00253,22C,PAX00000477,First
SA00000397,FLT0003785,ACFT00253,26C,PAX00000478,Economy
SA00000398,FLT0003785,ACFT00253,35A,PAX00000479,Economy
SA00000399,FLT0000509,ACFT00226,9B,PAX00000480,Economy
SA00000400,FLT0028038,ACFT00595,21C,PAX00000481,Economy
SA00000401,FLT0029898,ACFT00247,15E,PAX00000482,Premium Economy
SA00000402,FLT0029898,ACFT00247,7H,PAX00000483,Economy
SA00000403,FLT0029898,ACFT00247,3A,PAX00000484,Economy
SA00000404,FLT0048392,ACFT00293,30D,PAX00000488,Economy
SA00000405,FLT0042814,ACFT00170,8K,PAX00000489,Economy
SA00000406,FLT0042814,ACFT00170,43H,PAX00000490,Economy
